Player,Bias,DOM+,Draft Capital,Y/RR,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_TE_Score_15,Model_Output_raw_TE,Train_Target_raw,Error_Target
Ben Sinnott,-89.8967,-3.5921,47.3245,18.8778,12.5479,8.2742,62.6102,20.8221,15.0000,-6.4644,-28.0000,21.5356
Josh Oliver,-89.8967,0.4224,17.4869,-4.1429,5.3363,0.8482,13.7664,6.1845,10.4916,-69.9458,-79.0000,9.0542
Jeremy Sprinkle,-89.8967,0.7114,-14.6783,17.5056,-1.7074,-1.5846,3.5387,-3.2920,9.0923,-89.6501,-120.0000,30.3499
James O'Shaughnessy,-89.8967,1.2771,-16.2921,3.5568,-12.7440,-2.4689,-11.4582,-15.2129,7.1806,-116.5679,-151.0000,34.4321
Ben Koyack,-89.8967,-1.3667,-52.4744,-0.1583,0.3968,-1.1032,-53.9994,-0.7064,5.1896,-144.6024,-207.0000,62.3976
T.J. Hockenson,-89.8967,11.5941,46.0705,18.5749,1.7693,-1.5024,76.2395,0.2669,14.5081,-13.3903,-4.0000,-9.3903
Grant Calcaterra,-89.8967,-2.4759,-45.8669,-15.6360,20.3725,7.3060,-63.9788,27.6785,6.4967,-126.1969,-121.0000,-5.1969
Randall Telfer,-89.8967,-1.5034,-48.4833,4.5348,9.9784,-2.2355,-45.4519,7.7429,6.3967,-127.6055,-201.0000,73.3945
Daniel Bellinger,-89.8967,-2.5528,2.5346,10.0031,0.4164,8.5608,9.9849,8.9772,10.4214,-70.9347,-62.0000,-8.9347
Gavin Bartholomew,-89.8967,-13.0356,-43.9630,-52.8313,-4.9145,0.3524,-109.8299,-4.5621,0.9508,-204.2888,-157.0000,-47.2888
Jared Wiley,-89.8967,7.3902,-0.5473,-6.1533,-16.5046,5.3287,0.6896,-11.1759,8.3300,-100.3830,-123.0000,22.6170
Drew Sample,-89.8967,-4.1862,56.4647,-49.5052,10.1872,-3.2356,2.7733,6.9516,9.7654,-80.1718,-122.0000,41.8282
Jeff Heuerman,-89.8967,-15.2025,19.3177,8.9134,4.3164,-1.8324,13.0286,2.4840,10.1764,-74.3841,-124.0000,49.6159
Eric Saubert,-89.8967,0.6321,-15.2802,7.7743,6.6116,-1.9405,-6.8738,4.6711,8.9183,-92.0993,-97.0000,4.9007
Payne Durham,-89.8967,1.4064,-18.0334,-44.0915,9.5941,-3.6305,-60.7185,5.9636,5.1861,-144.6516,-159.0000,14.3484
Zach Gentry,-89.8967,0.3217,-15.2802,7.7372,5.1210,-2.4081,-7.2213,2.7129,8.7546,-94.4050,-77.0000,-17.4050
Gerald Everett,-89.8967,11.3521,46.0705,18.7811,-2.3617,0.4179,76.2037,-1.9438,14.3486,-15.6367,-20.0000,4.3633
Zach Davidson,-89.8967,0.8035,-19.4418,0.1948,-11.3438,1.3905,-18.4435,-9.9533,7.0580,-118.2934,-73.0000,-45.2934
Ryan Izzo,-89.8967,-16.6233,-48.5530,-56.5899,-2.6201,-3.3931,-121.7662,-6.0132,0.0000,-217.6761,-150.0000,-67.6761
Adam Shaheen,-89.8967,-5.1704,58.0969,8.4731,-5.8916,-2.1005,61.3996,-7.9921,12.8677,-36.4892,-42.0000,5.5108
O.J. Howard,-89.8967,-6.0971,47.6077,9.5513,-21.7414,5.8071,51.0619,-15.9343,11.5695,-54.7690,-9.0000,-45.7690
Jonnu Smith,-89.8967,0.1303,18.8092,15.6801,3.3109,-2.2871,34.6196,1.0238,11.6061,-54.2532,-30.0000,-24.2532
Hunter Long,-89.8967,6.8490,19.1513,16.3119,-9.4076,7.1174,42.3122,-2.2902,11.9171,-49.8747,-25.0000,-24.8747
Kylen Granson,-89.8967,0.9038,3.4851,17.9950,-9.7085,6.5014,22.3839,-3.2071,10.4366,-70.7199,-43.0000,-27.7199
Terrance Ferguson,-89.8967,-15.0355,44.8631,10.4025,23.4359,1.6261,40.2301,25.0620,13.7117,-24.6046,-23.0000,-1.6046
Dalton Schultz,-89.8967,-2.6064,-5.2126,-62.1817,-4.6433,0.2376,-70.0007,-4.4057,3.7905,-164.3031,-194.0000,29.6969
Albert Okwuegbunam,-89.8967,12.2255,0.0216,-29.2216,-2.7286,-1.9271,-16.9745,-4.6557,7.5386,-111.5269,-50.0000,-61.5269
Tyler Conklin,-89.8967,-15.0800,-17.4265,-15.2619,0.7510,11.8904,-47.7684,12.6414,6.5801,-125.0237,-105.0000,-20.0237
Troy Fumagalli,-89.8967,-12.7486,-15.3053,17.9742,-6.7703,0.3941,-10.0797,-6.3762,7.9061,-106.3526,-103.0000,-3.3526
