Player,Bias,DOM+,Draft Capital,aDOT,Y/RR,ELU,Breakout Age,Slot%,MTF,Drop%,CC%,Y/REC,REC%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_TE_Score_15,Model_Output_raw_TE,Train_Target_raw,Error_Target
Ben Koyack,-92.0435,8.3994,-54.0810,-1.6621,-2.1178,0.0680,-0.8730,0.0860,-1.3839,0.3200,-0.0946,-1.2170,0.6522,-9.5801,-51.9038,-9.5801,2.6000,-153.5273,-207.0000,53.4727
Isaiah Likely,-92.0435,11.8482,-8.1361,1.4905,30.4990,1.4189,9.4023,-2.8444,6.7585,-3.5858,2.1818,3.9174,-4.3972,-2.4547,48.5531,-2.4547,11.6176,-45.9452,-35.0000,-10.9452
Dallas Goedert,-92.0435,5.7201,48.7663,-1.0434,-1.4461,0.3450,-0.6560,0.6010,-0.5377,-0.3608,1.8016,-1.6432,0.6323,-6.3856,52.1791,-6.3856,11.5921,-46.2500,-17.0000,-29.2500
Tyler Higbee,-92.0435,-16.8878,-8.5221,1.1132,19.5055,-0.1113,-0.5834,-1.6110,7.8522,-0.8648,-0.3130,4.3309,-5.4005,-1.1713,-1.4921,-1.1713,7.5304,-94.7070,-59.0000,-35.7070
Cade Stover,-92.0435,5.3101,-6.3975,-0.8054,28.9792,-3.8708,-0.6805,-1.6352,8.0960,-2.6997,0.7100,2.6381,-4.5489,1.0249,25.0954,1.0249,9.9431,-65.9232,-70.0000,4.0768
Albert Okwuegbunam,-92.0435,5.1929,-12.7666,-1.4610,-21.0578,1.4893,-0.5686,-0.7018,-0.9184,9.8748,2.1188,-5.2270,4.0289,-0.3351,-19.9965,-0.3351,6.0494,-112.3752,-50.0000,-62.3752
Zach Davidson,-92.0435,5.2045,-14.9725,-1.0485,7.5512,0.9540,-0.7236,-0.0321,0.2693,1.4808,0.3436,1.0517,1.7091,1.9241,1.7875,1.9241,8.0648,-88.3318,-73.0000,-15.3318
Jesse James,-92.0435,2.3528,-23.3371,-2.8773,-37.5262,0.1243,-0.4586,-1.8536,-0.7448,12.0021,-0.1512,-6.3061,3.0221,-0.5815,-55.7536,-0.5815,3.0316,-148.3787,-188.0000,39.6213
Cole Turner,-92.0435,7.5918,-15.4467,-0.8693,-0.2701,-4.1410,1.0899,0.7524,4.4170,-1.1147,-2.8354,-6.7446,-1.0826,8.8323,-18.6533,8.8323,6.9304,-101.8645,-143.0000,41.1355
Malcolm Johnson,-92.0435,-19.6234,-51.0567,-2.5186,-3.5723,0.0870,-1.2401,-1.0699,-6.4257,-1.4413,-0.9252,-2.2494,0.2017,-2.6688,-89.8339,-2.6688,0.0000,-184.5462,-191.0000,6.4538
Ja'Tavion Sanders,-92.0435,4.0891,-7.9341,-0.3621,30.5833,1.0696,10.1499,-0.3330,6.1604,-2.1604,-0.9432,-2.7475,-3.1926,0.3250,34.3794,0.3250,10.6626,-57.3390,-32.0000,-25.3390
Blake Bell,-92.0435,1.9984,-14.2990,-0.9500,-38.4471,1.2627,10.7579,0.6966,-6.4264,2.4832,-0.0654,3.1741,2.5984,-1.6023,-37.2166,-1.6023,4.4998,-130.8621,-174.0000,43.1379
Jackson Hawes,-92.0435,-6.7076,-7.9372,11.6443,-22.0386,0.0673,-0.6853,-0.5754,1.0510,4.3192,2.2018,-1.9782,-5.7611,-5.8827,-26.3998,-5.8827,5.0477,-124.3262,-200.0000,75.6738
Terrance Ferguson,-92.0435,-16.7102,41.0030,-1.6200,15.9830,0.3131,-0.7233,0.4404,6.1267,-2.2970,2.8148,-1.4737,-1.0957,5.1146,42.7611,5.1146,11.7666,-44.1679,-23.0000,-21.1679
Brock Bowers,-92.0435,6.8437,43.3415,-1.9649,27.6180,-3.2420,7.1321,1.1587,2.0812,-0.7517,2.6271,0.9580,-4.4532,-2.8044,81.3485,-2.8044,14.3373,-13.4992,-1.0000,-12.4992
James Mitchell,-92.0435,-12.9894,-14.5229,0.7078,-7.5116,3.2702,-0.9295,2.2991,-9.0240,-1.1695,-2.9534,6.1623,-3.1693,-1.7027,-39.8302,-1.7027,4.2723,-133.5764,-87.0000,-46.5764
Michael Mayer,-92.0435,-7.3745,53.3606,-2.1992,-18.4400,0.0202,-0.6512,0.1378,4.0619,3.3887,2.3204,-2.8527,-3.4467,0.9870,28.3253,0.9870,10.2106,-62.7311,-21.0000,-41.7311
Zack Kuntz,-92.0435,13.1437,-32.6093,2.9180,29.6898,-2.2275,-3.6409,0.9581,8.1937,-1.7671,1.4277,-4.5721,2.0147,8.5947,13.5288,8.5947,9.6081,-69.9199,-141.0000,71.0801
Tommy Sweeney,-92.0435,4.8205,-45.7847,0.1432,-28.2434,0.0918,-0.5108,-0.5479,4.8961,-1.1297,4.2845,7.3249,0.3874,0.0747,-54.2681,0.0747,3.2111,-146.2370,-137.0000,-9.2370
Colby Parkinson,-92.0435,2.5773,-14.5057,-0.8979,-18.0775,-0.1055,-0.5189,3.2769,-8.5439,-0.0021,0.9291,7.2724,2.7455,7.5548,-25.8503,7.5548,6.2201,-110.3389,-92.0000,-18.3389
Jelani Woods,-92.0435,-4.5257,11.8895,-0.0045,19.8197,-3.1967,-0.8426,-0.7627,4.6425,1.6028,0.8665,0.6810,3.2471,4.5043,33.4169,4.5043,10.9323,-54.1221,-55.0000,0.8779
