position,seed,n_subsets,max_base_feats,n_iter_per_model,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
TE,34,40,15,100,24,GB,0.6109207596984291,0.649632384589405,28.08120936665379,34.96448934601468,5,DOM+|Draft Capital|Y/RR,SpeedxBMI|Wide%xSlot%,-6.464352427931899
TE,34,40,15,100,28,GB,0.5826138664140283,0.6387966899219002,29.237261888281957,35.50103967347733,7,DOM+|Draft Capital|Y/RR|CC%|YAC/R,SpeedxBMI|Wide%xSlot%,-14.070019943728933
TE,34,40,15,100,29,GB,0.6188326814517048,0.6085134576650522,28.979929631589105,36.959290861071366,17,DOM+|Draft Capital|MTF|Breakout Age|CC%|FUM|Wide%|Drop%|aDOT|YAC/R|ELU|Y/REC|Slot%|Y/RR|REC%,SpeedxBMI|Wide%xSlot%,-17.701697373502064
TE,34,40,15,100,5,GB,0.6362553342681306,0.6051121282883074,29.216374431322382,37.11949924206585,16,DOM+|Draft Capital|Drop%|Y/RR|REC%|CC%|ELU|aDOT|Slot%|Wide%|YAC/R|Breakout Age|FUM|Y/REC,SpeedxBMI|Wide%xSlot%,-16.343924914250746
TE,34,40,15,100,19,GB,0.6102366194212807,0.5999974812449497,29.344671297020653,37.35911452054875,10,DOM+|Draft Capital|CC%|Y/REC|Y/RR|YAC/R|Breakout Age|REC%,SpeedxBMI|Wide%xSlot%,-21.385562081471175
TE,34,40,15,100,10,GB,0.6186821622915674,0.5993907967682519,29.137806686507023,37.38743510130398,15,DOM+|Draft Capital|Drop%|CC%|Breakout Age|aDOT|FUM|Wide%|YAC/R|Y/REC|REC%|Y/RR|Slot%,SpeedxBMI|Wide%xSlot%,-17.338854615616583
TE,34,40,15,100,17,GB,0.5985327194133964,0.5961362441734634,29.970948154311692,37.538995825137,5,DOM+|Draft Capital|aDOT|Y/RR,SpeedxBMI,1.722801095438531
TE,34,40,15,100,6,GB,0.6280602620153576,0.5948315368820232,29.865654248032154,37.59958297672103,15,DOM+|Draft Capital|Y/RR|REC%|aDOT|Breakout Age|CC%|Y/REC|Wide%|FUM|Drop%|MTF|Slot%|ELU,SpeedxBMI,-11.474984770854904
TE,34,40,15,100,23,GB,0.42575952628880925,0.5940487492746063,30.993210078913158,37.63588674671042,7,DOM+|Draft Capital|YAC/R|aDOT|CC%,SpeedxBMI|Wide%xSlot%,-1.422733809313736
TE,34,40,15,100,31,GB,0.6231730237888752,0.5879450289480469,29.882208998766135,37.91777018380178,13,DOM+|Draft Capital|aDOT|YAC/R|REC%|Drop%|Breakout Age|MTF|Slot%|Y/RR|Y/REC,SpeedxBMI|Wide%xSlot%,-18.56447840108388
TE,34,40,15,100,7,GB,0.6275783075856459,0.5842483273721997,32.12042088817396,38.08747776152427,11,DOM+|Draft Capital|Slot%|Y/RR|MTF|CC%|ELU|aDOT|YAC/R|FUM,SpeedxBMI,-0.6578587894841411
TE,34,40,15,100,34,GB,0.6327551589073611,0.5744189266109441,31.797184164252112,38.53508878092263,15,DOM+|Draft Capital|MTF|FUM|Breakout Age|Slot%|Wide%|CC%|ELU|YAC/R|Y/RR|aDOT|REC%,SpeedxBMI|Wide%xSlot%,6.185941860090803
TE,34,40,15,100,35,GB,0.6175506248866124,0.5643479123507079,32.762961128913936,38.98837287117587,9,DOM+|Draft Capital|YAC/R|FUM|Slot%|Wide%|MTF|Y/RR,SpeedxBMI,-13.965992718185555
TE,34,40,15,100,12,GB,0.6464650144581053,0.5628281999261366,30.256235523875162,39.0563164595714,11,DOM+|Draft Capital|REC%|Y/REC|ELU|Drop%|Slot%|Y/RR|Breakout Age,SpeedxBMI|Wide%xSlot%,-26.320791000269907
TE,34,40,15,100,39,GB,0.6552616295740833,0.5610357200668239,30.538745991638816,39.136303373740006,15,DOM+|Draft Capital|Slot%|YAC/R|aDOT|Y/RR|FUM|ELU|MTF|Drop%|Breakout Age|REC%|Y/REC,SpeedxBMI|Wide%xSlot%,-18.373778252995617
