Player,Bias,DOM+,CC%,Breakout Age,YAC/R,aDOT,aYPTPA,Drop Rate,Y/RR,EPA/P,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_TE_Grade,Actual_TE_Grade,Error
Bryson Nesbit,6.9786,0.0386,0.0109,-0.2109,-0.6511,0.2131,0.0000,-0.1575,0.4589,0.0000,0.3845,-0.2980,0.3845,7.0651,3.6700,3.3951
Michael Roberts,6.9786,-1.2376,0.0086,-0.2298,-0.6485,0.2045,0.0000,0.1880,-0.6220,0.0000,-0.4825,-2.3368,-0.4825,4.1594,3.7300,0.4294
Brock Wright,6.9786,-1.7070,0.0108,-0.2753,0.5175,0.0915,0.0000,-0.3131,-1.2868,0.0000,-0.1440,-2.9624,-0.1440,3.8723,3.5000,0.3723
Kennard Backman,6.9786,-1.3230,0.0098,-0.2587,0.1284,-0.0588,0.0000,-0.1072,0.8219,0.0000,-0.4651,-0.7876,-0.4651,5.7259,5.3100,0.4159
Dalton Schultz,6.9786,-1.2184,0.0086,-0.2355,-1.0355,-0.1023,0.0000,0.2770,-1.2371,0.0000,0.3367,-3.5432,0.3367,3.7721,2.8600,0.9121
Jackson Hawes,6.9786,-1.3620,0.0093,-0.1939,0.5410,0.0210,0.0000,-0.3195,-1.2147,0.0000,-0.4950,-2.5188,-0.4950,3.9647,2.2700,1.6947
CJ Usomah,6.9786,-1.4860,0.0103,-0.2307,0.4059,0.0816,0.0000,-0.1974,0.8458,0.0000,-0.5185,-0.5705,-0.5185,5.8897,6.0700,-0.1803
Gerald Christian,6.9786,-0.8795,0.0084,-0.1996,0.0044,-0.1077,0.0000,-0.4384,-0.8036,0.0000,-0.4236,-2.4160,-0.4236,4.1389,2.5300,1.6089
Moliki Matavao,6.9786,0.4759,0.0210,0.1104,0.5009,-0.1564,0.0000,0.1147,0.2452,0.0000,-0.4760,1.3117,-0.4760,7.8143,6.8400,0.9743
Ja'Tavion Sanders,6.9786,-0.3242,0.0204,0.5999,0.2737,-0.0442,0.0000,0.0944,0.2746,0.0000,0.4151,0.8946,0.4151,8.2882,10.2800,-1.9918
Kylen Granson,6.9786,-0.4473,0.0222,0.7533,0.1013,0.3034,0.0000,-0.1076,-0.3410,0.0000,0.3166,0.2843,0.3166,7.5795,9.6500,-2.0705
Max Wright,6.9786,-1.3530,0.0085,-0.1506,0.5097,0.0598,0.0000,0.2806,-0.7523,0.0000,-0.3189,-1.3973,-0.3189,5.2625,3.5700,1.6925
Cethan Carter,6.9786,-0.6271,0.0114,-0.1653,0.7283,0.0018,0.0000,-0.2354,-1.1965,0.0000,0.4063,-1.4828,0.4063,5.9022,2.8000,3.1022
Henry Krieger-Coble,6.9786,-0.3160,0.0120,-0.1649,0.0561,-0.0820,0.0000,-0.3217,-1.1615,0.0000,-0.3598,-1.9780,-0.3598,4.6408,1.9800,2.6608
Gerald Everett,6.9786,-0.2604,0.0224,0.5603,0.4145,-0.1696,0.0000,0.0413,1.2028,0.0000,0.3526,1.8113,0.3526,9.1425,11.3500,-2.2075
Zach Davidson,6.9786,-2.0201,0.0085,-0.2830,0.3931,0.0741,0.0000,0.2015,0.6961,0.0000,0.3409,-0.9298,0.3409,6.3898,7.9100,-1.5202
Michael Mayer,6.9786,1.8982,0.0308,0.7297,-0.1092,-0.1161,0.0000,0.2763,1.0720,0.0000,0.5008,3.7817,0.5008,11.2611,11.2600,0.0011
Oronde Gadsden II,6.9786,1.4139,0.0289,0.9012,-1.1228,0.0077,0.0000,0.2072,1.3908,0.0000,0.6922,2.8269,0.6922,10.4978,9.0200,1.4778
Thomas Yassmin,6.9786,-1.6516,0.0110,-0.2278,0.4865,-0.0862,0.0000,0.1706,0.5603,0.0000,0.2873,-0.7372,0.2873,6.5287,4.9100,1.6187
Alize Mack,6.9786,-0.6864,0.0130,0.2556,-0.6690,-0.1330,0.0000,0.1071,-1.0198,0.0000,0.2281,-2.1325,0.2281,5.0743,4.0400,1.0343
Grant Calcaterra,6.9786,-1.0018,-0.1119,-0.2006,0.3758,0.2459,0.0000,0.1836,0.7880,0.0000,0.3262,0.2790,0.3262,7.5838,5.7600,1.8238
Thaddeus Moss,6.9786,-0.7678,0.0082,-0.1535,-0.0499,-0.0665,0.0000,0.2859,-1.0563,0.0000,-0.4998,-1.7999,-0.4998,4.6789,2.1300,2.5489
David Njoku,6.9786,0.9108,0.0318,0.7273,0.4947,0.3401,0.0000,-0.1523,0.8982,0.0000,0.5126,3.2506,0.5126,10.7418,13.7400,-2.9982
Tyler Kroft,6.9786,-0.5305,0.0089,-0.2055,-0.7691,-0.1169,0.0000,-0.2482,-1.3530,0.0000,0.2656,-3.2143,0.2656,4.0301,6.2100,-2.1799
Matt Lauter,6.9786,-0.8703,0.0133,-0.1977,0.4680,-0.1560,0.0000,-0.2646,0.5831,0.0000,0.3119,-0.4242,0.3119,6.8664,4.5100,2.3564
Eli Stowers,6.9786,1.4542,0.0248,-0.3145,0.4327,-0.1547,0.0000,-0.5237,1.3486,0.0000,0.5946,2.2674,0.5946,9.8405,11.1300,-1.2895
Colby Parkinson,6.9786,0.4916,0.0141,-0.0702,-0.0805,0.2896,0.0000,0.1253,-1.2372,0.0000,0.2654,-0.4673,0.2654,6.7768,7.0600,-0.2832
Blake Bell,6.9786,-1.5437,0.0086,-0.2929,-0.4723,0.0843,0.0000,-0.2631,-1.2064,0.0000,0.3681,-3.6855,0.3681,3.6612,3.9100,-0.2488
Chamon Metayer,6.9786,-0.0186,0.0094,-0.5979,0.2969,-0.1384,0.0000,-0.1804,-0.3336,0.0000,-0.0974,-0.9626,-0.0974,5.9186,4.4800,1.4386
Bryce Williams,6.9786,-0.6259,0.0056,-0.4924,0.2034,-0.0615,0.0000,-0.2458,-1.0665,0.0000,-0.4057,-2.2831,-0.4057,4.2898,2.3200,1.9698
Jordan Thomas,6.9786,-0.5450,0.0105,-0.1965,-0.2082,0.2384,0.0000,-0.1128,0.5782,0.0000,-0.6469,-0.2354,-0.6469,6.0963,5.5800,0.5163
Adam Trautman,6.9786,0.8164,0.0222,-0.0295,0.3711,0.0436,0.0000,0.1830,0.5612,0.0000,-0.4708,1.9680,-0.4708,8.4759,8.9400,-0.4641
Robbie Ouzts,6.9786,-1.4482,0.0077,-0.1775,0.1431,-0.1228,0.0000,0.2568,-0.8277,0.0000,-0.3662,-2.1686,-0.3662,4.4438,3.5200,0.9238
John Bates,6.9786,-0.7041,0.0045,-0.5917,-0.1991,-0.1013,0.0000,0.0748,0.3227,0.0000,-0.3131,-1.1942,-0.3131,5.4713,4.2600,1.2113
Dallin Holker,6.9786,-0.2036,0.0050,-0.4202,-0.0645,-0.1018,0.0000,0.1249,-0.3418,0.0000,-0.3766,-1.0020,-0.3766,5.6000,3.2400,2.3600
Tyler Davis,6.9786,-0.8515,0.0079,-0.1774,-0.7870,-0.1205,0.0000,0.1922,-0.6343,0.0000,-0.0194,-2.3706,-0.0194,4.5886,2.8600,1.7286
Trey McBride,6.9786,1.9313,0.0324,0.7679,0.3157,-0.1107,0.0000,0.3060,1.3358,0.0000,0.5417,4.5784,0.5417,12.0989,12.2900,-0.1911
Quintin Morris,6.9786,1.1045,0.0375,0.8783,0.4515,-0.1780,0.0000,-0.2294,0.8101,0.0000,-0.3899,2.8745,-0.3899,9.4632,8.0100,1.4532
Chigoziem Okonkwo,6.9786,-0.8804,0.0090,0.5757,-0.1494,-0.1973,0.0000,-0.0736,-1.3272,0.0000,0.1483,-2.0432,0.1483,5.0837,7.7200,-2.6363
Luke Musgrave,6.9786,1.2064,0.0151,-0.4254,-0.9458,0.3082,0.0000,0.1106,1.3532,0.0000,0.4122,1.6223,0.4122,9.0131,10.6700,-1.6569
Harold Fannin Jr.,6.9786,1.8162,0.0354,0.6402,0.4268,-0.0974,0.0000,0.2674,1.2715,0.0000,0.3273,4.3601,0.3273,11.6660,12.0500,-0.3840
Cameron Latu,6.9786,-0.7063,0.0089,-0.1227,0.3704,-0.0219,0.0000,-0.0406,-1.2964,0.0000,0.4087,-1.8086,0.4087,5.5785,5.6500,-0.0715
Nick O'Leary,6.9786,-0.4135,0.0105,-0.1258,0.3459,0.0732,0.0000,-0.2147,0.6687,0.0000,-0.6199,0.3443,-0.6199,6.7030,4.3800,2.3230
