Player,Bias,DOM+,aDOT,Y/RR,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_TE_Grade,Actual_TE_Grade,Error
Kyle Pitts,6.9577,1.8525,0.1434,1.5143,0.7488,3.5102,0.7488,11.2167,15.0000,-3.7833
C.J. Conrad,6.9577,0.9239,-0.1014,0.8823,-0.7803,1.7048,-0.7803,7.8821,6.0600,1.8221
Josh Oliver,6.9577,0.2264,0.0376,-0.3000,0.6827,-0.0360,0.6827,7.6044,7.7900,-0.1856
Austin Roberts,6.9577,-1.9776,0.0883,-0.0291,0.6052,-1.9184,0.6052,5.6444,2.8300,2.8144
Oscar Delp,6.9577,-1.6853,0.0687,-1.3493,0.5010,-2.9659,0.5010,4.4927,5.5400,-1.0473
T.J. Hockenson,6.9577,1.6343,0.1064,0.7148,0.5746,2.4555,0.5746,9.9878,14.0400,-4.0522
Kahale Warring,6.9577,0.3180,0.1669,-1.1146,0.7841,-0.6297,0.7841,7.1120,8.2800,-1.1680
Cole Kmet,6.9577,1.6871,-0.0453,-1.3161,0.3454,0.3257,0.3454,7.6288,9.9400,-2.3112
Charlie Kolar,6.9577,1.6099,0.3467,0.7434,0.2442,2.7000,0.2442,9.9018,7.7100,2.1918
CJ Usomah,6.9577,-1.9702,-0.0006,0.9002,-0.7613,-1.0706,-0.7613,5.1257,6.0700,-0.9443
Irv Smith Jr.,6.9577,-0.7001,-0.0294,1.0704,-0.5540,0.3409,-0.5540,6.7446,10.1400,-3.3954
Malcolm Johnson,6.9577,-1.2221,-0.0937,-0.9822,-0.5596,-2.2980,-0.5596,4.1001,3.1400,0.9601
EJ Bibbs,6.9577,-0.1224,-0.0289,-1.5300,-0.8739,-1.6813,-0.8739,4.4026,1.9300,2.4726
Will Mallory,6.9577,0.8608,-0.1022,-0.8058,0.6426,-0.0472,0.6426,7.5531,8.0500,-0.4969
Benjamin Yurosek,6.9577,-0.1452,-0.1669,-1.1043,0.6378,-1.4164,0.6378,6.1792,5.2400,0.9392
Michael Roberts,6.9577,-1.6118,0.0116,-1.0084,-0.8692,-2.6086,-0.8692,3.4799,3.7300,-0.2501
Tommy Sweeney,6.9577,1.3281,-0.0635,-1.3522,-1.0589,-0.0876,-1.0589,5.8112,5.2700,0.5412
Max Klare,6.9577,0.7029,-0.1323,0.7415,0.4670,1.3121,0.4670,8.7369,10.4900,-1.7531
Will Dissly,6.9577,-1.1717,-0.0998,-1.3326,-0.9054,-2.6041,-0.9054,3.4482,5.3600,-1.9118
Thomas Yassmin,6.9577,-2.0773,-0.0916,0.5248,0.4996,-1.6441,0.4996,5.8132,4.9100,0.9032
Jeremy Sprinkle,6.9577,-0.9621,-0.0499,0.6254,0.7589,-0.3866,0.7589,7.3300,5.7600,1.5700
Oronde Gadsden II,6.9577,1.7968,0.0210,1.5918,0.5340,3.4096,0.5340,10.9012,9.0200,1.8812
Jordan Akins,6.9577,0.8284,0.0356,0.4573,-0.9170,1.3213,-0.9170,7.3620,7.9000,-0.5380
David Morgan,6.9577,0.0041,-0.0332,1.1036,-0.9672,1.0745,-0.9672,7.0649,5.1900,1.8749
Kyle Carter,6.9577,-1.7248,-0.0021,-1.4060,0.6770,-3.1329,0.6770,4.5019,1.0700,3.4319
Marshon Ford,6.9577,-0.0311,-0.0647,0.6506,-0.8274,0.5548,-0.8274,6.6851,4.7500,1.9351
Noah Gray,6.9577,-0.5955,0.0419,-1.2447,0.4803,-1.7983,0.4803,5.6397,5.3800,0.2597
Charlie Woerner,6.9577,-1.7191,-0.0056,-1.0252,0.6620,-2.7499,0.6620,4.8698,2.2000,2.6698
Mitchell Evans,6.9577,0.2048,-0.1172,0.6328,-0.6580,0.7204,-0.6580,7.0201,6.8600,0.1601
Chris Herndon,6.9577,0.1762,-0.0013,-0.8201,-0.7970,-0.6452,-0.7970,5.5155,6.7100,-1.1945
Jake Butt,6.9577,1.5772,-0.1498,0.1758,0.6025,1.6032,0.6025,9.1633,8.6700,0.4933
Eric Saubert,6.9577,-0.1679,-0.0065,0.7011,0.4540,0.5267,0.4540,7.9384,6.7900,1.1484
Greg Dulcich,6.9577,2.3397,0.1109,1.1556,0.8253,3.6062,0.8253,11.3892,10.9400,0.4492
Peyton Hendershot,6.9577,2.0954,-0.0607,0.1828,-0.8461,2.2175,-0.8461,8.3291,6.1900,2.1391
Travis Vokolek,6.9577,-0.1347,-0.0932,-1.3351,-0.3028,-1.5630,-0.3028,5.0919,4.1300,0.9619
Jalin Conyers,6.9577,-1.8029,-0.1614,0.6633,-0.6893,-1.3010,-0.6893,4.9674,4.8400,0.1274
Blake Bell,6.9577,-1.7764,0.1168,-1.4152,0.7346,-3.0748,0.7346,4.6175,3.9100,0.7075
Jared Pinkney,6.9577,1.5070,0.1167,0.9896,-1.1769,2.6133,-1.1769,8.3941,6.1100,2.2841
Ryan Izzo,6.9577,0.3541,-0.0256,-1.5691,-1.0872,-1.2406,-1.0872,4.6299,4.9000,-0.2701
Trey Knox,6.9577,-0.6836,-0.1127,-1.4310,0.4427,-2.2273,0.4427,5.1730,5.6600,-0.4870
Nick Eubanks,6.9577,1.7216,-0.0303,-1.6538,-0.8935,0.0375,-0.8935,6.1015,5.0400,1.0615
Cethan Carter,6.9577,-1.1315,0.0809,-1.4730,0.8087,-2.5236,0.8087,5.2429,2.8000,2.4429
Jake McGee,6.9577,-1.4433,-0.0417,-1.1840,-0.0733,-2.6690,-0.0733,4.2153,0.5700,3.6453
