Player,Bias,DOM+,Drop Rate,Breakout Age,aYPTPA,CC%,YAC/R,aDOT,EPA/P,Y/RR,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_TE_Grade,Actual_TE_Grade,Error
Bryce Williams,6.8451,-0.6138,-0.3810,-0.5416,0.0000,0.0062,0.3033,-0.0473,0.0000,-1.0636,-0.4938,-2.3378,-0.4938,4.0134,2.3200,1.6934
Jordan Thomas,6.8451,-0.6252,-0.1310,-0.3621,0.0000,0.0086,-0.3410,0.2908,0.0000,0.5064,-0.6214,-0.6535,-0.6214,5.5702,5.5800,-0.0098
Tip Reiman,6.8451,-1.3408,0.2691,-0.3648,0.0000,0.0084,0.3360,-0.0342,0.0000,-1.3224,-0.5849,-2.4487,-0.5849,3.8116,5.2100,-1.3984
Andrew Ogletree,6.8451,-0.7041,0.2742,-0.4363,0.0000,0.0103,0.5848,0.2984,0.0000,0.7867,-0.3967,0.8140,-0.3967,7.2623,5.1400,2.1223
Brycen Hopkins,6.8451,1.2882,-0.3017,-0.3793,0.0000,0.0200,0.4388,-0.1414,0.0000,0.1779,0.2889,1.1025,0.2889,8.2365,9.4400,-1.2035
Gerald Christian,6.8451,-0.9990,-0.3827,-0.3906,0.0000,0.0070,-0.1335,-0.1257,0.0000,-0.8137,-0.5340,-2.8382,-0.5340,3.4729,2.5300,0.9429
Nick Eubanks,6.8451,1.5276,0.2613,-0.2272,0.0000,0.0124,-0.8851,0.0013,0.0000,-1.2855,-0.4984,-0.5952,-0.4984,5.7515,5.0400,0.7115
Gavin Bartholomew,6.8451,-1.0359,0.0960,1.1768,0.0000,0.0224,0.0350,-0.0266,0.0000,-0.8121,0.2563,-0.5444,0.2563,6.5570,4.5800,1.9770
Josh Oliver,6.8451,0.2611,0.1455,-0.4121,0.0000,0.0098,-0.4794,0.0173,0.0000,-0.2222,0.3706,-0.6800,0.3706,6.5356,7.7900,-1.2544
Cethan Carter,6.8451,-0.6934,-0.2926,-0.3186,0.0000,0.0102,0.7376,0.0870,0.0000,-1.1390,0.3586,-1.6088,0.3586,5.5948,2.8000,2.7948
Jake Briningstool,6.8451,-0.0944,0.0877,-0.2819,0.0000,0.0080,-0.2613,-0.1498,0.0000,-1.0071,0.4249,-1.6988,0.4249,5.5710,3.2100,2.3610
Trey McBride,6.8451,1.9011,0.2947,1.0425,0.0000,0.0281,0.2831,-0.1136,0.0000,1.3220,0.3964,4.7579,0.3964,11.9994,12.2900,-0.2906
David Njoku,6.8451,1.0141,-0.0749,0.9004,0.0000,0.0275,0.4262,0.3354,0.0000,0.8941,0.3549,3.5228,0.3549,10.7228,13.7400,-3.0172
Gunnar Helm,6.8451,0.5543,0.1603,-0.4259,0.0000,0.0110,0.1349,-0.1545,0.0000,-1.0330,0.3320,-0.7529,0.3320,6.4242,7.5800,-1.1558
Thomas Fidone,6.8451,-0.4643,0.1591,1.1032,0.0000,0.0223,-0.4398,-0.1422,0.0000,-1.0790,0.3878,-0.8407,0.3878,6.3923,3.9600,2.4323
Harrison Bryant,6.8451,0.7107,-0.1257,0.9628,0.0000,0.0292,0.0356,-0.0387,0.0000,1.1450,0.2842,2.7189,0.2842,9.8480,9.5900,0.2580
Caleb Wilson,6.8451,1.9382,-0.1982,-0.4034,0.0000,0.0237,0.3611,0.1216,0.0000,1.0060,0.5164,2.8490,0.5164,10.2106,9.7100,0.5006
