Player,Bias,DOM+,Breakout Age,Y/RR,Drop Rate,EPA/P,aYPTPA,YAC/R,aDOT,CC%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_TE_Grade,Actual_TE_Grade,Error
Bryce Williams,6.8485,-0.6367,-0.4990,-1.1010,-0.3315,0.0000,0.0000,0.2226,-0.0375,0.0086,-0.4940,-2.3745,-0.4940,3.9800,2.3200,1.6600
Jordan Thomas,6.8485,-0.6165,-0.3976,0.5272,-0.1753,0.0000,0.0000,-0.3523,0.3344,0.0100,-0.5931,-0.6701,-0.5931,5.5853,5.5800,0.0053
Tip Reiman,6.8485,-1.3253,-0.3667,-1.3703,0.2848,0.0000,0.0000,0.2816,-0.0730,0.0103,-0.5785,-2.5586,-0.5785,3.7114,5.2100,-1.4986
Andrew Ogletree,6.8485,-0.6564,-0.4461,0.8560,0.2678,0.0000,0.0000,0.5256,0.2774,0.0106,-0.3978,0.8349,-0.3978,7.2857,5.1400,2.1457
Brycen Hopkins,6.8485,1.2435,-0.3765,0.1851,-0.3251,0.0000,0.0000,0.4154,-0.1040,0.0165,0.2490,1.0549,0.2490,8.1525,9.4400,-1.2875
Gerald Christian,6.8485,-1.0338,-0.4183,-0.8193,-0.3817,0.0000,0.0000,-0.1474,-0.1479,0.0089,-0.5028,-2.9395,-0.5028,3.4062,2.5300,0.8762
Nick Eubanks,6.8485,1.5074,-0.1886,-1.3068,0.2210,0.0000,0.0000,-0.8271,-0.0392,0.0149,-0.4427,-0.6184,-0.4427,5.7874,5.0400,0.7474
Gavin Bartholomew,6.8485,-1.0821,1.1409,-0.8258,0.0799,0.0000,0.0000,0.0205,-0.0495,0.0261,0.2198,-0.6900,0.2198,6.3784,4.5800,1.7984
Josh Oliver,6.8485,0.2330,-0.3820,-0.2749,0.1506,0.0000,0.0000,-0.4801,0.0165,0.0114,0.3023,-0.7255,0.3023,6.4253,7.7900,-1.3647
Cethan Carter,6.8485,-0.7026,-0.3343,-1.1535,-0.2967,0.0000,0.0000,0.7141,0.1387,0.0116,0.3888,-1.6227,0.3888,5.6146,2.8000,2.8146
Jake Briningstool,6.8485,-0.0872,-0.2598,-1.0620,0.1078,0.0000,0.0000,-0.2959,-0.1664,0.0122,0.3733,-1.7513,0.3733,5.4706,3.2100,2.2606
Trey McBride,6.8485,1.8667,1.0475,1.3512,0.2537,0.0000,0.0000,0.2497,-0.1328,0.0279,0.3950,4.6639,0.3950,11.9073,12.2900,-0.3827
David Njoku,6.8485,1.0215,0.9229,0.8803,-0.1765,0.0000,0.0000,0.4055,0.3027,0.0260,0.3677,3.3824,0.3677,10.5986,13.7400,-3.1414
Gunnar Helm,6.8485,0.5110,-0.3885,-0.9949,0.1496,0.0000,0.0000,0.1260,-0.1346,0.0132,0.3015,-0.7182,0.3015,6.4318,7.5800,-1.1482
Thomas Fidone,6.8485,-0.4325,1.0770,-1.1257,0.1676,0.0000,0.0000,-0.4144,-0.1555,0.0240,0.3492,-0.8595,0.3492,6.3381,3.9600,2.3781
Harrison Bryant,6.8485,0.6347,0.9906,1.2134,-0.1125,0.0000,0.0000,0.0300,-0.0207,0.0270,0.2898,2.7625,0.2898,9.9008,9.5900,0.3108
Caleb Wilson,6.8485,1.8249,-0.4682,0.9777,-0.3470,0.0000,0.0000,0.3472,0.1166,0.0209,0.4837,2.4721,0.4837,9.8043,9.7100,0.0943
Stephen Sullivan,6.8485,-1.3568,-0.4137,0.4030,0.1453,0.0000,0.0000,-0.6950,0.2981,0.0072,0.2093,-1.6119,0.2093,5.4459,3.7600,1.6859
Tommy Tremble,6.8485,-1.3405,-0.4170,-0.9688,-0.0846,0.0000,0.0000,-0.4502,-0.2080,0.0086,0.3673,-3.4605,0.3673,3.7553,5.1200,-1.3647
Mason Schreck,6.8485,0.9032,-0.5316,-0.2437,0.1276,0.0000,0.0000,-0.2968,0.1781,0.0135,-0.4444,0.1503,-0.4444,6.5544,4.2900,2.2644
Jeremy Sprinkle,6.8485,-0.5834,-0.2977,0.4877,0.1956,0.0000,0.0000,0.6091,-0.1407,0.0140,0.3330,0.2846,0.3330,7.4661,5.7600,1.7061
Dalton Kincaid,6.8485,1.5112,-0.5383,0.8906,0.3060,0.0000,0.0000,-0.2682,-0.1975,0.0161,0.2568,1.7199,0.2568,8.8252,11.4800,-2.6548
Benjamin Yurosek,6.8485,-0.2163,1.0902,-0.9282,0.0531,0.0000,0.0000,0.1375,-0.1569,0.0298,0.3065,0.0092,0.3065,7.1643,5.2400,1.9243
Kendall Blanton,6.8485,-1.3281,-0.3635,-0.9907,-0.2158,0.0000,0.0000,0.6057,0.1510,0.0095,-0.5376,-2.1319,-0.5376,4.1790,2.2000,1.9790
Nick O'Leary,6.8485,-0.4388,-0.3306,0.5162,-0.3431,0.0000,0.0000,0.3687,0.2000,0.0109,-0.4756,-0.0167,-0.4756,6.3563,4.3800,1.9763
Foster Moreau,6.8485,-0.9037,-0.2933,-0.9293,0.2421,0.0000,0.0000,0.4985,-0.1226,0.0100,-0.1454,-1.4983,-0.1454,5.2049,6.9400,-1.7351
Max Wright,6.8485,-1.3003,-0.3356,-0.8041,0.2807,0.0000,0.0000,0.4743,0.0184,0.0100,-0.4259,-1.6566,-0.4259,4.7660,3.5700,1.1960
Ian Thomas,6.8485,-0.2147,-0.2649,-0.5647,0.1526,0.0000,0.0000,0.4873,-0.1623,0.0093,-0.5688,-0.5574,-0.5688,5.7222,8.2700,-2.5478
Mark Andrews,6.8485,0.5438,-0.4854,1.0290,0.2121,0.0000,0.0000,-0.0286,0.2437,0.0158,0.2926,1.5304,0.2926,8.6715,11.4300,-2.7585
Dallin Holker,6.8485,-0.1420,-0.5958,-0.4514,0.1068,0.0000,0.0000,-0.1040,-0.1596,0.0086,-0.3375,-1.3374,-0.3375,5.1737,3.2400,1.9337
Eli Stowers,6.8485,1.5780,-0.3819,1.4904,-0.5284,0.0000,0.0000,0.3825,-0.1538,0.0212,0.6693,2.4080,0.6693,9.9257,11.1300,-1.2043
Hayden Hurst,6.8485,1.4256,-0.6113,-0.8726,0.2721,0.0000,0.0000,0.2797,-0.1614,0.0150,0.2308,0.3471,0.2308,7.4263,10.0100,-2.5837
Jared Pinkney,6.8485,1.1356,1.0057,0.9511,0.0723,0.0000,0.0000,0.1964,0.2256,0.0243,-0.9387,3.6110,-0.9387,9.5208,6.1100,3.4108
C.J. Conrad,6.8485,0.7018,-0.2798,0.8002,0.2278,0.0000,0.0000,0.4955,-0.1516,0.0178,-0.5030,1.8117,-0.5030,8.1572,6.0600,2.0972
Pat Freiermuth,6.8485,1.6703,-0.3921,0.8764,0.1737,0.0000,0.0000,-0.1270,-0.0985,0.0200,0.3288,2.1228,0.3288,9.3002,11.9500,-2.6498
Colby Parkinson,6.8485,0.7252,-0.3477,-1.0581,0.1478,0.0000,0.0000,-0.1474,0.2349,0.0147,0.3428,-0.4306,0.3428,6.7607,7.0600,-0.2993
Erick All,6.8485,1.9529,-0.6976,1.1639,0.3769,0.0000,0.0000,0.5036,-0.1460,0.0198,0.2119,3.1735,0.2119,10.2338,9.4900,0.7438
Trey Knox,6.8485,-0.3101,1.0850,-1.3492,0.1895,0.0000,0.0000,-0.0193,-0.1733,-0.2071,0.6264,-0.7845,0.6264,6.6905,5.6600,1.0305
Geoff Swaim,6.8485,-1.4908,-0.4294,-1.3485,-0.1164,0.0000,0.0000,-0.7925,0.1382,0.0114,-0.3089,-4.0280,-0.3089,2.5117,2.1400,0.3717
Gerald Everett,6.8485,0.0130,0.6511,1.1702,0.0956,0.0000,0.0000,0.3394,-0.1492,0.0253,0.3004,2.1454,0.3004,9.2944,11.3500,-2.0556
Kenyon Sadiq,6.8485,-0.6756,-0.3059,0.7704,-0.2869,0.0000,0.0000,0.5504,0.1289,0.0115,-0.1795,0.1928,-0.1795,6.8618,10.3300,-3.4682
Blake Bell,6.8485,-1.3818,-0.4632,-1.1425,-0.2488,0.0000,0.0000,-0.3730,0.1724,0.0096,0.3340,-3.4273,0.3340,3.7552,3.9100,-0.1548
Alize Mack,6.8485,-0.5706,0.2964,-1.1196,0.0815,0.0000,0.0000,-0.5024,-0.1946,0.0177,0.2062,-1.9916,0.2062,5.0631,4.0400,1.0231
