Player,Bias,DOM+,EPA/P,aDOT,Breakout Age,YAC/R,Y/RR,Drop Rate,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_TE_Grade,Actual_TE_Grade,Error
Bryce Williams,6.8462,-0.6090,0.0000,-0.0039,-0.4724,0.2838,-1.0820,-0.2487,-0.4723,-2.1322,-0.4723,4.2418,2.3200,1.9218
Jordan Thomas,6.8462,-0.5928,0.0000,0.1733,-0.3510,-0.2973,0.5524,-0.1875,-0.5529,-0.7029,-0.5529,5.5904,5.5800,0.0104
Tip Reiman,6.8462,-1.3617,0.0000,-0.0330,-0.3564,0.2828,-1.3197,0.2530,-0.5205,-2.5350,-0.5205,3.7907,5.2100,-1.4193
Andrew Ogletree,6.8462,-0.7352,0.0000,0.0468,-0.4287,0.5052,0.8382,0.1873,-0.5166,0.4136,-0.5166,6.7433,5.1400,1.6033
Brycen Hopkins,6.8462,1.3194,0.0000,-0.0825,-0.4375,0.4186,0.2634,-0.2873,0.3312,1.1941,0.3312,8.3716,9.4400,-1.0684
Gerald Christian,6.8462,-1.0682,0.0000,-0.1040,-0.3862,-0.1557,-0.8183,-0.2709,-0.4480,-2.8033,-0.4480,3.5950,2.5300,1.0650
Nick Eubanks,6.8462,1.5433,0.0000,0.0159,-0.2731,-0.7356,-1.2644,0.2191,-0.4948,-0.4948,-0.4948,5.8566,5.0400,0.8166
Gavin Bartholomew,6.8462,-1.1914,0.0000,-0.0508,1.0821,-0.0057,-0.9101,0.0319,0.2494,-1.0440,0.2494,6.0516,4.5800,1.4716
Josh Oliver,6.8462,0.2443,0.0000,0.0391,-0.4116,-0.4221,-0.2482,0.1305,0.3592,-0.6680,0.3592,6.5374,7.7900,-1.2526
Cethan Carter,6.8462,-0.7333,0.0000,0.0843,-0.3509,0.5654,-1.2149,-0.2815,0.3725,-1.9309,0.3725,5.2878,2.8000,2.4878
Jake Briningstool,6.8462,-0.1081,0.0000,-0.1213,-0.2941,-0.2822,-1.0738,0.0865,0.3807,-1.7930,0.3807,5.4340,3.2100,2.2240
Trey McBride,6.8462,1.8731,0.0000,-0.1009,1.0223,0.2790,1.3672,0.2504,0.4774,4.6911,0.4774,12.0146,12.2900,-0.2754
David Njoku,6.8462,1.1054,0.0000,0.2609,0.8902,0.3515,0.8952,-0.1622,0.3816,3.3410,0.3816,10.5688,13.7400,-3.1712
Gunnar Helm,6.8462,0.5568,0.0000,-0.1263,-0.4042,0.1615,-0.9780,0.1609,0.3458,-0.6293,0.3458,6.5627,7.5800,-1.0173
Thomas Fidone,6.8462,-0.4657,0.0000,-0.1102,1.0712,-0.3753,-1.1328,0.1218,0.3663,-0.8910,0.3663,6.3214,3.9600,2.3614
Harrison Bryant,6.8462,0.7271,0.0000,0.0156,0.9398,-0.0015,1.2246,-0.0863,0.3294,2.8193,0.3294,9.9949,9.5900,0.4049
Caleb Wilson,6.8462,1.7279,0.0000,0.1050,-0.5719,0.3640,1.0110,-0.2740,0.4748,2.3620,0.4748,9.6832,9.7100,-0.0268
Stephen Sullivan,6.8462,-1.4715,0.0000,0.1757,-0.4439,-0.6555,0.4908,0.1680,0.2704,-1.7364,0.2704,5.3801,3.7600,1.6201
Tommy Tremble,6.8462,-1.4308,0.0000,-0.1271,-0.4111,-0.4166,-1.0058,-0.0561,0.3557,-3.4475,0.3557,3.7544,5.1200,-1.3656
Mason Schreck,6.8462,0.9951,0.0000,0.1817,-0.4544,-0.2879,-0.2630,0.0951,-0.5138,0.2666,-0.5138,6.5990,4.2900,2.3090
Jeremy Sprinkle,6.8462,-0.6088,0.0000,-0.1285,-0.2641,0.5640,0.4849,0.1648,0.3482,0.2123,0.3482,7.4068,5.7600,1.6468
Dalton Kincaid,6.8462,1.6473,0.0000,-0.1440,-0.5840,-0.2520,0.8608,0.2744,0.3203,1.8025,0.3203,8.9691,11.4800,-2.5109
Benjamin Yurosek,6.8462,-0.2531,0.0000,-0.1420,1.0359,0.1325,-0.9894,0.0292,0.3388,-0.1869,0.3388,6.9981,5.2400,1.7581
Kendall Blanton,6.8462,-1.3237,0.0000,0.0953,-0.3674,0.5388,-1.0426,-0.1808,-0.4756,-2.2804,-0.4756,4.0903,2.2000,1.8903
Nick O'Leary,6.8462,-0.4051,0.0000,0.1296,-0.2952,0.3998,0.5544,-0.2671,-0.4530,0.1164,-0.4530,6.5094,4.3800,2.1294
Foster Moreau,6.8462,-0.9531,0.0000,-0.0718,-0.2965,0.5041,-0.8755,0.2196,-0.1497,-1.4732,-0.1497,5.2233,6.9400,-1.7167
Max Wright,6.8462,-1.3200,0.0000,0.0315,-0.3304,0.4459,-0.8387,0.2399,-0.4081,-1.7718,-0.4081,4.6663,3.5700,1.0963
Ian Thomas,6.8462,-0.2718,0.0000,-0.1325,-0.3386,0.4444,-0.5572,0.1334,-0.5609,-0.7223,-0.5609,5.5630,8.2700,-2.7070
Mark Andrews,6.8462,0.6871,0.0000,0.1965,-0.4947,-0.0225,1.0575,0.2144,0.3591,1.6383,0.3591,8.8436,11.4300,-2.5864
Dallin Holker,6.8462,-0.1673,0.0000,-0.1309,-0.5813,-0.1163,-0.4410,0.1491,-0.3623,-1.2877,-0.3623,5.1963,3.2400,1.9563
Eli Stowers,6.8462,1.6049,0.0000,-0.1311,-0.4722,0.3896,1.4860,-0.4937,0.5748,2.3835,0.5748,9.8046,11.1300,-1.3254
Hayden Hurst,6.8462,1.4465,0.0000,-0.1119,-0.5082,0.3132,-0.9080,0.2802,0.2071,0.5118,0.2071,7.5652,10.0100,-2.4448
Jared Pinkney,6.8462,1.2192,0.0000,0.1560,1.0201,0.1696,0.9460,0.0285,-0.8198,3.5394,-0.8198,9.5657,6.1100,3.4557
C.J. Conrad,6.8462,0.8451,0.0000,-0.1361,-0.3590,0.4318,0.8127,0.2263,-0.4998,1.8208,-0.4998,8.1672,6.0600,2.1072
Pat Freiermuth,6.8462,1.7264,0.0000,-0.0872,-0.4297,-0.0993,0.9011,0.1647,0.4007,2.1760,0.4007,9.4229,11.9500,-2.5271
Colby Parkinson,6.8462,0.7764,0.0000,0.1578,-0.3418,-0.1410,-1.1051,0.1859,0.3614,-0.4678,0.3614,6.7400,7.0600,-0.3200
Erick All,6.8462,1.8611,0.0000,-0.1169,-0.6127,0.4709,1.1688,0.3381,0.2680,3.1093,0.2680,10.2236,9.4900,0.7336
Trey Knox,6.8462,-0.3803,0.0000,-0.1136,1.0827,-0.0290,-1.2937,0.1764,0.5128,-0.5575,0.5128,6.8015,5.6600,1.1415
Geoff Swaim,6.8462,-1.4512,0.0000,0.1169,-0.4345,-0.7057,-1.2880,-0.2005,-0.3291,-3.9630,-0.3291,2.5540,2.1400,0.4140
Gerald Everett,6.8462,0.0077,0.0000,-0.1286,0.6378,0.3166,1.1814,0.0534,0.3690,2.0683,0.3690,9.2834,11.3500,-2.0666
Kenyon Sadiq,6.8462,-0.6645,0.0000,-0.0015,-0.3049,0.5219,0.7871,-0.2612,-0.2499,0.0769,-0.2499,6.6733,10.3300,-3.6567
Blake Bell,6.8462,-1.4761,0.0000,0.1206,-0.4473,-0.3596,-1.1592,-0.2124,0.3848,-3.5340,0.3848,3.6971,3.9100,-0.2129
Alize Mack,6.8462,-0.5405,0.0000,-0.1396,0.3377,-0.4633,-1.1088,0.0768,0.1761,-1.8377,0.1761,5.1845,4.0400,1.1445
