position,seed,n_subsets,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
TE,456,20,13,RF,0.5484081178517771,0.6171281194510171,1.5273630257899662,1.872511763240897,4,DOM+|aDOT|Y/RR,SpeedxBMI,11.389164254061221
TE,456,20,3,RF,0.5413675849133521,0.6160484791423517,1.5382318012797922,1.8751500034826063,4,DOM+|Y/RR|EPA/P,SpeedxBMI,11.337121411505152
TE,456,20,11,RF,0.6151879691604278,0.6135305487234199,1.5375511802661088,1.8812885150317538,10,DOM+|Breakout Age|aDOT|YAC/R|EPA/P|CC%|Y/RR|Drop Rate|aYPTPA,SpeedxBMI,11.062315594833194
TE,456,20,17,RF,0.5869368993447541,0.609522574016631,1.6070662028045135,1.8910185314968422,7,DOM+|aDOT|Drop Rate|Y/RR|Breakout Age|EPA/P,SpeedxBMI,11.505741666666673
TE,456,20,18,RF,0.6121292695910501,0.6071311737753347,1.5547611990329022,1.8968002735320943,10,DOM+|CC%|Y/RR|EPA/P|YAC/R|aYPTPA|Drop Rate|Breakout Age|aDOT,SpeedxBMI,10.938650901812968
TE,456,20,5,RF,0.614203093243992,0.6047503952558626,1.5577150889738243,1.9025388816710442,9,DOM+|EPA/P|Drop Rate|YAC/R|aDOT|Breakout Age|aYPTPA|Y/RR,SpeedxBMI,11.411309047619035
TE,456,20,8,RF,0.6114568207209563,0.603301020469286,1.5641398886218194,1.9060239814102589,10,DOM+|Y/RR|Breakout Age|YAC/R|CC%|Drop Rate|aYPTPA|aDOT|EPA/P,SpeedxBMI,11.313500000000026
TE,456,20,14,RF,0.5807109263240517,0.6010774243027937,1.6490967152427831,1.9113583852584886,8,DOM+|EPA/P|CC%|Y/RR|Drop Rate|Breakout Age|aDOT,SpeedxBMI,11.538037499999987
TE,456,20,16,RF,0.5772902094006204,0.5960272778518332,1.5172869230650914,1.9234187233920765,9,DOM+|EPA/P|YAC/R|CC%|Drop Rate|aYPTPA|Y/RR|aDOT,SpeedxBMI,11.19750041666667
TE,456,20,2,RF,0.6088649280558507,0.5934072474371093,1.5722304945230912,1.9296459643464445,9,DOM+|Y/RR|aDOT|Drop Rate|YAC/R|Breakout Age|CC%|aYPTPA,SpeedxBMI,11.115970694444451
TE,456,20,12,RF,0.5794826014204351,0.5898263652701281,1.5343075226168112,1.938124580349587,8,DOM+|CC%|aYPTPA|aDOT|YAC/R|Drop Rate|Y/RR,SpeedxBMI,11.394229583333367
TE,456,20,4,RF,0.5340505607673276,0.5343341580822509,1.6223014091253551,2.0650711053229664,6,DOM+|Drop Rate|aYPTPA|aDOT|YAC/R,SpeedxBMI,11.097080249146247
TE,456,20,1,RF,0.5341672606561307,0.524764053258375,1.6019762886228768,2.086183280713978,5,DOM+|aDOT|CC%|YAC/R,SpeedxBMI,11.163113704573224
TE,456,20,19,RF,0.48335874456758027,0.5092151455664516,1.7059384168302623,2.1200367774045477,7,DOM+|Drop Rate|EPA/P|aDOT|CC%|aYPTPA,SpeedxBMI,11.07209097222221
TE,456,20,10,RF,0.5101415583959361,0.4935737382474634,1.7129501591477385,2.153554804548658,5,DOM+|aYPTPA|EPA/P|aDOT,SpeedxBMI,11.050532670634919
