position,seed,n_subsets,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
WR,123,65,27,GB,0.8820470714900168,0.9187665676491885,0.4962614837323134,0.6077788774090087,15,aYPTPA|YAC/R|Y/RR|Conference Rank|Draft Capital|40 Time|Drop Rate|Height|EPA/P|Slot%|CC%|Breakout Age|Weight|Draft Age|aDOT,,12.228339993691545
WR,123,65,46,GB,0.9029670593004664,0.908340619578477,0.5079954659502866,0.6456046642880184,20,YAC/R|Y/RR|Height|EPA/P|40 Time|CTPRR|UCTPRR|Breakout Age|Slot%|Draft Age|Drop Rate|aDOT|DOM+|Draft Capital|Wide%|CC%|aYPTPA|Weight|Conference Rank,Wide%xSlot%,12.343879881443575
WR,123,65,49,GB,0.9038367981799365,0.9057771911676997,0.5140483409411961,0.654570191475949,19,YAC/R|Wide%|Breakout Age|DOM+|UCTPRR|Draft Age|Slot%|Height|EPA/P|CC%|aDOT|Weight|Draft Capital|Conference Rank|Drop Rate|40 Time|Y/RR|CTPRR,Wide%xSlot%,12.455076308114235
WR,123,65,31,GB,0.9003896252411121,0.9039159842273653,0.5266903631722818,0.6610035221900741,15,Height|40 Time|UCTPRR|YAC/R|EPA/P|Drop Rate|CTPRR|DOM+|Draft Age|Weight|Breakout Age|CC%|Y/RR|Draft Capital|aYPTPA,,12.54560509054092
WR,123,65,10,GB,0.8886379362021792,0.9027872479952023,0.5422945609962535,0.6648747187576747,19,Slot%|Wide%|Draft Age|Y/RR|EPA/P|YAC/R|aYPTPA|Draft Capital|40 Time|Height|Breakout Age|DOM+|UCTPRR|aDOT|CC%|CTPRR|Conference Rank|Drop Rate,Wide%xSlot%,12.33726104687741
WR,123,65,34,GB,0.8754787181139955,0.8969335602508085,0.5432121352383484,0.6845999103143947,15,EPA/P|Y/RR|40 Time|Drop Rate|Breakout Age|aDOT|CTPRR|Weight|CC%|Draft Age|Draft Capital|Wide%|aYPTPA|Conference Rank|Height,,12.279190309149532
WR,123,65,40,GB,0.8612714410378122,0.8892820902302555,0.5628120161541786,0.709556756510335,10,40 Time|Draft Capital|Weight|Slot%|aDOT|EPA/P|CTPRR|Breakout Age|Y/RR|UCTPRR,,12.05976021169486
WR,123,65,50,GB,0.8841715291966384,0.8887991015261105,0.5502364011005955,0.7111027347550476,17,40 Time|UCTPRR|Weight|DOM+|CTPRR|Wide%|Y/RR|EPA/P|Breakout Age|Conference Rank|CC%|Drop Rate|Slot%|Draft Age|aYPTPA|Height|Draft Capital,,12.446951547930073
WR,123,65,51,GB,0.8320592419981543,0.8823948001532396,0.5997540578391828,0.7312930783203498,13,aYPTPA|Breakout Age|Draft Capital|CC%|Draft Age|Drop Rate|Y/RR|EPA/P|Height|UCTPRR|Wide%|aDOT|Conference Rank,,12.531700974028276
WR,123,65,55,GB,0.8608056356006555,0.876224180790277,0.593992730435607,0.7502329000924927,11,Height|UCTPRR|Conference Rank|Draft Capital|DOM+|YAC/R|Breakout Age|aDOT|40 Time|CTPRR|CC%,,12.291051348175642
WR,123,65,47,GB,0.8402568162062474,0.8728753313587307,0.5819977712913865,0.7603142280589141,15,aDOT|Breakout Age|EPA/P|YAC/R|Drop Rate|CTPRR|Wide%|40 Time|DOM+|Y/RR|aYPTPA|Draft Capital|Slot%|CC%,Wide%xSlot%,11.956211837977499
WR,123,65,44,GB,0.8366603993713497,0.8694084700862253,0.6324754462340249,0.7706118900548323,8,Weight|Breakout Age|Y/RR|EPA/P|Wide%|Height|Draft Age|Draft Capital,,12.641834449759328
WR,123,65,12,GB,0.8529741106476292,0.8674283162648537,0.5997696633627873,0.776432287134711,17,CC%|Weight|EPA/P|DOM+|Wide%|aDOT|aYPTPA|Conference Rank|UCTPRR|Drop Rate|Breakout Age|YAC/R|Draft Capital|Y/RR|Height|CTPRR|Draft Age,,12.248603938154528
WR,123,65,30,GB,0.8213688788038009,0.867133851998964,0.5878805361732474,0.7772941029478889,16,aDOT|Draft Capital|Conference Rank|40 Time|CTPRR|Drop Rate|aYPTPA|Y/RR|Draft Age|CC%|DOM+|EPA/P|UCTPRR|Weight|Slot%|Height,,12.568254768987396
WR,123,65,17,GB,0.8151554718370049,0.8630319115258656,0.6050236572674595,0.7892014929116257,14,Y/RR|Weight|Slot%|Drop Rate|Wide%|Conference Rank|aDOT|Draft Age|aYPTPA|40 Time|DOM+|UCTPRR|CTPRR|Draft Capital,,12.35135988751911
