Player,Bias,DOM+,Draft Capital,YAC/R,ELU,Breakout Age,Y/RR,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Score_15,Model_Output_raw_WR,Train_Target_raw,Error_Target
Isaiah Coulter,-207.1243,15.2848,-55.2882,-1.6557,-1.5420,11.9155,19.0949,2.0399,-12.1907,2.0399,9.3142,-217.2751,-299.0000,81.7249
Keon Coleman,-207.1243,6.0307,139.7910,3.0990,-3.8184,8.1560,-63.6451,3.1830,89.6132,3.1830,12.2150,-114.3281,-102.0000,-12.3281
Dez Fitzpatrick,-207.1243,15.4063,-22.6106,1.2342,11.3694,12.4288,-12.7442,4.8500,5.0839,4.8500,9.8802,-197.1903,-220.0000,22.8097
Darius Slayton,-207.1243,9.6125,-36.7192,7.0450,-2.2702,8.1075,-34.9650,2.0291,-49.1894,2.0291,8.2714,-254.2846,-215.0000,-39.2846
JJ Arcega-Whiteside,-207.1243,13.4274,99.2607,4.2432,-1.1397,4.1796,5.0628,1.4995,125.0340,1.4995,13.1656,-80.5908,-208.0000,127.4092
Adonai Mitchell,-207.1243,3.2143,141.8191,-5.2688,-3.1877,-0.8636,-62.7619,-6.0356,72.9514,-6.0356,11.4858,-140.2085,-103.0000,-37.2085
Xavier Worthy,-207.1243,3.1557,129.9734,4.8222,-1.5508,16.4733,1.7108,3.7736,154.5846,3.7736,14.0623,-48.7660,-27.0000,-21.7660
Malcolm Mitchell,-207.1243,29.6939,-32.3655,-2.8939,-1.5529,-57.7647,22.0658,-13.3291,-42.8173,-13.3291,8.0182,-263.2706,-139.0000,-124.2706
K.J. Osborn,-207.1243,-32.1336,-54.9786,-11.1802,7.9588,-4.5413,-16.8831,-17.5255,-111.7580,-17.5255,5.9574,-336.4078,-317.0000,-19.4078
Jameson Williams,-207.1243,5.5288,140.0439,-0.1949,1.9701,5.6659,4.3253,4.8017,157.3391,4.8017,14.1689,-44.9835,-15.0000,-29.9835
James Proche,-207.1243,12.8230,-146.5480,3.6980,0.2535,12.1161,19.6603,-41.9753,-97.9971,-41.9753,5.6562,-347.0966,-364.0000,16.9034
Marcell Ateman,-207.1243,-14.2957,-167.1603,-0.0937,0.4174,-76.8795,41.9511,-6.6761,-216.0607,-6.6761,3.3242,-429.8611,-453.0000,23.1389
Rome Odunze,-207.1243,7.7701,135.5095,3.5457,-0.3103,16.7809,15.5060,7.2626,178.8019,7.2626,14.8430,-21.0598,-18.0000,-3.0598
Tyreek Hill,-207.1243,-88.0105,-64.4531,15.5016,-1.8689,1.1664,-14.9322,-3.2016,-152.5967,-3.2016,5.2103,-362.9226,-168.0000,-194.9226
Isaiah Hodgins,-207.1243,16.4816,-101.7106,-3.2814,0.0520,10.0486,43.3586,29.7151,-35.0512,29.7151,9.4499,-212.4604,-279.0000,66.5396
J'Mon Moore,-207.1243,14.8330,-34.2069,-2.0115,-2.2032,13.5752,21.4237,-4.6311,11.4103,-4.6311,9.7913,-200.3450,-197.0000,-3.3450
Kenny Golladay,-207.1243,4.8786,39.6211,-10.0217,2.3901,-35.6962,17.6252,-8.1027,18.7971,-8.1027,9.9016,-196.4298,-136.0000,-60.4298
Isaac TeSlaa,-207.1243,-32.8574,61.4235,0.9893,-0.4042,10.3763,-42.3682,2.8008,-2.8407,2.8008,9.5991,-207.1642,-150.0000,-57.1642
Arian Smith,-207.1243,-36.9042,-34.8831,12.2264,1.6232,6.8228,-9.8493,-3.9671,-60.9642,-3.9671,7.7707,-272.0555,-322.0000,49.9445
Trevor Davis,-207.1243,-94.8470,-80.3165,-16.7476,-2.2357,4.0738,8.2148,8.5909,-181.8582,8.5909,4.7181,-380.3916,-383.0000,2.6084
Troy Franklin,-207.1243,14.0555,-37.2803,2.3533,-1.8215,16.0554,32.5451,-1.3912,25.9075,-1.3912,10.2911,-182.6080,-106.0000,-76.6080
Kaden Prather,-207.1243,-37.2814,-165.9993,-13.5583,-0.6118,4.2666,-116.3445,2.6892,-329.5287,2.6892,0.3909,-533.9638,-526.0000,-7.9638
Phillip Dorsett,-207.1243,4.8840,147.7888,5.1820,1.4604,6.3289,1.6546,9.2493,167.2987,9.2493,14.5749,-30.5764,-72.0000,41.4236
Jamari Thrash,-207.1243,10.7836,-45.2522,2.4204,0.7808,-10.0677,28.9958,4.7659,-12.3393,4.7659,9.3869,-214.6977,-281.0000,66.3023
DeVante Parker,-207.1243,5.0433,144.9710,5.4017,-0.4518,4.0028,24.9379,6.4228,183.9049,6.4228,14.9632,-16.7965,-36.0000,19.2035
Terry Godwin,-207.1243,8.4269,-135.5134,1.3387,0.2416,4.0078,27.1042,26.3488,-94.3942,26.3488,7.6829,-275.1697,-425.0000,149.8303
Konata Mumpfield,-207.1243,-9.6777,-187.9359,-4.6144,-10.5793,9.7198,-132.8893,-4.7345,-335.9768,-4.7345,0.0000,-547.8356,-401.0000,-146.8356
Riley Ridley,-207.1243,8.8679,-33.0938,-10.6178,-0.0806,-58.6808,-45.6618,-9.0813,-139.2669,-9.0813,5.4202,-355.4726,-461.0000,105.5274
Dezmon Patmon,-207.1243,-92.7277,-148.6560,-2.1684,-0.3039,-4.4592,-7.5411,-7.0605,-255.8563,-7.0605,2.1920,-470.0410,-392.0000,-78.0410
Devin Lucien,-207.1243,-4.8649,-173.0105,1.7548,0.1311,-61.1626,23.0292,-15.6721,-214.1229,-15.6721,3.1253,-436.9192,-385.0000,-51.9192
Tony Lippett,-207.1243,17.7850,-45.8191,1.8165,0.1733,-32.9392,35.4580,5.1251,-23.5255,5.1251,9.0818,-225.5246,-280.0000,54.4754
Calvin Austin III,-207.1243,16.1412,-25.4914,-0.0348,-3.2566,-4.5805,21.0749,-6.4107,3.8528,-6.4107,9.5282,-209.6822,-288.0000,78.3178
Amari Cooper,-207.1243,4.4689,140.5408,1.9348,1.2886,10.9121,17.4789,2.4029,176.6241,2.4029,14.6447,-28.0972,-5.0000,-23.0972
Kolby Listenbee,-207.1243,-90.2376,-126.3105,-8.6921,-2.0391,-2.2825,6.2751,30.8591,-223.2867,30.8591,4.1782,-399.5519,-481.0000,81.4481
Hakeem Butler,-207.1243,4.7726,-23.2774,-4.1480,3.1566,-2.0583,25.6477,-0.8042,4.0932,-0.8042,9.6929,-203.8353,-115.0000,-88.8353
