Player,Bias,DOM+,Draft Capital,ELU,Slot%,YAC/R,Y/REC,Drop%,Wide%,Breakout Age,REC%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Score_15,Model_Output_raw_WR,Train_Target_raw,Error_Target
Isaiah Coulter,-206.3506,21.4245,-39.0140,1.2471,0.1103,2.6999,0.6275,1.0270,0.7206,8.0623,-2.2815,16.1759,-5.3763,16.1759,8.7342,-195.5509,-299.0000,103.4491
Keon Coleman,-206.3506,20.7453,107.1198,1.0328,0.0240,3.3180,-10.5051,-8.5417,0.5248,6.8801,-14.9570,-1.8845,105.6410,-1.8845,11.5700,-102.5941,-102.0000,-0.5941
Dez Fitzpatrick,-206.3506,-6.3849,-1.3462,-2.5099,-0.2468,3.9733,8.4009,6.0400,0.3701,8.9486,-13.2282,-2.0786,4.0169,-2.0786,8.4639,-204.4123,-220.0000,15.5877
Darius Slayton,-206.3506,19.0110,-36.3950,1.4676,-0.6213,4.5308,7.0271,24.7821,0.5659,7.6497,-12.6372,16.8322,15.3807,16.8322,9.3875,-174.1378,-215.0000,40.8622
JJ Arcega-Whiteside,-206.3506,22.5543,102.9718,1.0938,0.0501,2.4471,0.6275,1.0276,0.5248,6.8479,-2.3843,-0.7491,135.7606,-0.7491,12.5234,-71.3391,-208.0000,136.6609
Adonai Mitchell,-206.3506,18.4528,98.1366,-22.0864,-0.4394,-17.5616,2.9554,-16.3454,0.6248,1.6552,-0.1076,6.9618,65.2844,6.9618,10.6087,-134.1045,-103.0000,-31.1045
Xavier Worthy,-206.3506,19.0736,116.1643,1.1157,0.4905,11.7382,-3.4045,1.9045,0.3714,52.1781,-15.4227,8.5890,184.2091,8.5890,14.2863,-13.5525,-27.0000,13.4475
Malcolm Mitchell,-206.3506,28.8313,-8.6941,1.2545,-5.4654,-7.1738,0.2085,-4.3472,-4.7425,-76.6320,-14.3585,-0.6366,-91.1192,-0.6366,5.6056,-298.1065,-139.0000,-159.1065
K.J. Osborn,-206.3506,-41.3201,-45.0564,-2.5974,0.5959,-7.1805,-11.7664,1.2367,0.8565,4.0116,-16.8074,-32.4039,-118.0275,-32.4039,3.8157,-356.7819,-317.0000,-39.7819
Jameson Williams,-206.3506,18.2041,123.7058,1.1329,0.2152,12.7239,4.1443,1.6435,0.5659,3.8939,8.9773,8.1602,175.2068,8.1602,13.9986,-22.9836,-15.0000,-7.9836
James Proche,-206.3506,28.4030,-118.6966,1.4657,0.7719,2.1797,0.6275,0.9874,0.5665,8.0118,-1.2958,-11.8158,-76.9789,-11.8158,5.6960,-295.1452,-364.0000,68.8548
Marcell Ateman,-206.3506,-35.5690,-174.8341,1.4821,14.7234,2.7755,11.2886,-1.7903,1.1580,-89.3754,6.9892,-12.3588,-263.1520,-12.3588,0.0000,-481.8614,-453.0000,-28.8614
Rome Odunze,-206.3506,19.5654,122.7942,1.1044,-0.9236,1.9655,6.0194,-9.7114,0.3701,7.0118,-2.6230,7.1614,145.5728,7.1614,13.0641,-53.6165,-18.0000,-35.6165
Tyreek Hill,-206.3506,-111.3309,-49.0321,1.0314,-0.1285,5.6124,3.4059,-11.2093,0.7877,5.4218,29.8704,-6.3339,-125.5712,-6.3339,4.3808,-338.2558,-168.0000,-170.2558
Isaiah Hodgins,-206.3506,26.5133,-105.5427,1.4730,-3.7394,-16.2115,-7.1063,-19.5215,-1.7908,9.2012,15.7506,19.8786,-100.9741,19.8786,5.9309,-287.4460,-279.0000,-8.4460
J'Mon Moore,-206.3506,19.2589,-3.9213,1.4261,20.5003,3.8057,9.6249,5.9621,0.9783,7.9316,-12.5215,-0.7174,53.0451,-0.7174,10.0011,-154.0229,-197.0000,42.9771
Kenny Golladay,-206.3506,19.7613,54.5971,1.1643,-0.5943,-5.9371,-4.2803,-8.7038,-1.0692,-14.8008,-12.3406,0.0860,27.7966,0.0860,9.2554,-178.4678,-136.0000,-42.4678
Isaac TeSlaa,-206.3506,-52.6755,50.1184,0.9241,-0.6237,2.1434,10.0241,12.1167,0.6329,3.6039,23.4339,7.2269,49.6982,7.2269,10.1413,-149.4256,-150.0000,0.5744
Arian Smith,-206.3506,-65.3181,-16.0081,1.3635,0.2767,15.7630,8.1878,24.7519,0.6329,5.4549,4.1646,8.6205,-20.7309,8.6205,8.0353,-218.4610,-322.0000,103.5390
Trevor Davis,-206.3506,-112.5922,-43.8260,1.0826,-0.0567,2.1107,-0.8615,0.8116,0.7877,6.7306,-3.3249,17.6666,-149.1381,17.6666,4.3941,-337.8221,-383.0000,45.1779
Troy Franklin,-206.3506,17.6572,-12.3864,1.3809,-0.1950,3.8278,4.4436,2.6122,0.3701,9.5584,11.3998,8.2478,38.6686,8.2478,9.8360,-159.4342,-106.0000,-53.4342
Kaden Prather,-206.3506,-57.6768,-151.9631,1.4862,-3.5135,-14.4923,-12.4829,-15.3524,-4.5628,2.6956,-2.0276,23.3389,-257.8896,23.3389,1.2495,-440.9011,-526.0000,85.0989
Phillip Dorsett,-206.3506,17.8993,126.7713,-20.8589,2.0280,11.4173,5.4306,-7.0885,0.3701,6.8676,-11.5231,7.3522,131.3137,7.3522,12.6349,-67.6847,-72.0000,4.3153
Jamari Thrash,-206.3506,23.2542,-34.8022,-21.7150,-3.0514,3.6110,6.4216,3.1084,-0.1267,-10.8466,-2.6617,15.6677,-36.8084,15.6677,7.7598,-227.4914,-281.0000,53.5086
DeVante Parker,-206.3506,13.9915,128.0898,1.2033,-0.5094,12.3716,7.7197,-4.7436,-1.0376,6.1339,-12.6696,7.7647,150.5496,7.7647,13.2343,-48.0362,-36.0000,-12.0362
Terry Godwin,-206.3506,16.3586,-144.1538,1.4657,0.2248,4.1399,0.2399,1.7158,0.7623,0.9747,-0.3233,22.8293,-118.5954,22.8293,5.4833,-302.1167,-425.0000,122.8833
Konata Mumpfield,-206.3506,16.7646,-147.6379,1.4657,0.3050,-12.5981,-9.5196,1.5599,0.6254,31.5183,-6.0701,-5.1074,-123.5868,-5.1074,4.4788,-335.0447,-401.0000,65.9553
Riley Ridley,-206.3506,-15.1150,-9.9395,1.3176,-4.4610,-17.6171,-8.1704,-4.7197,-3.0973,-73.5706,17.8173,-1.0507,-117.5557,-1.0507,4.7865,-324.9571,-461.0000,136.0429
Dezmon Patmon,-206.3506,-99.9936,-122.9820,1.4008,19.0337,-8.8943,-12.3965,0.8065,-1.1394,4.5193,33.3876,-9.3198,-186.2579,-9.3198,2.4384,-401.9283,-392.0000,-9.9283
Devin Lucien,-206.3506,9.7533,-169.1712,1.4902,12.2992,2.9156,8.3603,-2.7130,1.0200,-89.5730,11.5573,-5.3986,-214.0613,-5.3986,1.7099,-425.8105,-385.0000,-40.8105
Tony Lippett,-206.3506,25.6782,-44.8298,1.3347,-0.4308,2.1751,6.3692,-8.4598,0.5659,-73.8540,-12.0256,15.3876,-103.4769,15.3876,5.7175,-294.4397,-280.0000,-14.4397
Calvin Austin III,-206.3506,20.3288,-2.9305,1.3957,-0.7132,3.3691,6.3664,1.5436,0.5659,4.7527,-13.0524,-0.6450,21.6261,-0.6450,9.0448,-185.3695,-288.0000,102.6305
Amari Cooper,-206.3506,29.8349,121.4795,1.1482,0.1502,2.9965,-5.6731,3.0879,0.3714,49.6243,15.4874,-2.3133,218.5072,-2.3133,15.0000,9.8433,-5.0000,14.8433
Kolby Listenbee,-206.3506,-104.7188,-115.0044,-8.6301,-3.8211,-35.0703,10.2289,0.5120,-1.4392,5.6701,-19.4733,21.6396,-271.7462,21.6396,0.7750,-456.4571,-481.0000,24.5429
Hakeem Butler,-206.3506,25.1756,-0.0652,1.3711,0.0239,3.7056,6.4134,15.5589,0.5659,4.0130,-12.1490,-1.9508,44.6132,-1.9508,9.7062,-163.6882,-115.0000,-48.6882
Erik Ezukanma,-206.3506,17.0040,-3.8809,-2.4406,-0.6912,3.4892,6.5862,1.7121,0.5659,8.0739,-2.8019,-1.7214,27.6167,-1.7214,9.1947,-180.4553,-219.0000,38.5447
Johnny Wilson,-206.3506,-38.1724,-125.9564,1.6684,-0.8471,3.5991,9.9084,6.1764,0.7456,3.3499,-15.1242,-8.3947,-154.6523,-8.3947,3.4308,-369.3976,-176.0000,-193.3976
Derius Davis,-206.3506,-110.0459,-15.6878,1.1044,-3.5064,12.9658,-11.8829,0.7668,-1.9983,6.3705,-5.8784,10.1098,-127.7922,10.1098,4.8147,-324.0330,-329.0000,4.9670
Malachi Corley,-206.3506,-49.3292,57.5303,1.1076,-2.0431,11.4951,-7.8337,1.4522,0.7976,3.7778,14.1433,-9.9758,31.0979,-9.9758,9.0491,-185.2287,-147.0000,-38.2287
