Player,Bias,DOM+,Draft Capital,Breakout Age,YAC/R,Drop%,ELU,REC%,Y/REC,Wide%,Slot%,FUM,CC%,MTF,aDOT,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Score_15,Model_Output_raw_WR,Train_Target_raw,Error_Target
Isaiah Coulter,-206.2961,23.1938,-39.9278,7.1148,1.7152,1.3309,0.9264,-1.0378,0.3185,0.4680,0.5978,-0.0797,-0.9285,1.2051,-0.4901,14.1243,-5.5934,14.1243,8.7609,-197.7651,-299.0000,101.2349
Keon Coleman,-206.2961,21.6055,106.7389,7.0535,4.0240,-7.0935,0.9149,-14.7555,-10.0488,0.2022,0.4180,-0.0154,1.9255,1.6418,0.4362,-1.1480,113.0473,-1.1480,11.9253,-94.3967,-102.0000,7.6033
Dez Fitzpatrick,-206.2961,-6.4941,-1.4306,8.3444,4.5876,4.6520,-0.4174,-12.1951,9.9404,0.2637,0.0118,-0.2124,2.2285,0.3369,-0.7018,-0.7692,8.9139,-0.7692,8.7491,-198.1514,-220.0000,21.8486
Darius Slayton,-206.2961,18.1591,-37.6381,6.8394,4.8957,11.8514,0.9297,-11.1239,7.5734,0.4680,-0.2695,-0.7166,3.2483,0.0813,0.5435,14.9513,4.8417,14.9513,9.1057,-186.5031,-215.0000,28.4969
JJ Arcega-Whiteside,-206.2961,22.1193,102.8123,7.2648,1.6653,1.3309,0.9264,-1.3315,0.3185,0.2022,0.4107,-0.0797,-0.7483,1.4121,-0.4901,-1.3856,135.8129,-1.3856,12.6149,-71.8688,-208.0000,136.1312
Adonai Mitchell,-206.2961,19.3525,98.8969,1.7265,-12.9515,-12.5174,-18.7911,2.2312,6.3113,0.4065,0.9379,-0.0797,2.9453,-0.9550,-0.7194,7.0537,86.7940,7.0537,11.3727,-112.4485,-103.0000,-9.4485
Xavier Worthy,-206.2961,20.7107,120.0249,52.6342,8.8671,2.5809,0.9264,-17.2794,-4.6495,0.1085,0.3970,-0.0154,2.2501,0.9915,-2.5569,6.7491,184.9901,6.7491,14.3694,-14.5568,-27.0000,12.4432
Malcolm Mitchell,-206.2961,26.9900,-9.8399,-76.2397,-7.3635,-0.9151,0.9547,-14.7667,-0.4726,-0.8803,-7.8072,-0.0154,-1.0899,1.2436,-0.4900,0.0073,-90.6920,0.0073,5.7237,-296.9809,-139.0000,-157.9809
K.J. Osborn,-206.2961,-43.1203,-45.7828,3.5095,-6.5710,0.7493,-0.8495,-16.1626,-10.6956,0.4680,1.0383,-0.2124,1.3975,1.7354,-0.2866,-26.2205,-114.7828,-26.2205,4.1834,-347.2995,-317.0000,-30.2995
Jameson Williams,-206.2961,17.6313,125.7865,3.5917,8.1605,1.6835,0.8775,6.6872,4.9740,0.4065,0.0621,0.8875,2.2501,1.6816,-3.1416,6.5328,171.5384,6.5328,13.9510,-28.2249,-15.0000,-13.2249
