Player,Bias,DOM+,Draft Capital,CC%,Y/REC,Y/RR,YAC/R,Breakout Age,REC%,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Score_15,Model_Output_raw_WR,Train_Target_raw,Error_Target
Keith Mumphery,-209.7420,-105.4147,-71.1837,0.5539,-3.2750,0.0307,2.8359,4.3729,-4.5020,-3.9380,1.7274,-176.5820,-2.2106,4.0179,-388.5345,-433.0000,44.4655
N'Keal Harry,-209.7420,8.7961,137.3273,0.9471,-0.1049,5.8183,3.4200,20.4320,-3.7947,-7.8119,2.2752,172.8412,-5.5367,14.0340,-42.4376,-49.0000,6.5624
Calvin Ridley,-209.7420,12.4692,133.9397,-10.7977,-2.9095,4.2614,1.5953,0.5688,-1.2357,6.3083,2.3465,137.8915,8.6548,13.4333,-63.1956,-22.0000,-41.1956
Josh Malone,-209.7420,18.7062,-30.7614,0.5134,2.8066,1.1891,3.3380,3.5511,-2.0781,8.0348,-3.9046,-2.7351,4.1302,9.2326,-208.3470,-132.0000,-76.3470
Tylan Wallace,-209.7420,25.3228,-30.9428,1.2725,-3.2894,25.5433,-4.4279,3.8439,-6.4885,4.2326,0.2420,10.8339,4.4746,9.6352,-194.4336,-125.0000,-69.4336
Ladd McConkey,-209.7420,-3.4382,107.6877,1.7919,-4.2088,-9.5134,4.9592,2.3508,5.8716,5.6391,-1.2974,105.5008,4.3417,12.3711,-99.8993,-64.0000,-35.8993
Tahj Washington,-209.7420,1.0192,-140.3860,-12.3893,1.4438,16.2759,7.2802,13.2549,17.4970,13.2876,-7.2131,-96.0043,6.0745,6.5896,-299.6717,-327.0000,27.3283
Tee Higgins,-209.7420,13.5617,95.7431,2.0197,4.4593,21.4073,2.1462,5.6060,-1.2314,-2.0053,4.1298,143.7119,2.1245,13.4128,-63.9058,-39.0000,-24.9058
Jacob Cowing,-209.7420,26.6383,-35.5600,5.4507,-1.7300,1.3190,5.3454,22.4165,-3.3451,6.8211,2.2097,20.5348,9.0308,10.0478,-180.1764,-203.0000,22.8236
Quentin Johnston,-209.7420,13.0899,141.0358,3.2583,0.8520,12.2812,5.4594,8.5666,-1.0770,1.3605,2.8144,183.4662,4.1749,14.6226,-22.1010,-43.0000,20.8990
Carlos Henderson,-209.7420,5.8232,58.5903,1.6824,4.8309,25.2563,6.6184,-16.7130,-2.5176,0.5934,-3.0032,83.5709,-2.4098,11.5410,-128.5811,-184.0000,55.4189
Noah Brown,-209.7420,-13.3792,-165.4195,1.2662,2.4487,-74.4164,-34.6436,-1.3678,0.5392,-7.0446,3.8782,-284.9724,-3.1664,0.8534,-497.8806,-478.0000,-19.8806
Zay Flowers,-209.7420,14.9672,139.2730,0.7064,-2.4519,-6.1158,3.1250,4.1070,-3.6799,2.8255,3.9323,149.9310,6.7578,13.7268,-53.0532,-58.0000,4.9468
