Player,Bias,DOM+,Draft Capital,REC%,Y/REC,ELU,Drop%,Slot%,Y/RR,Breakout Age,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Score_15,Model_Output_raw_WR,Train_Target_raw,Error_Target
Keith Mumphery,-209.3602,-115.8048,-71.7964,-4.6735,-5.0448,0.8501,3.8540,-0.6369,-0.1550,5.9573,5.5934,4.9021,-187.4500,10.4955,5.1940,-386.3148,-433.0000,46.6852
N'Keal Harry,-209.3602,10.1316,140.9884,-2.9910,1.8703,1.3362,2.3169,0.4374,5.9026,22.8711,-1.0105,-5.1898,182.8635,-6.2003,14.1069,-32.6971,-49.0000,16.3029
Calvin Ridley,-209.3602,12.2883,136.1818,1.6954,-4.3556,-7.7572,3.0748,-0.2482,2.7178,1.8387,5.3169,1.7104,145.4358,7.0273,13.4970,-56.8972,-22.0000,-34.8972
Josh Malone,-209.3602,16.2685,-26.7876,-1.3137,8.2610,1.0396,3.0015,-1.3230,4.3615,4.2313,9.8855,-3.4201,7.7391,6.4654,10.0122,-195.1558,-132.0000,-63.1558
Tylan Wallace,-209.3602,25.0479,-27.0245,-7.7262,-5.1397,-3.6476,2.2538,2.1764,28.1092,3.9602,5.5602,-1.1981,18.0095,4.3621,10.2180,-186.9886,-125.0000,-61.9886
Ladd McConkey,-209.3602,-5.3543,109.3592,12.8567,-5.4083,2.6488,11.3682,-1.0326,-9.0162,2.1211,10.3075,0.4175,117.5426,10.7250,12.8871,-81.0927,-64.0000,-17.0927
Tahj Washington,-209.3602,-5.0791,-137.2198,18.9936,1.1763,-3.3933,-8.8211,-9.3610,19.6654,10.9224,19.3925,-6.0930,-113.1166,13.2995,7.1382,-309.1776,-327.0000,17.8224
Tee Higgins,-209.3602,13.8494,97.6316,-2.1770,6.7256,0.8797,5.6230,5.3069,23.6878,9.3370,-3.2868,4.5297,160.8640,1.2429,13.7400,-47.2533,-39.0000,-8.2533
Jacob Cowing,-209.3602,26.5441,-27.3388,-4.0519,-4.6098,-6.2280,-4.5726,4.4825,1.7088,25.1479,7.4829,2.9318,11.0822,10.4147,10.1960,-187.8634,-203.0000,15.1366
Quentin Johnston,-209.3602,43.2495,143.2342,5.1766,1.0874,-14.2906,4.3693,2.1363,14.9953,11.7194,-0.0497,0.4677,211.6774,0.4180,15.0000,2.7351,-43.0000,45.7351
Carlos Henderson,-209.3602,3.8208,58.5412,-6.8666,6.0784,2.7999,-7.3989,0.6475,28.6864,-16.3958,1.9026,-5.2660,69.9129,-3.3634,11.3315,-142.8108,-184.0000,41.1892
