Player,Bias,DOM+,Draft Capital,aDOT,YAC/R,REC%,Drop%,Breakout Age,MTF,Slot%,Y/RR,Y/REC,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Score_15,Model_Output_raw_WR,Train_Target_raw,Error_Target
Keith Mumphery,-208.9843,-105.2097,-69.9794,-3.7756,4.4598,-3.7522,-0.8233,3.4464,1.7376,-0.4587,0.4332,-2.1553,-7.0526,0.8361,-176.0772,-6.2165,3.7113,-391.2779,-433.0000,41.7221
N'Keal Harry,-208.9843,6.8734,136.1849,7.3499,3.3288,-2.2967,-0.9606,22.7445,-0.0091,0.3991,9.8021,-0.4366,-7.2945,-1.4789,182.9797,-8.7734,14.1333,-34.7778,-49.0000,14.2222
Calvin Ridley,-208.9843,13.0766,133.2366,6.6749,2.5802,1.6884,3.5672,-0.6960,-0.4475,1.0000,5.2914,-1.3953,5.3196,1.3585,164.5765,6.6781,14.0470,-37.7296,-22.0000,-15.7296
Josh Malone,-208.9843,20.0994,-28.0798,1.1869,4.2772,-1.7729,0.7232,2.1625,0.2255,3.2911,1.6720,3.3891,8.2343,-1.7002,7.1742,6.5341,9.4413,-195.2759,-132.0000,-63.2759
Tylan Wallace,-208.9843,24.3521,-26.5036,4.4327,-3.4993,-3.3849,3.3301,4.6037,1.2065,4.1653,27.2302,-0.6500,2.7697,1.0972,35.2828,3.8669,10.1850,-169.8346,-125.0000,-44.8346
Ladd McConkey,-208.9843,-7.4941,109.9364,-3.0286,5.1278,5.9371,5.6907,2.9938,1.5204,-0.1188,-10.5728,-2.8493,7.3514,-1.8327,107.1426,5.5187,12.3341,-96.3229,-64.0000,-32.3229
Tahj Washington,-208.9843,-2.4613,-144.7815,4.6240,6.5855,12.3664,-3.9725,9.7386,1.6865,-12.9401,17.4735,-0.1661,13.9288,-6.9437,-111.8470,6.9851,5.9749,-313.8463,-327.0000,13.1537
Tee Higgins,-208.9843,15.2691,98.0430,-1.7503,2.6551,-1.9381,3.8778,4.6334,2.2196,5.5577,21.9235,3.4075,0.1327,1.3603,153.8983,1.4930,13.5833,-53.5931,-39.0000,-14.5931
Jacob Cowing,-208.9843,24.3329,-32.4286,-4.1841,4.6996,-3.3203,1.5649,21.5329,0.5416,0.9292,1.5513,-1.7414,7.1977,3.1173,13.4780,10.3150,9.7361,-185.1913,-203.0000,17.8087
Quentin Johnston,-208.9843,13.7636,139.4541,4.5525,8.0987,-3.5733,3.5969,12.8010,2.9833,4.7100,14.5945,0.6065,1.0404,1.2235,201.5878,2.2639,15.0000,-5.1327,-43.0000,37.8673
