position,seed,n_subsets,max_base_feats,n_iter_per_model,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
WR,21,40,15,100,7,GB,0.7341783902569518,0.7045195080093355,61.17834987581852,77.78278174259594,7,DOM+|Draft Capital|YAC/R|ELU|Breakout Age|Y/RR,SpeedxBMI,-15.488768421908333
WR,21,40,15,100,23,GB,0.7252519331333367,0.7039224359007319,62.743238135054895,77.86132921585984,14,DOM+|Draft Capital|Slot%|FUM|Y/RR|Y/REC|REC%|YAC/R|aDOT|ELU|Wide%|Breakout Age|CC%,SpeedxBMI,-9.413332312670954
WR,21,40,15,100,32,GB,0.7075219596632609,0.7037514443886711,61.25604440955109,77.88380931288899,15,DOM+|Draft Capital|Breakout Age|YAC/R|Drop%|ELU|REC%|Y/REC|Wide%|Slot%|FUM|CC%|MTF|aDOT,SpeedxBMI,-14.424875880322942
WR,21,40,15,100,27,GB,0.7244552755796078,0.7035969623607503,60.80124018505556,77.90411334556242,15,DOM+|Draft Capital|Wide%|REC%|Y/REC|Drop%|CC%|ELU|YAC/R|Breakout Age|Slot%|FUM|aDOT|Y/RR,SpeedxBMI,15.452536898043084
WR,21,40,15,100,15,GB,0.7067298425286804,0.7033080454176435,60.90139046200886,77.94207236294706,11,DOM+|Draft Capital|ELU|Slot%|YAC/R|Y/REC|Drop%|Wide%|Breakout Age|REC%,SpeedxBMI,-3.933109866917746
WR,21,40,15,100,20,GB,0.674099199665145,0.7024734169008873,63.5076840489955,78.05162536787614,13,DOM+|Draft Capital|Wide%|Slot%|aDOT|Drop%|CC%|MTF|Y/REC|Y/RR|FUM,SpeedxBMI|Wide%xSlot%,-35.387984475609315
WR,21,40,15,100,2,GB,0.711256711126653,0.7023746146093954,60.848305165781234,78.06458393992291,12,DOM+|Draft Capital|REC%|CC%|Breakout Age|Slot%|YAC/R|FUM|MTF|Y/REC,SpeedxBMI|Wide%xSlot%,9.259255152678852
WR,21,40,15,100,9,GB,0.7041405685819898,0.7018494217689992,61.26143721576606,78.13343036856804,10,DOM+|Draft Capital|Drop%|Wide%|REC%|ELU|YAC/R|Breakout Age,SpeedxBMI|Wide%xSlot%,5.69948047724212
WR,21,40,15,100,18,GB,0.7218621197917036,0.700958938340228,62.933950522318405,78.25002355437104,14,DOM+|Draft Capital|Slot%|FUM|CC%|Breakout Age|REC%|Wide%|ELU|YAC/R|Y/RR|Y/REC,SpeedxBMI|Wide%xSlot%,-3.9447317619232667
WR,21,40,15,100,19,GB,0.6833614680214555,0.7008671038867551,64.48689963141666,78.26203778494137,14,DOM+|Draft Capital|ELU|MTF|FUM|Drop%|Wide%|Y/RR|aDOT|YAC/R|Y/REC|REC%|Slot%,SpeedxBMI,-30.702301042531634
WR,21,40,15,100,8,GB,0.7251443068695983,0.699074839471266,62.28379911231104,78.49614241173175,13,DOM+|Draft Capital|Y/REC|REC%|Breakout Age|CC%|Wide%|MTF|Y/RR|YAC/R|Slot%,SpeedxBMI|Wide%xSlot%,0.7376866500305002
WR,21,40,15,100,25,GB,0.7236646821257797,0.6954059132646382,63.60013083085463,78.97321126118564,14,DOM+|Draft Capital|MTF|CC%|FUM|Y/RR|Slot%|YAC/R|aDOT|ELU|Breakout Age|Y/REC|Drop%,SpeedxBMI,-7.13440022725467
WR,21,40,15,100,39,GB,0.7274702108174024,0.694865625341875,61.536189605340965,79.04322143157016,16,DOM+|Draft Capital|ELU|Breakout Age|CC%|REC%|aDOT|Wide%|Slot%|FUM|YAC/R|Drop%|Y/RR|Y/REC|MTF,SpeedxBMI,1.5009417734572934
WR,21,40,15,100,36,GB,0.7218533199070121,0.6936916976641847,61.62057322249282,79.19512491543122,13,DOM+|Draft Capital|REC%|MTF|Wide%|FUM|ELU|Breakout Age|aDOT|Y/RR|YAC/R|Drop%,SpeedxBMI,13.13964932028476
WR,21,40,15,100,30,GB,0.7258921300693146,0.6927789446302351,61.8171275607353,79.31303197182649,12,DOM+|Draft Capital|REC%|Breakout Age|Drop%|YAC/R|Wide%|CC%|ELU|Y/RR|FUM,SpeedxBMI,23.636452462039106
