Player,Bias,DOM+,YAC/R,Breakout Age,Y/RR,Draft Capital,CTPRR,CC%,UCTPRR,EPA/P,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Grade,Actual_WR_Grade,Error
Kyle Philips,8.1987,0.1907,0.0386,0.4562,-0.2983,-0.7478,0.0102,0.0112,-0.0243,0.0528,0.0494,0.0399,-0.3107,0.0893,7.9772,7.1700,0.8072
Andrei Iosivas,8.1987,-0.2777,0.0556,-0.2934,-0.0714,-1.8821,0.0353,0.0134,-0.0503,-0.2811,0.1935,0.0029,-2.7517,0.1964,5.6433,7.0500,-1.4067
Velus Jones Jr.,8.1987,-0.0144,0.0296,-1.3427,-0.0794,0.6997,-0.0775,0.0109,-0.0807,0.2783,0.2047,0.1289,-0.5762,0.3336,7.9562,6.7300,1.2262
Jordyn Tyson,8.1987,0.5368,-0.0118,1.2983,0.2322,2.2552,-0.0183,0.0232,-0.1133,-0.2023,0.1997,0.0028,4.0000,0.2025,12.4013,12.0200,0.3813
Chris Olave,8.1987,0.5343,-0.5859,0.2309,0.2089,2.2653,0.0120,0.0219,-0.0160,0.0932,0.2342,0.0302,2.7646,0.2644,11.2279,11.5000,-0.2721
Dylan Cantrell,8.1987,-0.6426,-0.5425,-0.2864,-0.5062,-1.8381,0.0242,0.0115,0.1629,-0.1377,0.1748,-0.0125,-3.7549,0.1623,4.6060,4.4600,0.1460
Tony Lippett,8.1987,0.5083,0.0109,-0.3177,0.3076,-0.8823,0.0019,0.0206,-0.0437,-0.1872,0.2001,0.0559,-0.5816,0.2560,7.8732,6.9700,0.9032
Chris Conley,8.1987,0.0240,-0.4787,-0.1052,-0.0306,0.6773,-0.0016,0.0133,-0.0513,-0.1670,0.2477,0.0842,-0.1198,0.3319,8.4108,7.7400,0.6708
Zachariah Branch,8.1987,0.0377,0.2891,-0.3426,-0.0806,0.7139,0.0020,0.0131,-0.0500,-0.1899,0.2230,-0.0184,0.3927,0.2046,8.7959,8.9900,-0.1941
Johnny Wilson,8.1987,0.1613,0.0641,-0.5257,0.2163,-1.7136,-0.0058,0.0116,-0.0398,0.1542,0.1014,0.0534,-1.6774,0.1548,6.6761,8.3600,-1.6839
Mike Williams,8.1987,0.0994,0.0135,0.1198,0.2182,2.2522,-0.0021,0.0121,-0.0561,-0.2845,-0.1006,-0.1312,2.3725,-0.2318,10.3394,11.2000,-0.8606
Malachi Corley,8.1987,0.0263,0.1495,-0.0639,-0.0489,0.8582,0.0435,0.0117,-0.0916,0.1901,-0.0121,0.0004,1.0749,-0.0117,9.2621,8.7900,0.4721
Corey Coleman,8.1987,0.2390,0.0935,0.4230,0.4704,2.2903,-0.0103,0.0183,-0.0475,-0.2578,0.1200,-0.0461,3.2189,0.0739,11.4916,10.8800,0.6116
Germie Bernard,8.1987,0.1384,0.0964,-0.0634,-0.0920,2.3068,0.0023,0.0119,-0.0591,-0.3030,0.1750,-0.0048,2.0383,0.1702,10.4073,10.4500,-0.0427
Pharoh Cooper,8.1987,0.5988,0.0402,0.4544,-0.0564,-0.4357,-0.0010,0.0187,-0.0398,-0.1814,-0.3180,-0.0647,0.3978,-0.3827,8.2140,7.5800,0.6340
James Proche,8.1987,0.2275,-0.0016,0.6119,0.0791,-1.4459,-0.0456,0.0138,-0.0518,0.0648,-0.3666,0.2154,-0.5478,-0.1512,7.4998,5.8900,1.6098
Tyquan Thornton,8.1987,0.4249,-0.4519,0.3255,-0.0454,1.0821,0.0313,0.0213,-0.0613,0.1648,-0.5894,-0.1413,1.4913,-0.7307,8.9596,9.5500,-0.5904
Devontez Walker,8.1987,0.3148,-0.5467,-0.2927,0.1585,-0.3725,-0.0104,0.0155,0.1788,-0.1212,0.2441,0.0435,-0.6759,0.2876,7.8106,7.7500,0.0606
Jalen Brooks,8.1987,-1.0343,0.0574,-0.3039,-0.4410,-2.1772,-0.0675,0.0097,0.1634,-0.1345,0.0254,0.0118,-3.9279,0.0372,4.3080,3.8800,0.4280
N'Keal Harry,8.1987,0.3243,0.0457,0.4705,-0.0572,2.1648,-0.0402,0.0190,-0.0726,0.0091,-0.2138,-0.0041,2.8634,-0.2179,10.8442,10.7100,0.1342
Scott Miller,8.1987,0.2702,-0.0033,0.5556,0.1893,-1.5541,0.0023,0.0167,-0.0475,-0.1155,0.2435,-0.0431,-0.6863,0.2004,7.7129,6.5800,1.1329
Tetairoa McMillan,8.1987,0.5804,0.0282,0.3494,-0.0810,2.3955,0.0937,0.0197,-0.0153,-0.0714,-0.1477,-0.1439,3.2992,-0.2916,11.2062,11.5700,-0.3638
Malachi Dupre,8.1987,0.3138,-0.4378,0.3222,0.1329,-1.7328,-0.0027,0.0161,-0.0441,0.1900,0.2164,-0.0663,-1.2424,0.1501,7.1065,7.2500,-0.1435
Marcus Rosemy-Jacksaint,8.1987,-1.3158,-0.5432,-0.3012,0.0137,-2.1103,0.0373,0.0110,0.1425,-0.1177,-0.0761,0.0453,-4.1837,-0.0308,3.9844,3.9100,0.0744
Van Jefferson,8.1987,-0.0419,-0.5780,-0.4035,-0.4651,1.4290,0.0091,0.0100,0.1428,0.1985,0.1987,0.0252,0.3009,0.2239,8.7236,7.3900,1.3336
Diontae Johnson,8.1987,-0.0366,0.1477,-0.2459,0.3781,0.8728,-0.0756,0.0120,-0.0520,0.1250,0.0953,0.0327,1.1255,0.1280,9.4520,8.5500,0.9020
Josh Doctson,8.1987,0.5922,0.0018,-0.1784,0.2681,2.3496,0.0024,0.0182,-0.0513,-0.2598,0.2399,-0.1258,2.7428,0.1141,11.0556,9.3700,1.6856
Marquise Brown,8.1987,0.1221,0.4604,0.3774,0.3350,2.3364,0.0032,0.0133,-0.1102,0.1497,0.0134,-0.1344,3.6873,-0.1210,11.7650,11.7900,-0.0250
Konata Mumpfield,8.1987,0.1979,-0.3223,0.8154,-0.2821,-1.6747,0.0067,0.0112,0.1349,0.1323,0.0960,0.0673,-0.9807,0.1633,7.3814,5.4000,1.9814
Simi Fehoko,8.1987,0.5170,0.0687,-0.9050,-0.0856,-0.9270,0.0212,0.0186,-0.0333,0.2101,0.2286,0.2560,-1.1153,0.4846,7.5679,8.3100,-0.7421
A.J. Brown,8.1987,0.1130,0.1002,0.3562,0.3158,1.1658,-0.0121,0.0191,-0.0242,0.0994,-0.2780,-0.0247,2.1332,-0.3027,10.0291,12.1800,-2.1509
Cedric Tillman,8.1987,0.2214,-0.3684,-0.3963,-0.0785,0.6533,0.0200,0.0125,-0.0534,0.1107,-0.0197,0.0071,0.1213,-0.0126,8.3074,8.7000,-0.3926
Tory Horton,8.1987,0.2776,0.0024,-0.0485,0.1888,-0.8914,0.0049,-0.3403,-0.1537,0.0974,0.1190,-0.0678,-0.8628,0.0512,7.3871,8.0900,-0.7029
Stacy Coley,8.1987,-0.2532,-0.0598,-0.7921,0.0310,-2.2883,-0.0131,0.0105,-0.0497,-0.2495,0.1009,0.0211,-3.6642,0.1220,4.6566,5.8200,-1.1634
