Player,Bias,DOM+,EPA/P,Draft Capital,CTPRR,aYPTPA,Breakout Age,YAC/R,UCTPRR,Drop Rate,CC%,aDOT,Y/RR,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Grade,Actual_WR_Grade,Error
Kyle Philips,8.1975,0.1945,0.1024,-0.7859,0.0103,0.1144,0.4084,0.0436,-0.0023,0.0158,0.0039,-0.0618,-0.2846,0.0389,0.0122,-0.2413,0.0511,8.0073,7.1700,0.8373
Andrei Iosivas,8.1975,-0.3705,-0.2920,-1.9261,0.0133,0.0364,-0.3698,0.0408,-0.0330,0.0101,0.0026,-0.1025,-0.0407,0.1373,0.0503,-3.0314,0.1876,5.3535,7.0500,-1.6965
Velus Jones Jr.,8.1975,-0.0162,0.2817,0.6328,-0.0752,0.1517,-1.3315,0.0826,-0.0508,-0.4268,0.0040,-0.1870,-0.0228,0.1533,0.1459,-0.9575,0.2992,7.5392,6.7300,0.8092
Jordyn Tyson,8.1975,0.4786,-0.2503,2.2862,-0.0081,0.0167,1.1554,-0.0247,-0.0444,0.0099,0.0063,-0.0117,0.2049,0.1607,0.0138,3.8188,0.1745,12.1908,12.0200,0.1708
Chris Olave,8.1975,0.4451,0.1666,2.3264,0.0040,-0.2684,0.2927,-0.6301,0.0032,0.0142,0.0059,0.0103,0.2865,0.1589,-0.0133,2.6564,0.1456,10.9995,11.5000,-0.5005
Dylan Cantrell,8.1975,-0.6819,-0.1502,-1.9065,0.0253,-0.0596,-0.2658,-0.5699,0.1046,0.0109,0.0022,-0.1030,-0.1888,0.1136,-0.0028,-3.7827,0.1108,4.5253,4.4600,0.0653
Tony Lippett,8.1975,0.5129,-0.2274,-0.9098,0.0057,0.0477,-0.3199,0.0237,-0.0293,0.0109,0.0042,0.0821,0.2871,0.1419,0.0016,-0.5121,0.1435,7.8288,6.9700,0.8588
Chris Conley,8.1975,0.0740,-0.2410,0.6677,0.0053,0.1259,-0.1499,-0.4520,-0.0332,0.0097,0.0026,-0.0897,-0.1238,0.1976,0.0067,-0.2044,0.2043,8.1975,7.7400,0.4575
Zachariah Branch,8.1975,-0.0010,-0.2110,0.7048,0.0030,0.0743,-0.2553,0.5519,-0.0287,0.0098,0.0026,-0.0256,-0.0362,0.1573,-0.0337,0.7886,0.1236,9.1098,8.9900,0.1198
Johnny Wilson,8.1975,0.1449,0.1800,-1.7274,-0.0160,0.1342,-0.4251,0.0667,-0.0437,0.0157,0.0040,0.0618,0.2654,0.1039,0.0015,-1.3395,0.1054,6.9634,8.3600,-1.3966
