Player,Bias,DOM+,Breakout Age,EPA/P,aYPTPA,CC%,YAC/R,aDOT,Y/RR,Draft Capital,Drop Rate,UCTPRR,CTPRR,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Grade,Actual_WR_Grade,Error
Chris Moore,8.2381,-0.9590,-0.1711,-0.1521,0.0070,0.0032,0.1551,0.1409,-0.1818,-0.4697,0.0041,-0.0292,-0.0266,-0.0798,-0.0267,-1.6792,-0.1065,6.4523,5.9000,0.5523
Cody Core,8.2381,-1.0871,-0.2839,-0.1887,0.0025,0.0035,0.1192,-0.0203,-0.1846,-1.6515,0.0036,-0.0281,-0.0504,0.0653,0.0465,-3.3658,0.1118,4.9840,5.1000,-0.1160
Curtis Samuel,8.2381,0.0547,0.2903,-0.0470,0.0284,0.0035,0.3747,-0.0740,-0.0827,1.2102,0.0040,-0.0227,-0.0450,0.0754,-0.0361,1.6944,0.0393,9.9719,10.6200,-0.6481
Jayden Reed,8.2381,0.0832,1.0868,0.0563,-0.0754,-0.0245,0.0699,-0.0237,-0.1189,1.1704,-0.0911,-0.0044,0.0555,0.0497,-0.0076,2.1841,0.0421,10.4645,10.1900,0.2745
Josh Malone,8.2381,0.3164,-0.0922,0.1041,-0.0447,0.0047,0.0453,0.0232,-0.1849,-0.3337,0.0050,-0.0175,-0.0362,0.0714,-0.0334,-0.2105,0.0380,8.0655,8.9800,-0.9145
Jimmy Horn Jr.,8.2381,-0.5042,0.6213,0.1079,0.0047,0.0042,0.1091,-0.0711,-0.4859,-1.4585,0.0047,0.0272,-0.0426,0.0603,-0.0577,-1.6832,0.0026,6.5576,6.1300,0.4276
Travis Fulgham,8.2381,-0.0202,-1.2204,0.1147,0.0284,0.0041,-0.3999,0.0777,-0.0931,-1.4024,0.0053,0.0198,0.0446,-0.1816,0.0209,-2.8414,-0.1607,5.2358,4.4700,0.7658
Darren Waller,8.2381,0.2009,-0.2430,-0.1400,0.0103,0.0032,-0.5081,0.1785,0.0094,-1.5169,0.0041,-0.0124,-0.0316,-0.0942,-0.0464,-2.0456,-0.1406,6.0519,7.3500,-1.2981
J'Mon Moore,8.2381,0.1734,-0.2081,0.1001,0.0304,0.0042,0.0896,-0.0040,0.0440,-0.3255,0.0057,-0.0101,0.0745,0.0770,-0.0536,-0.0258,0.0234,8.2358,8.0700,0.1658
Jalen Royals,8.2381,0.2897,-0.0932,-0.1573,0.0034,0.0046,0.0726,-0.0108,0.0871,-0.3895,0.0039,-0.0646,0.0717,-0.1176,-0.0162,-0.1824,-0.1338,7.9218,8.7200,-0.7982
Keith Mumphery,8.2381,-0.9818,-0.2383,-0.1629,0.0008,0.0034,0.0134,0.0256,-0.2104,-0.9725,0.0036,-0.0304,-0.0326,-0.1651,0.0121,-2.5821,-0.1530,5.5030,5.1400,0.3630
Devontez Walker,8.2381,0.2492,-0.2377,-0.0777,-0.0507,0.0039,-0.4174,0.1789,-0.0143,-0.3303,0.0051,0.0202,0.0342,0.1026,-0.0144,-0.6366,0.0882,7.6899,7.7500,-0.0601
D.J. Moore,8.2381,0.3918,1.0618,-0.0981,-0.0003,0.0037,0.1531,0.0040,-0.0305,2.0731,0.0055,-0.0845,0.0597,-0.1910,-0.0357,3.5393,-0.2267,11.5507,12.2200,-0.6693
Ben Skowronek,8.2381,-0.0102,0.5084,0.0165,0.0017,0.0040,0.0773,-0.0209,-0.4963,-1.8655,-0.0817,0.2215,-0.0117,-0.2329,-0.0109,-1.6569,-0.2438,6.3373,4.9800,1.3573
Romeo Doubs,8.2381,0.1306,0.2915,0.0960,-0.0407,0.0043,0.0816,0.0371,0.1347,-0.4847,0.0050,-0.0174,-0.0362,0.0536,-0.0216,0.2018,0.0320,8.4721,8.5900,-0.1179
Marquise Brown,8.2381,0.0514,0.3156,0.1325,-0.1560,0.0041,0.3251,0.0197,0.4368,2.2266,0.0061,-0.0510,-0.0381,0.0647,-0.0258,3.2728,0.0389,11.5498,11.7900,-0.2402
Samori Toure,8.2381,0.3245,-0.3091,0.0949,-0.0343,0.0044,0.0705,-0.0743,0.0052,-2.0300,0.0050,-0.0235,-0.0495,0.0728,-0.0764,-2.0162,-0.0036,6.2184,5.2400,0.9784
Puka Nacua,8.2381,0.1620,0.4767,0.1064,0.0254,0.0042,0.0884,-0.0213,0.3381,-0.8445,0.0067,-0.0469,0.0665,-0.0898,0.0056,0.3617,-0.0842,8.5155,9.1000,-0.5845
Noah Brown,8.2381,-1.0804,-0.3175,0.0909,0.0065,0.0039,-0.5774,-0.0291,-0.5591,-2.1418,0.0042,-0.0298,-0.0386,-0.2065,-0.0459,-4.6682,-0.2524,3.3173,4.6500,-1.3327
Auden Tate,8.2381,-0.0513,-0.2674,0.1056,0.0075,0.0042,-0.4162,0.0280,-0.5377,-2.0243,0.0057,0.0129,0.0494,-0.1993,-0.0019,-3.0836,-0.2012,4.9533,4.8300,0.1233
Andy Isabella,8.2381,0.0405,0.3228,-0.0877,-0.1360,0.0037,0.1004,-0.0170,0.4296,1.2997,0.0057,-0.0500,0.0762,0.0590,0.0705,1.9879,0.1295,10.3552,9.5200,0.8352
CeeDee Lamb,8.2381,0.1256,0.3402,0.1392,-0.1560,0.0041,0.3324,-0.0075,0.4249,2.2339,0.0061,-0.0285,-0.0381,0.0548,-0.0001,3.3763,0.0547,11.6690,12.5100,-0.8410
Equanimeous St. Brown,8.2381,0.1623,0.4798,0.1112,0.0295,0.0043,0.0671,0.0052,-0.0305,-1.2850,0.0061,0.0016,0.0791,0.0624,-0.0014,-0.3693,0.0610,7.9298,8.6300,-0.7002
Jalen Camp,8.2381,-0.0747,-0.6925,0.0194,-0.0508,0.0041,-0.4488,0.0608,-0.5528,-1.5273,0.0034,0.0999,0.0222,-0.1880,-0.0194,-3.1371,-0.2074,4.8937,5.1600,-0.2663
James Proche,8.2381,0.1847,0.5020,0.1179,-0.0611,0.0042,0.0693,-0.0291,-0.0315,-1.2656,0.0057,-0.0418,0.1010,-0.2441,0.1125,-0.4443,-0.1316,7.6621,5.8900,1.7721
Nyck Harbor,8.2381,0.0450,0.2509,-0.1392,0.0075,0.0034,-0.4163,0.1098,-0.2172,0.3918,0.0037,0.1959,-0.0059,-0.1767,0.0061,0.2294,-0.1706,8.2970,8.9400,-0.6430
Laviska Shenault Jr.,8.2381,0.0901,0.3813,0.1004,-0.0049,0.0042,0.1004,-0.0255,0.3689,1.2826,0.0063,-0.0600,0.0622,0.0880,0.0193,2.3060,0.1073,10.6516,9.4200,1.2316
Jalen Nailor,8.2381,0.1775,-0.3270,0.1030,-0.0502,0.0040,0.2777,0.0334,0.0270,-1.5383,0.0046,-0.0662,-0.0440,0.0734,-0.0583,-1.3985,0.0151,6.8547,7.3600,-0.5053
Justin Jefferson,8.2381,0.1370,0.3191,0.1381,-0.0348,0.0044,0.1010,0.0091,0.2707,2.2475,0.0061,-0.0479,-0.0496,0.0608,0.0845,3.1007,0.1453,11.4840,12.6100,-1.1260
Jayden Higgins,8.2381,0.2324,-0.0927,-0.0229,0.0034,0.0047,0.0841,-0.0093,0.1599,1.3915,0.0058,-0.0606,0.0763,0.0812,0.0113,1.7726,0.0925,10.1032,10.4800,-0.3768
