Player,Bias,DOM+,Breakout Age,aDOT,Draft Capital,Drop Rate,YAC/R,Y/RR,EPA/P,aYPTPA,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Grade,Actual_WR_Grade,Error
Chris Moore,8.2353,-0.9816,-0.1662,0.1915,-0.4762,0.0065,0.1884,-0.1708,-0.1782,0.0151,-0.0622,-0.0280,-1.5715,-0.0902,6.5735,5.9000,0.6735
Cody Core,8.2353,-1.0889,-0.2890,-0.0317,-1.6336,0.0053,0.1142,-0.1884,-0.2117,-0.0078,0.0605,0.0325,-3.3316,0.0930,4.9968,5.1000,-0.1032
Curtis Samuel,8.2353,0.0427,0.2978,-0.1132,1.1865,0.0071,0.3420,-0.0893,-0.0516,0.0443,0.0750,-0.0456,1.6663,0.0294,9.9310,10.6200,-0.6890
Jayden Reed,8.2353,0.0696,1.0515,-0.0312,1.1775,-0.1103,0.0707,-0.1448,0.0661,-0.0516,0.0399,-0.0126,2.0975,0.0273,10.3600,10.1900,0.1700
Josh Malone,8.2353,0.3112,-0.0898,0.0466,-0.3435,0.0096,0.0492,-0.1740,0.1146,-0.0285,0.0664,-0.0474,-0.1046,0.0190,8.1497,8.9800,-0.8303
Jimmy Horn Jr.,8.2353,-0.5039,0.6667,-0.1008,-1.4369,0.0069,0.1008,-0.4436,0.1130,-0.0015,0.0602,-0.0734,-1.5993,-0.0132,6.6229,6.1300,0.4929
Travis Fulgham,8.2353,-0.0218,-1.2820,0.1117,-1.4002,0.0067,-0.3909,-0.0962,0.1247,0.0403,-0.1847,0.0274,-2.9077,-0.1573,5.1703,4.4700,0.7003
Darren Waller,8.2353,0.2027,-0.2288,0.2083,-1.4931,0.0064,-0.5138,0.0028,-0.1776,0.0182,-0.0720,-0.0427,-1.9749,-0.1147,6.1458,7.3500,-1.2042
J'Mon Moore,8.2353,0.1781,-0.1979,-0.0146,-0.3312,0.0072,0.0785,0.0437,0.1060,0.0347,0.0786,-0.0653,-0.0955,0.0133,8.1532,8.0700,0.0832
Jalen Royals,8.2353,0.3067,-0.0920,-0.0163,-0.3869,0.0069,0.0814,0.0761,-0.1358,-0.0118,-0.0922,-0.0243,-0.1717,-0.1165,7.9473,8.7200,-0.7727
Keith Mumphery,8.2353,-1.0052,-0.2434,0.0491,-0.9751,0.0058,0.0121,-0.2087,-0.1834,-0.0083,-0.1671,0.0161,-2.5571,-0.1510,5.5273,5.1400,0.3873
Devontez Walker,8.2353,0.2462,-0.2275,0.2168,-0.3354,0.0075,-0.4182,-0.0198,-0.0925,-0.0371,0.0912,-0.0122,-0.6600,0.0790,7.6544,7.7500,-0.0956
D.J. Moore,8.2353,0.3731,1.0569,-0.0128,2.0366,0.0070,0.1921,-0.0523,-0.1294,-0.0210,-0.1820,-0.0619,3.4502,-0.2439,11.4418,12.2200,-0.7782
Ben Skowronek,8.2353,-0.0043,0.4967,-0.0306,-1.9014,-0.1340,0.0679,-0.5166,0.0618,-0.0150,-0.2365,-0.0237,-1.9755,-0.2602,5.9995,4.9800,1.0195
Romeo Doubs,8.2353,0.1275,0.2992,0.0681,-0.4945,0.0086,0.0716,0.1310,0.0990,-0.0280,0.0552,-0.0268,0.2825,0.0284,8.5462,8.5900,-0.0438
Marquise Brown,8.2353,0.0461,0.3067,0.0213,2.1874,0.0088,0.3245,0.4146,0.1470,-0.1572,0.0636,-0.0244,3.2992,0.0392,11.5738,11.7900,-0.2162
Samori Toure,8.2353,0.3212,-0.2973,-0.0811,-1.9959,0.0090,0.0750,-0.0008,0.1036,-0.0270,0.0641,-0.1256,-1.8933,-0.0615,6.2806,5.2400,1.0406
Puka Nacua,8.2353,0.1459,0.4616,-0.0294,-0.8416,0.0089,0.0805,0.3380,0.1156,0.0383,-0.0694,0.0078,0.3178,-0.0616,8.4916,9.1000,-0.6084
Noah Brown,8.2353,-1.0934,-0.3252,-0.0329,-2.1341,0.0060,-0.5654,-0.5864,0.1012,-0.0006,-0.2403,-0.0486,-4.6308,-0.2889,3.3159,4.6500,-1.3341
Auden Tate,8.2353,-0.0487,-0.2727,0.0463,-2.0361,0.0074,-0.4235,-0.5475,0.1093,-0.0150,-0.2282,-0.0022,-3.1805,-0.2304,4.8244,4.8300,-0.0056
Andy Isabella,8.2353,0.0278,0.3267,-0.0250,1.3007,0.0079,0.0948,0.4091,-0.1168,-0.1523,0.0600,0.0513,1.8729,0.1113,10.2195,9.5200,0.6995
CeeDee Lamb,8.2353,0.1106,0.3398,-0.0178,2.2061,0.0089,0.2960,0.4097,0.1558,-0.1572,0.0529,0.0102,3.3519,0.0631,11.6502,12.5100,-0.8598
Equanimeous St. Brown,8.2353,0.1619,0.4837,0.0175,-1.2794,0.0082,0.0637,-0.0368,0.1225,0.0409,0.0554,-0.0010,-0.4178,0.0544,7.8720,8.6300,-0.7580
Jalen Camp,8.2353,-0.0625,-0.6912,0.0744,-1.5075,0.0055,-0.4501,-0.5881,0.0973,-0.0286,-0.1649,-0.0211,-3.1508,-0.1860,4.8986,5.1600,-0.2614
James Proche,8.2353,0.1691,0.5014,-0.0374,-1.2535,0.0075,0.0716,-0.0322,0.1174,-0.0244,-0.2068,0.0589,-0.4805,-0.1479,7.6068,5.8900,1.7168
