Player,Bias,DOM+,CTPRR,Breakout Age,Y/RR,UCTPRR,CC%,Draft Capital,YAC/R,Drop Rate,aDOT,EPA/P,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Grade,Actual_WR_Grade,Error
Devin Duvernay,8.1889,0.3337,-0.0155,-0.6964,0.0516,-0.0257,0.0042,0.5066,0.0881,0.0036,0.0660,0.2058,-0.0096,0.2613,0.5220,0.2517,8.9625,9.2500,-0.2875
John Hightower,8.1889,-0.3183,0.0087,-1.6563,0.0736,-0.0444,0.0013,-0.9186,0.0978,-0.0045,0.1737,0.0447,0.0305,-0.0390,-2.5423,-0.0085,5.6381,6.8500,-1.2119
Tai Felton,8.1889,0.5174,-0.0168,-0.0765,-0.1930,-0.0527,0.0042,0.4711,0.1055,0.0032,0.0909,0.1794,0.0329,-0.0175,1.0327,0.0154,9.2368,8.7400,0.4968
Nelson Agholor,8.1889,0.4276,0.0114,0.3272,0.0575,-0.0196,0.0042,2.1638,-0.1560,0.0024,0.1133,-0.2528,0.0556,-0.0131,2.6790,0.0425,10.9103,11.3500,-0.4397
Parker Washington,8.1889,-0.0067,-0.0400,1.1147,-0.1706,-0.0265,0.0014,-1.4741,0.1165,0.0041,-0.1197,0.1782,-0.4291,-0.0637,-0.4227,-0.4928,7.2733,8.7500,-1.4767
KJ Hamler,8.1889,0.3857,-0.0259,0.2963,-0.0480,-0.0281,0.0040,1.1898,0.1439,0.0024,0.1030,-0.1126,0.1347,0.0164,1.9105,0.1511,10.2505,9.3000,0.9505
Michael Pittman Jr.,8.1889,0.1064,-0.0206,-0.0387,-0.0333,-0.0228,0.0014,1.3171,0.0606,0.0035,-0.1450,0.1083,-0.0205,0.0119,1.3369,-0.0086,9.5172,10.3100,-0.7928
Devin Smith,8.1889,0.0935,0.0096,-0.0955,0.1437,-0.0236,0.0013,1.3014,0.1144,0.0024,0.3400,-0.2461,0.1655,-0.0285,1.6411,0.1370,9.9670,9.8700,0.0970
Darren Waller,8.1889,0.2361,0.0182,-0.1951,0.1338,-0.0225,0.0012,-1.5841,-0.3282,0.0027,0.1849,-0.2176,-0.0206,-0.0022,-1.7706,-0.0228,6.3954,7.3500,-0.9546
Stacy Coley,8.1889,-0.2971,0.0237,-0.8064,0.0973,-0.0126,0.0013,-1.9965,0.0733,0.0018,-0.1022,-0.1185,0.1143,0.2294,-3.1359,0.3437,5.3966,5.8200,-0.4234
Freddie Swain,8.1889,-1.3463,-0.0183,-0.2277,0.0995,-0.0335,0.0013,-1.7980,0.1269,0.0032,-0.1205,0.2006,0.1640,-0.0472,-3.1128,0.1168,5.1931,5.2200,-0.0269
Riley Ridley,8.1889,-0.6391,-0.0082,-0.1387,-0.3778,0.0264,0.0014,-0.4185,-0.3628,0.0041,0.1270,0.1818,-0.0121,-0.0064,-1.6044,-0.0185,6.5660,4.8700,1.6960
Malik Washington,8.1889,0.5859,-0.0090,-0.1855,0.1823,-0.0507,0.0042,-1.7074,0.1189,0.0035,-0.1405,0.1111,-0.4157,-0.0393,-1.0872,-0.4550,6.6466,6.9000,-0.2534
Trevor Davis,8.1889,-1.0620,0.0110,-0.1813,-0.0421,-0.0286,0.0013,-0.9626,0.2157,0.0024,-0.0892,-0.2418,0.0429,-0.0559,-2.3772,-0.0130,5.7985,5.6600,0.1385
George Pickens,8.1889,0.0020,-0.0168,0.7289,-0.2258,0.1949,0.0013,1.1390,0.1185,0.0032,0.0953,0.1219,0.0589,-0.0391,2.1624,0.0198,10.3713,11.3500,-0.9787
Demarcus Robinson,8.1889,0.1975,0.0158,0.3071,-0.0430,-0.0207,0.0014,-0.3815,0.0050,0.0033,0.1158,-0.2272,-0.0431,-0.0316,-0.0265,-0.0747,8.0876,7.6900,0.3976
Sterling Shepard,8.1889,0.3575,0.0147,-0.1232,0.1355,-0.0237,0.0042,1.3477,0.1499,0.0033,0.0340,-0.2466,-0.1135,0.2820,1.6533,0.1685,10.0107,9.5100,0.5007
Ihmir Smith-Marsette,8.1889,0.0842,-0.0316,0.4162,-0.2291,-0.0258,0.0014,-0.6886,-0.2268,0.0024,0.1195,-0.0986,0.0410,-0.0376,-0.6768,0.0034,7.5156,6.6900,0.8256
Ricardo Louis,8.1889,0.5075,0.0119,-0.3132,0.1833,-0.0266,0.0042,-0.3299,0.1408,0.0027,0.1058,-0.2657,-0.0072,-0.0172,0.0208,-0.0244,8.1853,8.8300,-0.6447
Marquez Stevenson,8.1889,-0.4024,-0.0399,0.5507,0.0645,-0.0246,0.0014,-1.5867,0.4519,0.0031,-0.1255,0.1121,0.1060,-0.0453,-0.9954,0.0607,7.2542,7.1700,0.0842
Marquez Valdes-Scantling,8.1889,0.0483,0.0100,-1.2289,-0.0931,-0.0136,0.0013,-0.7690,0.0739,0.0018,0.2796,-0.1323,0.0326,0.0019,-1.8220,0.0345,6.4015,7.1100,-0.7085
Samori Toure,8.1889,0.5318,-0.0495,-0.2992,0.1073,-0.0241,0.0039,-1.9212,0.1092,0.0027,-0.0004,0.1904,0.0130,-0.0529,-1.3491,-0.0399,6.8000,5.2400,1.5600
Xavier Legette,8.1889,0.3242,0.0123,-0.8865,0.1900,-0.0038,-0.0670,2.4660,0.1237,-0.0780,0.1083,0.2435,-0.2924,0.0035,2.4327,-0.2889,10.3327,9.7000,0.6327
Ty Montgomery,8.1889,0.1245,-0.0025,-0.0762,-0.2631,-0.0259,0.0014,0.5398,0.1082,0.0033,-0.0128,-0.2902,-0.1915,-0.0177,0.1065,-0.2092,8.0863,8.1500,-0.0637
