Player,Bias,DOM+,Breakout Age,CC%,CTPRR,Y/RR,Drop Rate,Draft Capital,EPA/P,aYPTPA,aDOT,YAC/R,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Grade,Actual_WR_Grade,Error
Devin Duvernay,8.1908,0.4625,-0.6672,0.0038,0.0000,0.1002,0.0025,0.5733,0.1528,-0.0500,0.0533,0.1368,-0.0129,0.1640,0.7680,0.1511,9.1099,9.2500,-0.1401
John Hightower,8.1908,-0.2828,-1.6521,0.0011,0.0143,0.0922,0.0025,-0.9355,0.0212,0.0637,0.2364,0.1217,0.0408,-0.0219,-2.3173,0.0189,5.8922,6.8500,-0.9578
Tai Felton,8.1908,0.4203,-0.1057,0.0052,0.0000,-0.2087,0.0020,0.5286,0.1841,0.0265,0.0820,0.0951,0.0881,-0.0279,1.0294,0.0602,9.2804,8.7400,0.5404
Nelson Agholor,8.1908,0.4119,0.3597,0.0038,0.0094,0.0179,0.0014,2.1421,-0.2684,0.0243,0.0548,-0.1367,0.1341,-0.0213,2.6202,0.1128,10.9238,11.3500,-0.4262
Parker Washington,8.1908,0.1214,1.2156,0.0011,-0.0776,-0.2327,0.0020,-1.4633,0.1245,0.0578,-0.0565,0.1091,-0.2750,-0.0331,-0.1986,-0.3081,7.6840,8.7500,-1.0660
KJ Hamler,8.1908,0.3778,0.3141,0.0038,0.0015,-0.0874,0.0019,1.1463,-0.1331,0.0322,0.0801,0.1812,0.0917,-0.0232,1.9184,0.0685,10.1776,9.3000,0.8776
Michael Pittman Jr.,8.1908,0.1001,-0.0519,0.0014,0.0004,-0.0771,0.0020,1.2616,0.0952,0.2883,-0.1807,0.0370,-0.0376,-0.0362,1.4763,-0.0738,9.5933,10.3100,-0.7167
Devin Smith,8.1908,0.0754,-0.1266,0.0011,0.0090,0.1936,0.0019,1.3069,-0.2038,0.0564,0.2436,0.1022,0.1350,-0.0283,1.6597,0.1067,9.9571,9.8700,0.0871
Darren Waller,8.1908,0.2460,-0.1967,0.0011,0.0115,0.0840,0.0014,-1.6757,-0.2095,0.0564,0.2420,-0.3402,-0.0781,-0.0555,-1.7797,-0.1336,6.2774,7.3500,-1.0726
Stacy Coley,8.1908,-0.2919,-0.8441,0.0011,0.0115,0.0903,0.0019,-2.0043,-0.0740,0.0467,-0.1218,0.0643,0.1409,0.1234,-3.1203,0.2643,5.3347,5.8200,-0.4853
Freddie Swain,8.1908,-1.2439,-0.2849,0.0011,-0.0000,0.1349,0.0025,-1.8327,0.1497,0.0466,-0.0968,0.2170,0.0850,-0.0447,-2.9065,0.0403,5.3247,5.2200,0.1047
Riley Ridley,8.1908,-0.5168,-0.1839,0.0011,0.0025,-0.3472,0.0020,-0.3854,0.1246,0.0637,0.1913,-0.3844,-0.0111,-0.0156,-1.4325,-0.0267,6.7316,4.8700,1.8616
Malik Washington,8.1908,0.6363,-0.2149,0.0038,0.0110,0.1060,0.0020,-1.7450,0.0996,0.0619,-0.2321,0.0876,-0.2377,-0.0232,-1.1838,-0.2609,6.7462,6.9000,-0.1538
Trevor Davis,8.1908,-0.7847,-0.2382,0.0011,0.0090,-0.0553,0.0019,-0.9636,-0.2327,0.0451,-0.0821,0.1463,0.1191,-0.0514,-2.1532,0.0677,6.1053,5.6600,0.4453
George Pickens,8.1908,0.0061,0.9334,0.0011,-0.0000,-0.2352,0.0025,1.1235,0.0897,0.0560,0.0511,0.1767,0.0721,-0.0453,2.2049,0.0268,10.4225,11.3500,-0.9275
Demarcus Robinson,8.1908,0.1955,0.2896,0.0011,0.0094,-0.0537,0.0014,-0.3910,-0.2674,0.0541,0.0981,0.0221,-0.0681,-0.0271,-0.0408,-0.0952,8.0548,7.6900,0.3648
Sterling Shepard,8.1908,0.3875,-0.1294,0.0038,0.0090,0.1867,0.0015,1.3343,-0.2588,0.0251,0.0877,0.1285,-0.1288,0.0673,1.7759,-0.0615,9.9053,9.5100,0.3953
Ihmir Smith-Marsette,8.1908,0.1369,0.4234,0.0011,-0.0868,-0.2573,0.0014,-0.6546,-0.1212,0.0578,0.0860,-0.2988,0.0908,-0.0151,-0.7121,0.0757,7.5545,6.6900,0.8645
Ricardo Louis,8.1908,0.5397,-0.2725,0.0038,0.0090,0.1585,0.0019,-0.3571,-0.3012,0.0259,0.0835,0.1552,-0.0474,-0.0311,0.0467,-0.0785,8.1592,8.8300,-0.6708
Marquez Stevenson,8.1908,-0.3993,0.5593,0.0011,-0.0886,0.0679,0.0024,-1.5854,0.0962,-0.0970,-0.1003,0.3873,0.1237,-0.0358,-1.1564,0.0879,7.1224,7.1700,-0.0476
Marquez Valdes-Scantling,8.1908,0.1418,-1.1152,0.0011,0.0120,-0.0779,0.0019,-0.7495,-0.1733,0.0559,0.2511,0.0662,-0.0480,-0.0261,-1.5859,-0.0741,6.5308,7.1100,-0.5792
Samori Toure,8.1908,0.6435,-0.2755,0.0038,-0.0745,0.0735,0.0024,-1.8631,0.1124,-0.0584,-0.0732,0.1464,0.0127,-0.0668,-1.3627,-0.0541,6.7740,5.2400,1.5340
Xavier Legette,8.1908,0.2742,-0.9679,-0.0398,0.0237,0.0902,-0.1366,2.4672,0.2515,0.0201,0.0532,0.2093,-0.2403,-0.0243,2.2451,-0.2646,10.1712,9.7000,0.4712
Ty Montgomery,8.1908,0.1305,-0.0964,0.0011,0.0200,-0.2949,0.0019,0.5800,-0.2492,0.0505,-0.0664,0.0777,-0.2795,-0.0137,0.1548,-0.2932,8.0525,8.1500,-0.0975
Josh Reynolds,8.1908,0.5100,0.3505,0.0038,0.0127,-0.1996,0.0025,-0.4248,0.1538,0.0323,0.0970,0.1666,0.0917,-0.0625,0.7048,0.0292,8.9249,7.7800,1.1449
