position,seed,n_subsets,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
WR,789,30,22,GB,0.8502164281488149,0.8871099732559121,0.5718515563067109,0.7044004740006474,13,DOM+|Breakout Age|CC%|CTPRR|Y/RR|Drop Rate|Draft Capital|EPA/P|aYPTPA|aDOT|YAC/R,SpeedxBMI|Wide%xSlot%,12.153469749920799
WR,789,30,5,GB,0.845325409322583,0.8867960663102403,0.5737566809654906,0.7053791375269517,13,DOM+|CTPRR|Breakout Age|Y/RR|UCTPRR|CC%|Draft Capital|YAC/R|Drop Rate|aDOT|EPA/P,SpeedxBMI|Wide%xSlot%,11.995386421324769
WR,789,30,27,GB,0.8483046166216115,0.8734953361416469,0.6022937127986818,0.7456673374626342,10,DOM+|Y/RR|Breakout Age|Drop Rate|Draft Capital|EPA/P|aDOT|YAC/R,SpeedxBMI|Wide%xSlot%,12.00145913910483
WR,789,30,25,GB,0.8470719228711234,0.8606768045293091,0.6400410044696847,0.7825346285413188,8,DOM+|YAC/R|Draft Capital|Breakout Age|EPA/P|aDOT,SpeedxBMI|Wide%xSlot%,11.867479815219019
WR,789,30,1,GB,0.8074891769883938,0.8297838462495941,0.7179519256604756,0.8649524596383917,9,DOM+|Drop Rate|CC%|CTPRR|Draft Capital|Breakout Age|aYPTPA,SpeedxBMI|Wide%xSlot%,12.229388843439168
WR,789,30,29,GB,0.8092265102318408,0.8260014515682906,0.7224204504739371,0.8745097668248245,7,DOM+|Drop Rate|Breakout Age|CC%|Draft Capital,SpeedxBMI|Wide%xSlot%,12.120362278609411
WR,789,30,16,RF,0.7621905624122027,0.8251540324157595,0.6794568003441226,0.8766367276905639,12,DOM+|aYPTPA|YAC/R|aDOT|CTPRR|Draft Capital|Y/RR|UCTPRR|CC%|Drop Rate,SpeedxBMI|Wide%xSlot%,11.698591900113765
WR,789,30,13,RF,0.7690389691956602,0.8226572728045763,0.6769333059964512,0.8828736251939511,12,DOM+|CC%|CTPRR|EPA/P|YAC/R|Drop Rate|Y/RR|UCTPRR|aYPTPA|Draft Capital,SpeedxBMI|Wide%xSlot%,11.674761336718841
WR,789,30,11,Ridge,0.7734844052862689,0.8137728492189583,0.7103511902873083,0.9047182498804577,11,DOM+|EPA/P|UCTPRR|CTPRR|Draft Capital|aDOT|YAC/R|Y/RR|CC%,SpeedxBMI|Wide%xSlot%,11.53581544192928
WR,789,30,14,GB,0.8167569381439627,0.8087936937546452,0.7540432809125781,0.9167331949895948,7,DOM+|Draft Capital|aDOT|Breakout Age|aYPTPA,SpeedxBMI|Wide%xSlot%,12.31872339151215
WR,789,30,4,BR,0.7734528092685131,0.8062746970959135,0.7461530251438363,0.922752065255498,8,DOM+|YAC/R|Draft Capital|aDOT|EPA/P|Drop Rate,SpeedxBMI|Wide%xSlot%,11.668579278347941
WR,789,30,20,BR,0.7668821388282245,0.8061059808653845,0.7455484908417874,0.9231537922531392,9,DOM+|YAC/R|Draft Capital|Drop Rate|CTPRR|EPA/P|aDOT,SpeedxBMI|Wide%xSlot%,11.655290637449506
WR,789,30,18,Ridge,0.7633780066608961,0.803139188261244,0.7470832785106979,0.9301896166718785,11,DOM+|CC%|YAC/R|Drop Rate|Draft Capital|aDOT|UCTPRR|CTPRR|EPA/P,SpeedxBMI|Wide%xSlot%,11.665513085081018
WR,789,30,3,Ridge,0.7805315329996119,0.799454546904224,0.7595999771545608,0.9388544335432764,8,DOM+|EPA/P|YAC/R|Draft Capital|aYPTPA|CC%,SpeedxBMI|Wide%xSlot%,11.678119617779103
WR,789,30,2,BR,0.7664688682503025,0.782064663772432,0.7781067554100991,0.9787137234321706,5,DOM+|EPA/P|Draft Capital,SpeedxBMI|Wide%xSlot%,11.828327696704672
