seed,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
456,35,GB,0.8883462700727524,0.904642141885493,0.6766780893136999,0.8712449764931219,9,DOM++|ELU|40 Time|Bama|YCO/A|Draft Capital|Draft Age|YPC,DOMxDraft,12.703248751887072
456,39,GB,0.8708949121192688,0.9012485282334758,0.6799830614276838,0.8866124627529044,8,BMI|ELU|YPC|Draft Capital|Bama|Break%|DOM++|40 Time,,12.158351551451572
456,56,GB,0.8857169135605133,0.8999146035637079,0.7227394417429113,0.8925805111470613,8,Bama|BMI|ELU|Draft Age|40 Time|DOM++|Break%|Draft Capital,,12.822219180560534
456,18,GB,0.8717182945681511,0.8992462718524604,0.7203509265880368,0.895555706964872,8,Bama|ELU|40 Time|DOM++|Draft Capital|BMI|YCO/A,ELUxYCOA,12.730674878774364
456,30,GB,0.8612166493100816,0.8983578006825433,0.737687285669663,0.8994956554789629,9,Bama|BMI|40 Time|ELU|Break%|YCO/A|DOM++|Draft Capital,DOMxDraft,12.972149430214477
456,47,HGB,0.8623879392683378,0.8895379132243599,0.7464707542091127,0.9377102535736397,8,YCO/A|ELU|40 Time|Draft Age|DOM++|Draft Capital,ELUxYCOA|DOMxDraft,12.69598774729563
456,12,GB,0.8702137694576588,0.8877860516128222,0.7652002011229709,0.9451167609829757,11,Bama|YCO/A|40 Time|ELU|Break%|Draft Capital|YPC|DOM++,ELUxYCOA|DOMxDraft|YPCxELU,12.752873809039594
456,38,GB,0.854270792195736,0.8864951636153598,0.7486724763365109,0.9505374380099354,8,YCO/A|YPC|40 Time|BMI|Draft Capital|Break%|DOM++|ELU,,13.161251409693948
456,7,GB,0.8659612583025968,0.8855417933248483,0.7022643104518446,0.9545210532584536,10,ELU|DOM++|YCO/A|40 Time|Draft Age|YPC|Draft Capital,DOMxDraft|ELUxYCOA|YPCxELU,13.641334963600846
456,31,GB,0.8480555241251839,0.8851140035877805,0.7648318016393888,0.9563031599953558,8,YPC|40 Time|ELU|YCO/A|Break%|DOM++|Draft Capital,DOMxDraft,13.436278523894542
456,59,GB,0.8672154440548129,0.8838573519529793,0.7969034924409926,0.9615190765780388,8,Bama|ELU|40 Time|Draft Capital|DOM++|YCO/A,DOMxDraft|ELUxYCOA,13.296811194878607
456,40,GB,0.8593818408442153,0.8820523374143413,0.7626399736616214,0.968961926440755,5,Draft Capital|ELU|DOM++|Break%|40 Time,,13.699103057140615
456,37,GB,0.8709880566382099,0.8800511790769288,0.7855182277628621,0.9771472966812733,8,Draft Age|BMI|YCO/A|Draft Capital|40 Time|ELU|DOM++|Break%,,13.678026155044122
456,33,HGB,0.833927351759549,0.8773299636689649,0.731021014342801,0.9881691472797444,11,BMI|YCO/A|YPC|DOM++|Draft Capital|ELU|Break%|40 Time,YPCxELU|DOMxDraft|ELUxYCOA,11.986371231651752
456,17,HGB,0.8435850214114813,0.8648458903347722,0.8703661754765993,1.037233825450752,7,Draft Age|YCO/A|Draft Capital|Bama|DOM++|40 Time,DOMxDraft,12.293136085687538
