Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Ja'Marr Chase*,LSU,SEC,14.0,84.0,1780.0,21.2,20.0,127.1,1.0,5.0,5.0,0.0,0.4,85.0,1785.0,21.0,20.0,AA
2.0,Omar Bayless*,Arkansas State,Sun Belt,13.0,93.0,1653.0,17.8,17.0,127.2,0.0,0.0,,0.0,0.0,93.0,1653.0,17.8,17.0,
3.0,Justin Jefferson*,LSU,SEC,15.0,111.0,1540.0,13.9,18.0,102.7,0.0,0.0,,0.0,0.0,111.0,1540.0,13.9,18.0,
4.0,Antonio Gandy-Golden*,Liberty,Ind,13.0,79.0,1396.0,17.7,10.0,107.4,0.0,0.0,,0.0,0.0,79.0,1396.0,17.7,10.0,
5.0,Devin Duvernay*,Texas,Big 12,13.0,106.0,1386.0,13.1,9.0,106.6,10.0,24.0,2.4,1.0,1.8,116.0,1410.0,12.2,10.0,
6.0,CeeDee Lamb*,Oklahoma,Big 12,13.0,62.0,1327.0,21.4,14.0,102.1,9.0,20.0,2.2,1.0,1.5,71.0,1347.0,19.0,15.0,AA
7.0,Chatarius Atwell*,Louisville,ACC,13.0,70.0,1276.0,18.2,12.0,98.2,8.0,29.0,3.6,0.0,2.2,78.0,1305.0,16.7,12.0,
8.0,Damonte Coxie*,Memphis,American,14.0,76.0,1276.0,16.8,9.0,91.1,0.0,0.0,,0.0,0.0,76.0,1276.0,16.8,9.0,
9.0,Michael Pittman Jr.*,USC,Pac-12,13.0,101.0,1275.0,12.6,11.0,98.1,0.0,0.0,,0.0,0.0,101.0,1275.0,12.6,11.0,
10.0,DeVonta Smith*,Alabama,SEC,13.0,68.0,1256.0,18.5,14.0,96.6,0.0,0.0,,0.0,0.0,68.0,1256.0,18.5,14.0,
11.0,Gabriel Davis*,UCF,American,12.0,72.0,1241.0,17.2,12.0,103.4,0.0,0.0,,0.0,0.0,72.0,1241.0,17.2,12.0,
12.0,James Proche*,SMU,American,13.0,111.0,1225.0,11.0,15.0,94.2,4.0,18.0,4.5,0.0,1.4,115.0,1243.0,10.8,15.0,
13.0,Rashod Bateman*,Minnesota,Big Ten,13.0,60.0,1219.0,20.3,11.0,93.8,0.0,0.0,,0.0,0.0,60.0,1219.0,20.3,11.0,
14.0,Brandon Aiyuk*,Arizona State,Pac-12,12.0,65.0,1192.0,18.3,8.0,99.3,1.0,6.0,6.0,0.0,0.5,66.0,1198.0,18.2,8.0,
