Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1.0,Austin Reed*,Western Kentucky,CUSA,14.0,389.0,603.0,64.5,4746.0,40.0,6.6,11.0,1.8,7.9,8.38,12.2,339.0,148.9,
2.0,Michael Penix Jr.*,Washington,Pac-12,13.0,362.0,554.0,65.3,4641.0,31.0,5.6,8.0,1.4,8.4,8.85,12.8,357.0,151.3,H-8
3.0,Caleb Williams*,USC,Pac-12,14.0,333.0,500.0,66.6,4537.0,42.0,8.4,5.0,1.0,9.1,10.3,13.6,324.1,168.5,"H-1,Maxwell,AA,Camp"
4.0,Drake Maye*,North Carolina,ACC,14.0,342.0,517.0,66.2,4321.0,38.0,7.4,7.0,1.4,8.4,9.22,12.6,308.6,157.9,H-10
5.0,Kyle Vantrease*,Georgia Southern,Sun Belt,13.0,371.0,604.0,61.4,4253.0,27.0,4.5,16.0,2.6,7.0,6.74,11.5,327.2,130.0,
6.0,Stetson Bennett*,Georgia,SEC,15.0,310.0,454.0,68.3,4128.0,27.0,5.9,7.0,1.5,9.1,9.59,13.3,275.2,161.2,H-4
7.0,Clayton Tune*,Houston,American,13.0,334.0,496.0,67.3,4074.0,40.0,8.1,10.0,2.0,8.2,8.92,12.2,313.4,158.9,
8.0,Frank Harris*,UTSA,CUSA,14.0,328.0,471.0,69.6,4063.0,32.0,6.8,9.0,1.9,8.6,9.13,12.4,290.2,160.7,
9.0,Will Rogers*,Mississippi State,SEC,13.0,415.0,610.0,68.0,3974.0,35.0,5.7,8.0,1.3,6.5,7.07,9.6,305.7,139.1,
10.0,Holton Ahlers*,East Carolina,American,13.0,315.0,469.0,67.2,3708.0,28.0,6.0,5.0,1.1,7.9,8.62,11.8,285.2,151.1,
11.0,Sam Hartman*,Wake Forest,ACC,12.0,270.0,428.0,63.1,3701.0,38.0,8.9,12.0,2.8,8.6,9.16,13.7,308.4,159.4,
12.0,Max Duggan*,Texas Christian,Big 12,15.0,267.0,419.0,63.7,3698.0,32.0,7.6,8.0,1.9,8.8,9.49,13.9,246.5,159.2,H-2
13.0,C.J. Stroud*,Ohio State,Big Ten,13.0,258.0,389.0,66.3,3688.0,41.0,10.5,6.0,1.5,9.5,10.89,14.3,283.7,177.7,H-3
14.0,Jayden De Laura,Arizona,Pac-12,12.0,272.0,435.0,62.5,3685.0,25.0,5.7,13.0,3.0,8.5,8.28,13.5,307.1,146.7,
15.0,Bo Nix*,Oregon,Pac-12,13.0,294.0,409.0,71.9,3593.0,29.0,7.1,7.0,1.7,8.8,9.43,12.2,276.4,165.7,
16.0,Seth Henigan*,Memphis,American,13.0,285.0,445.0,64.0,3559.0,22.0,4.9,8.0,1.8,8.0,8.18,12.5,273.8,143.9,
17.0,Austin Aune*,North Texas,CUSA,14.0,232.0,411.0,56.4,3547.0,33.0,8.0,15.0,3.6,8.6,8.59,15.3,253.4,148.1,
