Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Brad Roberts*,Air Force,MWC,13.0,345.0,1728.0,5.0,17.0,132.9,1.0,9.0,9.0,0.0,0.7,346.0,1737.0,5.0,17.0,
2.0,DeWayne McBride*,UAB,CUSA,11.0,233.0,1713.0,7.4,19.0,155.7,2.0,10.0,5.0,0.0,0.9,235.0,1723.0,7.3,19.0,
3.0,Mohamed Ibrahim*,Minnesota,Big Ten,12.0,320.0,1665.0,5.2,20.0,138.8,7.0,50.0,7.1,0.0,4.2,327.0,1715.0,5.2,20.0,
4.0,Chase Brown*,Illinois,Big Ten,12.0,328.0,1643.0,5.0,10.0,136.9,27.0,240.0,8.9,3.0,20.0,355.0,1883.0,5.3,13.0,
5.0,Tyjae Spears*,Tulane,American,14.0,229.0,1581.0,6.9,19.0,112.9,22.0,256.0,11.6,2.0,18.3,251.0,1837.0,7.3,21.0,
6.0,Bijan Robinson*,Texas,Big 12,12.0,258.0,1580.0,6.1,18.0,131.7,19.0,314.0,16.5,2.0,26.2,277.0,1894.0,6.8,20.0,"H-9,AA"
7.0,Quinshon Judkins*,Ole Miss,SEC,13.0,274.0,1567.0,5.7,16.0,120.5,15.0,132.0,8.8,1.0,10.2,289.0,1699.0,5.9,17.0,
8.0,Deuce Vaughn*,Kansas State,Big 12,14.0,293.0,1558.0,5.3,9.0,111.3,42.0,378.0,9.0,3.0,27.0,335.0,1936.0,5.8,12.0,AA
9.0,Carson Steele,Ball State,MAC,12.0,289.0,1556.0,5.4,14.0,129.7,29.0,166.0,5.7,1.0,13.8,318.0,1722.0,5.4,15.0,
10.0,Khalan Laborn*,Marshall,Sun Belt,13.0,302.0,1513.0,5.0,16.0,116.4,16.0,116.0,7.3,0.0,8.9,318.0,1629.0,5.1,16.0,
11.0,Blake Corum*,Michigan,Big Ten,12.0,247.0,1463.0,5.9,18.0,121.9,11.0,80.0,7.3,1.0,6.7,258.0,1543.0,6.0,19.0,"H-7,AA"
12.0,Keaton Mitchell*,East Carolina,American,12.0,201.0,1452.0,7.2,14.0,121.0,27.0,252.0,9.3,1.0,21.0,228.0,1704.0,7.5,15.0,
13.0,Raheim Sanders*,Arkansas,SEC,13.0,222.0,1443.0,6.5,10.0,111.0,28.0,271.0,9.7,2.0,20.8,250.0,1714.0,6.9,12.0,
14.0,Israel Abanikanda*,Pitt,ACC,11.0,239.0,1431.0,6.0,20.0,130.1,12.0,146.0,12.2,1.0,13.3,251.0,1577.0,6.3,21.0,
15.0,Kendre Miller*,Texas Christian,Big 12,14.0,224.0,1399.0,6.2,17.0,99.9,16.0,116.0,7.3,0.0,8.3,240.0,1515.0,6.3,17.0,
16.0,Frank Gore Jr.*,Southern Mississippi,Sun Belt,13.0,228.0,1382.0,6.1,9.0,106.3,19.0,219.0,11.5,0.0,16.8,247.0,1601.0,6.5,9.0,
17.0,Jordan Mims*,Fresno State,MWC,14.0,261.0,1372.0,5.3,18.0,98.0,21.0,126.0,6.0,1.0,9.0,282.0,1498.0,5.3,19.0,
18.0,Eric Gray*,Oklahoma,Big 12,12.0,213.0,1366.0,6.4,11.0,113.8,33.0,229.0,6.9,0.0,19.1,246.0,1595.0,6.5,11.0,
19.0,Zach Charbonnet*,UCLA,Pac-12,10.0,195.0,1359.0,7.0,14.0,135.9,37.0,321.0,8.7,0.0,32.1,232.0,1680.0,7.2,14.0,
20.0,Marquez Cooper,Kent State,MAC,12.0,285.0,1326.0,4.7,13.0,110.5,8.0,94.0,11.8,0.0,7.8,293.0,1420.0,4.8,13.0,
21.0,Braelon Allen*,Wisconsin,Big Ten,12.0,230.0,1242.0,5.4,11.0,103.5,13.0,104.0,8.0,0.0,8.7,243.0,1346.0,5.5,11.0,
22.0,Xazavian Valladay,Arizona State,Pac-12,12.0,215.0,1192.0,5.5,16.0,99.3,37.0,289.0,7.8,2.0,24.1,252.0,1481.0,5.9,18.0,
23.0,Brian Battie,South Florida,American,12.0,175.0,1185.0,6.8,8.0,98.8,14.0,91.0,6.5,0.0,7.6,189.0,1276.0,6.8,8.0,
24.0,Will Shipley*,Clemson,ACC,14.0,210.0,1182.0,5.6,15.0,84.4,38.0,242.0,6.4,0.0,17.3,248.0,1424.0,5.7,15.0,
25.0,Samson Evans*,Eastern Michigan,MAC,12.0,249.0,1166.0,4.7,15.0,97.2,15.0,93.0,6.2,0.0,7.8,264.0,1259.0,4.8,15.0,
26.0,George Holani*,Boise State,MWC,13.0,221.0,1157.0,5.2,10.0,89.0,24.0,151.0,6.3,3.0,11.6,245.0,1308.0,5.3,13.0,
27.0,Kimani Vidal*,Troy,Sun Belt,14.0,231.0,1132.0,4.9,10.0,80.9,26.0,140.0,5.4,0.0,10.0,257.0,1272.0,4.9,10.0,
28.0,Calvin Tyler Jr.*,Utah State,MWC,13.0,253.0,1122.0,4.4,7.0,86.3,15.0,129.0,8.6,1.0,9.9,268.0,1251.0,4.7,8.0,
29.0,Devon Achane,Texas A&M,SEC,10.0,196.0,1102.0,5.6,8.0,110.2,36.0,196.0,5.4,3.0,19.6,232.0,1298.0,5.6,11.0,
30.0,Devin Neal*,Kansas,Big 12,13.0,180.0,1090.0,6.1,9.0,83.8,21.0,183.0,8.7,1.0,14.1,201.0,1273.0,6.3,10.0,
31.0,Sieh Bangura*,Ohio,MAC,12.0,222.0,1078.0,4.9,13.0,89.8,27.0,226.0,8.4,2.0,18.8,249.0,1304.0,5.2,15.0,
32.0,La'Damian Webb*,South Alabama,Sun Belt,12.0,210.0,1067.0,5.1,13.0,88.9,21.0,213.0,10.1,2.0,17.8,231.0,1280.0,5.5,15.0,
33.0,Nicholas Singleton*,Penn State,Big Ten,13.0,156.0,1061.0,6.8,12.0,81.6,11.0,85.0,7.7,1.0,6.5,167.0,1146.0,6.9,13.0,
34.0,Sean Tucker*,Syracuse,ACC,12.0,206.0,1060.0,5.1,11.0,88.3,36.0,248.0,6.9,2.0,20.7,242.0,1308.0,5.4,13.0,
