Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Snoop Minnis,Florida State,ACC,12.0,63.0,1340.0,21.3,11.0,111.7,0.0,0.0,,0.0,0.0,63.0,1340.0,21.3,11.0,AA
2.0,Freddie Mitchell,UCLA,Pac-10,11.0,68.0,1314.0,19.3,8.0,119.5,3.0,0.0,0.0,0.0,0.0,71.0,1314.0,18.5,8.0,AA
3.0,Antonio Bryant,Pitt,Big East,10.0,68.0,1302.0,19.1,11.0,130.2,0.0,0.0,,0.0,0.0,68.0,1302.0,19.1,11.0,AA
4.0,Donald Shoals,Tulsa,WAC,12.0,80.0,1195.0,14.9,5.0,99.6,6.0,-2.0,-0.3,0.0,-0.2,86.0,1193.0,13.9,5.0,
5.0,Jabar Gaffney,Florida,SEC,12.0,71.0,1184.0,16.7,14.0,98.7,0.0,0.0,,0.0,0.0,71.0,1184.0,16.7,14.0,
6.0,Justin McCareins,Northern Illinois,MAC,11.0,66.0,1168.0,17.7,10.0,106.2,8.0,73.0,9.1,0.0,6.6,74.0,1241.0,16.8,10.0,
7.0,Quincy Morgan,Kansas State,Big 12,13.0,64.0,1166.0,18.2,14.0,89.7,3.0,11.0,3.7,0.0,0.8,67.0,1177.0,17.6,14.0,
8.0,Aaron Jones,Utah State,Big West,11.0,63.0,1159.0,18.4,11.0,105.4,1.0,-1.0,-1.0,0.0,-0.1,64.0,1158.0,18.1,11.0,
9.0,Josh Reed,LSU,SEC,11.0,65.0,1127.0,17.3,10.0,102.5,1.0,-2.0,-2.0,0.0,-0.2,66.0,1125.0,17.0,10.0,
10.0,Ashley Lelie,Hawaii,WAC,12.0,74.0,1110.0,15.0,11.0,92.5,0.0,0.0,,0.0,0.0,74.0,1110.0,15.0,11.0,
11.0,Lee Mays,UTEP,WAC,11.0,71.0,1110.0,15.6,15.0,100.9,4.0,17.0,4.3,0.0,1.5,75.0,1127.0,15.0,15.0,
