Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1.0,B.J. Symons,Texas Tech,Big 12,13.0,470.0,719.0,65.4,5833.0,52.0,7.2,22.0,3.1,8.1,8.18,12.4,448.7,151.3,H-10
2.0,Philip Rivers,North Carolina State,ACC,13.0,348.0,483.0,72.0,4491.0,34.0,7.0,7.0,1.4,9.3,10.05,12.9,345.5,170.5,H-7
3.0,Ben Roethlisberger,Miami (OH),MAC,14.0,342.0,495.0,69.1,4486.0,37.0,7.5,10.0,2.0,9.1,9.65,13.1,320.4,165.8,H-9
4.0,Ryan Dinwiddie,Boise State,WAC,14.0,276.0,446.0,61.9,4356.0,31.0,7.0,7.0,1.6,9.8,10.45,15.8,311.1,163.7,
5.0,Timmy Chang,Hawaii,WAC,13.0,353.0,601.0,58.7,4199.0,29.0,4.8,20.0,3.3,7.0,6.45,11.9,323.0,126.7,
6.0,Derek Anderson,Oregon State,Pac-10,13.0,261.0,510.0,51.2,4058.0,24.0,4.7,24.0,4.7,8.0,6.78,15.5,312.2,124.1,
7.0,Jason White,Oklahoma,Big 12,14.0,278.0,451.0,61.6,3846.0,40.0,8.9,10.0,2.2,8.5,9.3,13.8,274.7,158.1,"H-1,AA"
8.0,Josh Harris,Bowling Green,MAC,14.0,325.0,494.0,65.8,3813.0,27.0,5.5,12.0,2.4,7.7,7.72,11.7,272.4,143.8,
9.0,Rod Rutherford,Pitt,Big East,13.0,247.0,413.0,59.8,3679.0,37.0,9.0,14.0,3.4,8.9,9.17,14.9,283.0,157.4,
10.0,Eli Manning,Ole Miss,SEC,13.0,275.0,441.0,62.4,3600.0,29.0,6.6,10.0,2.3,8.2,8.46,13.1,276.9,148.1,"H-3,Maxwell"
11.0,Charlie Whitehurst,Clemson,ACC,13.0,288.0,465.0,61.9,3561.0,21.0,4.5,13.0,2.8,7.7,7.3,12.4,273.9,135.6,
12.0,Matt Leinart,USC,Pac-10,13.0,255.0,402.0,63.4,3556.0,38.0,9.5,9.0,2.2,8.8,9.73,13.9,273.5,164.5,H-6
