Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,DeVonta Smith,Alabama,SEC,13.0,117.0,1856.0,15.9,23.0,142.8,4.0,6.0,1.5,1.0,0.5,121.0,1862.0,15.4,24.0,"H-1,Maxwell,AA,Camp"
2.0,Elijah Moore,Ole Miss,SEC,8.0,86.0,1193.0,13.9,8.0,149.1,14.0,64.0,4.6,0.0,8.0,100.0,1257.0,12.6,8.0,AA
3.0,Jaelon Darden,North Texas,CUSA,9.0,74.0,1190.0,16.1,19.0,132.2,1.0,-3.0,-3.0,0.0,-0.3,75.0,1187.0,15.8,19.0,
4.0,Dax Milne,BYU,Ind,12.0,70.0,1188.0,17.0,8.0,99.0,11.0,67.0,6.1,0.0,5.6,81.0,1255.0,15.5,8.0,
5.0,Jonathan Adams Jr.,Arkansas State,Sun Belt,10.0,79.0,1111.0,14.1,12.0,111.1,0.0,0.0,,0.0,0.0,79.0,1111.0,14.1,12.0,
6.0,Dyami Brown,North Carolina,ACC,11.0,55.0,1099.0,20.0,8.0,99.9,0.0,0.0,,0.0,0.0,55.0,1099.0,20.0,8.0,
7.0,Jalen Tolbert,South Alabama,Sun Belt,11.0,64.0,1085.0,17.0,8.0,98.6,0.0,0.0,,0.0,0.0,64.0,1085.0,17.0,8.0,
8.0,Calvin Austin III,Memphis,American,11.0,63.0,1053.0,16.7,11.0,95.7,2.0,14.0,7.0,0.0,1.3,65.0,1067.0,16.4,11.0,
9.0,Marlon Williams,UCF,American,8.0,71.0,1039.0,14.6,10.0,129.9,0.0,0.0,,0.0,0.0,71.0,1039.0,14.6,10.0,
10.0,Amari Rodgers,Clemson,ACC,12.0,77.0,1020.0,13.2,7.0,85.0,0.0,0.0,,0.0,0.0,77.0,1020.0,13.2,7.0,
11.0,Romeo Doubs,Nevada,MWC,9.0,58.0,1002.0,17.3,9.0,111.3,1.0,-4.0,-4.0,0.0,-0.4,59.0,998.0,16.9,9.0,
12.0,Jaivon Heiligh,Coastal Carolina,Sun Belt,12.0,65.0,998.0,15.4,10.0,83.2,0.0,0.0,,0.0,0.0,65.0,998.0,15.4,10.0,
13.0,Kadarius Toney,Florida,SEC,11.0,70.0,984.0,14.1,10.0,89.5,19.0,161.0,8.5,1.0,14.6,89.0,1145.0,12.9,11.0,
14.0,Jaylon Robinson,UCF,American,10.0,55.0,979.0,17.8,6.0,97.9,0.0,0.0,,0.0,0.0,55.0,979.0,17.8,6.0,
15.0,Jaquarii Roberson,Wake Forest,ACC,9.0,62.0,926.0,14.9,8.0,102.9,0.0,0.0,,0.0,0.0,62.0,926.0,14.9,8.0,
16.0,Tylan Wallace,Oklahoma State,Big 12,10.0,59.0,922.0,15.6,6.0,92.2,1.0,7.0,7.0,0.0,0.7,60.0,929.0,15.5,6.0,
17.0,John Metchie,Alabama,SEC,13.0,55.0,916.0,16.7,6.0,70.5,0.0,0.0,,0.0,0.0,55.0,916.0,16.7,6.0,
18.0,Zay Flowers,Boston College,ACC,11.0,56.0,892.0,15.9,9.0,81.1,11.0,41.0,3.7,1.0,3.7,67.0,933.0,13.9,10.0,
19.0,Jahan Dotson,Penn State,Big Ten,9.0,52.0,884.0,17.0,8.0,98.2,0.0,0.0,,0.0,0.0,52.0,884.0,17.0,8.0,
20.0,Cornell Powell,Clemson,ACC,12.0,53.0,882.0,16.6,7.0,73.5,0.0,0.0,,0.0,0.0,53.0,882.0,16.6,7.0,
21.0,Dez Fitzpatrick,Louisville,ACC,11.0,43.0,833.0,19.4,3.0,75.7,0.0,0.0,,0.0,0.0,43.0,833.0,19.4,3.0,
22.0,Treylon Burks,Arkansas,SEC,9.0,51.0,820.0,16.1,7.0,91.1,15.0,75.0,5.0,0.0,8.3,66.0,895.0,13.6,7.0,
23.0,Sam Pinckney,Georgia State,Sun Belt,10.0,47.0,815.0,17.3,7.0,81.5,0.0,0.0,,0.0,0.0,47.0,815.0,17.3,7.0,
24.0,Mike Harley,Miami (FL),ACC,11.0,57.0,799.0,14.0,7.0,72.6,2.0,13.0,6.5,0.0,1.2,59.0,812.0,13.8,7.0,
25.0,D'Wayne Eskridge,Western Michigan,MAC,6.0,34.0,784.0,23.1,8.0,130.7,1.0,27.0,27.0,0.0,4.5,35.0,811.0,23.2,8.0,
26.0,Xavier Hutchinson,Iowa State,Big 12,12.0,64.0,771.0,12.0,4.0,64.3,0.0,0.0,,0.0,0.0,64.0,771.0,12.0,4.0,
27.0,Kyle Pitts,Florida,SEC,8.0,43.0,770.0,17.9,12.0,96.3,0.0,0.0,,0.0,0.0,43.0,770.0,17.9,12.0,"H-10,AA"
28.0,Gunner Romney,BYU,Ind,10.0,39.0,767.0,19.7,2.0,76.7,6.0,15.0,2.5,1.0,1.5,45.0,782.0,17.4,3.0,
29.0,Seth Williams,Auburn,SEC,11.0,47.0,760.0,16.2,4.0,69.1,0.0,0.0,,0.0,0.0,47.0,760.0,16.2,4.0,
30.0,Kaylon Geiger,Troy,Sun Belt,11.0,64.0,752.0,11.8,3.0,68.4,4.0,16.0,4.0,0.0,1.5,68.0,768.0,11.3,3.0,
31.0,Erik Ezukanma,Texas Tech,Big 12,10.0,46.0,748.0,16.3,6.0,74.8,0.0,0.0,,0.0,0.0,46.0,748.0,16.3,6.0,
32.0,Tahj Washington,Memphis,American,11.0,43.0,743.0,17.3,6.0,67.5,4.0,11.0,2.8,1.0,1.0,47.0,754.0,16.0,7.0,
33.0,Emeka Emezie,North Carolina State,ACC,12.0,47.0,738.0,15.7,5.0,61.5,1.0,5.0,5.0,0.0,0.4,48.0,743.0,15.5,5.0,
34.0,Kayshon Boutte,LSU,SEC,10.0,45.0,735.0,16.3,5.0,73.5,0.0,0.0,,0.0,0.0,45.0,735.0,16.3,5.0,
35.0,Taj Harris,Syracuse,ACC,10.0,58.0,733.0,12.6,5.0,73.3,1.0,4.0,4.0,0.0,0.4,59.0,737.0,12.5,5.0,
36.0,Terrace Marshall Jr.,LSU,SEC,7.0,48.0,731.0,15.2,10.0,104.4,0.0,0.0,,0.0,0.0,48.0,731.0,15.2,10.0,
37.0,Chris Olave,Ohio State,Big Ten,7.0,50.0,729.0,14.6,7.0,104.1,1.0,0.0,0.0,0.0,0.0,51.0,729.0,14.3,7.0,
38.0,Bailey Gaither,San Jose State,MWC,7.0,41.0,725.0,17.7,4.0,103.6,0.0,0.0,,0.0,0.0,41.0,725.0,17.7,4.0,
39.0,Garrett Wilson,Ohio State,Big Ten,8.0,43.0,723.0,16.8,6.0,90.4,2.0,67.0,33.5,0.0,8.4,45.0,790.0,17.6,6.0,
40.0,Ty Fryfogle,Indiana,Big Ten,8.0,37.0,721.0,19.5,7.0,90.1,0.0,0.0,,0.0,0.0,37.0,721.0,19.5,7.0,
41.0,Khalil Shakir,Boise State,MWC,7.0,52.0,719.0,13.8,6.0,102.7,17.0,148.0,8.7,0.0,21.1,69.0,867.0,12.6,6.0,
42.0,Jaden Walley,Mississippi State,SEC,11.0,52.0,718.0,13.8,2.0,65.3,0.0,0.0,,0.0,0.0,52.0,718.0,13.8,2.0,
43.0,Javon McKinley,Notre Dame,ACC,12.0,42.0,717.0,17.1,3.0,59.8,1.0,15.0,15.0,0.0,1.3,43.0,732.0,17.0,3.0,
44.0,Zakhari Franklin,UTSA,CUSA,10.0,49.0,694.0,14.2,7.0,69.4,1.0,8.0,8.0,0.0,0.8,50.0,702.0,14.0,7.0,
45.0,Jacob Cowing,UTEP,CUSA,8.0,41.0,691.0,16.9,3.0,86.4,0.0,0.0,,0.0,0.0,41.0,691.0,16.9,3.0,
46.0,Hunter Long,Boston College,ACC,11.0,57.0,685.0,12.0,5.0,62.3,0.0,0.0,,0.0,0.0,57.0,685.0,12.0,5.0,
47.0,Dazz Newsome,North Carolina,ACC,12.0,54.0,684.0,12.7,6.0,57.0,2.0,21.0,10.5,1.0,1.8,56.0,705.0,12.6,7.0,
48.0,Rashee Rice,SMU,American,10.0,48.0,683.0,14.2,5.0,68.3,0.0,0.0,,0.0,0.0,48.0,683.0,14.2,5.0,
49.0,Jordan Addison,Pitt,ACC,10.0,60.0,666.0,11.1,4.0,66.6,9.0,58.0,6.4,0.0,5.8,69.0,724.0,10.5,4.0,
50.0,Justin Hall,Ball State,MAC,7.0,49.0,665.0,13.6,4.0,95.0,30.0,231.0,7.7,1.0,33.0,79.0,896.0,11.3,5.0,
51.0,Kawaan Baker,South Alabama,Sun Belt,11.0,51.0,659.0,12.9,8.0,59.9,13.0,42.0,3.2,0.0,3.8,64.0,701.0,11.0,8.0,
52.0,Billy Kemp,Virginia,ACC,10.0,67.0,644.0,9.6,1.0,64.4,6.0,22.0,3.7,0.0,2.2,73.0,666.0,9.1,1.0,
53.0,Keylon Stokes,Tulsa,American,9.0,46.0,644.0,14.0,3.0,71.6,13.0,65.0,5.0,0.0,7.2,59.0,709.0,12.0,3.0,
54.0,Bo Melton,Rutgers,Big Ten,9.0,47.0,638.0,13.6,6.0,70.9,6.0,69.0,11.5,2.0,7.7,53.0,707.0,13.3,8.0,
55.0,Anthony Schwartz,Auburn,SEC,10.0,54.0,636.0,11.8,3.0,63.6,4.0,-6.0,-1.5,0.0,-0.6,58.0,630.0,10.9,3.0,
56.0,DJ Turner,Pitt,ACC,11.0,44.0,634.0,14.4,3.0,57.6,10.0,65.0,6.5,0.0,5.9,54.0,699.0,12.9,3.0,
57.0,Shi Smith,South Carolina,SEC,9.0,57.0,633.0,11.1,4.0,70.3,6.0,6.0,1.0,0.0,0.7,63.0,639.0,10.1,4.0,
58.0,Tre Walker,San Jose State,MWC,8.0,45.0,627.0,13.9,4.0,78.4,0.0,0.0,,0.0,0.0,45.0,627.0,13.9,4.0,
59.0,Tutu Atwell,Louisville,ACC,9.0,46.0,625.0,13.6,7.0,69.4,2.0,-2.0,-1.0,1.0,-0.2,48.0,623.0,13.0,8.0,
60.0,David Bell,Purdue,Big Ten,6.0,53.0,625.0,11.8,8.0,104.2,0.0,0.0,,0.0,0.0,53.0,625.0,11.8,8.0,
61.0,Michael Woods,Arkansas,SEC,10.0,32.0,619.0,19.3,5.0,61.9,1.0,2.0,2.0,0.0,0.2,33.0,621.0,18.8,5.0,
62.0,Thomas Hennigan,Appalachian State,Sun Belt,12.0,47.0,616.0,13.1,3.0,51.3,0.0,0.0,,0.0,0.0,47.0,616.0,13.1,3.0,
63.0,Jason Brownlee,Southern Mississippi,CUSA,10.0,34.0,610.0,17.9,5.0,61.0,0.0,0.0,,0.0,0.0,34.0,610.0,17.9,5.0,
64.0,Marvin Mims,Oklahoma,Big 12,11.0,37.0,610.0,16.5,9.0,55.5,2.0,17.0,8.5,0.0,1.5,39.0,627.0,16.1,9.0,
65.0,Yo'Heinz Tyler,Ball State,MAC,8.0,42.0,607.0,14.5,8.0,75.9,0.0,0.0,,0.0,0.0,42.0,607.0,14.5,8.0,
66.0,Cole Turner,Nevada,MWC,9.0,49.0,605.0,12.3,9.0,67.2,0.0,0.0,,0.0,0.0,49.0,605.0,12.3,9.0,
67.0,Neil Pau'u,BYU,Ind,12.0,45.0,603.0,13.4,4.0,50.3,5.0,-1.0,-0.2,0.0,-0.1,50.0,602.0,12.0,4.0,
68.0,Isaiah Likely,Coastal Carolina,Sun Belt,11.0,30.0,601.0,20.0,5.0,54.6,0.0,0.0,,0.0,0.0,30.0,601.0,20.0,5.0,
69.0,Tyrice Richie,Northern Illinois,MAC,6.0,53.0,597.0,11.3,4.0,99.5,6.0,27.0,4.5,0.0,4.5,59.0,624.0,10.6,4.0,
70.0,Tayvion Robinson,Virginia Tech,ACC,11.0,38.0,592.0,15.6,3.0,53.8,5.0,48.0,9.6,0.0,4.4,43.0,640.0,14.9,3.0,
71.0,Charlie Kolar,Iowa State,Big 12,11.0,44.0,591.0,13.4,7.0,53.7,0.0,0.0,,0.0,0.0,44.0,591.0,13.4,7.0,
72.0,Jaylen Waddle,Alabama,SEC,6.0,28.0,591.0,21.1,4.0,98.5,3.0,12.0,4.0,0.0,2.0,31.0,603.0,19.5,4.0,
73.0,Trevon Grimes,Florida,SEC,11.0,38.0,589.0,15.5,9.0,53.5,1.0,4.0,4.0,0.0,0.4,39.0,593.0,15.2,9.0,
74.0,Travis Etienne,Clemson,ACC,12.0,48.0,588.0,12.3,2.0,49.0,168.0,914.0,5.4,14.0,76.2,216.0,1502.0,7.0,16.0,AA
75.0,Antonio Nunn,Buffalo,MAC,7.0,37.0,584.0,15.8,2.0,83.4,0.0,0.0,,0.0,0.0,37.0,584.0,15.8,2.0,
76.0,Jarrin Pierce,Middle Tennessee State,CUSA,9.0,59.0,584.0,9.9,3.0,64.9,0.0,0.0,,0.0,0.0,59.0,584.0,9.9,3.0,
77.0,Marcell Barbee,Texas State,Sun Belt,12.0,40.0,584.0,14.6,10.0,48.7,0.0,0.0,,0.0,0.0,40.0,584.0,14.6,10.0,
78.0,Donavon Greene,Wake Forest,ACC,8.0,29.0,582.0,20.1,2.0,72.8,0.0,0.0,,0.0,0.0,29.0,582.0,20.1,2.0,
79.0,Sean Dykes,Memphis,American,11.0,47.0,581.0,12.4,7.0,52.8,0.0,0.0,,0.0,0.0,47.0,581.0,12.4,7.0,
80.0,Blake Proehl,East Carolina,American,9.0,47.0,577.0,12.3,4.0,64.1,0.0,0.0,,0.0,0.0,47.0,577.0,12.3,4.0,
81.0,Brevin Jordan,Miami (FL),ACC,8.0,38.0,576.0,15.2,7.0,72.0,2.0,1.0,0.5,0.0,0.1,40.0,577.0,14.4,7.0,
82.0,Simi Fehoko,Stanford,Pac-12,6.0,37.0,574.0,15.5,3.0,95.7,1.0,-1.0,-1.0,0.0,-0.2,38.0,573.0,15.1,3.0,
83.0,Dillon Stoner,Oklahoma State,Big 12,11.0,42.0,573.0,13.6,4.0,52.1,0.0,0.0,,0.0,0.0,42.0,573.0,13.6,4.0,
84.0,Ainias Smith,Texas A&M,SEC,10.0,43.0,564.0,13.1,6.0,56.4,49.0,293.0,6.0,4.0,29.3,92.0,857.0,9.3,10.0,
85.0,Winston Wright,West Virginia,Big 12,10.0,47.0,553.0,11.8,2.0,55.3,2.0,4.0,2.0,0.0,0.4,49.0,557.0,11.4,2.0,
86.0,Joshua Cephus,UTSA,CUSA,12.0,58.0,547.0,9.4,5.0,45.6,2.0,-13.0,-6.5,0.0,-1.1,60.0,534.0,8.9,5.0,
87.0,Calvin Turner,Hawaii,MWC,9.0,33.0,546.0,16.5,6.0,60.7,60.0,331.0,5.5,4.0,36.8,93.0,877.0,9.4,10.0,
88.0,Cam Johnson,Vanderbilt,SEC,9.0,56.0,545.0,9.7,3.0,60.6,0.0,0.0,,0.0,0.0,56.0,545.0,9.7,3.0,
89.0,J.C. Santana,Tulsa,American,9.0,34.0,544.0,16.0,4.0,60.4,2.0,20.0,10.0,0.0,2.2,36.0,564.0,15.7,4.0,
90.0,Dahu Green,Arkansas State,Sun Belt,10.0,32.0,542.0,16.9,5.0,54.2,0.0,0.0,,0.0,0.0,32.0,542.0,16.9,5.0,
91.0,Jacob Harris,UCF,American,10.0,30.0,539.0,18.0,8.0,53.9,0.0,0.0,,0.0,0.0,30.0,539.0,18.0,8.0,
92.0,Kylen Granson,SMU,American,10.0,35.0,536.0,15.3,5.0,53.6,1.0,0.0,0.0,0.0,0.0,36.0,536.0,14.9,5.0,
93.0,Malik Williams,Appalachian State,Sun Belt,11.0,41.0,536.0,13.1,3.0,48.7,1.0,-2.0,-2.0,0.0,-0.2,42.0,534.0,12.7,3.0,
94.0,Reginald Todd,Troy,Sun Belt,11.0,43.0,530.0,12.3,6.0,48.2,0.0,0.0,,0.0,0.0,43.0,530.0,12.3,6.0,
95.0,Theo Wease,Oklahoma,Big 12,11.0,37.0,530.0,14.3,4.0,48.2,1.0,-10.0,-10.0,0.0,-0.9,38.0,520.0,13.7,4.0,
96.0,Thayer Thomas,North Carolina State,ACC,12.0,42.0,529.0,12.6,6.0,44.1,1.0,-6.0,-6.0,0.0,-0.5,43.0,523.0,12.2,6.0,
97.0,Tre Turner,Virginia Tech,ACC,10.0,34.0,529.0,15.6,3.0,52.9,9.0,60.0,6.7,2.0,6.0,43.0,589.0,13.7,5.0,
98.0,Kenny Yeboah,Ole Miss,SEC,8.0,27.0,524.0,19.4,6.0,65.5,0.0,0.0,,0.0,0.0,27.0,524.0,19.4,6.0,
99.0,Tyler Snead,East Carolina,American,9.0,53.0,524.0,9.9,5.0,58.2,3.0,68.0,22.7,1.0,7.6,56.0,592.0,10.6,6.0,
100.0,D.J. Stubbs,Liberty,Ind,11.0,38.0,523.0,13.8,3.0,47.5,2.0,-10.0,-5.0,0.0,-0.9,40.0,513.0,12.8,3.0,
101.0,Jalen Cropper,Fresno State,MWC,6.0,37.0,520.0,14.1,5.0,86.7,4.0,27.0,6.8,0.0,4.5,41.0,547.0,13.3,5.0,
102.0,Deonte Simpson,North Texas,CUSA,8.0,25.0,517.0,20.7,4.0,64.6,0.0,-4.0,,0.0,-0.5,25.0,513.0,20.5,4.0,
103.0,Greg Dulcich,UCLA,Pac-12,7.0,26.0,517.0,19.9,5.0,73.9,0.0,0.0,,0.0,0.0,26.0,517.0,19.9,5.0,
104.0,Jalen Nailor,Michigan State,Big Ten,7.0,26.0,515.0,19.8,4.0,73.6,2.0,11.0,5.5,0.0,1.6,28.0,526.0,18.8,4.0,
105.0,Lavel Davis,Virginia,ACC,8.0,20.0,515.0,25.8,5.0,64.4,0.0,0.0,,0.0,0.0,20.0,515.0,25.8,5.0,
106.0,Kearis Jackson,Georgia,SEC,10.0,36.0,514.0,14.3,3.0,51.4,0.0,0.0,,0.0,0.0,36.0,514.0,14.3,3.0,
107.0,George Pickens,Georgia,SEC,8.0,36.0,513.0,14.3,6.0,64.1,0.0,0.0,,0.0,0.0,36.0,513.0,14.3,6.0,
108.0,Duece Watts,Tulane,American,12.0,31.0,512.0,16.5,6.0,42.7,1.0,2.0,2.0,0.0,0.2,32.0,514.0,16.1,6.0,
109.0,Justin Garrett,UTEP,CUSA,8.0,38.0,510.0,13.4,3.0,63.8,0.0,0.0,,0.0,0.0,38.0,510.0,13.4,3.0,
110.0,Hassan Beydoun,Eastern Michigan,MAC,5.0,40.0,508.0,12.7,0.0,101.6,0.0,0.0,,0.0,0.0,40.0,508.0,12.7,0.0,
111.0,Ramaud Chiaokhiao-Bowman,Northwestern,Big Ten,9.0,41.0,508.0,12.4,5.0,56.4,1.0,0.0,0.0,0.0,0.0,42.0,508.0,12.1,5.0,
112.0,Brandon Bowling,Arkansas State,Sun Belt,11.0,39.0,507.0,13.0,7.0,46.1,0.0,0.0,,0.0,0.0,39.0,507.0,13.0,7.0,
113.0,Jalen Wydermyer,Texas A&M,SEC,10.0,46.0,506.0,11.0,6.0,50.6,0.0,0.0,,0.0,0.0,46.0,506.0,11.0,6.0,
114.0,Osirus Mitchell,Mississippi State,SEC,11.0,47.0,505.0,10.7,4.0,45.9,0.0,0.0,,0.0,0.0,47.0,505.0,10.7,4.0,
115.0,Drake London,USC,Pac-12,6.0,33.0,502.0,15.2,3.0,83.7,0.0,0.0,,0.0,0.0,33.0,502.0,15.2,3.0,
116.0,Josh Johnson,Tulsa,American,9.0,38.0,499.0,13.1,6.0,55.4,1.0,3.0,3.0,0.0,0.3,39.0,502.0,12.9,6.0,
117.0,R.J. Sneed,Baylor,Big 12,9.0,39.0,497.0,12.7,3.0,55.2,0.0,0.0,,0.0,0.0,39.0,497.0,12.7,3.0,
118.0,Whop Philyor,Indiana,Big Ten,8.0,54.0,495.0,9.2,3.0,61.9,1.0,8.0,8.0,0.0,1.0,55.0,503.0,9.1,3.0,
119.0,Parker Washington,Penn State,Big Ten,9.0,36.0,489.0,13.6,6.0,54.3,0.0,0.0,,0.0,0.0,36.0,489.0,13.6,6.0,
120.0,Quentin Johnston,Texas Christian,Big 12,9.0,22.0,487.0,22.1,2.0,54.1,3.0,3.0,1.0,2.0,0.3,25.0,490.0,19.6,4.0,
121.0,Tim Jones,Southern Mississippi,CUSA,8.0,30.0,480.0,16.0,4.0,60.0,0.0,0.0,,0.0,0.0,30.0,480.0,16.0,4.0,
122.0,Amon-Ra St. Brown,USC,Pac-12,6.0,41.0,478.0,11.7,7.0,79.7,0.0,0.0,,0.0,0.0,41.0,478.0,11.7,7.0,
123.0,Devin Carter,North Carolina State,ACC,12.0,29.0,477.0,16.4,2.0,39.8,0.0,0.0,,0.0,0.0,29.0,477.0,16.4,2.0,
124.0,Josh Palmer,Tennessee,SEC,10.0,33.0,475.0,14.4,4.0,47.5,0.0,0.0,,0.0,0.0,33.0,475.0,14.4,4.0,
125.0,Reggie Roberson Jr.,SMU,American,5.0,22.0,474.0,21.5,5.0,94.8,0.0,0.0,,0.0,0.0,22.0,474.0,21.5,5.0,
126.0,Josh Ali,Kentucky,SEC,11.0,54.0,473.0,8.8,1.0,43.0,1.0,15.0,15.0,0.0,1.4,55.0,488.0,8.9,1.0,
127.0,Joshua Moore,Texas,Big 12,10.0,30.0,472.0,15.7,9.0,47.2,1.0,-1.0,-1.0,0.0,-0.1,31.0,471.0,15.2,9.0,
128.0,Rashod Bateman,Minnesota,Big Ten,5.0,36.0,472.0,13.1,2.0,94.4,0.0,0.0,,0.0,0.0,36.0,472.0,13.1,2.0,
129.0,Brennan Eagles,Texas,Big 12,9.0,28.0,469.0,16.8,5.0,52.1,0.0,0.0,,0.0,0.0,28.0,469.0,16.8,5.0,
130.0,Austin Watkins,UAB,CUSA,7.0,34.0,468.0,13.8,3.0,66.9,0.0,0.0,,0.0,0.0,34.0,468.0,13.8,3.0,
131.0,Wan'Dale Robinson,Nebraska,Big Ten,8.0,51.0,461.0,9.0,1.0,57.6,46.0,240.0,5.2,1.0,30.0,97.0,701.0,7.2,2.0,
132.0,CJ Lewis,Boston College,ACC,11.0,28.0,460.0,16.4,5.0,41.8,0.0,0.0,,0.0,0.0,28.0,460.0,16.4,5.0,
133.0,Keke Chism,Missouri,SEC,9.0,35.0,458.0,13.1,1.0,50.9,1.0,-15.0,-15.0,0.0,-1.7,36.0,443.0,12.3,1.0,
134.0,Kwamie Lassiter II,Kansas,Big 12,9.0,43.0,458.0,10.7,2.0,50.9,0.0,0.0,,0.0,0.0,43.0,458.0,10.7,2.0,
135.0,Yusuf Ali,Middle Tennessee State,CUSA,7.0,37.0,457.0,12.4,2.0,65.3,0.0,0.0,,0.0,0.0,37.0,457.0,12.4,2.0,
