Season,Team,Cmp,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C
,,,,,,,,,,,,,,,,,,,,,,,
2021,Mississippi State,518,13,7,6,0,.538,378,337,41,518,704,186,73.6,4918,37,9,5.3,1.3,147.0,7.0,7.46,9.5
2022,Mississippi State,428,13,9,4,0,.692,411,300,111,428,634,206,67.5,4046,36,9,5.7,1.4,137.0,6.4,6.88,9.5
2019,LSU,426,15,15,0,0,1.000,726,328,398,426,567,141,75.1,6024,61,7,10.8,1.2,197.4,10.6,12.22,14.1
2021,Alabama,380,15,13,2,0,.867,598,302,296,380,571,191,66.5,5073,48,7,8.4,1.2,166.5,8.9,10.01,13.4
2020,Mississippi State,373,11,4,7,0,.364,235,309,-74,373,557,184,67.0,3259,17,18,3.1,3.2,119.7,5.9,5.01,8.7
2024,Texas,357,16,13,3,0,.813,528,245,283,357,541,184,66.0,4460,40,14,7.4,2.6,154.5,8.2,8.56,12.5
2024,LSU,344,13,9,4,0,.692,396,316,80,344,534,190,64.4,4097,29,12,5.4,2.2,142.3,7.7,7.75,11.9
2013,Texas A&M,339,13,9,4,0,.692,575,419,156,339,489,150,69.3,4593,40,13,8.2,2.7,169.9,9.4,9.83,13.5
2024,Georgia,336,14,11,3,0,.786,441,288,153,336,513,177,65.5,3934,29,13,5.7,2.5,143.5,7.7,7.66,11.7
2022,Georgia,336,15,15,0,0,1.000,616,214,402,336,493,157,68.2,4438,31,7,6.3,1.4,161.7,9.0,9.62,13.2
2007,Tennessee,333,14,10,4,0,.714,455,382,73,333,534,201,62.4,3675,33,12,6.2,2.2,136.1,6.9,7.11,11.0
2014,Texas A&M,332,13,8,5,0,.615,458,365,93,332,514,182,64.6,3971,39,15,7.6,2.9,148.7,7.7,7.93,12.0
2015,Mississippi State,331,13,9,4,0,.692,447,302,145,331,500,169,66.2,4113,33,5,6.6,1.0,155.1,8.2,9.10,12.4
2007,Kentucky,331,13,8,5,0,.615,475,385,90,331,528,197,62.7,3743,40,12,7.6,2.3,142.7,7.1,7.58,11.3
2012,Texas A&M,329,13,11,2,0,.846,578,283,295,329,492,163,66.9,4114,28,10,5.7,2.0,151.8,8.4,8.59,12.5
2023,Georgia,328,14,13,1,0,.929,562,219,343,328,457,129,71.8,4274,29,7,6.3,1.5,168.2,9.4,9.93,13.0
2020,Alabama,324,13,13,0,0,1.000,630,252,378,324,425,101,76.2,4656,42,4,9.9,0.9,199.0,11.0,12.51,14.4
2022,LSU,322,14,10,4,0,.714,483,315,168,322,480,158,67.1,3770,23,7,4.8,1.5,146.0,7.9,8.16,11.7
2000,Kentucky,322,11,2,9,0,.182,254,383,-129,322,564,242,57.1,3689,19,21,3.4,3.7,115.7,6.5,5.54,11.5
2020,Florida,321,12,8,4,0,.667,478,370,108,321,473,152,67.9,4543,46,10,9.7,2.1,176.4,9.6,10.60,14.2
2015,Ole Miss,318,13,10,3,0,.769,531,294,237,318,489,171,65.0,4351,35,14,7.2,2.9,157.7,8.9,9.04,13.7
2019,Florida,317,13,11,2,0,.846,432,201,231,317,467,150,67.9,3910,33,10,7.1,2.1,157.2,8.4,8.82,12.3
2013,Ole Miss,310,13,8,5,0,.615,390,308,82,310,490,180,63.3,3683,24,13,4.9,2.7,137.3,7.5,7.30,11.9
2021,Missouri,301,13,6,7,0,.462,378,440,-62,301,454,153,66.3,3036,18,11,4.0,2.4,130.7,6.7,6.39,10.1
2018,Alabama,301,15,14,1,0,.933,684,271,413,301,438,137,68.7,4854,52,8,11.9,1.8,197.3,11.1,12.63,16.1
2015,Alabama,301,15,14,1,0,.933,526,227,299,301,446,145,67.5,3407,22,10,4.9,2.2,143.5,7.6,7.62,11.3
2010,Arkansas,301,13,10,3,0,.769,474,304,170,301,465,164,64.7,4338,36,15,7.7,3.2,162.2,9.3,9.43,14.4
2011,Arkansas,299,13,11,2,0,.846,478,289,189,299,471,172,63.5,3909,26,7,5.5,1.5,148.4,8.3,8.73,13.1
2001,Florida,299,11,10,2,0,.833,482,155,327,299,464,165,64.4,4457,43,13,9.3,2.8,170.1,9.6,10.20,14.9
2010,Kentucky,298,13,6,7,0,.462,406,369,37,298,458,160,65.1,3501,26,9,5.7,2.0,144.1,7.6,7.90,11.7
2024,Ole Miss,295,13,10,3,0,.769,502,187,315,295,434,139,68.0,4561,31,7,7.1,1.6,176.6,10.5,11.21,15.5
2002,Florida,295,13,8,5,0,.615,336,279,57,295,517,222,57.1,3519,22,18,4.3,3.5,121.3,6.8,6.09,11.9
2013,Georgia,293,13,8,5,0,.615,477,377,100,293,459,166,63.8,4085,31,12,6.8,2.6,155.7,8.9,9.07,13.9
2022,Tennessee,290,13,11,2,0,.846,599,296,303,290,422,132,68.7,4239,38,3,9.0,0.7,181.4,10.0,11.53,14.6
2014,Alabama,290,14,12,2,0,.857,517,258,259,290,451,161,64.3,3890,32,10,7.1,2.2,155.7,8.6,9.05,13.4
2016,Ole Miss,289,12,5,7,0,.417,391,408,-17,289,483,194,59.8,3779,27,14,5.6,2.9,138.2,7.8,7.64,13.1
2019,Alabama,287,13,11,2,0,.846,614,242,372,287,406,119,70.7,4449,49,6,12.1,1.5,199.6,11.0,12.71,15.5
2023,LSU,286,13,10,3,0,.769,592,364,228,286,411,125,69.6,4406,44,5,10.7,1.2,192.5,10.7,12.31,15.4
2021,Ole Miss,286,13,10,3,0,.769,438,321,117,286,429,143,66.7,3573,21,7,4.9,1.6,149.5,8.3,8.57,12.5
2012,Tennessee,285,12,5,7,0,.417,434,428,6,285,477,192,59.7,3787,35,14,7.3,2.9,144.8,7.9,8.09,13.3
2023,South Carolina,283,12,5,7,0,.417,312,316,-4,283,412,129,68.7,3336,21,8,5.1,1.9,149.6,8.1,8.24,11.8
2002,Ole Miss,283,13,7,6,0,.538,351,331,20,283,486,203,58.2,3437,21,15,4.3,3.1,125.7,7.1,6.55,12.1
2023,Florida,282,12,5,7,0,.417,341,331,10,282,390,108,72.3,3111,20,5,5.1,1.3,153.7,8.0,8.43,11.0
2018,Ole Miss,282,12,5,7,0,.417,407,434,-27,282,441,159,63.9,4157,21,9,4.8,2.0,154.8,9.4,9.46,14.7
2003,Ole Miss,282,13,10,3,0,.769,442,285,157,282,449,167,62.8,3718,31,10,6.9,2.2,150.7,8.3,8.66,13.2
2022,South Carolina,281,13,8,5,0,.615,418,375,43,281,421,140,66.7,3380,23,14,5.5,3.3,145.6,8.0,7.62,12.0
2018,Missouri,281,13,8,5,0,.615,476,331,145,281,451,170,62.3,3632,28,8,6.2,1.8,146.9,8.1,8.50,12.9
2017,Ole Miss,281,12,6,6,0,.500,394,415,-21,281,434,153,64.7,3941,28,13,6.5,3.0,156.3,9.1,9.02,14.0
2014,Tennessee,281,13,7,6,0,.538,376,315,61,281,453,172,62.0,2914,23,14,5.1,3.1,126.6,6.4,6.06,10.4
2022,Alabama,280,13,11,2,0,.846,534,236,298,280,438,158,63.9,3660,37,8,8.4,1.8,158.3,8.4,9.22,13.1
2014,South Carolina,277,13,7,6,0,.538,424,395,29,277,468,191,59.2,3671,28,11,6.0,2.4,140.1,7.8,7.98,13.3
2023,Texas A&M,274,13,7,6,0,.538,433,287,146,274,426,152,64.3,3520,24,10,5.6,2.3,147.6,8.3,8.33,12.8
2005,Vanderbilt,274,11,5,6,0,.455,299,321,-22,274,467,193,58.7,3086,21,9,4.5,1.9,125.2,6.6,6.64,11.3
2003,Georgia,274,14,11,3,0,.786,371,203,168,274,461,187,59.4,3435,14,12,3.0,2.6,126.8,7.5,6.89,12.5
2019,Texas A&M,273,13,8,5,0,.615,384,293,91,273,452,179,60.4,3060,22,10,4.9,2.2,128.9,6.8,6.75,11.2
2015,Texas A&M,273,13,8,5,0,.615,361,286,75,273,482,209,56.6,3360,25,15,5.2,3.1,126.1,7.0,6.61,12.3
2006,Kentucky,273,13,8,5,0,.615,347,369,-22,273,436,163,62.6,3597,31,7,7.1,1.6,152.2,8.3,8.95,13.2
2018,South Carolina,272,13,7,6,0,.538,391,354,37,272,443,171,61.4,3547,32,14,7.2,3.2,146.2,8.0,8.03,13.0
2012,Arkansas,272,12,4,8,0,.333,282,365,-83,272,459,187,59.3,3618,23,16,5.0,3.5,135.0,7.9,7.32,13.3
2019,South Carolina,268,12,4,8,0,.333,269,313,-44,268,466,198,57.5,2667,12,7,2.6,1.5,111.1,5.7,5.56,10.0
2021,Auburn,267,13,6,7,0,.462,368,283,85,267,453,186,58.9,3121,17,4,3.8,0.9,127.4,6.9,7.24,11.7
2013,Missouri,267,14,12,2,0,.857,548,323,225,267,454,187,58.8,3540,31,8,6.8,1.8,143.3,7.8,8.37,13.3
2021,Florida,265,13,6,7,0,.462,399,348,51,265,416,151,63.7,3304,26,18,6.3,4.3,142.4,7.9,7.25,12.5
2016,Alabama,265,15,14,1,0,.933,582,195,387,265,417,152,63.5,3154,26,9,6.2,2.2,143.3,7.6,7.84,11.9
2006,Tennessee,265,13,9,4,0,.692,362,254,108,265,415,150,63.9,3438,24,11,5.8,2.7,147.2,8.3,8.25,13.0
2000,Florida,265,12,10,3,0,.769,448,236,212,265,466,201,56.9,3698,34,12,7.3,2.6,142.5,7.9,8.24,14.0
2021,Georgia,264,15,14,1,0,.933,579,153,426,264,407,143,64.9,3778,39,12,9.6,2.9,168.6,9.3,9.87,14.3
2007,Alabama,263,13,7,6,0,.538,352,286,66,263,472,209,55.7,2919,19,12,4.0,2.5,115.9,6.2,5.85,11.1
2001,Ole Miss,263,11,7,4,0,.636,391,310,81,263,417,154,63.1,2978,31,9,7.4,2.2,143.3,7.1,7.66,11.3
2023,Tennessee,262,13,9,4,0,.692,413,264,149,262,410,148,63.9,3162,22,5,5.4,1.2,144.0,7.7,8.24,12.1
2021,LSU,262,13,6,7,0,.462,345,346,-1,262,443,181,59.1,3308,32,11,7.2,2.5,140.7,7.5,7.79,12.6
2014,Mississippi State,261,13,10,3,0,.769,480,282,198,261,423,162,61.7,3649,31,12,7.3,2.8,152.7,8.6,8.82,14.0
2012,Ole Miss,261,13,7,6,0,.538,409,359,50,261,411,150,63.5,3249,24,18,5.8,4.4,140.4,7.9,7.10,12.4
2018,Vanderbilt,258,13,6,7,0,.462,370,346,24,258,416,158,62.0,3168,24,6,5.8,1.4,142.1,7.6,8.12,12.3
2014,Ole Miss,258,13,9,4,0,.692,368,208,160,258,428,170,60.3,3427,24,15,5.6,3.5,139.0,8.0,7.55,13.3
2007,South Carolina,258,12,6,6,0,.500,313,282,31,258,443,185,58.2,3098,20,17,4.5,3.8,124.2,7.0,6.17,12.0
2011,Georgia,257,14,10,4,0,.714,448,288,160,257,434,177,59.2,3423,37,14,8.5,3.2,147.2,7.9,8.14,13.3
2002,Georgia,257,14,13,1,0,.929,450,212,238,257,445,188,57.8,3435,28,10,6.3,2.2,138.9,7.7,7.97,13.4
2023,Ole Miss,256,13,11,2,0,.846,456,293,163,256,394,138,65.0,3713,26,6,6.6,1.5,162.9,9.4,10.06,14.5
2007,LSU,256,14,12,2,0,.857,541,279,262,256,442,186,57.9,3154,29,13,6.6,2.9,133.6,7.1,7.12,12.3
2024,Arkansas,255,13,7,6,0,.538,402,325,77,255,414,159,61.6,3571,16,9,3.9,2.2,142.5,8.6,8.42,14.0
2019,Georgia,255,14,12,2,0,.857,431,176,255,255,415,160,61.4,3122,26,6,6.3,1.4,142.4,7.5,8.13,12.2
2017,Auburn,255,14,10,4,0,.714,474,259,215,255,382,127,66.8,3267,21,6,5.5,1.6,153.6,8.6,8.95,12.8
2016,Texas A&M,255,13,8,5,0,.615,453,319,134,255,469,214,54.4,3317,25,9,5.3,1.9,127.5,7.1,7.28,13.0
2006,Florida,255,14,13,1,0,.929,416,189,227,255,399,144,63.9,3305,29,14,7.3,3.5,150.5,8.3,8.16,13.0
2003,LSU,255,14,13,1,0,.929,475,154,321,255,401,146,63.6,3257,30,15,7.5,3.7,149.0,8.1,7.94,12.8
2018,Texas A&M,254,13,9,4,0,.692,468,329,139,254,442,188,57.5,3284,25,9,5.7,2.0,134.5,7.4,7.64,12.9
2012,Georgia,254,14,12,2,0,.857,529,275,254,254,399,145,63.7,3991,37,11,9.3,2.8,172.8,10.0,10.62,15.7
2017,Texas A&M,253,13,7,6,0,.538,425,399,26,253,449,196,56.3,3266,22,12,4.9,2.7,128.3,7.3,7.05,12.9
2013,Mississippi State,253,13,7,6,0,.538,360,299,61,253,429,176,59.0,3178,18,12,4.2,2.8,129.5,7.4,6.99,12.6
2010,Alabama,253,13,10,3,0,.769,464,176,288,253,362,109,69.9,3395,24,5,6.6,1.4,167.8,9.4,10.08,13.4
2008,Arkansas,253,12,5,7,0,.417,263,374,-111,253,443,190,57.1,3115,19,18,4.3,4.1,122.2,7.0,6.06,12.3
2010,South Carolina,252,14,9,5,0,.643,433,324,109,252,389,137,64.8,3338,23,17,5.9,4.4,147.6,8.6,7.80,13.2
2001,Kentucky,252,11,2,9,0,.182,259,367,-108,252,446,194,56.5,3031,23,13,5.2,2.9,124.8,6.8,6.52,12.0
2022,Missouri,251,13,6,7,0,.462,323,327,-4,251,396,145,63.4,2783,14,9,3.5,2.3,129.5,7.0,6.71,11.1
2024,Missouri,250,13,10,3,0,.769,376,265,111,250,404,154,61.9,2926,14,5,3.5,1.2,131.7,7.2,7.38,11.7
2016,Missouri,249,12,4,8,0,.333,377,378,-1,249,448,199,55.6,3545,25,10,5.6,2.2,136.0,7.9,8.02,14.2
2012,Mississippi State,249,13,8,5,0,.615,383,303,80,249,424,175,58.7,3091,28,10,6.6,2.4,137.0,7.3,7.55,12.4
2009,Florida,249,14,13,1,0,.929,502,174,328,249,364,115,68.4,3305,28,5,7.7,1.4,167.3,9.1,10.00,13.3
2008,South Carolina,249,13,7,6,0,.538,270,274,-4,249,452,203,55.1,2892,20,27,4.4,6.0,111.5,6.4,4.60,11.6
2023,Missouri,248,13,11,2,0,.846,423,271,152,248,378,130,65.6,3410,23,7,6.1,1.9,157.8,9.0,9.40,13.8
2016,South Carolina,248,13,6,7,0,.462,270,344,-74,248,402,154,61.7,2771,12,7,3.0,1.7,126.0,6.9,6.71,11.2
2020,LSU,247,10,5,5,0,.500,320,349,-29,247,421,174,58.7,3122,24,9,5.7,2.1,135.5,7.4,7.59,12.6
2017,Missouri,247,13,7,6,0,.538,488,414,74,247,430,183,57.4,4012,44,14,10.2,3.3,163.1,9.3,9.91,16.2
2016,Arkansas,247,13,7,6,0,.538,394,404,-10,247,406,159,60.8,3434,26,15,6.4,3.7,145.6,8.5,8.08,13.9
2009,Arkansas,247,13,8,5,0,.615,468,326,142,247,439,192,56.3,3842,32,9,7.3,2.1,149.7,8.8,9.29,15.6
2020,Missouri,246,10,5,5,0,.500,267,323,-56,246,363,117,67.8,2668,9,6,2.5,1.7,134.4,7.3,7.10,10.8
2015,Arkansas,246,13,8,5,0,.615,467,356,111,246,374,128,65.8,3486,31,8,8.3,2.1,167.1,9.3,10.02,14.2
2008,Georgia,246,13,10,3,0,.769,409,319,90,246,400,154,61.5,3610,27,10,6.8,2.5,154.6,9.0,9.25,14.7
2017,South Carolina,245,13,9,4,0,.692,315,269,46,245,397,152,61.7,2794,18,12,4.5,3.0,129.7,7.0,6.58,11.4
2006,LSU,245,13,11,2,0,.846,438,164,274,245,368,123,66.6,3272,30,9,8.2,2.4,163.3,8.9,9.42,13.4
2013,Alabama,244,13,11,2,0,.846,496,181,315,244,365,121,66.8,3230,30,7,8.2,1.9,164.5,8.8,9.63,13.2
2009,South Carolina,244,13,7,6,0,.538,268,265,3,244,440,196,55.5,2940,18,10,4.1,2.3,120.5,6.7,6.48,12.0
2003,Florida,244,13,8,5,0,.615,390,271,119,244,406,162,60.1,3190,20,14,4.9,3.4,135.5,7.9,7.29,13.1
2021,Tennessee,243,13,7,6,0,.538,511,378,133,243,376,133,64.6,3342,33,3,8.8,0.8,166.7,8.9,10.28,13.8
2013,Vanderbilt,243,13,9,4,0,.692,391,320,71,243,376,133,64.6,2958,15,16,4.0,4.3,135.4,7.9,6.75,12.2
2006,South Carolina,243,13,8,5,0,.615,346,243,103,243,389,146,62.5,3259,24,13,6.2,3.3,146.5,8.4,8.11,13.4
2004,Florida,243,12,7,5,0,.583,382,253,129,243,407,164,59.7,3253,29,12,7.1,2.9,144.5,8.0,8.09,13.4
2021,Kentucky,242,13,10,3,0,.769,420,282,138,242,366,124,66.1,2933,24,13,6.6,3.6,148.0,8.0,7.73,12.1
2018,Georgia,241,14,11,3,0,.786,530,269,261,241,356,115,67.7,3165,34,6,9.6,1.7,170.5,8.9,10.04,13.1
2016,Florida,241,13,9,4,0,.692,311,218,93,241,410,169,58.8,2805,18,15,4.4,3.7,123.4,6.8,6.07,11.6
2005,Florida,241,12,9,3,0,.750,343,226,117,241,385,144,62.6,2720,20,7,5.2,1.8,135.4,7.1,7.29,11.3
2007,Florida,240,13,9,4,0,.692,552,331,221,240,361,121,66.5,3341,32,6,8.9,1.7,170.2,9.3,10.28,13.9
2022,Ole Miss,239,13,8,5,0,.615,435,332,103,239,387,148,61.8,3117,22,12,5.7,3.1,142.0,8.1,7.80,13.0
2013,South Carolina,239,13,11,2,0,.846,443,264,179,239,383,144,62.4,3300,30,4,7.8,1.0,158.5,8.6,9.71,13.8
2020,Ole Miss,238,10,5,5,0,.500,392,383,9,238,335,97,71.0,3449,30,14,9.0,4.2,178.7,10.3,10.21,14.5
2016,Tennessee,238,13,9,4,0,.692,473,375,98,238,379,141,62.8,3100,28,12,7.4,3.2,149.6,8.2,8.23,13.0
