Season,Team,Cmp,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp.1,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C
2023,Georgia,328.0,14.0,13.0,1.0,0.0,0.929,562.0,219.0,343.0,328.0,457.0,129.0,71.8,4274.0,29.0,7.0,6.3,1.5,168.2,9.4,9.93,13.0
2023,LSU,286.0,13.0,10.0,3.0,0.0,0.769,592.0,364.0,228.0,286.0,411.0,125.0,69.6,4406.0,44.0,5.0,10.7,1.2,192.5,10.7,12.31,15.4
2023,South Carolina,283.0,12.0,5.0,7.0,0.0,0.417,312.0,316.0,-4.0,283.0,412.0,129.0,68.7,3336.0,21.0,8.0,5.1,1.9,149.6,8.1,8.24,11.8
2023,Florida,282.0,12.0,5.0,7.0,0.0,0.417,341.0,331.0,10.0,282.0,390.0,108.0,72.3,3111.0,20.0,5.0,5.1,1.3,153.7,8.0,8.43,11.0
2023,Texas A&M,274.0,13.0,7.0,6.0,0.0,0.538,433.0,287.0,146.0,274.0,426.0,152.0,64.3,3520.0,24.0,10.0,5.6,2.3,147.6,8.3,8.33,12.8
2023,Tennessee,262.0,13.0,9.0,4.0,0.0,0.692,413.0,264.0,149.0,262.0,410.0,148.0,63.9,3162.0,22.0,5.0,5.4,1.2,144.0,7.7,8.24,12.1
2023,Ole Miss,256.0,13.0,11.0,2.0,0.0,0.846,456.0,293.0,163.0,256.0,394.0,138.0,65.0,3713.0,26.0,6.0,6.6,1.5,162.9,9.4,10.06,14.5
2023,Missouri,248.0,13.0,11.0,2.0,0.0,0.846,423.0,271.0,152.0,248.0,378.0,130.0,65.6,3410.0,23.0,7.0,6.1,1.9,157.8,9.0,9.4,13.8
2023,Vanderbilt,217.0,12.0,2.0,10.0,0.0,0.167,274.0,434.0,-160.0,217.0,390.0,173.0,55.6,2684.0,23.0,12.0,5.9,3.1,126.8,6.9,6.68,12.4
2023,Kentucky,211.0,13.0,7.0,6.0,0.0,0.538,378.0,336.0,42.0,211.0,375.0,164.0,56.3,2751.0,25.0,12.0,6.7,3.2,133.5,7.3,7.23,13.0
2023,Alabama,208.0,14.0,12.0,2.0,0.0,0.857,476.0,266.0,210.0,208.0,325.0,117.0,64.0,3086.0,23.0,6.0,7.1,1.8,163.4,9.5,10.08,14.8
2023,Arkansas,207.0,12.0,4.0,8.0,0.0,0.333,319.0,335.0,-16.0,207.0,323.0,116.0,64.1,2250.0,22.0,8.0,6.8,2.5,140.1,7.0,7.21,10.9
2023,Mississippi State,201.0,12.0,5.0,7.0,0.0,0.417,262.0,319.0,-57.0,201.0,348.0,147.0,57.8,2182.0,15.0,10.0,4.3,2.9,118.9,6.3,5.84,10.9
2023,Auburn,189.0,13.0,6.0,7.0,0.0,0.462,340.0,294.0,46.0,189.0,317.0,128.0,59.6,2109.0,18.0,13.0,5.7,4.1,126.0,6.7,5.94,11.2
2023,Maryland,307.0,13.0,8.0,5.0,0.0,0.615,386.0,292.0,94.0,307.0,477.0,170.0,64.4,3626.0,27.0,13.0,5.7,2.7,141.4,7.6,7.51,11.8
2023,Wisconsin,281.0,13.0,7.0,6.0,0.0,0.538,305.0,262.0,43.0,281.0,469.0,188.0,59.9,2862.0,14.0,5.0,3.0,1.1,118.9,6.1,6.22,10.2
2023,Illinois,261.0,12.0,5.0,7.0,0.0,0.417,294.0,353.0,-59.0,261.0,415.0,154.0,62.9,3175.0,23.0,13.0,5.5,3.1,139.2,7.7,7.35,12.2
2023,Michigan,260.0,15.0,15.0,0.0,0.0,1.0,538.0,156.0,382.0,260.0,361.0,101.0,72.0,3205.0,24.0,5.0,6.6,1.4,165.8,8.9,9.58,12.3
2023,Ohio State,255.0,13.0,11.0,2.0,0.0,0.846,397.0,146.0,251.0,255.0,400.0,145.0,63.8,3498.0,26.0,7.0,6.5,1.8,155.2,8.7,9.26,13.7
2023,Penn State,246.0,13.0,10.0,3.0,0.0,0.769,471.0,175.0,296.0,246.0,413.0,167.0,59.6,2795.0,30.0,2.0,7.3,0.5,139.4,6.8,8.0,11.4
2023,Northwestern,241.0,13.0,8.0,5.0,0.0,0.615,287.0,293.0,-6.0,241.0,389.0,148.0,62.0,2626.0,20.0,8.0,5.1,2.1,131.5,6.8,6.85,10.9
2023,Purdue,234.0,12.0,4.0,8.0,0.0,0.333,287.0,365.0,-78.0,234.0,392.0,158.0,59.7,2534.0,15.0,10.0,3.8,2.6,121.5,6.5,6.08,10.8
2023,Michigan State,221.0,12.0,4.0,8.0,0.0,0.333,191.0,340.0,-149.0,221.0,379.0,158.0,58.3,2398.0,14.0,13.0,3.7,3.4,116.8,6.3,5.52,10.9
