Season,Team,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Att,Yds,Y/A,TD
,,,,,,,,,,,,,,
2013,Auburn,728,14,12,2,0,.857,553,346,207,728,4598,6.3,48
2017,Georgia,673,15,13,2,0,.867,531,246,285,673,3876,5.8,42
2010,Auburn,652,14,14,0,0,1.000,577,337,240,652,3987,6.1,41
2016,Auburn,645,13,8,5,0,.615,406,222,184,645,3527,5.5,33
2002,Arkansas,643,14,9,5,0,.643,370,277,93,643,3065,4.8,22
2017,Auburn,642,14,10,4,0,.714,474,259,215,642,3056,4.8,34
2015,Alabama,642,15,14,1,0,.933,526,227,299,642,2999,4.7,33
2016,Alabama,639,15,14,1,0,.933,582,195,387,639,3675,5.8,33
2017,Mississippi State,634,13,9,4,0,.692,416,272,144,634,3272,5.2,30
2003,Arkansas,626,13,9,4,0,.692,436,305,131,626,3145,5.0,34
2007,Arkansas,625,13,8,5,0,.615,485,345,140,625,3725,6.0,33
2014,LSU,622,13,8,5,0,.615,359,228,131,622,2919,4.7,25
2010,Mississippi State,619,13,9,4,0,.692,377,258,119,619,2793,4.5,28
2002,Alabama,619,13,10,3,0,.769,367,200,167,619,2772,4.5,29
2015,Tennessee,617,13,9,4,0,.692,457,260,197,617,2908,4.7,32
2022,Ole Miss,614,13,8,5,0,.615,435,332,103,614,3336,5.4,33
2017,Alabama,612,14,13,1,0,.929,519,167,352,612,3509,5.7,36
2007,LSU,612,14,12,2,0,.857,541,279,262,612,2998,4.9,35
2014,Auburn,607,13,8,5,0,.615,461,347,114,607,3321,5.5,32
2022,Arkansas,605,13,7,6,0,.538,423,398,25,605,3077,5.1,27
2009,Alabama,601,14,14,0,0,1.000,449,164,285,601,3011,5.0,31
2003,LSU,593,14,13,1,0,.929,475,154,321,593,2600,4.4,24
2011,LSU,591,14,13,1,0,.929,500,158,342,591,2836,4.8,35
2013,Missouri,588,14,12,2,0,.857,548,323,225,588,3330,5.7,35
2021,Ole Miss,587,13,10,3,0,.769,438,321,117,587,2834,4.8,33
2015,Auburn,587,13,7,6,0,.538,357,338,19,587,2553,4.3,28
2024,Texas,586,16,13,3,0,.813,528,245,283,586,2540,4.3,26
2024,Tennessee,584,13,10,3,0,.769,464,209,255,584,2936,5.0,34
2011,Georgia,582,14,10,4,0,.714,448,288,160,582,2296,3.9,15
2021,Arkansas,581,13,9,4,0,.692,402,298,104,581,2982,5.1,26
2014,Mississippi State,578,13,10,3,0,.769,480,282,198,578,3030,5.2,29
2021,Tennessee,576,13,7,6,0,.538,511,378,133,576,2837,4.9,30
2019,Kentucky,571,13,8,5,0,.615,353,251,102,571,3628,6.4,36
2018,Alabama,571,15,14,1,0,.933,684,271,413,571,2976,5.2,33
2012,Alabama,570,14,13,1,0,.929,542,153,389,570,3185,5.6,37
2008,Alabama,568,14,12,2,0,.857,422,200,222,568,2585,4.6,32
2014,Alabama,567,14,12,2,0,.857,517,258,259,567,2893,5.1,35
2018,Georgia,565,14,11,3,0,.786,530,269,261,565,3349,5.9,30
2017,LSU,563,13,9,4,0,.692,354,246,108,563,2699,4.8,25
2002,Auburn,563,13,9,4,0,.692,388,231,157,563,2648,4.7,32
2003,Georgia,562,14,11,3,0,.786,371,203,168,562,1889,3.4,22
2023,Alabama,561,14,12,2,0,.857,476,266,210,561,2417,4.3,32
2016,Kentucky,560,13,7,6,0,.538,390,407,-17,560,3044,5.4,30
2018,LSU,559,13,10,3,0,.769,421,283,138,559,2257,4.0,29
2019,Ole Miss,558,12,4,8,0,.333,319,318,1,558,3016,5.4,29
2002,LSU,558,13,8,5,0,.615,323,238,85,558,2560,4.6,19
2022,Georgia,557,15,15,0,0,1.000,616,214,402,557,3080,5.5,44
2014,Arkansas,557,13,7,6,0,.538,415,250,165,557,2834,5.1,31
2009,Florida,555,14,13,1,0,.929,502,174,328,555,3105,5.6,30
2009,Mississippi State,555,12,5,7,0,.417,307,321,-14,555,2731,4.9,21
2014,Georgia,554,13,10,3,0,.769,537,269,268,554,3365,6.1,38
2018,Missouri,553,13,8,5,0,.615,476,331,145,553,2631,4.8,27
2011,South Carolina,553,13,11,2,0,.846,391,239,152,553,2497,4.5,28
2004,Auburn,553,13,13,0,0,1.000,417,147,270,553,2383,4.3,27
2024,South Carolina,551,13,9,4,0,.692,396,235,161,551,2397,4.4,26
2012,Ole Miss,551,13,7,6,0,.538,409,359,50,551,2260,4.1,25
2009,Kentucky,551,13,7,6,0,.538,339,295,44,551,2486,4.5,26
2009,Auburn,550,13,8,5,0,.615,433,358,75,550,2756,5.0,24
2021,Alabama,547,15,13,2,0,.867,598,302,296,547,2252,4.1,21
2019,Auburn,547,13,9,4,0,.692,432,254,178,547,2592,4.7,31
2008,Florida,545,14,13,1,0,.929,611,181,430,545,3236,5.9,42
2007,Auburn,543,13,9,4,0,.692,315,220,95,543,2040,3.8,23
2021,Georgia,541,15,14,1,0,.933,579,153,426,541,2868,5.3,29
2003,Auburn,541,13,8,5,0,.615,342,212,130,541,2392,4.4,32
2014,Missouri,539,14,11,3,0,.786,389,295,94,539,2490,4.6,17
2012,Florida,539,13,11,2,0,.846,344,188,156,539,2445,4.5,22
2006,Arkansas,539,14,10,4,0,.714,404,256,148,539,3199,5.9,26
2010,LSU,538,13,11,2,0,.846,386,237,149,538,2414,4.5,29
2013,South Carolina,537,13,11,2,0,.846,443,264,179,537,2580,4.8,27
2018,Texas A&M,536,13,9,4,0,.692,468,329,139,536,2847,5.3,28
2011,Auburn,536,13,8,5,0,.615,334,376,-42,536,2370,4.4,20
2002,Georgia,536,14,13,1,0,.929,450,212,238,536,1954,3.6,18
2023,Ole Miss,535,13,11,2,0,.846,456,293,163,535,2292,4.3,29
2018,Kentucky,533,13,10,3,0,.769,346,219,127,533,2626,4.9,27
2012,Texas A&M,533,13,11,2,0,.846,578,283,295,533,3147,5.9,46
2016,Georgia,531,13,8,5,0,.615,319,312,7,531,2489,4.7,18
2019,Mississippi State,529,13,6,7,0,.462,359,375,-16,529,2869,5.4,27
2016,Mississippi State,528,13,6,7,0,.462,395,413,-18,528,3005,5.7,24
2013,Ole Miss,528,13,8,5,0,.615,390,308,82,528,2470,4.7,22
2013,Mississippi State,527,13,7,6,0,.538,360,299,61,527,2469,4.7,29
2012,LSU,527,13,10,3,0,.769,387,228,159,527,2258,4.3,29
2024,Texas A&M,526,13,8,5,0,.615,395,289,106,526,2541,4.8,27
2012,Georgia,525,14,12,2,0,.857,529,275,254,525,2556,4.9,32
2018,Florida,524,13,10,3,0,.769,455,260,195,524,2773,5.3,23
