Season,Team,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Att.1,Yds,Y/A,TD
2023,Alabama,561.0,14.0,12.0,2.0,0.0,0.857,476.0,266.0,210.0,561.0,2417.0,4.3,32.0
2023,Ole Miss,535.0,13.0,11.0,2.0,0.0,0.846,456.0,293.0,163.0,535.0,2292.0,4.3,29.0
2023,Auburn,513.0,13.0,6.0,7.0,0.0,0.462,340.0,294.0,46.0,513.0,2457.0,4.8,22.0
2023,Georgia,501.0,14.0,13.0,1.0,0.0,0.929,562.0,219.0,343.0,501.0,2677.0,5.3,40.0
2023,Missouri,496.0,13.0,11.0,2.0,0.0,0.846,423.0,271.0,152.0,496.0,2236.0,4.5,25.0
2023,Tennessee,489.0,13.0,9.0,4.0,0.0,0.692,413.0,264.0,149.0,489.0,2663.0,5.4,23.0
2023,Arkansas,472.0,12.0,4.0,8.0,0.0,0.333,319.0,335.0,-16.0,472.0,1668.0,3.5,9.0
2023,Texas A&M,456.0,13.0,7.0,6.0,0.0,0.538,433.0,287.0,146.0,456.0,1770.0,3.9,23.0
2023,LSU,430.0,13.0,10.0,3.0,0.0,0.769,592.0,364.0,228.0,430.0,2659.0,6.2,34.0
2023,Florida,421.0,12.0,5.0,7.0,0.0,0.417,341.0,331.0,10.0,421.0,1798.0,4.3,21.0
2023,Mississippi State,401.0,12.0,5.0,7.0,0.0,0.417,262.0,319.0,-57.0,401.0,1761.0,4.4,12.0
2023,South Carolina,369.0,12.0,5.0,7.0,0.0,0.417,312.0,316.0,-4.0,369.0,1021.0,2.8,17.0
2023,Vanderbilt,349.0,12.0,2.0,10.0,0.0,0.167,274.0,434.0,-160.0,349.0,1143.0,3.3,10.0
2023,Kentucky,339.0,13.0,7.0,6.0,0.0,0.538,378.0,336.0,42.0,339.0,1662.0,4.9,18.0
2023,Michigan,563.0,15.0,15.0,0.0,0.0,1.0,538.0,156.0,382.0,563.0,2536.0,4.5,40.0
2023,Rutgers,517.0,13.0,7.0,6.0,0.0,0.538,302.0,276.0,26.0,517.0,2193.0,4.2,24.0
2023,Penn State,515.0,13.0,10.0,3.0,0.0,0.769,471.0,175.0,296.0,515.0,2403.0,4.7,26.0
2023,Minnesota,505.0,13.0,6.0,7.0,0.0,0.462,272.0,347.0,-75.0,505.0,2048.0,4.1,13.0
2023,Iowa,486.0,14.0,10.0,4.0,0.0,0.714,216.0,207.0,9.0,486.0,1623.0,3.3,11.0
2023,Nebraska,478.0,12.0,5.0,7.0,0.0,0.417,216.0,219.0,-3.0,478.0,2122.0,4.4,16.0
2023,Purdue,462.0,12.0,4.0,8.0,0.0,0.333,287.0,365.0,-78.0,462.0,2029.0,4.4,20.0
2023,Northwestern,458.0,13.0,8.0,5.0,0.0,0.615,287.0,293.0,-6.0,458.0,1325.0,2.9,14.0
2023,Wisconsin,454.0,13.0,7.0,6.0,0.0,0.538,305.0,262.0,43.0,454.0,2093.0,4.6,22.0
2023,Indiana,433.0,12.0,3.0,9.0,0.0,0.25,266.0,359.0,-93.0,433.0,1441.0,3.3,13.0
2023,Ohio State,431.0,13.0,11.0,2.0,0.0,0.846,397.0,146.0,251.0,431.0,1805.0,4.2,20.0
2023,Illinois,396.0,12.0,5.0,7.0,0.0,0.417,294.0,353.0,-59.0,396.0,1517.0,3.8,12.0
2023,Maryland,381.0,13.0,8.0,5.0,0.0,0.615,386.0,292.0,94.0,381.0,1409.0,3.7,20.0
2023,Michigan State,370.0,12.0,4.0,8.0,0.0,0.333,191.0,340.0,-149.0,370.0,1074.0,2.9,7.0
2023,West Virginia,565.0,13.0,9.0,4.0,0.0,0.692,409.0,340.0,69.0,565.0,2976.0,5.3,32.0
2023,Kansas State,533.0,13.0,9.0,4.0,0.0,0.692,482.0,273.0,209.0,533.0,2653.0,5.0,32.0
2023,UCF,529.0,13.0,6.0,7.0,0.0,0.462,407.0,335.0,72.0,529.0,2967.0,5.6,28.0
2023,Texas,527.0,14.0,12.0,2.0,0.0,0.857,501.0,265.0,236.0,527.0,2638.0,5.0,29.0
2023,Oklahoma,521.0,13.0,10.0,3.0,0.0,0.769,542.0,305.0,237.0,521.0,2368.0,4.5,32.0
2023,Cincinnati,517.0,12.0,3.0,9.0,0.0,0.25,289.0,360.0,-71.0,517.0,2605.0,5.0,14.0
2023,Kansas,499.0,13.0,9.0,4.0,0.0,0.692,452.0,345.0,107.0,499.0,2678.0,5.4,32.0
2023,Texas Tech,474.0,13.0,7.0,6.0,0.0,0.538,356.0,338.0,18.0,474.0,2115.0,4.5,17.0
2023,Oklahoma State,449.0,14.0,10.0,4.0,0.0,0.714,414.0,400.0,14.0,449.0,2174.0,4.8,29.0
2023,Baylor,413.0,12.0,3.0,9.0,0.0,0.25,277.0,400.0,-123.0,413.0,1378.0,3.3,13.0
2023,Texas Christian,406.0,12.0,5.0,7.0,0.0,0.417,376.0,334.0,42.0,406.0,1854.0,4.6,19.0
2023,Iowa State,382.0,13.0,7.0,6.0,0.0,0.538,341.0,296.0,45.0,382.0,1559.0,4.1,16.0
2023,BYU,360.0,12.0,5.0,7.0,0.0,0.417,277.0,358.0,-81.0,360.0,1252.0,3.5,15.0
2023,Houston,359.0,12.0,4.0,8.0,0.0,0.333,284.0,378.0,-94.0,359.0,1424.0,4.0,10.0
2023,Boston College,547.0,13.0,7.0,6.0,0.0,0.538,323.0,368.0,-45.0,547.0,2584.0,4.7,25.0
2023,Louisville,533.0,14.0,10.0,4.0,0.0,0.714,430.0,298.0,132.0,533.0,2499.0,4.7,31.0
2023,Syracuse,529.0,13.0,6.0,7.0,0.0,0.462,306.0,330.0,-24.0,529.0,2240.0,4.2,20.0
2023,Clemson,524.0,13.0,9.0,4.0,0.0,0.692,388.0,274.0,114.0,524.0,2266.0,4.3,24.0
2023,North Carolina,498.0,13.0,8.0,5.0,0.0,0.615,449.0,355.0,94.0,498.0,2497.0,5.0,28.0
2023,Virginia Tech,498.0,13.0,7.0,6.0,0.0,0.538,384.0,311.0,73.0,498.0,2467.0,5.0,20.0
2023,Georgia Tech,492.0,13.0,7.0,6.0,0.0,0.538,404.0,383.0,21.0,492.0,2649.0,5.4,24.0
2023,North Carolina State,478.0,13.0,9.0,4.0,0.0,0.692,341.0,270.0,71.0,478.0,2034.0,4.3,19.0
2023,Wake Forest,468.0,12.0,4.0,8.0,0.0,0.333,243.0,326.0,-83.0,468.0,1565.0,3.3,13.0
2023,Florida State,463.0,14.0,13.0,1.0,0.0,0.929,484.0,270.0,214.0,463.0,2103.0,4.5,32.0
