player,position,team,birthday
Christian McCaffrey,RB,SF,1996-06-07
Austin Ekeler,RB,LAC,1995-05-17
Jonathan Taylor,RB,IND,1999-01-19
Saquon Barkley,RB,NYG,1997-02-09
Justin Jefferson,WR,MIN,1999-06-16
Travis Kelce,TE,KC,1989-10-05
Kenneth Walker III,RB,SEA,2000-10-20
Ja'Marr Chase,WR,CIN,2000-03-01
Cooper Kupp,WR,LAR,1993-06-15
Derrick Henry,RB,TEN,1994-01-04
Stefon Diggs,WR,BUF,1993-11-29
Josh Jacobs,RB,LV,1998-02-11
Davante Adams,WR,LV,1992-12-24
Nick Chubb,RB,CLE,1995-12-27
Tyreek Hill,WR,MIA,1994-03-01
Travis Etienne Jr.,RB,JAC,1999-01-26
CeeDee Lamb,WR,DAL,1999-04-08
A.J. Brown,WR,PHI,1997-06-30
Najee Harris,RB,PIT,1998-03-09
Joe Mixon,RB,CIN,1996-07-24
Mark Andrews,TE,BAL,1995-09-06
Amon-Ra St. Brown,WR,DET,1999-10-24
Rhamondre Stevenson,RB,NE,1998-02-23
Breece Hall,RB,NYJ,2001-05-31
Tee Higgins,WR,CIN,1999-01-18
Jaylen Waddle,WR,MIA,1998-11-25
Javonte Williams,RB,DEN,2000-04-25
D'Andre Swift,RB,DET,1999-01-14
T.J. Hockenson,TE,MIN,1997-07-03
Tony Pollard,RB,DAL,1997-04-30
Dalvin Cook,RB,MIN,1995-08-10
Garrett Wilson,WR,NYJ,2000-07-22
Chris Godwin,WR,TB,1996-02-27
DK Metcalf,WR,SEA,1997-12-14
Aaron Jones,RB,GB,1994-12-02
Deebo Samuel,WR,SF,1996-01-15
Josh Allen,QB,BUF,1996-05-21
DeVonta Smith,WR,PHI,1998-11-14
Keenan Allen,WR,LAC,1992-04-27
Patrick Mahomes II,QB,KC,1995-09-17
Jalen Hurts,QB,PHI,1998-08-07
Alvin Kamara,RB,NO,1995-07-25
Dameon Pierce,RB,HOU,2000-02-19
Michael Pittman Jr.,WR,IND,1997-10-05
DJ Moore,WR,CAR,1997-04-14
Chris Olave,WR,NO,2000-06-27
Amari Cooper,WR,CLE,1994-06-17
DeAndre Hopkins,WR,ARI,1992-06-06
Kyle Pitts,TE,ATL,2000-10-06
James Conner,RB,ARI,1995-05-05
Joe Burrow,QB,CIN,1996-12-10
Cam Akers,RB,LAR,1999-06-22
Mike Williams,WR,LAC,1994-10-04
Mike Evans,WR,TB,1993-08-21
George Kittle,TE,SF,1993-10-09
J.K. Dobbins,RB,BAL,1998-12-17
Terry McLaurin,WR,WAS,1995-09-15
David Montgomery,RB,CHI,1997-06-07
Drake London,WR,ATL,2001-07-24
Miles Sanders,RB,PHI,1997-05-01
Tyler Lockett,WR,SEA,1992-09-28
Dallas Goedert,TE,PHI,1995-01-03
Jerry Jeudy,WR,DEN,1999-04-24
Diontae Johnson,WR,PIT,1996-07-05
Brandon Aiyuk,WR,SF,1998-03-17
Christian Kirk,WR,JAC,1996-11-18
Lamar Jackson,QB,BAL,1997-01-07
Marquise Brown,WR,ARI,1997-06-04
Leonard Fournette,RB,TB,1995-01-18
Tyler Allgeier,RB,ATL,2000-04-15
Rachaad White,RB,TB,1999-01-12
AJ Dillon,RB,GB,1998-05-02
Justin Fields,QB,CHI,1999-03-05
Christian Watson,WR,GB,1999-05-12
Justin Herbert,QB,LAC,1998-03-10
Trevor Lawrence,QB,JAC,1999-10-06
James Cook,RB,BUF,1999-09-25
Antonio Gibson,RB,WAS,1998-06-23
Courtland Sutton,WR,DEN,1995-10-10
Dak Prescott,QB,DAL,1993-07-29
Brian Robinson Jr.,RB,WAS,1999-03-22
Ezekiel Elliott,RB,DAL,1995-07-22
George Pickens,WR,PIT,2001-03-04
Darren Waller,TE,LV,1992-09-13
Dalton Schultz,TE,DAL,1996-07-11
Evan Engram,TE,JAC,1994-09-02
Isiah Pacheco,RB,KC,2000-03-02
Kareem Hunt,RB,CLE,1995-08-06
Pat Freiermuth,TE,PIT,1998-10-25
Treylon Burks,WR,TEN,2000-03-23
Rashod Bateman,WR,BAL,1999-11-29
Darnell Mooney,WR,CHI,1997-10-29
David Njoku,TE,CLE,1996-07-10
Khalil Herbert,RB,CHI,1998-04-21
Deshaun Watson,QB,CLE,1995-09-14
Damien Harris,RB,NE,1997-02-11
JuJu Smith-Schuster,WR,KC,1996-11-22
Brandin Cooks,WR,HOU,1993-09-25
Cole Kmet,TE,CHI,1999-03-10
Jamaal Williams,RB,DET,1995-04-03
Gabe Davis,WR,BUF,1999-04-01
Kirk Cousins,QB,MIN,1988-08-19
Jakobi Meyers,WR,NE,1996-11-09
Jahan Dotson,WR,WAS,2000-03-22
Tua Tagovailoa,QB,MIA,1998-03-02
Devin Singletary,RB,BUF,1997-09-03
Elijah Moore,WR,NYJ,2000-03-27
Rondale Moore,WR,ARI,2000-06-09
Jerick McKinnon,RB,KC,1992-05-03
Elijah Mitchell,RB,SF,1998-05-02
Jameson Williams,WR,DET,2001-03-26
Daniel Jones,QB,NYG,1997-05-27
Hunter Renfrow,WR,LV,1995-12-21
Kadarius Toney,WR,KC,1999-01-27
Bijan Robinson,RB,FA,2002-01-30
Zay Jones,WR,JAC,1995-03-30
Alexander Mattison,RB,MIN,1998-06-19
Calvin Ridley,WR,JAC,1994-12-20
Michael Thomas,WR,NO,1993-03-03
Trey Lance,QB,SF,2000-05-09
Allen Lazard,WR,GB,1995-12-11
Dawson Knox,TE,BUF,1996-11-14
Geno Smith,QB,SEA,1990-10-10
Kenneth Gainwell,RB,PHI,1999-03-14
Wan'Dale Robinson,WR,NYG,2001-01-05
Raheem Mostert,RB,MIA,1992-04-09
Kyler Murray,QB,ARI,1997-08-07
Tyler Boyd,WR,CIN,1994-11-15
Michael Gallup,WR,DAL,1996-03-04
Russell Wilson,QB,DEN,1988-11-29
Cordarrelle Patterson,RB,ATL,1991-03-17
Nico Collins,WR,HOU,1999-03-19
Tyler Higbee,TE,LAR,1993-01-01
Jared Goff,QB,DET,1994-10-14
Donovan Peoples-Jones,WR,CLE,1999-02-19
Skyy Moore,WR,KC,2000-09-10
Gerald Everett,TE,LAC,1994-06-25
Rashaad Penny,RB,SEA,1996-02-02
Chase Claypool,WR,CHI,1998-07-07
Zach Ertz,TE,ARI,1990-11-10
Adam Thielen,WR,MIN,1990-08-22
Michael Carter,RB,NYJ,1999-05-07
Jeff Wilson Jr.,RB,MIA,1995-11-16
Joshua Palmer,WR,LAC,1999-09-22
Trey McBride,TE,ARI,1999-11-22
Clyde Edwards-Helaire,RB,KC,1999-04-11
Greg Dulcich,TE,DEN,2000-03-26
Romeo Doubs,WR,GB,2000-04-13
Jaylen Warren,RB,PIT,1998-11-01
Hunter Henry,TE,NE,1994-12-07
DJ Chark Jr.,WR,DET,1996-09-23
Matthew Stafford,QB,LAR,1988-02-07
D'Onta Foreman,RB,CAR,1996-04-24
Chase Edmonds,RB,DEN,1996-04-13
Jahmyr Gibbs,RB,FA,2002-03-20
Chuba Hubbard,RB,CAR,1999-06-11
Aaron Rodgers,QB,GB,1983-12-02
Allen Robinson II,WR,LAR,1993-08-24
Mike Gesicki,TE,MIA,1995-10-03
Derek Carr,QB,LV,1991-03-28
Noah Fant,TE,SEA,1997-11-20
Hayden Hurst,TE,CIN,1993-08-24
Zamir White,RB,LV,1999-09-18
Justin Tucker,K,BAL,1989-11-21
Samaje Perine,RB,CIN,1995-09-16
Alec Pierce,WR,IND,2000-05-02
Tyler Bass,K,BUF,1997-02-14
K.J. Osborn,WR,MIN,1997-06-10
Chigoziem Okonkwo,TE,TEN,1999-09-08
D'Ernest Johnson,RB,CLE,1996-02-27
Kenny Pickett,QB,PIT,1998-06-06
Curtis Samuel,WR,WAS,1996-08-11
Robert Woods,WR,TEN,1992-04-10
Daniel Carlson,K,LV,1995-01-23
Russell Gage,WR,TB,1996-01-22
James Robinson,RB,NYJ,1998-08-09
Evan McPherson,K,CIN,1999-07-21
Isaiah Spiller,RB,LAC,2001-08-09
Nyheim Hines,RB,BUF,1996-11-12
Mecole Hardman,WR,KC,1998-03-12
Parris Campbell,WR,IND,1997-07-16
Juwan Johnson,TE,NO,1996-09-13
Harrison Butker,K,KC,1995-07-14
Marquez Valdes-Scantling,WR,KC,1994-10-10
Mac Jones,QB,NE,1998-09-05
Joshua Kelley,RB,LAC,1997-11-20
Darius Slayton,WR,NYG,1997-01-12
DeVante Parker,WR,NE,1996-03-16
Irv Smith Jr.,TE,MIN,1998-08-09
Isaiah McKenzie,WR,BUF,1995-04-09
