rank,player_name
1,Jayden Daniels
2,Trevor Lawrence
3,Joe Burrow
4,Baker Mayfield
5,Kyler Murray
6,Jaxson Dart
7,Justin Fields
8,Caleb Williams
9,Marcus Mariota
10,Drake Maye
11,Tua Tagovailoa
12,Lamar Jackson
13,Jameis Winston
14,CJ Stroud
15,Justin Herbert
16,Deshaun Watson
17,Mac Jones
18,Fernando Mendoza
19,Jalen Hurts
20,Bryce Young
21,Cam Ward
22,JJ McCarthy
23,LaNorris Sellers
24,Dante Moore
25,Sam Darnold
26,Zach Wilson
27,Jared Goff
28,Patrick Mahomes
29,Bo Nix
30,Josh Allen
31,Paxton Lynch
32,Mitchell Trubisky
33,Arch Manning
34,Kenny Pickett
35,John Mateer
36,Michael Penix
37,Dwayne Haskins
38,Josh Rosen
39,Carson Wentz
40,Drew Allar
41,Trey Lance
42,Anthony Richardson
43,Garrett Nussmeier
44,Daniel Jones
45,Jordan Love
46,Matt Corral
47,Sam Leavitt
48,Sam Howell
49,Kyle Trask
50,Drew Lock
51,Jalen Milroe
52,Will Levis
53,Dak Prescott
54,DeShone Kizer
55,Cade Klubnik
56,Carson Beck
57,Brock Purdy
58,Desmond Ridder
59,Christian Hackenberg
60,Dillon Gabriel
61,Brendan Sorsby
62,Mason Rudolph
63,Max Duggan
64,Ian Book
65,Noah Fifita
66,Sam Ehlinger
67,Dustin Crum
68,Will Grier
69,Davis Mills
70,Tyler Shough
71,Cody Kessler
72,Hendon Hooker
73,Joe Milton
74,Taylen Green
75,Jayden Maiava
76,Jacob Eason
77,Jordan Travis
78,Will Howard
79,Clayton Tune
80,Jake Haener
81,Bryce Petty
82,Malik Willis
83,Feleipe Franks
84,Joshua Dobbs
85,Chad Kelly
86,Josh Hoover
87,Bailey Zappe
88,Shedeur Sanders
89,Cardale Jones
90,Brett Hundley
91,Jake Fromm
92,Kellen Mond
93,Connor Cook
94,Trace McSorley
95,Michael Pratt
96,Beau Pribula
97,Sean Mannion
98,Alex McGough
99,Garrett Grayson
100,Cam Miller
101,Darian Mensah
102,Stetson Bennett
103,Dorian Thompson-Robinson
104,Jarrett Stidham
105,Graham Mertz
106,Spencer Rattler
107,Jeff Driskel
108,Mike White
109,Logan Woodside
110,Ryan Finley
111,Davis Webb
112,Diego Pavia
113,Nathan Peterman
114,Shea Patterson
115,Behren Morton
116,JT Barrett
117,Kevin Jennings
118,Brad Kaaya
119,Jaren Hall
120,Quinn Ewers
121,Kevin Hogan
122,Kurtis Rourke
123,Skylar Thompson
124,Nate Stanley
125,Sawyer Robertson
126,Rocco Becht
127,Danny Etling
128,Jerod Evans
129,Taulia Tagovailoa
130,Nate Sudfeld
131,Brandon Allen
132,Jake Rudock
133,Gardner Minshew
134,C.J. Beathard
135,Aidan O'Connell
136,Luke Altmyer
137,Riley Leonard
138,Blake Sims
139,Carson Strong
140,Mason Fine
141,Kyle McCord
142,Chase Garbers
143,Avery Johnson
144,Jake Browning
145,Jake Luton
146,Tanner McKee
147,Luke Falk
148,Devin Leary
149,Eli Holstein
150,Tyree Jackson
151,KJ Costello
152,Brett Rypien
153,Jalon Daniels
154,Brady Cook
155,Jack Coan
156,Adrian Martinez
157,Nic Shimonek
158,Kedon Slovis
159,Seth Henigan
160,Sam Hartman
161,Payton Thorne
162,Jacoby Brissett
163,Aidan Chiles
164,Cole McDonald
165,Jamie Newman
166,Peyton Ramsey
167,James Morgan
168,Max Brosmer
169,D'Eriq King
170,Brian Lewerke
171,Brandon Doughty
172,DJ Uiagalelei
173,Seth Russell
174,Kelly Bryant
175,Khalil Tate
176,Quinton Flowers
177,Sean Clifford
178,Jackson Arnold
179,Riley Ferguson
180,Miller Moss
181,Kyle Allen
182,Tanner Lee
183,Kenny Hill
184,Steven Montez
185,Austin Allen
186,Clayton Thorson
187,Shane Carden
188,Haynes King
189,Anthony Gordon
190,Kyle Shurmur
191,Austin Reed
192,Mark Gronowski
193,Brennan Armstrong
194,Chase Litton
195,Bo Wallace
196,Phil Jurkovec
197,Mitch Leidner
198,Trevor Siemian
199,Kurt Benkert
200,Connor Bazelak
201,Nick Fitzgerald
202,Trevor Knight
203,Conner Weigman
204,Tommy Devito
205,Cody Fajardo
206,Taysom Hill
