rank,player_name
1,Bijan Robinson
2,Todd Gurley
3,Jeremiyah Love
4,Ashton Jeanty
5,Saquon Barkley
6,Jahmyr Gibbs
7,Ezekiel Elliott
8,Christian McCaffrey
9,Leonard Fournette
10,Jonathan Taylor
11,Omarion Hampton
12,Travis Etienne
13,Dalvin Cook
14,Breece Hall
15,Melvin Gordon
16,Joe Mixon
17,J.K. Dobbins
18,Javonte Williams
19,Jonathon Brooks
20,Derrick Henry
21,TreVeyon Henderson
22,Kaleb Johnson
23,Jonah Coleman
24,De'Von Achane
25,Kenneth Walker III
26,Josh Jacobs
27,Quinshon Judkins
28,Derrius Guice
29,Cam Akers
30,Tank Bigsby
31,Rashaad Penny
32,Alvin Kamara
33,Najee Harris
34,Kareem Hunt
35,Zach Charbonnet
36,Antonio Gibson
37,D'Andre Swift
38,Nick Chubb
39,Nicholas Singleton
40,Kenyan Drake
41,James Conner
42,Tevin Coleman
43,Clyde Edwards-Helaire
44,Miles Sanders
45,Trey Benson
46,Tyjae Spears
47,Darrell Henderson
48,Sony Michel
49,RJ Harvey
50,Ke'Shawn Vaughn
51,A.J. Dillon
52,Braelon Allen
53,Cam Skattebo
54,Bhayshul Tuten
55,D'Onta Foreman
56,Bucky Irving
57,Royce Freeman
58,Darius Taylor
59,Duke Johnson
60,Kaytron Allen
61,Aaron Jones
62,David Montgomery
63,TJ Yeldon
64,David Johnson
65,Justice Haynes
66,CJ Prosise
67,MarShawn Lloyd
68,Trevor Etienne
69,Rachaad White
70,Jarquez Hunter
71,DJ Giddens
72,Zack Moss
73,Devin Singletary
74,Rhamondre Stevenson
75,Isaiah Spiller
76,Damien Harris
77,Kendre Miller
78,Ameer Abdullah
79,Michael Carter
80,Israel Abanikanda
81,Jordan Howard
82,Jaylen Wright
83,Blake Corum
84,James Cook
85,Zach Evans
86,Audric Estime
87,Dylan Sampson
88,Tony Pollard
89,Chuba Hubbard
90,Bryce Love
91,Jordan James
92,Ronald Jones
93,Samaje Perine
94,Benny Snell Jr.
95,Devin Neal
