rank,player_name
1,Brock Bowers
2,Kyle Pitts
3,Evan Engram
4,T.J. Hockenson
5,David Njoku
6,Noah Fant
7,Tyler Warren
8,Colston Loveland
9,O.J. Howard
10,Maxx Williams
11,Trey McBride
12,Harold Fannin Jr.
13,Pat Freiermuth
14,George Kittle
15,Sam LaPorta
16,Hunter Henry
17,Dallas Goedert
18,Dalton Kincaid
19,Mark Andrews
20,Gerald Everett
21,Michael Mayer
22,Eli Stowers
23,Terrance Ferguson
24,Greg Dulcich
25,Hunter Long
26,Brevin Jordan
27,Luke Musgrave
28,Ben Sinnott
29,Max Klare
30,Jonnu Smith
31,Kenyon Sadiq
32,Ja'Tavion Sanders
33,Elijah Arroyo
34,Irv Smith Jr.
35,Isaiah Likely
36,Hayden Hurst
37,Cole Kmet
38,Jace Sternberger
39,Dawson Knox
40,Tucker Kraft
41,Caleb Wilson
42,Adam Shaheen
43,Kylen Granson
44,Harrison Bryant
45,Clive Walford
46,Mike Gesicki
47,Erick All
48,Darnell Washington
49,Brycen Hopkins
50,Albert Okwuegbunam
51,Jack Endries
52,Hunter Bryant
53,Oronde Gadsden II
54,Adam Trautman
55,Jelani Woods
56,Jake Butt
57,Luke Schoonmaker
58,Jacob Breeland
59,Tyler Higbee
60,Eli Raridon
61,Mycole Pruitt
62,Daniel Bellinger
63,Justin Joly
64,Devin Asiasi
65,Austin Hooper
66,Kahale Warring
67,Ian Thomas
68,Bucky Hodges
69,Jake Ferguson
70,Cade Stover
71,Will Mallory
72,Quintin Morris
73,Zach Davidson
74,Terrance Carter Jr
75,Jordan Akins
76,Thomas Duarte
77,Zach Gentry
78,Jerell Adams
79,Josh Oliver
80,Jaheim Bell
81,Chigoziem Okonkwo
82,Charlie Kolar
83,Cade Otton
84,John Michael Gyllenborg
85,Gunnar Helm
86,Tre' McKitty
87,James Mitchell
88,Scott Orndoff
89,Jordan Leggett
90,Kaden Smith
91,Darrell Daniels
92,Colby Parkinson
93,Foster Moreau
94,Mason Taylor
95,Mitchell Evans
96,Moliki Matavao
97,Eric Saubert
98,Josiah Deguara
99,RJ Maryland
100,Chris Herndon
101,AJ Derby
102,Michael Trigg
103,Troy Fumagalli
104,Brenton Strange
105,Tyler Conklin
106,Joe Royer
107,Isaac Nauta
108,Trevon Wesco
109,Tyler Kroft
110,Peyton Hendershot
111,Luke Lachey
112,Brant Kuithe
113,Dalton Keene
114,Jared Pinkney
115,CJ Usomah
116,C.J. Conrad
117,Theo Johnson
118,Marlin Klein
119,Tanner Koziol
120,Jeremy Sprinkle
121,Grant Calcaterra
122,Drew Sample
123,Jared Wiley
124,Jeff Heuerman
125,Trey Knox
126,Cameron Latu
127,Cole Hikutini
128,Jordan Thomas
129,Oscar Delp
130,Durham Smythe
131,Noah Gray
132,Will Dissly
133,Jalen Wydermyer
134,Kennard Backman
135,Pharaoh Brown
136,Joshua Simon
137,Tommy Sweeney
138,Benjamin Yurosek
139,Nick Muse
140,Tip Reiman
141,Zack Kuntz
142,David Morgan
143,Cole Turner
144,Andrew Ogletree
145,Sean McKeon
146,Tommy Tremble
147,Jeremy Ruckert
148,Nick Eubanks
149,Thomas Yassmin
150,Ryan Izzo
151,James O'Shaughnessy
152,Jalin Conyers
153,Rivaldo Fairweather
154,Tanner McLachlan
155,Marshon Ford
156,Blake Jarwin
157,Gavin Bartholomew
158,Nick Vannett
159,Payne Durham
160,Matt Lauter
161,Chamon Metayer
162,Mason Fairchild
163,Josh Whyle
164,Nick O'Leary
165,Mason Schreck
166,John Bates
167,Devin Culp
168,AJ Barner
169,Travis Vokolek
170,Brevyn Spann-Ford
171,Alize Mack
172,Brayden Willis
173,Thomas Fidone
174,Blake Bell
175,Tony Poljan
176,Ko Kieft
177,Jahleel Billingsley
178,Stephen Sullivan
179,CJ Dippre
180,Michael Roberts
181,Davis Allen
182,Bryson Nesbit
183,Deon Yelder
184,Max Wright
185,Robbie Ouzts
186,Brock Wright
187,Caden Prieskorn
188,Jesse James
189,Dallin Holker
190,Jake Briningstool
191,Malcolm Johnson
192,Dax Raymond
193,Tyler Davis
194,Dalton Schultz
195,Austin Roberts
196,Cethan Carter
197,Garrett Oakley
198,Gerald Christian
199,Bryce Williams
200,Jackson Hawes
201,Randall Telfer
202,Kendall Blanton
203,Charlie Woerner
204,Geoff Swaim
205,Thaddeus Moss
206,Henry Krieger-Coble
207,Ben Koyack
208,EJ Bibbs
209,Kyle Carter
210,Ethan Wolf
211,Tanner Arkin
212,Marcus Baugh
213,Jake McGee
