player_name,pos,rank,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Jameis Winston,QB,13.0,1994-01-06,Florida State,ACC,2015,1,2013.0,19.652,0.0,0.0,0.941,0.894,0.072,0.069,72.7,450.0,467.0,8.8,2.74,8.0,20.0,2.0,23.5,48.0,4.2,,65.3,305.0,,,,148.0,45.0,6.7,508.0,22.0,0.0,5.0,32.0,27.8,7.0,9.0,0.0,2.0,18.0,530.0,12.2,93.1,0.0,0.0,,0.0,365.0,3.5,18.0,159.0,23.0,,,0.0,24.0,18.0,3.4,,,,,152.0,,3.23,8.3,,0.0,4.97,28.115,139.73155
Marcus Mariota,QB,9.0,1993-10-30,Oregon,Pac-12,2015,1,2012.0,18.839,0.007,0.007,0.96,0.912,0.248,0.235,76.7,434.0,444.0,9.8,2.83,15.0,26.0,12.0,36.3,342.0,5.5,,68.2,303.0,,,,134.0,617.0,9.0,513.0,30.0,1.0,12.0,179.0,46.8,33.0,8.0,7.0,0.0,4.0,540.0,23.9,128.5,26.0,1.0,,1.0,505.0,6.2,32.0,325.0,37.0,,,1.0,71.0,14.0,2.6,,,,,339.0,,3.17,10.0,26.0,1.0,4.52,27.02,122.13039999999998
Garrett Grayson,QB,99.0,1991-05-29,Colorado State,MWC,2015,3,2013.0,22.261,0.009,0.007,0.962,0.731,0.018,0.014,75.4,395.0,423.0,10.1,2.71,2.0,26.0,0.0,0.0,0.0,5.9,,64.5,273.0,,,,140.0,-21.0,8.4,476.0,25.0,0.0,1.0,3.0,1.4,4.0,8.0,0.0,2.0,7.0,497.0,20.0,113.6,39.0,1.0,,1.0,329.0,5.9,28.0,146.0,25.0,,,1.0,15.0,18.0,3.6,,,,,14.0,,0.36,9.5,39.0,0.0,4.75,27.345,129.88875
Sean Mannion,QB,97.0,1992-04-25,Oregon State,Pac-12,2015,3,2011.0,19.351,0.0,0.0,0.981,0.932,-0.065,-0.062,71.3,436.0,456.0,8.9,2.76,0.0,27.0,0.0,0.0,0.0,5.6,,61.8,282.0,,,,147.0,-27.0,9.3,499.0,29.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,8.0,527.0,24.5,86.2,0.0,0.0,,0.0,334.0,7.2,36.0,37.0,7.0,,,0.0,16.0,16.0,3.0,,,,,2.0,,0.09,6.9,,0.0,5.14,26.461,136.00954
Bryce Petty,QB,81.0,1991-05-31,Baylor,Big 12,2015,4,2013.0,22.256,0.0,0.0,0.847,0.805,0.134,0.127,72.9,410.0,430.0,12.0,2.38,5.0,26.0,3.0,21.2,53.0,5.8,,62.8,270.0,,,,97.0,151.0,9.7,470.0,29.0,0.0,3.0,52.0,6.8,5.0,7.0,9.0,2.0,7.0,495.0,22.7,107.5,0.0,0.0,,0.0,425.0,4.7,22.0,99.0,18.0,,,0.0,48.0,12.0,2.4,,,,,89.0,,1.35,9.0,,0.0,4.87,28.745,139.98815000000002
Brett Hundley,QB,90.0,1993-06-15,UCLA,Pac-12,2015,5,2012.0,19.214,0.001,0.001,0.956,0.908,0.266,0.253,78.1,374.0,396.0,7.7,2.83,22.0,17.0,8.0,21.7,178.0,4.1,,68.2,270.0,,,,131.0,422.0,7.5,492.0,22.0,0.0,11.0,151.0,28.4,30.0,14.0,8.0,2.0,5.0,519.0,31.3,105.2,9.0,1.0,,1.0,430.0,8.3,41.0,398.0,55.0,,,1.0,77.0,16.0,3.1,,,,,308.0,,2.35,7.9,9.0,0.0,4.63,28.245,130.77435
Trevor Siemian,QB,198.0,1991-12-26,Northwestern,Big Ten,2015,7,2013.0,21.684,0.053,0.053,0.776,0.776,0.087,0.087,68.9,367.0,394.0,8.3,2.66,1.0,18.0,1.0,12.4,16.0,4.4,,57.9,228.0,,,,137.0,50.0,9.9,443.0,25.0,1.0,0.0,15.0,2.7,2.0,5.0,0.0,3.0,11.0,463.0,21.2,68.1,17.0,1.0,,1.0,342.0,6.5,29.0,79.0,20.0,,,1.0,24.0,15.0,3.2,,,,,38.0,,0.88,5.7,17.0,0.0,,,
Jared Goff,QB,27.0,1994-10-14,California,Pac-12,2016,1,2013.0,18.883,0.001,0.001,0.971,0.923,-0.002,-0.002,74.0,503.0,531.0,10.4,2.49,5.0,36.0,0.0,0.0,0.0,6.4,,63.8,339.0,,,,172.0,-6.0,8.9,580.0,33.0,0.0,0.0,6.0,0.0,9.0,4.0,4.0,3.0,13.0,618.0,15.1,109.2,11.0,1.0,,1.0,359.0,4.5,26.0,188.0,23.0,,,1.0,11.0,24.0,3.9,,,,,58.0,,1.76,8.9,11.0,2.0,4.82,26.168,126.12976
Carson Wentz,QB,39.0,1992-12-30,Kennesaw State,CUSA,2016,1,2024.0,31.671,0.316,0.221,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,28.101,134.04177
Paxton Lynch,QB,31.0,1994-02-12,Memphis,American,2016,1,2013.0,19.551,0.0,0.0,0.967,0.822,0.098,0.083,77.1,424.0,443.0,7.9,2.54,11.0,17.0,2.0,11.3,38.0,3.8,,67.0,297.0,,,,139.0,202.0,9.2,479.0,30.0,0.0,7.0,100.0,18.2,9.0,3.0,25.0,1.0,4.0,492.0,11.5,110.9,0.0,0.0,,2.0,459.0,3.3,16.0,135.0,20.0,,,0.0,62.0,12.0,2.5,,,,,158.0,,1.9,8.6,0.0,10.0,4.86,27.485,133.5771
