player_name,pos,rank,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Todd Gurley,RB,2.0,1994-08-03,Georgia,SEC,2015,1,2012.0,18.081,0.013,0.013,0.005,0.005,0.395,0.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,29.286,132.37272
Melvin Gordon,RB,15.0,1993-04-13,Wisconsin,Big Ten,2015,1,2013.0,20.386,0.137,0.137,0.0,0.0,0.604,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,28.363,128.20075999999997
Ameer Abdullah,RB,78.0,1993-06-13,Nebraska,Big Ten,2015,2,2012.0,19.22,0.111,0.111,0.0,0.0,0.529,0.529,,,263.0,,,57.0,,25.0,45.9,741.0,,,,,,,,,1614.0,,,0.0,9.0,57.0,810.0,71.3,45.0,2.0,45.0,,,,,,269.0,22.0,,227.0,366.0,,,0.0,0.0,,,32.0,285.0,,,,,,,810.0,,3.08,6.1,1.19,0.0,4.6,30.27,139.242
Tevin Coleman,RB,42.0,1993-04-16,Indiana,Big Ten,2015,3,2013.0,20.378,0.042,0.042,0.0,0.0,0.58,0.58,,,270.0,,,50.0,,29.0,57.0,1156.0,,,,,,,,,2027.0,,,2.0,4.0,50.0,1086.0,73.6,46.0,5.0,68.0,,,,,,141.0,25.0,,161.0,310.0,,,0.0,0.0,,,31.0,295.0,,,,,,,1086.0,,4.02,7.5,0.88,0.0,4.4,28.728,126.4032
Duke Johnson,RB,59.0,1993-09-23,Miami (FL),ACC,2015,3,2012.0,18.94,0.122,0.116,0.0,0.0,0.615,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,30.565,138.76510000000002
David Johnson,RB,64.0,1987-08-26,Tulsa,CUSA,2015,3,,,0.0,0.0,0.062,0.043,0.02,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,29.55,132.975
Matt Jones,RB,187.0,1983-04-22,Ole Miss,SEC,2015,3,2001.0,18.363,0.004,0.004,0.562,0.562,0.245,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,27.963,122.19831
Jeremy Langford,RB,215.0,1991-12-06,Michigan State,Big Ten,2015,4,2013.0,21.739,0.029,0.029,0.0,0.0,0.591,0.591,,,275.0,,,34.0,,22.0,38.3,583.0,,,,,,,,,1523.0,,,1.0,2.0,34.0,802.0,36.7,36.0,2.0,179.0,,,,,,63.0,11.0,,168.0,329.0,,,0.0,0.0,,,21.0,286.0,,,,,,,802.0,,2.92,5.5,0.38,0.0,4.42,28.207,124.67494
Javorius Allen,RB,164.0,1991-08-27,USC,Pac-12,2015,4,2013.0,22.015,0.072,0.069,0.0,0.0,0.661,0.628,,,275.0,,,44.0,,20.0,35.7,528.0,,,,,,,,,1481.0,,,6.0,6.0,44.0,715.0,41.0,44.0,2.0,135.0,,,,,,463.0,42.0,,270.0,305.0,,,0.0,0.0,,,52.0,317.0,,,,,,,715.0,,2.6,5.4,1.71,0.0,4.53,29.97,135.7641
Mike Davis,RB,161.0,1993-02-19,South Carolina,SEC,2015,4,2005.0,12.531,0.044,0.044,0.0,0.0,0.466,0.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,26.715,120.7518
David Cobb,RB,191.0,1993-06-03,Minnesota,Big Ten,2015,5,2013.0,20.246,0.044,0.044,0.002,0.002,0.493,0.493,,,312.0,,,61.0,,20.0,30.7,499.0,,,,,,,,,1625.0,,,3.0,2.0,61.0,966.0,59.5,48.0,5.0,119.0,,,,,,162.0,16.0,,140.0,432.0,,,0.0,0.0,,,21.0,328.0,,,,,,,966.0,,3.1,5.2,1.16,0.0,4.81,31.936,153.61216
Jay Ajayi,RB,168.0,1993-06-15,Boise State,MWC,2015,5,2012.0,19.214,0.142,0.108,0.0,0.0,0.663,0.504,,,348.0,,,51.0,,27.0,39.6,719.0,,,,,,,,,1816.0,,,3.0,10.0,51.0,1168.0,51.4,46.0,7.0,183.0,,,,,,534.0,50.0,,346.0,450.0,,,0.0,0.0,,,56.0,398.0,,,,,,,1168.0,,3.36,5.2,1.54,0.0,4.57,29.97,136.9629
Karlos Williams,RB,173.0,1993-05-04,Florida State,ACC,2015,5,2013.0,20.329,0.05,0.048,0.0,0.0,0.382,0.363,,,150.0,,,22.0,,8.0,25.1,172.0,,,,,,,,,685.0,,,0.0,3.0,22.0,399.0,37.2,24.0,2.0,44.0,,,,,,265.0,29.0,,216.0,183.0,,,0.0,0.0,,,32.0,179.0,,,,,,,399.0,,2.66,4.6,1.23,0.0,4.48,30.342,135.93216
Cameron Artis-Payne,RB,211.0,1990-06-23,Auburn,SEC,2015,5,2014.0,24.192,0.025,0.025,0.0,0.0,0.445,0.445,,,302.0,,,62.0,,21.0,32.4,518.0,,,,,,,,,1597.0,,,2.0,3.0,62.0,886.0,60.5,45.0,2.0,114.0,,,,,,147.0,13.0,,185.0,422.0,,,0.0,0.0,,,16.0,315.0,,,,,,,886.0,,2.93,5.3,0.79,0.0,4.53,30.416,137.78448
Josh Robinson,RB,178.0,1991-01-08,Georgia Tech,ACC,2015,6,2014.0,23.647,0.067,0.063,0.0,0.0,0.388,0.369,,,190.0,,,48.0,,20.0,44.5,541.0,,,,,,,,,1215.0,,,4.0,10.0,48.0,673.0,94.2,39.0,2.0,23.0,,,,,,370.0,28.0,,267.0,341.0,,,0.0,0.0,,,39.0,218.0,,,,,,,673.0,,3.54,6.4,1.39,0.0,4.7,32.991,155.0577
Marcus Murphy,RB,287.0,1991-10-03,Missouri,SEC,2015,7,2013.0,21.914,0.06,0.06,0.0,0.0,0.303,0.303,,,177.0,,,33.0,,16.0,36.8,340.0,,,,,,,,,924.0,,,4.0,5.0,33.0,531.0,55.6,29.0,1.0,40.0,,,,,,212.0,28.0,,199.0,222.0,,,0.0,0.0,,,42.0,205.0,,,,,,,531.0,,3.0,5.2,1.07,0.0,4.61,29.236,134.77796
Kenny Hilliard,RB,324.0,1991-10-03,LSU,SEC,2015,7,2012.0,20.914,0.006,0.006,0.0,0.0,0.201,0.201,,,90.0,,,14.0,,6.0,27.4,122.0,,,,,,,,,445.0,,,0.0,1.0,14.0,231.0,41.0,8.0,1.0,11.0,,,,,,35.0,4.0,,32.0,107.0,,,0.0,0.0,,,4.0,94.0,,,,,,,231.0,,2.57,4.9,1.09,0.0,4.83,30.648,148.02984
Ezekiel Elliott,RB,7.0,1995-07-22,Ohio State,Big Ten,2016,1,2014.0,19.113,0.042,0.042,0.0,0.0,0.58,0.58,,,291.0,,,53.0,,24.0,41.0,749.0,,,,,,,,,1829.0,,,1.0,2.0,53.0,1031.0,61.5,46.0,1.0,142.0,,,,,,195.0,26.0,,221.0,466.0,,,0.0,0.0,,,28.0,317.0,,,,,,,1031.0,,3.54,6.3,0.88,120.0,4.47,30.512,136.38863999999998
Derrick Henry,RB,20.0,1994-01-04,Alabama,SEC,2016,2,2014.0,20.657,0.013,0.013,0.0,0.0,0.794,0.794,,,396.0,,,76.0,,28.0,36.6,815.0,,,,,,,,,2225.0,,,2.0,10.0,76.0,1339.0,71.6,59.0,3.0,146.0,,,,,,93.0,10.0,,234.0,433.0,,,0.0,0.0,,,12.0,406.0,,,,,,,1339.0,,3.38,5.6,0.4,228.0,4.54,30.87,140.1498
Kenyan Drake,RB,40.0,1994-01-26,Alabama,SEC,2016,3,2013.0,19.598,0.038,0.038,0.0,0.0,0.273,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,27.703,123.27835
Tyler Ervin,RB,172.0,1993-10-07,San Jose State,MWC,2016,4,2014.0,20.901,0.106,0.08,0.0,0.0,0.619,0.471,,,293.0,,,43.0,,23.0,41.7,671.0,,,,,,,,,1608.0,,,0.0,8.0,43.0,806.0,41.4,38.0,2.0,113.0,,,,,,332.0,46.0,,296.0,366.0,,,0.0,0.0,,,52.0,339.0,,,,,,,806.0,,2.75,5.5,1.12,159.0,4.41,27.546,121.47786
Kenneth Dixon,RB,106.0,1994-01-21,Louisiana Tech,CUSA,2016,4,2013.0,19.611,0.168,0.117,0.0,0.0,0.633,0.443,,,225.0,,,62.5,,19.0,47.4,557.0,,,,,,,,,1178.5,,,2.0,14.5,62.5,743.5,98.8,30.5,4.5,85.5,,,,,,432.5,32.5,,219.0,282.5,,,0.0,0.0,,,43.0,257.5,,,,,,,743.5,,3.3,5.25,2.005,40.5,4.56,30.846,140.65776
Devontae Booker,RB,116.0,1992-05-27,Utah,Pac-12,2016,4,2014.0,22.264,0.089,0.084,0.019,0.018,0.519,0.493,,,279.0,,,51.5,,14.5,29.75,416.0,,,,,,,,,1377.5,,,1.5,10.0,51.5,872.0,60.55,34.0,4.5,75.5,,,,,,311.5,40.0,,216.0,371.0,,,0.0,0.0,,,46.5,319.0,,,,,,,872.0,,3.125,4.9,1.445,74.5,4.56,30.541,139.26695999999998
DeAndre Washington,RB,133.0,1993-02-22,Texas Tech,Big 12,2016,5,2013.0,20.523,0.064,0.061,0.0,0.0,0.506,0.481,,,230.0,,,55.0,,25.0,43.1,642.0,,,,,,,,,1491.0,,,2.0,12.0,55.0,801.0,86.1,49.0,3.0,44.0,,,,,,389.0,41.0,,418.0,335.0,,,0.0,0.0,,,56.0,271.0,,,,,,,801.0,,3.48,6.5,0.93,151.0,,,
Paul Perkins,RB,101.0,1994-11-16,UCLA,Pac-12,2016,5,2014.0,19.792,0.054,0.051,0.0,0.0,0.561,0.533,,,236.0,,,73.0,,17.0,39.9,532.0,,,,,,,,,1333.0,,,2.0,13.0,73.0,844.0,115.6,31.0,1.0,104.0,,,,,,247.0,30.0,,263.0,264.0,,,0.0,0.0,,,41.0,266.0,,,,,,,844.0,,3.58,5.6,0.94,120.0,4.54,29.842,135.48268
Jordan Howard,RB,81.0,1994-11-02,Utah,Pac-12,2016,5,2013.0,18.831,0.039,0.037,0.0,0.0,0.466,0.443,,,250.5,,,50.5,,20.5,35.05,487.5,,,,,,,,,1404.0,,,1.0,3.5,50.5,821.5,67.45,42.5,1.5,84.0,,,,,,89.0,10.0,,106.5,280.0,,,0.0,0.0,,,12.5,260.5,,,,,,,821.5,,3.355,5.7,0.845,67.0,4.57,31.19,142.53830000000002
Wendell Smallwood,RB,155.0,1994-01-20,West Virginia,Big 12,2016,5,2014.0,20.613,0.024,0.023,0.0,0.0,0.436,0.414,,,238.0,,,44.0,,23.0,32.7,496.0,,,,,,,,,1515.0,,,2.0,4.0,44.0,652.0,50.0,58.0,1.0,72.0,,,,,,153.0,25.0,,225.0,332.0,,,0.0,0.0,,,31.0,263.0,,,,,,,652.0,,2.74,6.4,0.68,151.0,4.47,29.842,133.39373999999998
Jonathan Williams,RB,100.0,1994-02-02,Wake Forest,ACC,2016,5,2013.0,19.578,0.061,0.058,0.0,0.0,0.403,0.383,,,211.0,,,65.0,,16.0,34.3,410.0,,,,,,,,,1194.0,,,1.0,0.0,65.0,734.0,101.9,36.0,4.0,84.0,,,,,,68.0,11.0,,105.0,238.0,,,0.0,0.0,,,16.0,222.0,,,,,,,734.0,,3.48,5.7,0.65,0.0,4.56,30.68,139.90079999999998
Alex Collins,RB,109.0,1994-08-26,Arkansas,SEC,2016,5,2013.0,19.017,0.014,0.014,0.0,0.0,0.628,0.628,,,271.0,,,58.0,,21.0,38.9,615.0,,,,,,,,,1580.0,,,0.0,2.0,58.0,815.0,63.5,41.0,5.0,156.0,,,,,,64.0,13.0,,141.0,303.0,,,0.0,0.0,,,13.0,284.0,,,,,,,815.0,,3.01,5.8,0.45,69.0,4.59,31.133,142.90046999999998
Kelvin Taylor,RB,176.0,1993-09-28,Florida,SEC,2016,6,2013.0,19.926,0.026,0.026,0.0,0.0,0.631,0.631,,,258.0,,,48.0,,14.0,32.3,331.0,,,,,,,,,1025.0,,,1.0,11.0,48.0,649.0,53.8,23.0,0.0,95.0,,,,,,157.0,18.0,,232.0,282.0,,,0.0,0.0,,,23.0,276.0,,,,,,,649.0,,2.52,4.0,0.68,160.0,4.6,29.698,136.61079999999998
Darius Jackson,RB,299.0,1993-12-01,Eastern Michigan,MAC,2016,6,2015.0,21.749,0.094,0.066,0.0,0.0,0.628,0.44,,,208.0,,,28.0,,19.0,46.3,505.0,,,,,,,,,1090.0,,,2.0,12.0,28.0,501.0,42.1,34.0,2.0,84.0,,,,,,201.0,21.0,,293.0,275.0,,,0.0,0.0,,,30.0,229.0,,,,,,,501.0,,2.41,5.2,0.69,113.0,,,
Dwayne Washington,RB,136.0,1994-04-24,Washington,Pac-12,2016,7,2014.0,20.356,0.016,0.015,0.0,0.0,0.328,0.311,,,131.0,,,25.0,,7.0,43.0,299.0,,,,,,,,,696.0,,,4.0,0.0,25.0,291.0,38.0,12.0,4.0,40.0,,,,,,94.0,15.0,,143.0,156.0,,,0.0,0.0,,,23.0,146.0,,,,,,,291.0,,2.22,5.3,0.66,0.0,,,
Daniel Lasco,RB,286.0,1992-10-09,California,Pac-12,2016,7,2013.0,20.895,0.036,0.034,0.0,0.0,0.381,0.362,,,139.0,,,23.5,,8.0,24.9,183.0,,,,,,,,,723.5,,,3.0,5.0,23.5,383.0,47.15,21.0,2.0,53.0,,,,,,181.5,17.0,,185.0,174.5,,,0.0,0.0,,,21.5,156.0,,,,,,,383.0,,2.695,5.1,0.74,19.0,4.46,28.342,126.40532
Keith Marshall,RB,285.0,1994-02-16,Georgia,SEC,2016,7,2012.0,18.541,0.025,0.025,0.0,0.0,0.273,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,30.541,131.63171
Zac Brooks,RB,313.0,1993-02-01,Clemson,ACC,2016,7,,,0.022,0.021,0.0,0.0,0.093,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
