player_name,pos,rank,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Maxx Williams,TE,10.0,1994-04-12,Minnesota,Big Ten,2015,2,2013.0,19.389,0.488,0.488,0.0,0.0,0.0,0.0,,,,11.8,,4.0,,,,,,56.3,,,,0.0,0.0,,,7.7,,3.0,,,,,,0.0,,,2.0,,,,,36.0,94.0,205.0,,,,,,39.9,87.0,64.0,,,,5.0,11.0,302.0,8.4,,15.8,,,2.78,,4.78,30.306,144.86268
Clive Walford,TE,45.0,1991-10-01,Miami (FL),ACC,2015,3,2014.0,22.919,0.239,0.227,0.0,0.0,0.0,0.0,,,,9.5,,8.0,,,,,,77.2,,,,0.0,0.0,,,4.3,,2.0,,,,,,1.0,,,3.0,,,,,44.0,80.8,206.0,,,,,,41.2,105.0,57.0,,,,4.7,12.0,295.0,6.7,,15.3,,,3.28,,4.79,30.549,146.32971
Tyler Kroft,TE,109.0,1992-10-15,Rutgers,Big Ten,2015,3,,,0.184,0.184,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,29.168,138.548
Jeff Heuerman,TE,124.0,1992-11-24,Ohio State,Big Ten,2015,3,,,0.135,0.135,0.0,0.0,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,30.117,144.86276999999998
Blake Bell,TE,174.0,1991-08-07,Oklahoma,Big 12,2015,4,2011.0,20.068,0.158,0.15,0.0,0.0,0.001,0.001,,,,11.8,,1.0,,,,,,55.2,,,,0.0,0.0,,,11.1,,2.0,,,,8.3,,0.0,,,3.0,,,,,16.0,79.6,257.0,,,,,,44.3,143.0,29.0,,,,0.0,0.0,76.0,4.8,,13.4,,,0.83,,4.8,29.118,139.76639999999998
MyCole Pruitt,TE,61.0,1992-03-24,Georgia State,Sun Belt,2015,5,,,0.0,0.0,0.0,0.0,-0.001,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,32.223,147.58134
Jesse James,TE,188.0,1994-06-04,Penn State,Big Ten,2015,5,,,0.181,0.181,0.0,0.0,0.0,0.0,,,,7.5,,4.0,,,,,,63.3,,,,0.0,0.0,,,13.6,,6.0,,,,,,0.0,,,1.0,,,,,38.0,74.8,400.0,,,,,,17.8,95.0,60.0,,,,4.3,23.0,153.0,4.0,,10.4,,,0.99,,4.83,29.4,142.00199999999998
James O'Shaughnessy,TE,151.0,1992-01-14,Michigan State,Big Ten,2015,5,,,0.0,0.0,0.0,0.0,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick O'Leary,TE,164.0,1992-08-31,Florida State,ACC,2015,6,,,0.188,0.179,0.0,0.0,0.0,0.0,,,,9.8,,9.0,,,,,,60.0,,,,0.0,0.0,,,2.0,,1.0,,,,,,0.0,,,6.0,,,,,48.0,84.3,382.0,,,,,,12.1,55.0,80.0,,,,2.0,9.0,231.0,4.8,,12.8,,,1.6,,4.93,31.494,155.26541999999998
Malcolm Johnson,TE,191.0,1977-08-27,Mississippi State,SEC,2015,6,,,0.123,0.123,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
