player_name,pos,rank,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Mike Williams,WR,32.0,1980-01-11,Nebraska,Big Ten,2005,1,2000.0,20.641,0.371,0.371,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,29.154,132.06762
Mike Thomas,WR,334.0,1987-06-04,Arizona,Pac-10,2009,4,2005.0,18.245,0.275,0.165,0.0,0.0,0.104,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,29.646,127.4778
Mike Williams,WR,32.0,1980-01-11,Nebraska,Big Ten,2010,4,2000.0,20.641,0.371,0.371,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,29.154,132.06762
Kyle Williams,WR,82.0,1983-06-10,Washington State,Ind,2010,6,,,0.393,0.236,0.036,0.021,0.026,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,26.972,118.6768
Amari Cooper,WR,5.0,1994-06-17,Alabama,SEC,2015,1,2012.0,18.209,0.472,0.472,0.0,0.0,0.004,0.004,,,,9.9,,26.0,,,,,,71.3,,,,0.0,0.0,,,6.1,,8.0,,,,69.5,,0.0,,,2.0,,,,,124.0,97.1,433.0,,,,,,19.5,87.0,174.0,,,,79.6,355.0,878.0,7.1,,13.9,,,3.99,,4.42,27.835,123.0307
Kevin White,WR,118.0,1992-06-25,West Virginia,Big 12,2015,1,2013.0,21.185,0.368,0.349,0.0,0.0,0.0,0.0,,,,11.1,,24.0,,,,,,68.1,,,,0.0,0.0,,,7.6,,9.0,,,,,,1.0,,,5.0,,,,,109.0,94.6,558.0,,,,,,7.6,45.0,160.0,,,,90.7,535.0,679.0,6.2,,13.3,,,2.59,,4.35,26.87,116.8845
DeVante Parker,WR,36.0,1993-01-20,Louisville,ACC,2015,1,2013.0,20.613,0.27,0.256,0.0,0.0,0.0,0.0,,,,14.4,,15.0,,,,,,57.3,,,,0.0,0.0,,,4.4,,2.0,,,,,,0.0,,,6.0,,,,,43.0,97.6,201.0,,,,,,10.2,21.0,75.0,,,,89.8,185.0,348.0,8.1,,19.9,,,4.25,,4.45,26.12,116.234
Nelson Agholor,WR,29.0,1993-05-24,USC,Pac-12,2015,1,2013.0,20.274,0.324,0.308,0.0,0.0,0.001,0.001,,,,8.9,,17.0,,,,,,76.3,,,,0.0,0.0,,,6.4,,7.0,,,,7.9,,0.0,,,2.0,,,,,103.0,95.7,447.0,,,,,,52.2,244.0,135.0,,,,41.5,194.0,573.0,5.6,,12.7,,,2.92,,4.42,26.851,118.68142
Breshad Perriman,WR,45.0,1993-09-10,UCF,American,2015,1,2014.0,20.975,0.366,0.311,0.0,0.0,0.0,0.0,,,,17.7,,7.0,,,,,,51.5,,,,0.0,0.0,,,13.8,,8.0,,,,13.7,,0.0,,,3.0,,,,,50.0,94.1,414.0,,,,,,5.9,26.0,97.0,,,,94.1,414.0,253.0,5.1,,20.9,,,2.52,,4.541,27.216,123.58785600000002
Phillip Dorsett,WR,72.0,1993-01-05,Miami (FL),ACC,2015,1,2012.0,19.655,0.326,0.31,0.0,0.0,-0.001,-0.001,,,,18.9,,3.0,,,,,,53.7,,,,0.0,0.0,,,2.7,,1.0,,,,0.0,,0.0,,,1.0,,,,,36.0,96.9,374.0,,,,,,22.8,88.0,67.0,,,,77.2,298.0,360.0,10.0,,24.2,,,2.33,,4.33,26.542,114.92686
Devin Smith,WR,77.0,1992-03-03,Ohio State,Big Ten,2015,2,2011.0,19.496,0.293,0.293,0.0,0.0,0.0,0.0,,,,23.8,,2.0,,,,,,68.8,,,,0.0,0.0,,,5.7,,2.0,,,,,,0.0,,,2.0,,,,,33.0,97.3,257.0,,,,,,22.3,59.0,48.0,,,,76.9,203.0,231.0,7.0,,28.2,,,3.62,,4.42,26.579,117.47918
Dorial Green-Beckham,WR,81.0,1993-04-12,Missouri,SEC,2015,2,2012.0,19.389,0.318,0.318,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,28.101,126.17349
Devin Funchess,WR,146.0,1994-05-21,Michigan,Big Ten,2015,2,2013.0,19.283,0.379,0.379,0.0,0.0,-0.003,-0.003,,,,9.7,,7.0,,,,,,60.8,,,,0.0,0.0,,,8.8,,6.0,,,,0.0,,0.0,,,4.0,,,,,62.0,96.2,332.0,,,,,,39.4,136.0,102.0,,,,57.7,199.0,268.0,4.3,,11.8,,,2.21,,4.7,28.237,132.7139
Tyler Lockett,WR,154.0,1992-09-28,Kansas State,Big 12,2015,3,2012.0,19.926,0.454,0.431,0.0,0.0,0.004,0.003,,,,11.9,,9.0,,,,,,72.1,,,,0.0,0.0,,,6.2,,7.0,,,,27.5,,0.0,,,3.0,,,,,106.0,93.3,415.0,,,,,,15.3,68.0,147.0,,,,84.3,375.0,455.0,4.3,,14.3,,,3.65,,4.4,26.111,114.88840000000002
Jaelen Strong,WR,78.0,1994-01-25,Arizona State,Pac-12,2015,3,2013.0,19.6,0.311,0.295,0.0,0.0,0.0,0.0,,,,13.9,,7.0,,,,,,53.3,,,,0.0,0.0,,,8.0,,7.0,,,,17.1,,0.0,,,3.0,,,,,81.0,94.7,431.0,,,,,,25.3,115.0,152.0,,,,74.7,340.0,421.0,5.2,,14.4,,,2.71,,4.44,27.858,123.68952000000002
Chris Conley,WR,222.0,1992-10-25,Georgia,SEC,2015,3,2014.0,21.851,0.293,0.293,0.0,0.0,0.0,0.0,,,,16.8,,2.0,,,,,,66.7,,,,0.0,0.0,,,10.0,,4.0,,,,,,1.0,,,1.0,,,,,36.0,96.4,264.0,,,,,,23.4,64.0,54.0,,,,75.9,208.0,159.0,4.4,,18.3,,,2.49,,4.35,27.345,118.95075
Sammie Coates,WR,113.0,1993-03-31,Auburn,SEC,2015,3,2013.0,20.422,0.286,0.286,0.0,0.0,0.0,0.0,,,,21.5,,10.0,,,,,,45.9,,,,0.0,0.0,,,12.8,,5.0,,,,,,0.0,,,1.0,,,,,34.0,94.9,263.0,,,,,,10.1,28.0,74.0,,,,89.9,249.0,128.0,3.8,,21.8,,,2.82,,4.43,27.967,123.89381
Ty Montgomery,WR,190.0,1993-01-22,Stanford,Pac-12,2015,3,2013.0,20.608,0.294,0.279,0.0,0.0,0.059,0.056,,,,6.5,,16.0,,,,,,62.2,,,,0.0,0.0,,,7.6,,5.0,,,,63.8,,1.0,,,5.0,,,,,61.0,95.9,280.0,,,,,,21.6,63.0,98.0,,,,77.4,226.0,437.0,7.2,,9.9,,,2.16,,4.55,29.97,136.3635
Jamison Crowder,WR,296.0,1993-06-17,Duke,ACC,2015,4,2012.0,19.209,0.333,0.316,0.012,0.011,0.017,0.016,,,,11.0,,11.0,,,,,,56.4,,,,0.0,0.0,,,10.6,,10.0,,,,19.2,,1.0,,,4.0,,,,,84.0,97.0,460.0,,,,,,17.3,82.0,149.0,,,,81.9,388.0,550.0,6.5,,12.7,,,2.31,,4.56,28.126,128.25456
Justin Hardy,WR,335.0,1991-12-18,East Carolina,American,2015,4,2011.0,19.704,0.346,0.294,0.01,0.009,0.01,0.008,,,,9.5,,20.0,,,,,,72.5,,,,0.0,0.0,,,4.0,,5.0,,,,0.0,,1.0,,,5.0,,,,,121.0,94.8,625.0,,,,,,64.2,423.0,167.0,,,,35.1,231.0,612.0,5.1,,12.3,,,2.39,,4.56,27.546,125.60975999999998
Vince Mayle,WR,418.0,1991-06-12,Washington State,Pac-12,2015,4,2014.0,23.222,0.229,0.218,0.0,0.0,0.0,0.0,,,,9.8,,25.0,,,,,,65.0,,,,0.0,0.0,,,15.2,,19.0,,,,,,1.0,,,3.0,,,,,106.0,95.2,551.0,,,,,,0.7,4.0,163.0,,,,99.3,575.0,827.0,7.8,,14.0,,,2.69,,4.67,28.757,134.29519
DeAndre Smelter,WR,194.0,1991-12-03,Georgia Tech,ACC,2015,4,2013.0,21.747,0.374,0.355,0.0,0.0,0.021,0.02,,,,17.0,,5.0,,,,,,56.5,,,,0.0,0.0,,,5.4,,2.0,,,,21.9,,0.0,,,1.0,,,,,35.0,89.6,163.0,,,,,,5.5,10.0,62.0,,,,88.5,161.0,239.0,6.8,,20.4,,,4.39,,4.52,29.014,131.14327999999998
Rashad Greene,WR,271.0,1992-09-23,Florida State,ACC,2015,5,2011.0,18.938,0.295,0.281,0.0,0.0,-0.001,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,25.381,114.97593
Stefon Diggs,WR,120.0,1993-11-29,Maryland,Big Ten,2015,5,2012.0,18.757,0.32,0.32,0.016,0.016,0.027,0.027,,,,7.3,,13.0,,,,,,64.9,,,,0.0,0.0,,,8.7,,6.0,,,,34.0,,0.0,,,2.0,,,,,63.0,97.3,355.0,,,,,,81.6,298.0,97.0,,,,17.0,62.0,524.0,8.3,,12.6,,,2.24,,4.46,26.444,117.94024
Tony Lippett,WR,280.0,1992-07-02,Michigan State,Big Ten,2015,5,2014.0,22.166,0.385,0.385,0.0,0.0,0.02,0.02,,,,13.3,,7.0,,,,,,61.9,,,,0.0,0.0,,,3.0,,2.0,,,,10.4,,0.0,,,2.0,,,,,65.0,96.2,328.0,,,,,,14.4,49.0,105.0,,,,85.6,292.0,383.0,5.9,,18.4,,,3.65,,4.61,24.649,113.63189
JJ Nelson,WR,348.0,1992-04-24,UAB,CUSA,2015,5,2011.0,19.354,0.312,0.218,0.0,0.0,0.007,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Bell,WR,156.0,1992-02-25,Nebraska,Big Ten,2015,5,2011.0,19.515,0.315,0.315,0.0,0.0,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,25.988,114.86696
Keith Mumphery,WR,433.0,1992-06-05,Michigan State,Big Ten,2015,5,,,0.13,0.13,0.0,0.0,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,29.156,132.36824
Kaelin Clay,WR,560.0,1992-01-03,Utah,Pac-12,2015,6,2014.0,22.661,0.202,0.192,0.0,0.0,0.001,0.001,,,,10.2,,5.0,,,,,,61.4,,,,0.0,0.0,,,8.5,,4.0,,,,9.6,,2.0,,,2.0,,,,,43.0,96.5,327.0,,,,,,89.7,304.0,70.0,,,,10.3,35.0,244.0,5.7,,12.1,,,1.59,,4.51,27.977,126.17627
Geremy Davis,WR,350.0,1992-01-10,Connecticut,American,2015,6,2013.0,21.643,0.27,0.23,0.0,0.0,0.0,0.0,,,,13.2,,1.0,,,,,,60.3,,,,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,3.0,,,,,44.0,96.1,247.0,,,,,,19.8,51.0,73.0,,,,80.2,206.0,67.0,1.5,,11.8,,,2.11,,4.49,27.73,124.5077
Evan Spencer,WR,571.0,1993-05-26,Ohio State,Big Ten,2015,6,,,0.077,0.077,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bud Sasser,WR,397.0,1992-05-29,Missouri,SEC,2015,6,2014.0,22.259,0.429,0.429,0.0,0.0,0.0,0.0,,,,12.2,,3.0,,,,,,65.8,,,,0.0,0.0,,,2.5,,2.0,,,,,,1.0,,,1.0,,,,,77.0,94.5,464.0,,,,,,12.4,61.0,117.0,,,,87.6,430.0,292.0,3.8,,12.9,,,2.15,,,,
Darren Waller,WR,246.0,1992-09-13,Georgia Tech,ACC,2015,6,2013.0,20.966,0.275,0.262,0.0,0.0,0.0,0.0,,,,19.6,,2.0,,,,,,57.8,,,,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,2.0,,,,,26.0,91.3,167.0,,,,,,2.2,4.0,45.0,,,,95.1,174.0,86.0,3.3,,17.0,,,2.65,,4.46,27.501,122.65446
Da'Ron Brown,WR,377.0,1991-09-21,Northern Illinois,MAC,2015,7,2013.0,21.947,0.276,0.193,0.0,0.0,0.005,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,27.8,126.212
Mario Alford,WR,507.0,1992-02-25,West Virginia,Big 12,2015,7,2014.0,22.516,0.326,0.31,0.0,0.0,0.003,0.003,,,,11.2,,6.0,,,,,,58.0,,,,0.0,0.0,,,15.6,,12.0,,,,94.0,,1.0,,,0.0,,,,,65.0,94.6,547.0,,,,,,4.3,25.0,112.0,,,,94.3,545.0,476.0,7.3,,14.5,,,1.73,,4.43,27.366,121.23138
Corey Coleman,WR,42.0,1994-07-06,Baylor,Big 12,2016,1,2014.0,20.156,0.408,0.388,0.0,0.0,0.013,0.012,,,,14.5,,13.0,,,,,,63.8,,,,0.0,0.0,,,11.9,,10.0,,,,47.7,,0.0,,,3.0,,,,,74.0,93.2,342.0,,,,,,26.7,98.0,116.0,,,,71.9,264.0,569.0,7.7,,18.4,,,3.99,,4.42,27.055,119.5831
Will Fuller,WR,33.0,1994-04-16,Notre Dame,Ind,2016,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,25.223,108.96336
Josh Doctson,WR,109.0,1992-12-03,Texas Christian,Big 12,2016,1,2013.0,20.745,0.326,0.31,0.0,0.0,0.001,0.001,,,,15.2,,9.0,,,,,,72.2,,,,0.0,0.0,,,7.1,,6.0,,,,56.3,,0.0,,,1.0,,,,,78.0,93.7,325.0,,,,,,5.8,20.0,108.0,,,,93.9,326.0,310.0,4.0,,17.0,,,4.08,,4.5,25.932,116.694
Laquon Treadwell,WR,101.0,1995-06-14,Ole Miss,SEC,2016,1,2015.0,20.216,0.29,0.29,0.03,0.03,-0.001,-0.001,,,,11.2,,17.0,,,,,,67.2,,,,0.0,0.0,,,9.9,,9.0,,,,,,1.0,,,6.0,,,,,82.0,95.1,470.0,,,,,,7.9,39.0,122.0,,,,91.9,454.0,442.0,5.4,,14.0,,,2.44,,4.52,28.372,128.24143999999998
Sterling Shepard,WR,100.0,1993-02-10,Oklahoma,Big 12,2016,2,2013.0,20.556,0.318,0.302,0.0,0.0,0.003,0.003,,,,13.4,,8.0,,,,,,67.55,,,,0.0,0.0,,,3.15,,2.5,,,,116.7,,0.0,,,2.5,,,,,68.5,95.85,350.0,,,,,,44.3,189.5,100.0,,,,55.7,176.0,419.0,6.25,,17.0,,,3.365,,4.48,27.833,124.69184
Michael Thomas,WR,57.0,1990-03-17,Southern Mississippi,CUSA,2016,2,2014.0,24.46,0.396,0.277,0.0,0.0,0.0,0.0,,,,11.0,,13.0,,,,,,67.5,,,,0.0,0.0,,,6.7,,4.0,,,,,,0.0,,,0.0,,,,,56.0,96.3,308.0,,,,,,6.3,20.0,83.0,,,,93.8,300.0,271.0,4.8,,13.9,,,2.54,,4.57,26.495,121.08215
Tyler Boyd,WR,65.0,1994-11-15,Pitt,ACC,2016,2,2013.0,18.795,0.413,0.392,0.01,0.009,0.041,0.039,,,,10.6,,7.5,,,,,,68.15,,,,0.0,0.0,,,5.55,,5.0,,,,23.1,,0.5,,,4.5,,,,,86.0,95.4,336.0,,,,,,48.95,172.0,126.0,,,,48.9,172.5,462.0,5.45,,13.05,,,3.29,,4.58,25.988,119.02504
Braxton Miller,WR,294.0,1992-11-30,Ohio State,Big Ten,2016,3,2011.0,18.752,0.148,0.148,0.001,0.001,0.054,0.054,,,,11.0,,8.0,,,,,,68.4,,,,0.0,0.0,,,3.7,,1.0,,,,43.1,,0.0,,,2.0,,,,,26.0,96.2,176.0,,,,,,88.0,161.0,38.0,,,,4.4,8.0,162.0,6.2,,13.2,,,1.94,,4.5,26.516,119.322
Leonte Carroo,WR,130.0,1994-01-24,Rutgers,Big Ten,2016,3,2013.0,19.603,0.426,0.426,0.0,0.0,0.0,0.0,,,,14.6,,7.0,,,,,,68.4,,,,0.0,0.0,,,4.9,,2.0,,,,,,0.0,,,4.0,,,,,39.0,96.5,194.0,,,,,,7.5,15.0,57.0,,,,92.5,186.0,266.0,6.8,,20.7,,,4.16,,4.5,28.614,128.763
Chris Moore,WR,362.0,1993-06-16,Georgia State,Sun Belt,2016,4,2013.0,20.211,0.221,0.168,0.0,0.0,0.002,0.001,,,,17.5,,2.0,,,,,,49.2,,,,0.0,0.0,,,12.1,,4.0,,,,,,0.0,,,3.0,,,,,29.0,94.0,296.0,,,,,,7.6,24.0,59.0,,,,92.4,291.0,269.0,9.3,,22.0,,,2.16,,4.53,27.175,123.10275
Malcolm Mitchell,WR,139.0,1992-07-20,Georgia,SEC,2016,4,2015.0,23.116,0.358,0.358,0.0,0.0,0.0,0.0,,,,13.4,,13.0,,,,,,61.7,,,,0.0,0.0,,,4.9,,3.0,,,,,,1.0,,,3.0,,,,,58.0,97.9,324.0,,,,,,8.2,27.0,94.0,,,,91.8,304.0,285.0,4.9,,14.9,,,2.67,,4.45,26.851,119.48695
Ricardo Louis,WR,142.0,1994-03-23,Auburn,SEC,2016,4,2015.0,21.443,0.295,0.295,0.0,0.0,0.049,0.049,,,,15.8,,8.0,,,,,,56.8,,,,0.0,0.0,,,11.5,,6.0,,,,39.3,,1.0,,,1.0,,,,,46.0,96.2,204.0,,,,,,11.3,24.0,81.0,,,,88.7,188.0,198.0,4.3,,15.6,,,3.51,,4.43,27.601,122.27243
Pharoh Cooper,WR,236.0,1995-03-07,South Carolina,SEC,2016,4,2014.0,19.488,0.431,0.431,0.032,0.032,0.075,0.075,,,,10.5,,14.0,,,,,,59.5,,,,0.0,0.0,,,7.0,,5.0,,,,22.2,,0.0,,,5.0,,,,,66.0,94.9,376.0,,,,,,84.8,336.0,111.0,,,,11.9,47.0,514.0,7.8,,14.8,,,2.6,,4.52,28.31,127.96119999999998
Demarcus Robinson,WR,228.0,1994-09-21,Florida,SEC,2016,4,,,0.013,0.013,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59,26.78,122.9202
