Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,YCO/A,Breakout Age,BMI,TWP%,Speed,MTF,BTT%,aDOT,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_QB,Train_Target_raw,Error_Target
Dorian Thompson-Robinson,-77.9851,0.7516,9.9857,-33.7008,8.5529,4.7273,-1.9309,-9.8047,-3.0191,-1.0204,5.1621,-10.4486,-2.2347,-32.9796,0.0000,-110.9647,-103.0000,-7.9647
Cam Ward,-77.9851,-2.5106,0.6250,49.7003,4.1787,3.5668,-1.5528,1.2158,-2.1675,-0.9223,0.4847,4.1274,0.6241,57.3696,0.0000,-20.6156,-21.0000,0.3844
Lamar Jackson,-77.9851,0.6087,3.4068,51.1158,-17.8393,4.9026,5.3679,1.8447,-2.3895,-0.3692,2.8749,-3.9858,1.7565,47.2941,0.0000,-30.6911,-12.0000,-18.6911
Trey Lance,-77.9851,-2.6971,0.9056,46.3285,1.6958,0.5199,-1.3832,-0.2961,-0.5612,-0.1649,-0.5939,-0.2062,0.3715,43.9187,0.0000,-34.0663,-41.0000,6.9337
Sean Clifford,-77.9851,0.1373,-2.1363,-33.6219,-3.5201,-0.9319,-4.9925,2.5085,1.6977,-0.8439,1.5856,-11.8257,1.4011,-50.5421,0.0000,-128.5271,-177.0000,48.4729
Patrick Mahomes,-77.9851,0.3584,3.4437,41.3258,2.4384,-3.0427,-0.2550,2.3286,-2.6090,0.6596,3.6152,2.7797,-0.7667,50.2760,0.0000,-27.7091,-28.0000,0.2909
Jared Goff,-77.9851,1.0581,0.6623,45.9757,2.4270,-3.2697,5.9042,-4.5181,-3.3118,0.8427,-1.4490,4.6834,0.6327,49.6375,0.0000,-28.3475,-27.0000,-1.3475
Alex McGough,-77.9851,-1.8805,-5.8440,-31.2612,8.1196,-1.2402,12.2663,1.4324,-4.0184,-0.9534,0.3616,-4.9917,-2.4195,-30.4290,0.0000,-108.4140,-98.0000,-10.4140
Shedeur Sanders,-77.9851,1.1863,-6.0716,-36.1237,11.1374,3.6618,-6.1049,-0.7060,2.4870,-1.6018,1.2204,2.4688,-2.3442,-30.7905,0.0000,-108.7758,-88.0000,-20.7758
Trevor Lawrence,-77.9851,-1.5765,-1.2338,47.3432,3.5261,5.5289,6.2420,-4.5939,-1.1187,-0.9129,3.3481,4.4088,0.7204,61.6817,0.0000,-16.3034,-2.0000,-14.3034
Brock Purdy,-77.9851,0.1790,-2.0998,-33.0124,7.4723,5.7057,12.1580,0.9193,-0.9247,2.2211,3.4950,-8.2294,-2.1791,-14.2950,0.0000,-92.2800,-57.0000,-35.2800
Tua Tagovailoa,-77.9851,-1.0150,-1.6520,49.7149,7.9001,4.4625,-1.5904,1.3929,2.2143,0.1219,-1.1049,4.2882,0.3999,65.1324,0.0000,-12.8529,-11.0000,-1.8529
Jordan Travis,-77.9851,-0.6460,3.7040,-34.4209,3.4710,3.1913,-3.8141,-5.4173,1.7275,-1.5921,4.7010,5.0977,1.1451,-22.8528,0.0000,-100.8380,-77.0000,-23.8380
Mason Rudolph,-77.9851,0.8827,-0.9038,-2.2868,5.1570,-1.6544,-0.0517,0.9795,-2.1183,1.8145,-0.8212,3.4959,2.4900,6.9834,0.0000,-71.0017,-62.0000,-9.0017
Bo Nix,-77.9851,0.9085,2.7770,45.6863,4.4796,2.0569,1.4268,2.1350,2.7042,-0.1611,-0.7526,-3.5258,-2.0925,55.6423,0.0000,-22.3429,-29.0000,6.6571
Brandon Allen,-77.9851,-2.6939,-0.8823,-34.6695,2.2636,3.0915,-3.0593,2.3054,0.8716,3.2387,-1.0846,1.1680,0.1441,-29.3067,0.0000,-107.2919,-131.0000,23.7081
Kurtis Rourke,-77.9851,-0.3886,-2.9249,-36.5839,6.1761,4.7790,-2.7533,-2.6172,-1.6894,-0.6485,-0.6854,-4.4776,-0.7129,-42.5266,0.0000,-120.5117,-122.0000,1.4883
Daniel Jones,-77.9851,-1.9737,1.9799,50.1432,-7.5199,5.5081,2.1066,-5.9258,-2.1183,0.4082,0.8462,-7.9866,-3.1418,32.3261,0.0000,-45.6590,-44.0000,-1.6590
Cole McDonald,-77.9851,-3.9170,6.1894,-32.8327,-4.2661,1.5090,-2.9044,-2.6644,-2.5326,-1.0966,-1.1978,3.0183,3.3486,-37.3463,0.0000,-115.3315,-164.0000,48.6685
Connor Cook,-77.9851,1.6123,-5.5358,-17.6234,-23.8782,-10.5351,-1.9128,-3.6436,-3.6922,-0.9333,-3.8652,8.6558,3.3026,-58.0489,0.0000,-136.0339,-93.0000,-43.0339
Brandon Doughty,-77.9851,-1.1026,-1.0230,-37.3348,10.0761,-11.3145,-7.4898,-3.4975,4.3207,1.9483,-4.6674,-5.0906,-2.7830,-57.9581,0.0000,-135.9432,-171.0000,35.0568
Jacoby Brissett,-77.9851,1.9123,-2.1746,-7.0056,-13.2872,8.0359,-3.1046,0.2868,0.2038,2.6853,3.4581,-6.6554,0.4588,-15.1864,0.0000,-93.1713,-162.0000,68.8287
Joe Milton,-77.9851,-2.6719,-4.4712,-34.5439,2.2683,3.2124,-4.0427,1.6782,1.2098,3.6046,-0.8251,1.2055,0.2961,-33.0799,0.0000,-111.0650,-73.0000,-38.0650
Jayden Daniels,-77.9851,1.0413,3.0220,43.5474,2.8980,4.3193,5.6905,-4.3892,2.4898,-0.5298,2.8403,4.7003,1.1035,66.7334,0.0000,-11.2517,-1.0000,-10.2517
