Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,BTT%,ADJ%,Breakout Age,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_QB,Train_Target_raw,Error_Target
Sean Mannion,-76.1866,4.1956,-6.4639,-8.4802,-8.3305,3.1911,-10.2039,7.4240,-18.6678,0.0000,-94.8543,-97.0000,2.1457
Tanner Lee,-76.1866,0.4814,-3.9802,-36.6064,1.0698,-11.8306,-16.7103,9.2521,-58.3242,0.0000,-134.5107,-182.0000,47.4893
Trace McSorley,-76.1866,2.9902,15.0433,-37.6535,-0.8420,10.4982,-19.4267,-13.4208,-42.8113,0.0000,-118.9978,-94.0000,-24.9978
Deshaun Watson,-76.1866,2.8977,10.5990,42.0282,5.9328,0.6722,2.9101,-2.2765,62.7635,0.0000,-13.4231,-16.0000,2.5769
DeShone Kizer,-76.1866,5.1340,-4.7895,32.6262,-2.0904,-4.7800,-11.5943,-2.4735,12.0325,0.0000,-64.1541,-54.0000,-10.1541
Davis Mills,-76.1866,1.9762,-7.4213,-2.9386,7.2956,14.9775,5.4907,-11.1000,8.2801,0.0000,-67.9067,-69.0000,1.0933
Malik Willis,-76.1866,2.5167,-8.1070,-4.6686,9.1392,0.8209,12.3989,-2.3284,9.7717,0.0000,-66.4149,-82.0000,15.5851
Christian Hackenberg,-76.1866,0.1279,-0.0964,29.2093,2.5136,-10.5189,-18.3293,17.8329,20.7391,0.0000,-55.4476,-59.0000,3.5524
Aidan O'Connell,-76.1866,-6.2990,-6.5326,-11.7383,6.5125,-11.2229,3.5501,-8.1382,-33.8684,0.0000,-110.0549,-135.0000,24.9451
Dak Prescott,-76.1866,-1.0377,11.7162,-13.1037,6.5264,-4.9086,4.0992,-2.8576,0.4342,0.0000,-75.7524,-53.0000,-22.7524
Joshua Dobbs,-76.1866,2.9605,10.8718,-13.6961,1.3418,-5.6650,2.5069,5.1424,3.4623,0.0000,-72.7242,-84.0000,11.2758
Bryce Petty,-76.1866,0.8381,-6.9876,-13.0415,0.2950,1.3899,3.7140,-13.5345,-27.3266,0.0000,-103.5132,-81.0000,-22.5132
Mitchell Trubisky,-76.1866,-0.6346,11.3839,42.1375,2.1010,-1.1532,-2.3659,-6.0776,45.3911,0.0000,-30.7954,-32.0000,1.2046
Riley Leonard,-76.1866,14.5553,9.5841,-36.1895,2.5604,-12.6646,-14.8346,-2.6450,-39.6339,0.0000,-115.8204,-137.0000,21.1796
Spencer Rattler,-76.1866,4.2002,5.8730,-30.4800,9.8623,-1.8115,8.2857,-1.2045,-5.2748,0.0000,-81.4614,-106.0000,24.5386
Baker Mayfield,-76.1866,0.6364,-6.4850,43.3091,1.4062,6.1886,5.3450,4.3479,54.7482,0.0000,-21.4385,-4.0000,-17.4385
Kevin Hogan,-76.1866,1.9608,-7.1322,-33.3624,8.2285,6.7765,1.7793,-13.9644,-35.7139,0.0000,-111.9003,-121.0000,9.0997
Cardale Jones,-76.1866,15.9116,-3.2740,-15.1704,-9.8631,-2.8783,3.1656,-1.9975,-14.1061,0.0000,-90.2926,-89.0000,-1.2926
Dillon Gabriel,-76.1866,1.5977,6.2156,-5.8056,3.8914,3.6913,2.9209,20.0077,32.5190,0.0000,-43.6677,-60.0000,16.3323
Jarrett Stidham,-76.1866,-1.8148,-1.6162,-12.9177,-0.2431,-4.2088,0.8257,-15.1576,-35.1325,0.0000,-111.3190,-104.0000,-7.3190
Tua Tagovailoa,-76.1866,-0.1553,-0.6409,45.2573,1.2521,9.8368,3.0633,6.5327,65.1460,0.0000,-11.0405,-11.0000,-0.0405
Max Duggan,-76.1866,-0.3845,8.9503,-30.7975,4.9515,-2.3927,0.9981,23.3172,4.6424,0.0000,-71.5442,-63.0000,-8.5442
Sam Ehlinger,-76.1866,3.7720,13.8172,-31.9271,0.7170,2.0913,-12.5134,20.1784,-3.8646,0.0000,-80.0511,-66.0000,-14.0511
Jake Fromm,-76.1866,2.4136,-4.4483,-34.2002,-17.6679,0.5745,-12.9454,14.6942,-51.5795,0.0000,-127.7662,-91.0000,-36.7662
