Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,ADJ%,YCO/A,BMI,aDOT,TWP%,BTT%,Y/RR,ATT,MTF,Breakout Age,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_QB,Train_Target_raw,Error_Target
Davis Webb,-80.2464,1.5993,0.4886,-11.1966,-10.0072,-3.7212,-4.9400,-0.8679,-1.0896,-0.0493,3.7834,-0.0372,-0.5606,-1.8509,16.3349,1.1172,-12.1143,1.1172,-91.2437,-111.0000,19.7563
Drake Maye,-80.2464,0.5891,1.7866,46.1541,-0.0111,0.7521,4.4246,-0.1491,0.3419,2.3338,10.4769,-0.2207,0.4936,2.0801,-0.2423,1.2728,68.8096,1.2728,-10.1640,-10.0000,-0.1640
Joe Milton,-80.2464,-3.0849,-3.5397,-35.3059,2.3278,0.2240,0.5248,4.3231,-1.0632,0.5841,-1.9227,-0.1175,-1.3751,-2.3581,-4.4383,-1.3245,-45.2216,-1.3245,-126.7926,-73.0000,-53.7926
Justin Fields,-80.2464,1.5221,1.9997,48.4143,4.2883,1.4151,3.6487,3.2006,0.3854,2.7171,10.8233,-0.2412,0.1272,1.8340,-1.2467,1.2852,78.8879,1.2852,-0.0731,-7.0000,6.9269
Paxton Lynch,-80.2464,-0.6335,-1.9941,53.2080,3.9113,2.0923,-0.7586,1.7208,-0.5056,2.3397,-7.8545,-0.1034,-0.2712,1.1388,1.7776,0.0704,54.0676,0.0704,-26.1085,-31.0000,4.8915
Jameis Winston,-80.2464,0.5650,-1.8840,43.2749,4.4918,-1.0507,3.7728,0.1295,-1.6480,-2.3826,-10.6406,-0.1714,-0.5290,-0.0286,1.5148,-0.8277,35.4139,-0.8277,-45.6600,-13.0000,-32.6600
Dillon Gabriel,-80.2464,1.0170,1.2672,-7.2681,2.2518,2.0033,-2.8052,2.4805,0.5360,1.1282,5.3489,-0.1495,-1.3398,-0.7873,14.6702,1.9653,18.3532,1.9653,-59.9277,-60.0000,0.0723
Daniel Jones,-80.2464,-0.5267,0.1814,55.2629,-11.3479,-1.2048,1.7292,-1.7383,-0.0091,-1.9263,-14.3445,-0.0288,-0.7943,0.5769,2.8264,0.7316,28.6561,0.7316,-50.8588,-44.0000,-6.8588
Josh Rosen,-80.2464,-0.1390,-2.2420,45.8476,-7.0109,-1.5804,-3.6764,1.5606,-0.6517,-3.0036,8.7371,-0.0440,0.6622,-1.5506,11.5791,0.3252,48.4880,0.3252,-31.4331,-38.0000,6.5669
Trevor Siemian,-80.2464,-0.4504,-2.9283,-36.2691,-14.0209,-1.0574,-8.6877,2.7255,-1.6051,-0.1765,-18.5897,-0.1070,-0.1101,-0.6953,-8.9260,0.2472,-90.8980,0.2472,-170.8973,-198.0000,27.1027
Jaxson Dart,-80.2464,0.5239,1.5195,48.8389,4.2990,1.6811,4.1021,1.2373,0.7078,2.4238,9.6086,-0.2886,-0.0350,2.1344,1.5731,0.3411,78.3259,0.3411,-1.5794,-6.0000,4.4206
Bo Nix,-80.2464,0.4546,0.8555,50.4002,5.4723,1.8196,1.7941,1.5223,-0.4874,2.3675,-9.9906,-0.0928,0.0481,0.1543,2.1601,1.0128,56.4778,1.0128,-22.7558,-29.0000,6.2442
