feature,tree_feature_importance,kind
Draft Capital,0.1,base
Comp%,0.06831762761320954,base
RDOM+,0.05425353304888143,base
YCO/A,0.04879279004653789,base
BTT%,0.0458352790251579,base
ADJ%,0.03497857326850926,base
MTF,0.020763403411300858,base
TWP%,0.019141815539486535,base
Breakout Age,0.018974548647236533,base
BMI,0.017299950928950772,base
Speed,0.014778320803257033,base
ATT,0.013436110760047429,base
SpeedxBMI,0.010816868754857246,interaction
aDOT,0.010542489170544383,base
PDOM+,0.006356910929437779,base
Y/RR,0.00011393464056181145,base
