position,seed,n_subsets,max_base_feats,n_iter_per_model,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
QB,34,40,15,15,9,GB,0.7919615438991697,0.790161009697775,14.453672424092078,18.717586717782854,7,PDOM+|RDOM+|Draft Capital|Comp%|BTT%|ADJ%|Breakout Age,,-11.04046731455832
QB,34,40,15,15,5,GB,0.7976263813315493,0.7798030699494743,14.942935283532636,19.173985289959052,11,PDOM+|RDOM+|Draft Capital|Comp%|MTF|ATT|ADJ%|Breakout Age|BTT%|BMI,SpeedxBMI,-15.767733367219323
QB,34,40,15,15,11,GB,0.8104500651848303,0.7630048017031235,15.36268759218778,19.89191218954221,16,PDOM+|RDOM+|Draft Capital|Comp%|TWP%|YCO/A|MTF|Breakout Age|BTT%|Speed|ATT|BMI|ADJ%|aDOT|Y/RR,SpeedxBMI,-14.218073813047965
QB,34,40,15,15,35,GB,0.8090563072104177,0.7597458572121083,15.48717421198487,20.028213047039227,16,PDOM+|RDOM+|Draft Capital|Comp%|TWP%|YCO/A|BTT%|Speed|ADJ%|Y/RR|BMI|ATT|aDOT|MTF|Breakout Age,SpeedxBMI,-13.629670987771542
QB,34,40,15,15,32,GB,0.8100087531513476,0.7555954862500234,15.057058689983045,20.200465205264493,12,PDOM+|RDOM+|Draft Capital|Comp%|TWP%|ATT|ADJ%|Breakout Age|BTT%|YCO/A|MTF,SpeedxBMI,-15.844386081818365
QB,34,40,15,15,12,GB,0.8081875877133579,0.7555688674657519,15.588817135274192,20.201565220106904,16,PDOM+|RDOM+|Draft Capital|Comp%|Y/RR|ATT|Speed|TWP%|aDOT|BMI|MTF|YCO/A|ADJ%|Breakout Age|BTT%,SpeedxBMI,-14.490974913749513
QB,34,40,15,15,7,GB,0.7851156123950876,0.7514636580075058,16.132554308533816,20.37050102866299,14,PDOM+|RDOM+|Draft Capital|Comp%|Y/RR|TWP%|Breakout Age|BTT%|MTF|BMI|aDOT|ATT|ADJ%|Speed,,-17.55240057316207
QB,34,40,15,15,37,GB,0.7862787866273795,0.7492105755163645,16.217872547891943,20.462626128476597,15,PDOM+|RDOM+|Draft Capital|Comp%|ADJ%|ATT|BMI|Breakout Age|BTT%|Speed|Y/RR|TWP%|aDOT|MTF,SpeedxBMI,-17.56114696519608
QB,34,40,15,15,31,GB,0.8194181806080554,0.7279048183914973,15.818134396214505,21.314109152002565,13,PDOM+|RDOM+|Draft Capital|Comp%|BMI|BTT%|YCO/A|Y/RR|MTF|Breakout Age|Speed|ADJ%,SpeedxBMI,-11.846057852609926
QB,34,40,15,15,23,GB,0.8232596701782366,0.7265706917880542,16.483996962541347,21.366298516108234,11,PDOM+|RDOM+|Draft Capital|Comp%|Y/RR|Speed|YCO/A|MTF|Breakout Age|TWP%|BTT%,,-11.712960245360067
QB,34,40,15,15,17,GB,0.8136390334448402,0.7246225614385554,16.475105547212998,21.442278769482076,14,PDOM+|RDOM+|Draft Capital|Comp%|ATT|aDOT|BMI|TWP%|YCO/A|MTF|Speed|Breakout Age|BTT%,SpeedxBMI,-15.779004815335986
QB,34,40,15,15,34,GB,0.7648452492587584,0.7136351137102288,16.078404278360292,21.865863974159083,11,PDOM+|RDOM+|Draft Capital|Comp%|Speed|aDOT|ADJ%|Y/RR|ATT|Breakout Age|YCO/A,,-7.697355461873671
QB,34,40,15,15,25,GB,0.750953731742159,0.7024870891177142,17.998509007868268,22.287413390660504,14,PDOM+|RDOM+|Draft Capital|Comp%|BMI|YCO/A|MTF|TWP%|Y/RR|ATT|ADJ%|Speed|BTT%|aDOT,,-14.203232253813477
QB,34,40,15,15,39,GB,0.7993932873804062,0.7006253109935756,18.109139619849312,22.357039789732088,11,PDOM+|RDOM+|Draft Capital|Comp%|aDOT|MTF|Breakout Age|TWP%|ATT|Y/RR|BTT%,,-18.745123835571015
QB,34,40,15,15,10,GB,0.6889320217023065,0.6962211490205881,17.68162109137339,22.520888866570935,5,PDOM+|RDOM+|Draft Capital|Comp%|aDOT,,-15.432822921028553
