Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,BMI,Y/RR,BTT%,MTF,Speed,ADJ%,ATT,YCO/A,Breakout Age,TWP%,aDOT,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_QB,Train_Target_raw,Error_Target
Dorian Thompson-Robinson,-77.8731,-0.1973,8.7681,-32.3239,5.8271,-4.4084,0.0238,-10.1656,5.2640,-0.2764,5.6187,-0.1377,5.3457,-1.0946,-3.4044,-2.7479,-1.2064,-23.9088,-1.2064,-102.9882,-103.0000,0.0118
Cam Ward,-77.8731,-1.3263,0.6956,50.6530,2.8749,0.8358,-0.0447,3.9386,0.9426,-0.2725,-0.1782,1.9882,3.8854,-1.0116,-1.4336,0.8649,-0.4530,62.4121,-0.4530,-15.9141,-21.0000,5.0859
Lamar Jackson,-77.8731,0.7669,2.4470,51.6080,-10.6114,0.8356,0.0819,-3.3963,2.7492,-0.0253,-5.9963,0.7395,4.5222,5.0385,-2.0917,2.2365,0.0023,48.9043,0.0023,-28.9666,-12.0000,-16.9666
Trey Lance,-77.8731,-1.8126,0.7200,46.3368,0.7571,-0.5352,0.0267,-0.8092,-0.9079,-0.3561,-0.1268,-2.2426,1.9296,-1.3773,0.4079,0.3972,-0.6430,42.4076,-0.6430,-36.1086,-41.0000,4.8914
Sean Clifford,-77.8731,-0.9234,-2.3926,-33.8352,0.4958,0.9791,0.0205,-9.3684,0.5537,-0.8391,1.7884,-0.8116,-1.5503,-4.2577,1.4408,2.0308,1.3437,-46.6692,1.3437,-123.1987,-177.0000,53.8013
Patrick Mahomes,-77.8731,-0.7446,3.4150,41.6980,0.4477,1.2972,0.1759,2.0868,2.7399,0.2718,-0.4347,1.6795,-1.2759,0.2576,-1.8955,-0.8010,0.5013,48.9177,0.5013,-28.4541,-28.0000,-0.4541
Jared Goff,-77.8731,1.1978,1.1396,48.6488,1.0631,-2.1606,-0.5333,4.2087,-1.3997,0.7740,-0.1471,-1.3214,-1.0397,5.1274,-2.1507,1.1725,-0.3354,54.5794,-0.3354,-23.6292,-27.0000,3.3708
Alex McGough,-77.8731,-1.3324,-5.0373,-32.8201,3.7161,0.5614,0.0059,-6.0435,0.3534,-0.8246,1.8114,0.4097,-4.3374,11.0699,-3.4958,-3.3062,1.6802,-39.2695,1.6802,-115.4624,-98.0000,-17.4624
Shedeur Sanders,-77.8731,1.6249,-4.8789,-34.0208,6.2969,-0.8210,0.0350,2.2453,-0.2301,-0.3166,5.0730,0.4084,4.4265,-3.6203,2.1244,-2.9397,-1.0801,-24.5930,-1.0801,-103.5464,-88.0000,-15.5464
Trevor Lawrence,-77.8731,-1.7310,-1.4912,44.9765,2.5820,-2.4367,0.0617,4.4709,2.5482,-0.7356,-0.8131,-1.7187,3.2290,4.6361,-0.2737,0.5213,-0.0397,53.8257,-0.0397,-24.0873,-2.0000,-22.0873
Brock Purdy,-77.8731,-0.0266,-0.9392,-31.8199,4.2715,0.3124,-0.0242,-7.2824,1.3774,1.4587,3.7632,0.3066,6.6836,12.1229,-0.0647,-2.0941,0.9732,-11.9548,0.9732,-88.8546,-57.0000,-31.8546
Tua Tagovailoa,-77.8731,-1.6077,-1.7963,47.7659,4.0529,1.5639,0.0270,4.8192,-1.2783,-0.3222,3.6962,-2.2632,3.7133,-1.6427,0.8143,1.0496,0.2018,58.5919,0.2018,-19.0797,-11.0000,-8.0797
Jordan Travis,-77.8731,-1.5412,3.9483,-30.7573,1.7293,-3.4768,0.0613,4.8708,6.4488,-0.8473,0.1178,0.9000,4.5995,-2.4215,1.8656,3.0101,-0.8535,-11.4926,-0.8535,-90.2193,-77.0000,-13.2193
Mason Rudolph,-77.8731,0.4795,-1.4377,-4.0577,3.8303,-0.2039,0.0073,3.1315,-2.2394,1.0500,0.6724,-0.0145,-1.3257,-1.2427,-2.7219,2.0236,0.5486,-2.0489,0.5486,-79.3735,-62.0000,-17.3735
