Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,BTT%,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_QB,Train_Target_raw,Error_Target
Davis Webb,-80.3125,2.1249,-6.5823,-11.0841,-21.2863,5.1806,-31.6472,0.0000,-111.9595,-111.0000,-0.9595
Drake Maye,-80.3125,4.7400,9.6482,42.3252,-1.7339,9.3131,64.2926,0.0000,-16.0199,-10.0000,-6.0199
Joe Milton,-80.3125,-0.8975,-2.3553,-32.3805,3.7041,0.2961,-31.6331,0.0000,-111.9456,-73.0000,-38.9456
Justin Fields,-80.3125,-1.1401,11.1007,48.0999,10.1069,9.0960,77.2634,0.0000,-3.0492,-7.0000,3.9508
Paxton Lynch,-80.3125,-0.9893,-0.1221,56.0902,7.0170,-10.8232,51.1726,0.0000,-29.1399,-31.0000,1.8601
Jameis Winston,-80.3125,1.8323,-0.5211,54.2199,8.5718,-9.4003,54.7026,0.0000,-25.6098,-13.0000,-12.6098
Dillon Gabriel,-80.3125,0.1400,13.4370,-5.1112,3.3642,7.6586,19.4886,0.0000,-60.8240,-60.0000,-0.8240
Daniel Jones,-80.3125,-3.3675,-0.5262,63.2890,-17.2712,-16.4439,25.6802,0.0000,-54.6323,-44.0000,-10.6323
Josh Rosen,-80.3125,-4.7750,-0.3880,56.1339,-10.3875,5.4564,46.0398,0.0000,-34.2728,-38.0000,3.7272
Trevor Siemian,-80.3125,-4.1709,-0.5538,-38.2293,-23.5935,-13.3886,-79.9361,0.0000,-160.2487,-198.0000,37.7513
Jaxson Dart,-80.3125,-2.4576,4.1644,50.5362,5.8132,8.8372,66.8934,0.0000,-13.4193,-6.0000,-7.4193
Bo Nix,-80.3125,5.9418,7.7114,45.3889,10.3661,-12.2127,57.1955,0.0000,-23.1169,-29.0000,5.8831
Michael Pratt,-80.3125,-7.0294,12.1923,-31.4010,5.5165,2.2417,-18.4799,0.0000,-98.7923,-95.0000,-3.7923
James Morgan,-80.3125,-1.4417,4.1706,-15.8316,-16.6274,-19.7094,-49.4395,0.0000,-129.7520,-167.0000,37.2480
Lamar Jackson,-80.3125,0.2918,3.2195,55.6156,-18.2759,-12.6932,28.1578,0.0000,-52.1548,-12.0000,-40.1548
Drew Lock,-80.3125,-0.5511,-4.3475,38.2533,-11.8224,8.0256,29.5579,0.0000,-50.7545,-50.0000,-0.7545
Kellen Mond,-80.3125,0.0936,-0.3479,-3.7273,-1.3343,-18.5181,-23.8340,0.0000,-104.1465,-92.0000,-12.1465
Bryce Petty,-80.3125,-2.0115,-0.8129,-14.5506,1.0560,6.0192,-10.2998,0.0000,-90.6123,-81.0000,-9.6123
Shedeur Sanders,-80.3125,-0.4699,-9.1158,-27.8148,13.6810,2.5024,-21.2171,0.0000,-101.5297,-88.0000,-13.5297
Mike White,-80.3125,-1.4996,-1.3782,-28.3042,2.9099,1.8794,-26.3927,0.0000,-106.7053,-108.0000,1.2947
Sam Ehlinger,-80.3125,1.5731,22.4264,-28.3119,1.9109,7.5952,5.1937,0.0000,-75.1188,-66.0000,-9.1188
Will Levis,-80.3125,-3.6124,0.4732,33.0462,8.9172,-9.4885,29.3357,0.0000,-50.9768,-52.0000,1.0232
Davis Mills,-80.3125,0.9625,-2.5994,-2.7130,9.3983,8.4689,13.5173,0.0000,-66.7951,-69.0000,2.2049
Ian Book,-80.3125,-1.2775,12.0766,-16.3482,4.7998,-15.8272,-16.5765,0.0000,-96.8889,-64.0000,-32.8889
