Player,Bias,DOM+,RDOM+,Draft Capital,ELU,YCO/A,Breakout Age,Y/RR,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_RB,Train_Target_raw,Error_Target
Aaron Jones,-128.5203,10.0692,12.5439,-6.6529,7.8361,22.7650,13.7590,-1.6945,5.9540,58.6258,5.9540,-63.9406,-61.0000,-2.9406
Ezekiel Elliott,-128.5203,-0.2053,10.6356,97.5297,-3.8237,4.5744,4.4841,-2.0262,-1.5723,111.1686,-1.5723,-18.9240,-7.0000,-11.9240
Kareem Hunt,-128.5203,1.4677,0.3502,46.8505,5.0814,1.9768,15.6177,3.5195,2.4446,74.8638,2.4446,-51.2120,-34.0000,-17.2120
Matt Jones,-128.5203,-18.8955,-8.2172,64.9609,1.1446,3.4492,4.1796,-1.9650,-2.0108,44.6566,-2.0108,-85.8747,-187.0000,101.1253
Mike Davis,-128.5203,3.9078,4.0477,-1.2116,7.5786,7.5146,27.4499,-0.4381,-3.7913,48.8489,-3.7913,-83.4627,-161.0000,77.5373
Jordan James,-128.5203,-18.0663,-23.5460,-21.8923,-3.7600,-32.6219,-4.4735,-7.1068,1.6693,-111.4668,1.6693,-238.3178,-91.0000,-147.3178
Antonio Gibson,-128.5203,6.8427,-11.9490,66.7190,10.9383,12.8138,-0.8343,2.5066,-0.7892,87.0371,-0.7892,-42.2724,-36.0000,-6.2724
Keaontay Ingram,-128.5203,-2.6005,1.3369,-51.8591,5.0311,15.2185,14.9198,1.6344,-1.8836,-16.3189,-1.8836,-146.7229,-182.0000,35.2771
Myles Gaskin,-128.5203,-1.4922,18.6945,-69.9746,-13.3825,-9.4270,18.6485,2.5787,-1.2226,-54.3546,-1.2226,-184.0975,-230.0000,45.9025
Jake Funk,-128.5203,3.0413,32.1376,-70.9622,-12.9375,-9.6822,-0.4169,3.6941,-5.9900,-55.1258,-5.9900,-189.6362,-217.0000,27.3638
De'Angelo Henderson,-128.5203,-13.0591,-9.1215,-65.9227,2.2468,-0.6646,-4.8544,-2.7695,4.3194,-94.1450,4.3194,-218.3460,-283.0000,64.6540
Snoop Conner,-128.5203,0.4415,-9.7566,-19.8040,1.6719,-36.3787,-0.2912,4.7418,-0.3217,-59.3753,-0.3217,-188.2174,-293.0000,104.7826
Chase Edmonds,-128.5203,-24.6547,2.7574,-6.8016,2.5556,4.6073,-7.6907,0.7298,1.7914,-28.4969,1.7914,-155.2260,-294.0000,138.7740
Tyler Ervin,-128.5203,4.8234,0.8742,-14.4848,-12.2862,-29.7428,-11.3321,1.3496,-4.5980,-60.7987,-4.5980,-193.9172,-172.0000,-21.9172
Kaleb Johnson,-128.5203,7.4374,11.1938,51.4896,2.3500,11.3157,-15.8359,-2.0457,-1.5541,65.9049,-1.5541,-64.1697,-22.0000,-42.1697
Jahmyr Gibbs,-128.5203,5.1258,-14.8877,99.6935,3.0990,-1.9670,9.5990,4.1166,-0.7386,104.7792,-0.7386,-24.4799,-6.0000,-18.4799
Kendre Miller,-128.5203,-0.2773,-1.1198,52.6958,-0.5967,9.3497,-0.6692,-0.5378,-2.9490,58.8447,-2.9490,-72.6246,-77.0000,4.3754
Tony Pollard,-128.5203,9.0103,-22.0363,-3.7120,5.7282,4.3479,-10.1154,1.4079,-1.2056,-15.3694,-1.2056,-145.0954,-88.0000,-57.0954
Anthony McFarland Jr.,-128.5203,-22.2427,3.0542,-6.6229,2.4424,3.9352,-7.6777,0.5640,6.0372,-26.5475,6.0372,-149.0307,-113.0000,-36.0307
Ameer Abdullah,-128.5203,3.6565,6.2605,80.7196,5.2824,-9.9756,-2.3964,-0.8427,1.9590,82.7043,1.9590,-43.8570,-78.0000,34.1430
