Player,Bias,DOM+,RDOM+,Draft Capital,ELU,MTF,10+,Y/RR,Breakout Age,Break%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_RB,Train_Target_raw,Error_Target
Aaron Jones,-129.1459,3.6194,6.4543,-13.4671,3.4857,9.5983,0.4472,-2.8186,17.2374,10.9109,11.7356,35.4675,11.7356,-81.9429,-61.0000,-20.9429
Ezekiel Elliott,-129.1459,0.6960,3.0094,92.4379,-7.6660,12.0665,-4.9511,-0.1378,1.3241,-0.5547,-1.4502,96.2243,-1.4502,-34.3718,-7.0000,-27.3718
Kareem Hunt,-129.1459,2.3213,-4.2058,41.4420,10.5777,5.1988,-4.6730,3.8568,26.9160,-15.8645,1.2714,65.5693,1.2714,-62.3051,-34.0000,-28.3051
Matt Jones,-129.1459,-36.9382,11.4530,51.8709,-2.3655,2.8457,-2.8442,-2.4757,8.0068,-3.9949,-25.9276,25.5579,-25.9276,-129.5155,-187.0000,57.4845
Mike Davis,-129.1459,2.3416,-5.0416,-0.7176,-0.4794,7.5182,-0.7662,-1.3322,41.6926,-4.4683,-25.6654,38.7471,-25.6654,-116.0642,-161.0000,44.9358
Jordan James,-129.1459,0.4425,-4.9802,-10.3118,-18.3324,-33.0664,9.3551,3.8222,-4.3343,-12.1952,-0.0584,-69.6005,-0.0584,-198.8048,-91.0000,-107.8048
Antonio Gibson,-129.1459,4.9858,-20.2620,71.8606,20.7098,-42.4646,8.1931,3.7579,-5.8267,2.4065,0.5919,43.3604,0.5919,-85.1934,-36.0000,-49.1934
Keaontay Ingram,-129.1459,0.7005,-3.0717,-48.1701,-3.1287,12.1677,-3.1627,2.2281,17.4253,-8.6292,-0.8309,-33.6408,-0.8309,-163.6174,-182.0000,18.3826
Myles Gaskin,-129.1459,3.0035,5.2618,-77.9518,-10.5461,6.6476,3.3456,-0.3857,19.9147,0.9553,1.5680,-49.7551,1.5680,-177.3329,-230.0000,52.6671
Jake Funk,-129.1459,9.5485,8.4242,-64.6450,-15.1987,-61.1720,9.6819,-2.0987,-3.7626,18.4956,-10.0375,-100.7268,-10.0375,-239.9103,-217.0000,-22.9103
