Player,Bias,DOM+,RDOM+,Draft Capital,ELU,FUM,YCO/A,MTF,Breakout Age,Break%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_RB,Train_Target_raw,Error_Target
Darrynton Evans,-130.4227,5.1109,0.4077,55.7997,13.2773,-3.6758,-18.4876,9.4025,-1.2623,-1.7209,-6.2846,58.8515,-6.2846,-77.8557,-160.0000,82.1443
Bhayshul Tuten,-130.4227,4.5298,1.8831,-2.8214,15.4269,12.0931,16.4071,7.4967,-11.3741,16.2443,-2.9968,59.8855,-2.9968,-73.5339,-54.0000,-19.5339
Isaiah Spiller,-130.4227,2.8267,0.8395,-2.3766,4.7689,-4.5846,0.7909,9.5727,36.3872,1.3962,2.2289,49.6209,2.2289,-78.5729,-75.0000,-3.5729
Trey Benson,-130.4227,3.3682,0.6621,58.5410,-0.4175,-3.7566,2.8454,7.2693,-1.4897,16.7005,-4.9336,83.7227,-4.9336,-51.6336,-45.0000,-6.6336
Wendell Smallwood,-130.4227,-7.1230,1.2877,-8.7911,-9.3135,-5.1825,-29.5459,9.7241,-3.5599,-1.5741,1.8019,-54.0782,1.8019,-182.6989,-155.0000,-27.6989
Dexter Williams,-130.4227,4.5871,-8.4323,-58.6430,-0.6043,-3.7829,19.6719,-11.3346,-2.3228,23.3808,6.3783,-37.4801,6.3783,-161.5245,-247.0000,85.4755
Devin Singletary,-130.4227,-2.5953,0.4646,51.2312,6.3311,10.1113,11.0943,-0.8181,3.6798,-1.0206,5.1826,78.4783,5.1826,-46.7618,-73.0000,26.2382
Wayne Gallman,-130.4227,0.7196,1.0432,-4.9138,-0.9935,-4.9156,-16.2698,10.5168,-5.2203,-0.3133,2.3078,-20.3467,2.3078,-148.4617,-190.0000,41.5383
Cam Skattebo,-130.4227,20.7641,8.3086,-3.7191,15.0659,12.0612,13.8055,1.0969,-11.3651,-1.7491,4.9987,54.2689,4.9987,-71.1550,-53.0000,-18.1550
Alexander Mattison,-130.4227,0.2686,0.8622,57.2248,-5.0188,-3.2841,-15.5952,2.8202,-0.4184,17.9053,8.2656,54.7646,8.2656,-67.3925,-149.0000,81.6075
