Player,Bias,DOM+,RDOM+,Draft Capital,ELU,MTF,FUM,10+,YCO/A,Y/RR,Breakout Age,Break%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_RB,Train_Target_raw,Error_Target
Ty Johnson,-134.9944,-2.2560,-7.6147,-55.8215,-5.3390,-44.0542,-3.5732,3.9194,14.3206,-19.6670,14.4870,4.9386,0.7767,-100.6600,0.7767,-234.8777,-125.0000,-109.8777
Kyren Williams,-134.9944,1.2435,6.5968,-8.3686,-6.9858,7.3746,15.4888,-0.9882,-6.9657,1.3628,-6.1613,-1.8507,1.2349,0.7462,1.2349,-133.0133,-127.0000,-6.0133
Karlos Williams,-134.9944,0.3941,-9.0572,-11.7319,-1.4338,-37.9408,-4.6256,2.2198,-23.5536,-0.4018,-4.2578,2.1361,5.4002,-88.2525,5.4002,-217.8467,-173.0000,-44.8467
Will Shipley,-134.9944,-0.8375,-5.5901,4.8211,1.2187,7.4569,8.7484,-0.1689,-23.2035,3.7933,9.0261,-1.7585,2.2817,3.5060,2.2817,-129.2066,-119.0000,-10.2066
Trayveon Williams,-134.9944,-2.1628,22.9872,-47.2311,-0.8781,21.9054,6.3239,-3.9704,15.8235,4.2823,16.1956,4.7187,8.8223,37.9942,8.8223,-88.1778,-97.0000,8.8222
Myles Gaskin,-134.9944,4.8096,10.9659,-82.5777,-10.5037,8.4392,0.6816,-0.9360,-13.7940,8.1135,11.6304,-1.2079,-3.6271,-64.3791,-3.6271,-203.0006,-230.0000,26.9994
DJ Giddens,-134.9944,1.0512,-0.6725,-8.3859,-0.8400,13.5924,-3.8926,1.1233,20.5705,0.7434,-5.3777,5.1727,-2.7762,23.0848,-2.7762,-114.6859,-71.0000,-43.6859
Joe Mixon,-134.9944,5.8947,-4.7653,69.1870,2.0715,9.2390,5.0204,-0.6857,10.8335,10.4175,6.5389,3.9506,0.1406,117.7021,0.1406,-17.1517,-16.0000,-1.1517
Travis Etienne,-134.9944,1.1029,2.3192,79.9176,3.4404,6.1231,-4.7624,-0.9294,0.9536,1.3581,15.1404,-0.7691,-9.0120,103.8944,-9.0120,-40.1120,-12.0000,-28.1120
DeeJay Dallas,-134.9944,-0.2547,4.2499,6.5298,-3.6068,9.9338,-7.1746,1.8129,19.5019,4.4421,-10.1148,3.8797,9.1870,29.1992,9.1870,-96.6079,-162.0000,65.3921
Michael Carter,-134.9944,3.8679,-4.9312,7.3684,-0.9276,9.1973,0.0547,-0.0325,17.4370,2.3170,15.4601,2.3060,7.0948,52.1171,7.0948,-75.7824,-79.0000,3.2176
Gary Brightwell,-134.9944,0.5966,0.0285,-51.9921,13.1784,-15.8050,-6.1835,3.5907,15.6724,-2.7997,9.4263,-0.5838,4.0231,-34.8712,4.0231,-165.8426,-218.0000,52.1574
Jake Funk,-134.9944,9.1522,17.2616,-69.1028,-12.4626,-42.7809,-2.2169,4.0100,-15.9597,2.3400,-5.2757,5.8678,-8.1962,-109.1670,-8.1962,-252.3574,-217.0000,-35.3574
Keaontay Ingram,-134.9944,-0.0229,4.0678,-52.7361,-2.8733,8.6856,2.2777,-0.7293,13.8195,5.1784,23.6867,-0.5616,2.4829,0.7925,2.4829,-131.7189,-182.0000,50.2811
Damien Harris,-134.9944,-6.2592,-9.7358,69.4931,-5.3779,-10.3714,-8.1081,1.4155,11.6986,0.9612,-9.1985,0.4111,1.0342,34.9286,1.0342,-99.0316,-76.0000,-23.0316
Devin Singletary,-134.9944,2.0042,-0.9012,59.7040,5.9502,0.4044,5.4615,-5.0231,12.3991,2.7288,5.7817,4.4499,-5.5008,92.9595,-5.5008,-47.5356,-73.0000,25.4644
Ezekiel Elliott,-134.9944,3.8009,10.5765,72.3635,-10.5627,13.3563,0.3852,-11.0336,10.4062,3.1440,3.1249,-1.4072,-7.6722,94.1540,-7.6722,-48.5125,-7.0000,-41.5125
Kylin Hill,-134.9944,-1.6091,3.4724,-64.3574,-3.2192,18.0023,-6.9756,0.1779,-10.0990,0.7450,-7.5787,-0.2784,-4.1052,-71.7198,-4.1052,-210.8193,-221.0000,10.1807
Ke'Shawn Vaughn,-134.9944,13.2723,9.2753,58.7391,-3.1432,11.9210,-4.3063,-0.4411,8.0516,2.0126,18.1392,0.8696,-6.6204,114.3901,-6.6204,-27.2244,-50.0000,22.7756
Kaleb Johnson,-134.9944,16.0680,5.3154,62.0241,-3.1375,8.8727,-5.5076,-0.3263,9.9839,1.2970,-23.5195,1.1594,-1.8577,72.2296,-1.8577,-64.6224,-22.0000,-42.6224
Derrius Guice,-134.9944,12.3889,5.4968,69.7923,4.6921,8.9579,-4.8239,0.0512,9.3041,1.2700,3.1745,-0.6617,-0.3850,109.6422,-0.3850,-25.7370,-28.0000,2.2630
Todd Gurley,-134.9944,-2.0777,-1.6355,80.0220,-2.3031,6.8144,-5.1131,-0.8741,-1.2069,1.4559,18.4046,-0.7541,2.2880,92.7324,2.2880,-39.9742,-2.0000,-37.9742
Jonathan Taylor,-134.9944,10.1826,9.1496,68.1841,-2.7959,0.7464,-2.9040,-2.3074,8.6038,7.8244,11.2828,0.5846,3.3448,108.5510,3.3448,-23.0985,-10.0000,-13.0985
Josh Jacobs,-134.9944,3.1736,-5.6734,78.0141,-9.5108,-5.3864,-0.3649,0.6583,5.7195,1.9538,-9.5922,0.9883,-2.9807,59.9799,-2.9807,-77.9951,-26.0000,-51.9951
Jordan Wilkins,-134.9944,1.6770,27.2690,-5.2383,-3.3584,-5.6504,0.2477,-0.7968,-5.7516,2.9201,-25.8042,1.8169,-5.6978,-12.6690,-5.6978,-153.3611,-231.0000,77.6389
Ameer Abdullah,-134.9944,10.0405,9.5678,69.8864,-0.9363,11.7937,-5.5320,-3.5341,-18.7927,1.2586,2.2639,-0.0450,3.0575,75.9708,3.0575,-55.9661,-78.0000,22.0339
Rashaad Penny,-134.9944,6.5863,11.1904,74.1085,-3.0968,4.5163,-3.2447,-1.0347,14.1564,1.8541,-6.3699,4.3680,-7.9682,103.0339,-7.9682,-39.9287,-31.0000,-8.9287
Trey Sermon,-134.9944,-0.0694,-7.4536,64.9484,-4.4889,-5.5970,-7.3890,-0.1899,12.0857,1.8373,8.4180,2.2938,2.0742,64.3954,2.0742,-68.5247,-114.0000,45.4753
Duke Johnson,-134.9944,10.9789,16.1457,65.3587,-3.2184,6.9725,-4.4996,-0.4082,2.4372,2.2983,13.8566,-0.2884,-5.8127,109.6333,-5.8127,-31.1737,-59.0000,27.8263
Evan Hull,-134.9944,16.6040,20.3324,-4.6422,-3.4306,14.8570,-5.2938,2.7761,-16.0161,3.6926,-8.3881,-4.2869,-0.6684,16.2044,-0.6684,-119.4584,-107.0000,-12.4584
Jarquez Hunter,-134.9944,0.7907,16.5694,5.5703,-2.7474,15.3128,5.9012,2.4413,17.4347,4.5397,15.8518,3.5278,1.5824,85.1923,1.5824,-48.2195,-70.0000,21.7805
Donnel Pumphrey,-134.9944,2.9777,0.6630,4.2281,-5.7428,17.1000,12.7746,-6.9848,-24.3556,0.1521,16.8085,-4.8015,-6.8344,12.8193,-6.8344,-129.0095,-111.0000,-18.0095
Joe Williams,-134.9944,-3.6854,-2.1164,7.4120,-16.5008,-17.7735,7.7575,0.7054,-3.8177,3.2942,-22.0927,1.9105,9.4929,-44.9069,9.4929,-170.4085,-224.0000,53.5915
Ty Chandler,-134.9944,0.2698,-1.6076,-8.9351,4.4740,12.1965,0.4971,-0.2796,21.3819,0.5981,-6.3347,4.2178,0.5367,26.4782,0.5367,-107.9792,-146.0000,38.0208
Darrynton Evans,-134.9944,9.3943,-2.6917,63.8317,8.2503,9.3602,-6.9964,-2.8515,-24.0704,1.1392,-6.2841,3.6318,0.5456,52.7134,0.5456,-81.7353,-160.0000,78.2647
Mike Davis,-134.9944,2.2920,5.3583,10.0229,-1.7377,10.7647,-5.9341,-0.2591,-0.9398,1.3472,24.8453,-1.3074,-8.1872,44.4523,-8.1872,-98.7291,-161.0000,62.2709
Jermar Jefferson,-134.9944,-0.9554,24.3391,-81.6077,-4.5905,8.5677,7.6449,-1.5599,-8.2958,3.6786,13.7526,1.0396,-2.1439,-37.9868,-2.1439,-175.1250,-144.0000,-31.1250
Matt Jones,-134.9944,-21.6980,-3.5837,76.6658,-1.3442,7.9966,-8.0757,-0.6044,1.7402,1.4393,13.4296,-1.7638,-10.2418,64.2017,-10.2418,-81.0344,-187.0000,105.9656
Kerryon Johnson,-134.9944,1.1337,3.9133,73.8408,-3.0461,12.4679,0.4770,-0.0297,-24.5026,5.0369,7.8236,-0.1335,-0.6641,76.9813,-0.6641,-58.6771,-110.0000,51.3229
Joshua Kelley,-134.9944,-1.6153,21.3781,-1.0310,3.5507,9.7829,-3.1508,0.4920,-27.9632,-0.7754,-12.3937,-1.0613,4.5569,-12.7870,4.5569,-143.2244,-246.0000,102.7756
Audric Estime,-134.9944,0.6823,11.2718,12.4580,3.8515,-31.0996,-5.1155,5.2594,19.4842,-18.8938,-3.8672,0.8088,11.4157,-5.1601,11.4157,-128.7388,-86.0000,-42.7388
Kareem Hunt,-134.9944,2.5058,-3.0592,64.9514,5.1219,0.1120,-4.6594,-6.7569,-2.3060,7.7609,21.8026,0.6271,-2.2176,86.1002,-2.2176,-51.1117,-34.0000,-17.1117
Derrick Henry,-134.9944,-6.0356,9.0410,52.8228,-4.6928,3.6049,5.4182,1.8675,-0.4394,-52.2278,-9.3642,-3.1476,-5.8618,-3.1530,-5.8618,-144.0092,-20.0000,-124.0092
