Player,Bias,DOM+,RDOM+,Draft Capital,ELU,Y/RR,10+,YCO/A,Breakout Age,FUM,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_RB,Train_Target_raw,Error_Target
Ty Johnson,-134.8312,-5.3359,-10.1765,-63.8651,-2.0852,-5.5544,2.1067,15.0430,2.7282,-3.1049,-1.8624,-70.2441,-1.8624,-206.9377,-125.0000,-81.9377
Kyren Williams,-134.8312,-1.8622,-9.5212,-16.2025,-3.0212,-0.9928,-2.0682,-12.7106,-4.9512,6.9386,9.5136,-44.3913,9.5136,-169.7090,-127.0000,-42.7090
Karlos Williams,-134.8312,-2.1426,-13.3176,-9.4862,1.9093,-1.1269,-2.7023,-21.5650,-3.3997,-7.2631,3.4571,-59.0941,3.4571,-190.4683,-173.0000,-17.4683
Will Shipley,-134.8312,3.0988,-13.1110,-5.6149,2.5782,3.5162,4.2097,-19.2052,2.4418,17.9339,-0.1893,-4.1525,-0.1893,-139.1729,-119.0000,-20.1729
Trayveon Williams,-134.8312,3.3860,25.6791,-51.9484,0.8957,5.3809,1.1665,17.5352,11.7701,8.8110,7.4132,22.6761,7.4132,-104.7418,-97.0000,-7.7418
Myles Gaskin,-134.8312,3.2568,20.4300,-73.8620,-12.7886,3.3072,3.2237,-11.4219,20.2121,-6.7439,1.7391,-54.3866,1.7391,-187.4787,-230.0000,42.5213
DJ Giddens,-134.8312,5.4144,-1.7492,-0.8551,-1.5815,0.6226,6.8908,26.0803,-6.1127,-3.4687,3.6486,25.2409,3.6486,-105.9417,-71.0000,-34.9417
Joe Mixon,-134.8312,8.2143,-4.2292,77.6235,2.3049,3.4744,0.7335,11.7479,3.0029,4.0102,-0.8609,106.8824,-0.8609,-28.8098,-16.0000,-12.8098
Travis Etienne,-134.8312,2.7324,-3.6328,97.0899,3.7415,-1.6345,1.4558,-1.6125,14.0780,-1.6825,-6.8698,110.5353,-6.8698,-31.1657,-12.0000,-19.1657
DeeJay Dallas,-134.8312,4.7344,1.0163,4.7852,-3.1812,1.0172,-6.6324,30.8501,-11.3303,-4.8552,-0.3068,16.4041,-0.3068,-118.7340,-162.0000,43.2660
Michael Carter,-134.8312,6.1332,-8.4838,7.7279,3.3980,0.6679,1.1176,32.6665,16.9125,-2.0846,7.0122,58.0552,7.0122,-69.7637,-79.0000,9.2363
Gary Brightwell,-134.8312,-1.7065,-2.1632,-59.0311,19.6432,5.4600,-2.2599,7.2124,-5.0322,-6.8730,-0.4769,-44.7503,-0.4769,-180.0586,-218.0000,37.9414
Jake Funk,-134.8312,7.0593,23.6137,-60.0100,-6.7773,3.1203,3.8043,-14.3744,-9.1671,-3.1132,-1.7461,-55.8444,-1.7461,-192.4219,-217.0000,24.5781
Keaontay Ingram,-134.8312,-8.7693,-7.1621,-66.4719,-4.6108,5.0677,2.2666,13.1154,16.5346,-2.9924,-1.2082,-53.0222,-1.2082,-189.0617,-182.0000,-7.0617
Damien Harris,-134.8312,-14.5679,-0.9491,70.3470,-1.3992,-0.1324,1.8177,13.5268,-4.1085,-7.1309,1.9337,57.4035,1.9337,-75.4939,-76.0000,0.5061
Devin Singletary,-134.8312,-1.0617,-2.5537,63.2471,9.0468,2.0581,0.6293,16.6440,4.5594,5.0796,-4.0229,97.6489,-4.0229,-41.2052,-73.0000,31.7948
Ezekiel Elliott,-134.8312,2.0998,10.1485,92.9310,-4.9821,1.2782,1.1641,13.4724,4.3441,-1.2946,-4.5806,119.1614,-4.5806,-20.2503,-7.0000,-13.2503
Kylin Hill,-134.8312,-2.5017,-6.1091,-82.7321,-10.1849,-4.4462,1.5802,-12.3624,-6.4298,-5.1519,-0.5045,-128.3379,-0.5045,-263.6736,-221.0000,-42.6736
Ke'Shawn Vaughn,-134.8312,12.7597,12.0078,58.7361,-1.3525,-1.2367,3.0262,10.2067,17.9857,-1.8547,-3.7191,110.2783,-3.7191,-28.2721,-50.0000,21.7279
Kaleb Johnson,-134.8312,12.9965,10.5747,61.1774,-2.0120,-0.4377,2.2563,14.0680,-7.9198,-5.2636,-2.5113,85.4398,-2.5113,-51.9027,-22.0000,-29.9027
Derrius Guice,-134.8312,5.1792,3.9350,80.5542,3.2039,0.2669,1.4471,9.5532,3.9414,-1.6496,-2.7942,106.4313,-2.7942,-31.1941,-28.0000,-3.1941
Todd Gurley,-134.8312,-9.9030,-3.7839,97.5209,-1.0819,0.3188,2.3191,0.1840,12.8405,-1.3052,0.6929,97.1093,0.6929,-37.0291,-2.0000,-35.0291
Jonathan Taylor,-134.8312,5.9124,11.4388,75.3142,-0.8743,3.5531,0.7499,9.0385,12.5131,4.0258,2.1931,121.6715,2.1931,-10.9667,-10.0000,-0.9667
Josh Jacobs,-134.8312,1.5025,-2.6965,100.3334,-9.7189,1.7171,0.1431,11.0140,-9.0594,-1.2301,-1.3200,92.0052,-1.3200,-44.1462,-26.0000,-18.1462
Jordan Wilkins,-134.8312,-0.5766,12.3426,-21.0859,-12.2845,0.4439,-1.1330,-9.6251,-10.9623,-4.9969,0.3985,-47.8778,0.3985,-182.3106,-231.0000,48.6894
Ameer Abdullah,-134.8312,6.9313,3.4447,94.3735,-0.1695,-1.9598,2.7903,-9.4586,3.0250,-1.8180,0.1120,97.1589,0.1120,-37.5602,-78.0000,40.4398
Rashaad Penny,-134.8312,5.0044,5.6801,83.9393,-1.6799,2.2744,1.5415,13.0955,-10.6652,-1.6176,-7.6270,97.5725,-7.6270,-44.8858,-31.0000,-13.8858
Trey Sermon,-134.8312,-3.0708,-4.4964,73.4646,-1.7645,0.7327,0.5928,15.1370,-1.9451,-7.9074,7.9648,70.7429,7.9648,-56.1235,-114.0000,57.8765
Duke Johnson,-134.8312,10.5557,11.2350,66.8291,-1.0356,0.5442,2.9192,-0.1848,7.6015,-1.7904,-3.5046,96.6739,-3.5046,-41.6619,-59.0000,17.3381
Evan Hull,-134.8312,11.6841,9.0000,-21.0415,-2.6115,3.1178,-3.5572,-12.1191,-2.5744,-6.3432,4.4116,-24.4450,4.4116,-154.8645,-107.0000,-47.8645
Jarquez Hunter,-134.8312,4.3987,13.8898,8.9242,-0.3647,7.8186,7.7598,23.3886,11.1091,6.7322,1.6731,83.6563,1.6731,-49.5018,-70.0000,20.4982
Donnel Pumphrey,-134.8312,-0.1479,4.4313,0.3653,-1.4176,-2.9643,3.4209,-13.5374,13.9656,15.0757,-6.2145,19.1916,-6.2145,-121.8539,-111.0000,-10.8539
Joe Williams,-134.8312,-2.7617,-5.4968,4.7177,-8.1967,5.0451,2.8524,-6.2739,-11.2575,10.2888,1.1493,-11.0826,1.1493,-144.7646,-224.0000,79.2354
Ty Chandler,-134.8312,3.1295,-1.9114,-4.9358,7.9670,0.3937,3.2450,29.5160,-5.3748,-2.6219,1.1383,29.4073,1.1383,-104.2857,-146.0000,41.7143
Darrynton Evans,-134.8312,10.1183,-3.3424,73.6603,7.4437,1.2927,2.3908,-20.9225,-3.3304,-6.8482,2.2979,60.4623,2.2979,-72.0711,-160.0000,87.9289
Mike Davis,-134.8312,3.5056,1.4497,3.4427,1.8732,-0.0015,4.6580,-4.3194,18.5352,-4.8153,-5.5408,24.3282,-5.5408,-116.0440,-161.0000,44.9560
Jermar Jefferson,-134.8312,-2.2840,24.2486,-70.1345,-1.5654,6.8568,-0.1235,-12.3065,18.7262,14.7602,-0.7281,-21.8221,-0.7281,-157.3814,-144.0000,-13.3814
Matt Jones,-134.8312,-35.2696,-0.5952,83.7158,-0.1202,0.7392,3.0888,0.3617,12.8355,-1.9007,-1.6823,62.8553,-1.6823,-73.6584,-187.0000,113.3416
Kerryon Johnson,-134.8312,4.6179,6.9613,92.5455,-1.4345,2.8586,0.1381,-20.4184,2.2150,-1.5779,-0.6214,85.9056,-0.6214,-49.5471,-110.0000,60.4529
Joshua Kelley,-134.8312,-3.9156,19.8576,-3.1302,-1.6917,4.9260,-1.8767,-32.1894,0.7270,-5.2535,12.0114,-22.5465,12.0114,-145.3662,-246.0000,100.6338
Audric Estime,-134.8312,-10.8201,-4.3431,-1.5849,1.8258,-19.2966,1.9703,17.0712,-4.1624,-2.7266,7.8109,-22.0664,7.8109,-149.0868,-86.0000,-63.0868
Kareem Hunt,-134.8312,1.9619,-2.0485,63.1508,3.9424,3.8344,-0.6503,-1.7590,15.9036,-5.7523,2.4837,78.5830,2.4837,-53.7646,-34.0000,-19.7646
