position,seed,n_subsets,max_base_feats,n_iter_per_model,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
RB,34,40,15,15,22,GB,0.6168697726177153,0.5163154608744615,40.0453267389557,52.343449409791866,10,DOM+|RDOM+|Draft Capital|ELU|FUM|YCO/A|MTF|Breakout Age|Break%,SpeedxBMI,-14.887497509322221
RB,34,40,15,15,20,GB,0.613902420287849,0.509392625617882,39.94717452960032,52.716706810312225,12,DOM+|RDOM+|Draft Capital|ELU|Break%|YCO/A|10+|Breakout Age|FUM|Y/RR|MTF,SpeedxBMI,-15.146223383049048
RB,34,40,15,15,8,GB,0.6137324774284211,0.509392625617882,39.94717452960032,52.716706810312225,12,DOM+|RDOM+|Draft Capital|ELU|10+|Break%|FUM|MTF|Y/RR|YCO/A|Breakout Age,SpeedxBMI,-15.146223383049042
RB,34,40,15,15,19,GB,0.6135179313375724,0.509392625617882,39.94717452960032,52.716706810312225,12,DOM+|RDOM+|Draft Capital|ELU|10+|Y/RR|MTF|FUM|Breakout Age|YCO/A|Break%,SpeedxBMI,-15.146223383049033
RB,34,40,15,15,6,GB,0.6125336175026159,0.509392625617882,39.94717452960032,52.716706810312225,12,DOM+|RDOM+|Draft Capital|ELU|10+|FUM|Y/RR|Breakout Age|Break%|MTF|YCO/A,SpeedxBMI,-15.146223383049042
RB,34,40,15,15,5,GB,0.6124400928493844,0.509392625617882,39.947174529600325,52.716706810312225,12,DOM+|RDOM+|Draft Capital|ELU|10+|Breakout Age|YCO/A|Y/RR|Break%|MTF|FUM,SpeedxBMI,-15.146223383049046
RB,34,40,15,15,38,GB,0.6124186561111066,0.509392625617882,39.94717452960031,52.716706810312225,12,DOM+|RDOM+|Draft Capital|ELU|Breakout Age|FUM|10+|YCO/A|Break%|MTF|Y/RR,SpeedxBMI,-15.146223383049046
RB,34,40,15,15,26,GB,0.6077290195737804,0.5073453995539103,40.15140445909313,52.82658149803696,10,DOM+|RDOM+|Draft Capital|ELU|MTF|Break%|YCO/A|10+|Breakout Age,SpeedxBMI,-15.926510775021894
RB,34,40,15,15,25,GB,0.5712606334560412,0.5063799483719692,41.30895586421435,52.878318072864445,9,DOM+|RDOM+|Draft Capital|ELU|10+|YCO/A|Break%|MTF,SpeedxBMI,-16.59722715793722
RB,34,40,15,15,17,GB,0.6218642711763028,0.5060106057599654,39.950175112384834,52.89809701431045,11,DOM+|RDOM+|Draft Capital|ELU|MTF|YCO/A|Break%|FUM|Breakout Age|10+,SpeedxBMI,-10.040264483321401
RB,34,40,15,15,4,GB,0.6168224803008625,0.5025053903717638,40.37246439796618,53.08544057517265,11,DOM+|RDOM+|Draft Capital|ELU|10+|FUM|Y/RR|YCO/A|MTF|Breakout Age,SpeedxBMI,-9.299257254890119
RB,34,40,15,15,37,GB,0.6122179166204748,0.4951772375782275,40.590657353876765,53.47498861870147,11,DOM+|RDOM+|Draft Capital|ELU|Breakout Age|FUM|Y/RR|MTF|Break%|YCO/A,SpeedxBMI,-16.428480320768745
RB,34,40,15,15,9,GB,0.6110588641376765,0.4951772375782275,40.59065735387676,53.47498861870147,11,DOM+|RDOM+|Draft Capital|ELU|YCO/A|Y/RR|FUM|Break%|Breakout Age|MTF,SpeedxBMI,-16.42848032076874
RB,34,40,15,15,18,GB,0.5842396058806031,0.4867665286233185,42.53172944251882,53.91861428527513,7,DOM+|RDOM+|Draft Capital|ELU|YCO/A|MTF,SpeedxBMI,-15.879664665620385
RB,34,40,15,15,28,GB,0.608988589135954,0.48576078448367166,42.30987092186141,53.97141850848469,7,DOM+|RDOM+|Draft Capital|ELU|Breakout Age|MTF,SpeedxBMI,3.7629259724044366
