Player,Bias,DOM+,RDOM+,Draft Capital,ELU,10+,Break%,FUM,MTF,Y/RR,YCO/A,Breakout Age,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_RB,Train_Target_raw,Error_Target
Darrynton Evans,-130.3877,5.9625,0.2379,56.1994,9.0551,0.5107,-0.0648,-5.1788,9.3066,0.7473,-18.1028,-1.1660,-4.2954,57.5071,-4.2954,-77.1761,-160.0000,82.8239
Bhayshul Tuten,-130.3877,4.4726,-0.1511,-3.7625,11.0848,0.3445,13.2663,11.3899,6.6315,-9.9832,17.3657,-11.2329,-2.9266,39.4256,-2.9266,-93.8887,-54.0000,-39.8887
Isaiah Spiller,-130.3877,4.5124,0.9425,-4.1458,4.9083,-2.2911,0.6165,-4.7204,10.2860,0.5375,2.1240,35.9089,1.8668,48.6788,1.8668,-79.8420,-75.0000,-4.8420
Trey Benson,-130.3877,3.5737,0.2883,59.9699,-0.3846,-0.1802,12.2871,-4.0138,6.9304,-3.0845,2.5244,-1.9208,-3.4660,75.9899,-3.4660,-57.8637,-45.0000,-12.8637
Wendell Smallwood,-130.3877,-5.9378,-0.7301,-9.3951,-8.6825,-3.2829,-2.6384,-5.0846,8.0659,4.0415,-29.0525,-2.6693,1.1015,-55.3658,1.1015,-184.6521,-155.0000,-29.6521
Dexter Williams,-130.3877,0.2222,-6.0045,-57.2665,-3.1569,26.8480,18.0849,-5.4723,-17.9010,4.6828,12.6666,-2.5679,4.7882,-29.8646,4.7882,-155.4640,-247.0000,91.5360
Devin Singletary,-130.3877,-4.3127,-0.7145,51.3373,5.5840,-3.7781,0.2152,8.9205,0.8383,4.7788,12.2031,3.0395,4.4124,78.1114,4.4124,-47.8639,-73.0000,25.1361
Wayne Gallman,-130.3877,-1.4500,0.2568,-6.1686,-0.1757,-2.9624,-0.6600,-4.8616,11.8606,3.6022,-15.8382,-5.5066,1.8332,-21.9035,1.8332,-150.4580,-190.0000,39.5420
Cam Skattebo,-130.3877,19.7833,10.7557,-4.1980,12.0479,-2.8810,-2.4750,12.2582,0.8194,-1.2677,13.9851,-10.5956,4.7297,48.2323,4.7297,-77.4258,-53.0000,-24.4258
Alexander Mattison,-130.3877,-2.7158,0.3605,57.3475,-4.5274,-0.2150,15.0168,-5.2294,6.9100,4.7004,-15.1999,-0.4476,8.5925,56.0001,8.5925,-65.7951,-149.0000,83.2049
Tyler Badie,-130.3877,19.7874,16.5302,-50.0247,0.2248,-1.6046,1.4575,-7.4309,10.2968,-0.5978,-5.3126,-3.5470,1.2282,-20.2209,1.2282,-149.3804,-140.0000,-9.3804
Dylan Sampson,-130.3877,-3.6375,5.8674,-5.3299,5.2129,-0.0033,-2.2123,13.2276,6.7458,5.1378,2.2200,11.4088,-4.2757,38.6373,-4.2757,-96.0262,-87.0000,-9.0262
Justin Jackson,-130.3877,6.6189,16.2745,-79.2537,-0.6026,1.7935,-5.0591,-6.2268,13.1144,3.7965,-15.3056,6.6823,-18.9849,-58.1677,-18.9849,-207.5402,-177.0000,-30.5402
David Cobb,-130.3877,3.2442,0.3746,-7.6534,-5.2333,-2.9871,-1.3051,12.7050,11.2427,0.2820,-7.8362,-2.0552,4.6835,0.7782,4.6835,-124.9261,-191.0000,66.0739
Jeremy McNichols,-130.3877,5.2879,10.5602,-8.5556,0.1575,0.9302,-4.9390,13.3352,10.3602,-1.9343,1.6076,-3.8124,7.3933,22.9975,7.3933,-99.9969,-104.0000,4.0031
Jermar Jefferson,-130.3877,-3.3050,11.9546,-74.8371,-0.9089,-3.2858,2.0012,17.0133,1.2430,5.4623,-7.0966,11.9704,2.1007,-39.7886,2.1007,-168.0756,-144.0000,-24.0756
Kalen Ballage,-130.3877,3.2821,0.6005,-6.3190,-2.4988,19.3124,-2.0083,-5.0846,-29.9543,-6.8836,-4.3504,-2.3005,1.4379,-36.2045,1.4379,-165.1545,-242.0000,76.8455
De'Von Achane,-130.3877,5.6883,7.8875,57.9339,8.5877,0.0770,1.3120,-3.1440,9.5929,2.8685,1.9420,-5.7316,-0.6214,87.0142,-0.6214,-43.9950,-24.0000,-19.9950
Bucky Irving,-130.3877,4.4315,0.5482,-2.4321,0.0110,0.4304,-4.1051,-4.6095,8.4363,-2.5074,17.3912,1.4991,-1.3701,19.0936,-1.3701,-112.6641,-56.0000,-56.6641
Demetric Felton,-130.3877,12.5900,3.8456,-53.1051,0.4475,-2.9116,-2.6727,-5.6190,8.3170,0.1833,-5.2800,1.1225,-2.8300,-43.0825,-2.8300,-176.3003,-243.0000,66.6997
Kerryon Johnson,-130.3877,4.5319,0.2846,80.5734,-0.4759,-2.7138,-1.3384,-3.1945,12.1744,3.1871,-16.8488,-1.3395,1.5317,74.8405,1.5317,-54.0157,-110.0000,55.9843
DeeJay Dallas,-130.3877,4.9538,-0.3140,-4.3538,-0.4564,-0.2098,-1.5574,-5.6808,5.4446,3.3911,3.0433,-5.8637,9.1258,-1.6031,9.1258,-122.8652,-162.0000,39.1348
Elijah Mitchell,-130.3877,2.4109,-0.6561,-53.4081,7.8545,-1.2365,0.6372,-5.7556,3.6911,7.3892,16.7055,-1.7941,-3.1914,-24.1620,-3.1914,-157.7411,-213.0000,55.2589
Tevin Coleman,-130.3877,3.0167,9.4012,48.6027,2.1869,-2.3597,4.2617,9.1068,10.4802,4.2412,14.3058,-2.0798,-7.3950,101.1637,-7.3950,-36.6192,-42.0000,5.3808
Eric Gray,-130.3877,4.0815,0.7725,-10.1004,-8.7361,-2.9133,-0.2372,-5.0846,1.7226,-3.1047,-15.5551,-4.5430,1.0284,-43.6978,1.0284,-173.0571,-154.0000,-19.0571
Kareem Hunt,-130.3877,10.2311,0.7719,58.7603,4.4754,-4.0679,-1.2959,-4.9921,4.7649,-1.6862,-4.3581,33.7856,9.1796,96.3890,9.1796,-24.8191,-34.0000,9.1809
Darius Jackson,-130.3877,2.2580,3.5171,-48.7859,-8.9877,0.6098,1.0649,-5.7050,-26.8301,3.0484,9.5723,-12.6750,0.0532,-82.9132,0.0532,-213.2480,-299.0000,85.7520
Josh Robinson,-130.3877,3.0943,2.0669,-54.2226,6.6966,1.4466,0.6623,-5.5909,9.6305,-3.4545,1.3631,-36.5875,3.9969,-74.8952,3.9969,-201.2859,-178.0000,-23.2859
Damien Harris,-130.3877,-4.2086,-1.5312,60.6600,-2.0373,-0.7313,0.4226,-3.7617,-23.6080,-2.4871,16.4473,-3.6995,9.3032,35.4652,9.3032,-85.6196,-76.0000,-9.6196
Dameon Pierce,-130.3877,5.2836,-0.7703,-3.5590,-0.5556,1.6975,-1.1697,-5.5847,5.6383,-1.5841,2.3768,-3.7513,7.8523,-1.9785,7.8523,-124.5139,-134.0000,9.4861
Snoop Conner,-130.3877,-2.6738,3.1627,-7.6249,-2.8949,-0.8204,-2.5618,13.7755,-27.5986,6.1641,4.1274,-3.0899,5.9331,-20.0346,5.9331,-144.4891,-293.0000,148.5109
Elijah McGuire,-130.3877,4.4256,2.3108,-52.8265,-8.5051,-0.7003,-1.7227,-6.3013,1.9551,-3.6420,-2.0964,-2.0042,-6.7143,-69.1070,-6.7143,-206.2092,-132.0000,-74.2092
Kenneth Gainwell,-130.3877,4.4123,0.1527,-10.4260,5.8647,1.6691,-1.6702,-4.6924,9.1769,9.2657,-5.2638,-3.2445,-1.2562,5.2445,-1.2562,-126.3996,-129.0000,2.6004
Paul Perkins,-130.3877,2.3098,0.7842,-10.1077,5.8258,-3.2506,-4.4262,-4.8616,6.6335,3.2152,1.0005,-5.1081,-0.6858,-7.9852,-0.6858,-139.0588,-101.0000,-38.0588
Blake Corum,-130.3877,9.5947,4.0802,54.4293,-2.1656,-0.6649,-3.3538,9.6286,-27.5286,2.5652,0.4046,-4.4294,9.5781,42.5603,9.5781,-78.2493,-83.0000,4.7507
Bijan Robinson,-130.3877,4.6705,10.6081,82.9361,-6.8546,0.3385,-3.8632,-2.8012,3.5981,-3.2878,15.4187,11.6237,2.8548,112.3869,2.8548,-15.1462,-1.0000,-14.1462
Bo Scarbrough,-130.3877,0.0546,-4.8444,-83.5268,2.7614,-0.4310,-4.3001,-5.9419,-25.8059,6.4492,12.4131,-9.2238,-0.6093,-112.3956,-0.6093,-243.3927,-142.0000,-101.3927
Kalel Mullings,-130.3877,-10.3401,10.0629,-44.6293,7.6185,2.3248,-5.0700,-5.8033,1.8238,-11.1863,2.7611,-11.6607,1.3572,-64.0986,1.3572,-193.1291,-123.0000,-70.1291
Jahmyr Gibbs,-130.3877,14.0761,-1.3305,81.4519,5.6494,-0.4601,-1.2752,-3.0211,1.4281,8.2519,-4.7178,3.9362,-8.6373,103.9889,-8.6373,-35.0363,-6.0000,-29.0363
La'Mical Perine,-130.3877,4.5525,0.0575,-6.7941,-8.5324,0.9028,-1.6962,-5.0846,-29.1125,2.6469,-10.5079,-3.0146,-6.7453,-56.5826,-6.7453,-193.7155,-186.0000,-7.7155
TreVeyon Henderson,-130.3877,5.0532,0.5476,75.0995,5.6318,0.6329,-1.6138,-3.0242,4.7809,-2.9639,15.8314,7.6425,-6.6307,107.6179,-6.6307,-29.4004,-21.0000,-8.4004
Tony Pollard,-130.3877,4.6743,-19.0216,0.4708,-1.9690,-0.2906,-0.8083,-5.5847,-28.2643,-3.1103,1.1192,-3.1673,-2.1171,-55.9518,-2.1171,-188.4567,-88.0000,-100.4567
Jordan Wilkins,-130.3877,2.4446,4.6333,-11.4508,-11.0708,-2.9962,-0.1990,-5.0846,-16.5250,-3.8372,-7.6692,-37.0491,-2.8457,-88.8040,-2.8457,-222.0374,-231.0000,8.9626
