Player,Bias,DOM+,RDOM+,Draft Capital,ELU,FUM,Breakout Age,MTF,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_RB,Train_Target_raw,Error_Target
Ty Johnson,-135.0178,-1.4689,-8.3944,-69.1684,-5.1730,-2.5820,5.5972,-36.2253,-0.5388,-117.4148,-0.5388,-252.9713,-125.0000,-127.9713
Kyren Williams,-135.0178,0.0783,-5.1545,-11.2745,-8.5879,6.6299,-6.1864,15.8986,1.1937,-8.5965,1.1937,-142.4206,-127.0000,-15.4206
Karlos Williams,-135.0178,4.2462,-7.4660,-19.1375,-6.7035,-4.3321,-3.8980,-34.7363,-1.1274,-72.0272,-1.1274,-208.1724,-173.0000,-35.1724
Will Shipley,-135.0178,9.3347,-1.3922,3.3433,6.1247,5.6189,8.5955,11.2185,7.2396,42.8434,7.2396,-84.9348,-119.0000,34.0652
Trayveon Williams,-135.0178,1.2611,18.7167,-55.1916,0.5118,6.5445,10.4622,20.1493,8.1640,2.4540,8.1640,-124.3998,-97.0000,-27.3998
Myles Gaskin,-135.0178,3.7563,14.4615,-77.1357,-10.5811,-3.0991,11.4368,14.7415,2.8515,-46.4198,2.8515,-178.5859,-230.0000,51.4141
DJ Giddens,-135.0178,6.5855,-0.7948,-10.1867,-2.0635,-2.3989,-7.7956,13.3553,8.5991,-3.2987,8.5991,-129.7175,-71.0000,-58.7175
Joe Mixon,-135.0178,5.0847,-0.4434,84.6274,4.9718,3.5897,6.2538,6.9148,0.6583,110.9988,0.6583,-23.3606,-16.0000,-7.3606
Travis Etienne,-135.0178,4.5858,-0.4856,102.6152,5.4079,-1.3224,8.7766,5.4245,-7.8348,125.0020,-7.8348,-17.8505,-12.0000,-5.8505
DeeJay Dallas,-135.0178,5.3321,-3.3143,-2.8070,-5.5958,-1.4813,-13.3790,8.5065,2.2579,-12.7388,2.2579,-145.4986,-162.0000,16.5014
Michael Carter,-135.0178,6.8533,-1.1738,2.6324,7.8434,-0.3428,12.5995,8.9734,4.1144,37.3854,4.1144,-93.5179,-79.0000,-14.5179
Gary Brightwell,-135.0178,7.5699,7.7431,-49.2402,20.1009,-3.3426,2.3631,-3.3885,4.0198,-18.1943,4.0198,-149.1923,-218.0000,68.8077
Jake Funk,-135.0178,2.5475,12.2987,-85.9333,-6.9596,-4.3841,1.1221,-47.7644,-3.5927,-129.0731,-3.5927,-267.6835,-217.0000,-50.6835
Keaontay Ingram,-135.0178,-1.6102,7.9164,-51.0750,-5.4440,-2.7007,12.7127,14.0223,-0.1790,-26.1785,-0.1790,-161.3752,-182.0000,20.6248
Damien Harris,-135.0178,-21.3874,0.0755,74.9910,-4.6796,-4.3294,-5.4155,-8.0071,-1.2556,31.2475,-1.2556,-105.0259,-76.0000,-29.0259
Devin Singletary,-135.0178,5.9566,-0.3670,63.6192,7.5195,4.0289,4.6255,3.1048,-6.1684,88.4875,-6.1684,-52.6985,-73.0000,20.3015
Ezekiel Elliott,-135.0178,0.2260,9.1034,99.5425,-3.0028,0.2177,6.5388,6.8928,-0.3179,119.5184,-0.3179,-15.8172,-7.0000,-8.8172
Kylin Hill,-135.0178,-4.8763,-2.3377,-78.7459,-7.7587,-2.8243,1.9402,11.5001,-3.9005,-83.1026,-3.9005,-222.0208,-221.0000,-1.0208
Ke'Shawn Vaughn,-135.0178,13.3997,-6.1947,53.5142,-1.5069,-1.1048,12.7282,9.4665,-2.3865,80.3022,-2.3865,-57.1022,-50.0000,-7.1022
Kaleb Johnson,-135.0178,11.9748,3.8174,65.0208,-1.4647,-3.0745,-9.7993,9.5674,-1.6076,76.0419,-1.6076,-60.5836,-22.0000,-38.5836
Derrius Guice,-135.0178,5.6801,1.3824,87.8359,6.5131,-1.5941,4.5612,6.1879,-1.2353,110.5665,-1.2353,-25.6866,-28.0000,2.3134
Todd Gurley,-135.0178,-4.4180,2.4216,97.5251,-2.0176,-1.6952,14.3858,6.2167,2.9210,112.4184,2.9210,-19.6784,-2.0000,-17.6784
Jonathan Taylor,-135.0178,5.5850,5.7231,85.7490,-0.1858,2.0021,7.4682,5.1999,-0.0452,111.5415,-0.0452,-23.5216,-10.0000,-13.5216
Josh Jacobs,-135.0178,0.1038,-5.7707,108.8096,-11.8257,-0.3920,-10.0759,-3.3420,-0.7428,77.5071,-0.7428,-58.2531,-26.0000,-32.2531
Jordan Wilkins,-135.0178,2.6406,10.2872,-13.2851,-16.9513,-1.0698,-21.2521,-2.8424,6.2298,-42.4729,6.2298,-171.2610,-231.0000,59.7390
Ameer Abdullah,-135.0178,7.4179,5.6004,85.6745,-1.2324,-1.2718,4.6056,4.8243,1.3070,105.6185,1.3070,-28.0924,-78.0000,49.9076
Rashaad Penny,-135.0178,7.8165,5.6224,96.1121,-0.3928,-1.5335,-10.7914,6.7067,-7.1342,103.5400,-7.1342,-38.6120,-31.0000,-7.6120
Trey Sermon,-135.0178,2.2936,0.5877,70.5469,-3.3813,-5.4252,3.6669,-1.1373,1.5359,67.1513,1.5359,-66.3305,-114.0000,47.6695
Duke Johnson,-135.0178,12.2811,3.6209,57.7534,-1.7365,-1.6832,7.3771,4.5869,-3.8799,82.1997,-3.8799,-56.6979,-59.0000,2.3021
Evan Hull,-135.0178,12.9410,14.2916,-10.1352,-0.5499,-3.3243,-11.1686,15.0452,1.0369,17.0998,1.0369,-116.8810,-107.0000,-9.8810
Jarquez Hunter,-135.0178,5.5096,9.9042,3.5426,-1.8147,4.8696,13.2630,15.4099,0.6191,50.6842,0.6191,-83.7146,-70.0000,-13.7146
Donnel Pumphrey,-135.0178,10.2069,-1.7928,-4.0922,-3.7992,6.1509,11.5796,15.5574,-10.7294,33.8106,-10.7294,-111.9365,-111.0000,-0.9365
Joe Williams,-135.0178,-12.5374,-6.4099,-13.0099,-6.8046,3.5989,-13.9518,-24.3014,8.4956,-73.4161,8.4956,-199.9383,-224.0000,24.0617
Ty Chandler,-135.0178,3.6172,-0.9113,-11.4049,12.3085,-0.7281,-7.3661,10.5383,-0.1158,6.0536,-0.1158,-129.0798,-146.0000,16.9202
Darrynton Evans,-135.0178,8.2501,0.0321,67.0501,13.6999,-3.9198,-1.0546,5.7296,5.0305,89.7874,5.0305,-40.1999,-160.0000,119.8001
Mike Davis,-135.0178,8.4156,-3.2472,-1.1231,-2.7105,-2.2275,26.3191,11.0775,-12.4422,36.5039,-12.4422,-110.9562,-161.0000,50.0438
Jermar Jefferson,-135.0178,-0.3071,21.9532,-71.6355,-4.9614,16.2438,11.7895,18.9454,1.7787,-7.9721,1.7787,-141.2111,-144.0000,2.7889
Matt Jones,-135.0178,-41.7144,3.6025,67.5294,-2.3323,-3.4018,8.1611,5.1860,-7.3232,37.0305,-7.3232,-105.3103,-187.0000,81.6897
