Player,Bias,DOM+,Draft Capital,Y/REC,Drop%,CC%,aDOT,Y/RR,REC%,MTF,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_TE,Train_Target_raw,Error_Target
Jordan Akins,-92.1885,-15.1672,11.3174,4.8646,-6.8679,-0.9738,-3.8785,-27.2353,2.9923,-1.8609,0.7185,-36.8093,0.7185,-128.2791,-75.0000,-53.2791
Oronde Gadsden II,-92.1885,13.2881,-21.8936,4.4439,-3.0885,-1.2226,-4.6627,18.1924,2.0528,3.0640,8.0381,10.1738,8.0381,-73.9766,-53.0000,-20.9766
Payne Durham,-92.1885,5.3929,-18.8475,-9.4401,-1.4289,-1.0958,4.7816,-33.6556,-0.5719,3.7962,0.3915,-51.0691,0.3915,-142.8661,-159.0000,16.1339
Isaac Nauta,-92.1885,-1.6062,-62.5055,-2.6175,2.7256,-2.5708,-4.0770,14.6211,-0.5717,-4.1370,0.1559,-60.7390,0.1559,-152.7717,-107.0000,-45.7717
James O'Shaughnessy,-92.1885,20.3285,-10.7196,0.3380,3.4468,0.6918,-1.9398,7.2344,2.2263,0.2026,1.5739,21.8090,1.5739,-68.8057,-151.0000,82.1943
Noah Gray,-92.1885,-2.4773,-19.2044,-9.1334,-5.7474,-6.7769,5.8964,-16.4280,-1.9524,-0.0333,2.4655,-55.8567,2.4655,-145.5798,-131.0000,-14.5798
Evan Engram,-92.1885,9.3121,47.1285,2.7139,2.4566,1.9253,0.0893,21.5611,1.4970,3.1950,7.7687,89.8788,7.7687,5.4590,-3.0000,8.4590
Jerell Adams,-92.1885,-1.0540,-40.2813,4.5723,4.7185,-0.5696,0.8551,-4.4972,-2.4808,4.9396,18.2385,-33.7974,18.2385,-107.7476,-78.0000,-29.7476
Charlie Woerner,-92.1885,-6.5293,-43.7165,-6.1202,0.3152,5.2298,-1.7453,-41.4753,1.3711,-4.7549,-2.0343,-97.4254,-2.0343,-191.6482,-203.0000,11.3518
Elijah Arroyo,-92.1885,-5.7022,44.4410,6.3452,-1.4636,4.8891,-1.0723,16.0976,2.1481,-0.5858,1.9546,65.0971,1.9546,-25.1367,-33.0000,7.8633
Mitchell Evans,-92.1885,-12.5502,-10.3297,-1.5724,2.8942,0.3352,-2.1320,2.4397,1.9025,-0.2838,-5.9952,-19.2965,-5.9952,-117.4802,-95.0000,-22.4802
David Morgan,-92.1885,-5.0577,-45.9621,-1.7741,0.5188,-2.9005,-1.9249,16.5581,-0.2124,0.4305,-1.8950,-40.3243,-1.8950,-134.4078,-142.0000,7.5922
Adam Shaheen,-92.1885,8.0712,59.9759,1.1497,-0.3800,3.4411,-0.5398,2.9653,2.8515,1.4507,-7.2678,78.9856,-7.2678,-20.4708,-42.0000,21.5292
Brock Bowers,-92.1885,9.8672,40.4619,1.9621,-0.4055,2.9993,1.3560,25.0999,-6.2213,2.2315,-1.2033,77.3511,-1.2033,-16.0408,-1.0000,-15.0408
Gerald Christian,-92.1885,1.8406,-55.4991,-2.4526,1.4422,-1.6205,1.4524,-13.0883,0.7689,-0.6256,-3.2803,-67.7820,-3.2803,-163.2507,-198.0000,34.7493
Kylen Granson,-92.1885,-0.8537,0.0176,5.7863,3.0926,-1.6760,-0.3045,22.7138,-0.3181,3.1656,2.0841,31.6236,2.0841,-58.4809,-43.0000,-15.4809
Sam LaPorta,-92.1885,8.4359,41.6865,-0.2573,1.9544,3.4369,0.9264,15.0413,1.0049,1.7597,1.4940,73.9887,1.4940,-16.7058,-15.0000,-1.7058
Thomas Duarte,-92.1885,12.7759,-55.0024,11.3813,0.5431,-1.8485,0.7996,15.4609,-1.1694,4.3710,-2.6034,-12.6885,-2.6034,-107.4806,-76.0000,-31.4806
Josiah Deguara,-92.1885,13.3684,19.3838,-1.4186,2.1439,3.1980,-1.1398,-10.4490,6.6133,-0.5130,-4.4575,31.1870,-4.4575,-65.4590,-98.0000,32.5410
Chris Herndon,-92.1885,16.1344,2.4791,0.3212,2.3813,0.8025,-0.5565,4.5958,2.1041,-0.4308,-2.4554,27.8311,-2.4554,-66.8128,-100.0000,33.1872
Tanner McLachlan,-92.1885,-10.2478,-35.9128,-2.6178,-2.5700,1.6440,2.4356,-9.9995,-2.9567,5.8039,15.6011,-54.4211,15.6011,-131.0085,-154.0000,22.9915
Will Mallory,-92.1885,-5.4557,-22.4901,-0.1268,-1.5395,3.0268,4.3710,17.6764,1.2081,5.1561,-0.6142,1.8263,-0.6142,-90.9766,-71.0000,-19.9766
Jace Sternberger,-92.1885,11.1017,19.8243,5.8035,-2.2289,2.0464,-0.5782,21.5696,1.9930,2.1685,-0.9863,61.6999,-0.9863,-31.4748,-38.0000,6.5252
Ian Thomas,-92.1885,2.3109,-1.8602,4.2188,-0.4521,6.0027,2.2627,23.7736,0.2858,-4.3388,0.5348,32.2034,0.5348,-59.4504,-67.0000,7.5496
Troy Fumagalli,-92.1885,-6.8836,-21.2401,-1.7674,3.5758,1.7547,-2.9507,17.2502,1.4617,-5.6498,-4.4615,-14.4492,-4.4615,-111.0994,-103.0000,-8.0994
Trey McBride,-92.1885,6.8111,41.3763,1.1484,-0.8643,1.8546,-1.6444,23.5790,1.4810,1.4207,-0.0503,75.1624,-0.0503,-17.0764,-11.0000,-6.0764
Brycen Hopkins,-92.1885,14.5312,0.5237,1.1378,5.3360,2.0786,-1.9926,26.7539,0.4118,3.9335,0.6644,52.7139,0.6644,-38.8102,-49.0000,10.1898
Durham Smythe,-92.1885,3.8874,-11.3210,-5.4584,-3.0744,-0.7177,4.3877,-60.4683,-6.0224,-4.2379,-4.0726,-83.0250,-4.0726,-179.2859,-130.0000,-49.2859
Zach Davidson,-92.1885,15.3057,-13.1201,1.6408,3.7339,1.0443,-1.3370,8.2183,1.9597,0.5138,4.8189,17.9594,4.8189,-69.4101,-73.0000,3.5899
