Player,Bias,DOM+,Draft Capital,Y/REC,Y/RR,MTF,aDOT,YAC/R,CC%,Drop%,Breakout Age,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_TE,Train_Target_raw,Error_Target
Ben Koyack,-92.4440,13.1554,-45.3292,-1.5648,-1.4419,-0.2746,-4.5472,-2.6347,0.6417,-0.2091,-1.1923,-17.4658,-43.3967,-17.4658,-153.3064,-207.0000,53.6936
Isaiah Likely,-92.4440,9.5291,-15.0615,4.8507,30.1621,4.6731,-0.0055,5.6351,0.5241,-3.7798,3.4058,1.2317,39.9332,1.2317,-51.2792,-35.0000,-16.2792
Dallas Goedert,-92.4440,8.7174,52.4812,-0.0455,-4.1516,0.1607,0.7969,0.2697,4.0649,0.7225,-0.9868,-5.1370,62.0294,-5.1370,-35.5518,-17.0000,-18.5518
Tyler Higbee,-92.4440,-22.4298,-15.6670,4.2821,21.6064,5.5840,-0.2238,2.0883,0.3752,-3.2849,-0.4343,-0.6766,-8.1038,-0.6766,-101.2244,-59.0000,-42.2244
Cade Stover,-92.4440,8.6237,-9.1969,5.1564,30.5698,3.9962,-1.5847,4.8925,0.6646,-2.8870,-0.3426,1.1392,39.8920,1.1392,-51.4130,-70.0000,18.5870
Albert Okwuegbunam,-92.4440,4.9508,-13.5912,-4.5384,-23.3821,0.4108,-3.0741,0.4508,0.6905,9.9870,-0.6108,-0.9334,-28.7067,-0.9334,-122.0841,-50.0000,-72.0841
Zach Davidson,-92.4440,12.1256,-17.2781,-0.2048,6.7839,0.7175,-0.9529,-1.0952,0.7493,2.2816,-0.9636,-2.6446,2.1633,-2.6446,-92.9254,-73.0000,-19.9254
Jesse James,-92.4440,3.5101,-15.3096,-4.7706,-26.7669,0.4794,-4.7257,0.7623,0.3308,13.6308,-0.6183,0.5409,-33.4777,0.5409,-125.3809,-188.0000,62.6191
Cole Turner,-92.4440,5.6938,-12.9071,-3.4041,3.9819,5.0475,1.3248,-4.3914,-1.3736,0.6107,6.6448,9.5081,1.2273,9.5081,-81.7087,-143.0000,61.2913
Malcolm Johnson,-92.4440,-13.3923,-45.4945,-1.4286,-5.1132,-1.4790,-1.7118,-2.4759,0.2743,-0.1353,-1.4959,-1.7957,-72.4522,-1.7957,-166.6918,-191.0000,24.3082
Ja'Tavion Sanders,-92.4440,5.7344,-14.5979,-4.2181,29.9844,4.3724,-3.4863,-4.4445,0.7867,-1.0955,4.2367,1.5724,17.2723,1.5724,-73.5993,-32.0000,-41.5993
Blake Bell,-92.4440,-3.8136,-20.6266,-1.2654,-30.1976,-6.4645,0.7336,0.4196,0.4204,2.9322,1.5708,-0.2124,-56.2911,-0.2124,-148.9473,-174.0000,25.0527
Jackson Hawes,-92.4440,-9.1831,-11.9026,-2.3269,-25.6228,1.9832,11.2748,4.8535,0.7980,2.0864,-0.4850,-3.2904,-28.5245,-3.2904,-124.2589,-200.0000,75.7411
Terrance Ferguson,-92.4440,-28.6869,36.4651,-1.4636,20.6218,1.9976,-3.1480,2.5568,2.1430,-0.6900,-0.7839,5.1844,29.0119,5.1844,-58.2478,-23.0000,-35.2478
Brock Bowers,-92.4440,6.4592,40.4557,1.9586,26.5436,1.6663,-2.5652,1.8943,1.8206,-0.7764,3.3775,-5.3337,80.8342,-5.3337,-16.9434,-1.0000,-15.9434
James Mitchell,-92.4440,-14.5608,-13.3263,7.5725,-1.3892,-6.0965,0.2120,4.3850,-3.0815,-2.3689,-0.9392,-0.1499,-29.5929,-0.1499,-122.1868,-87.0000,-35.1868
Michael Mayer,-92.4440,-12.7160,55.3087,-5.4597,-17.7904,1.9889,-11.1580,0.4109,3.7320,2.3465,-0.7888,0.6632,15.8741,0.6632,-75.9068,-21.0000,-54.9068
Zack Kuntz,-92.4440,11.0892,-36.8420,-3.9855,26.6863,3.9848,0.2343,-7.7233,-2.1150,-2.3786,-2.8792,9.1433,-13.9290,9.1433,-97.2299,-141.0000,43.7701
Tommy Sweeney,-92.4440,7.1237,-34.3188,12.6638,-22.7622,3.3562,0.5606,7.3357,2.4407,-0.8115,-0.4233,-3.8872,-24.8351,-3.8872,-121.1663,-137.0000,15.8337
Colby Parkinson,-92.4440,5.8535,-14.9578,9.5024,-19.2537,-10.4263,1.2527,-0.2143,0.1289,0.1348,-0.4427,5.0105,-28.4225,5.0105,-115.8561,-92.0000,-23.8561
Jelani Woods,-92.4440,-4.4105,13.9219,1.0319,27.3196,1.9677,1.7000,-1.6919,-1.1607,2.5671,-0.6753,4.5460,40.5698,4.5460,-47.3283,-55.0000,7.6717
Dalton Kincaid,-92.4440,5.7126,54.6077,-0.0042,24.8101,1.7235,0.0407,-1.1789,2.3149,-1.5290,-0.5921,3.8503,85.9053,3.8503,-2.6884,-18.0000,15.3116
George Kittle,-92.4440,12.9518,-17.2371,5.2779,25.5724,-0.6183,-1.7640,7.3838,5.0073,1.2954,-0.6418,5.2894,37.2274,5.2894,-49.9272,-14.0000,-35.9272
Maxx Williams,-92.4440,6.3086,34.6069,1.6892,17.5429,-0.1214,1.4698,1.7099,2.6223,0.9217,4.2922,-11.9165,71.0421,-11.9165,-33.3185,-10.0000,-23.3185
Mason Schreck,-92.4440,10.4365,-43.2693,-5.7255,31.6710,-1.4083,-2.8315,-4.8339,-0.4339,0.5901,-3.2544,-0.0524,-19.0592,-0.0524,-111.5554,-165.0000,53.4446
Mitchell Evans,-92.4440,-14.0060,-13.1914,-0.5553,3.7349,-0.7525,-1.6561,-1.7934,0.4405,0.9601,-1.2013,-4.3783,-28.0205,-4.3783,-124.8429,-95.0000,-29.8429
James O'Shaughnessy,-92.4440,14.9547,-11.6583,-0.0240,6.9547,1.8372,-1.1656,-1.2519,0.7176,2.1774,-0.9462,0.0108,11.5956,0.0108,-80.8377,-151.0000,70.1623
Harrison Bryant,-92.4440,10.7643,-11.8662,5.1813,28.7901,4.9853,-1.8049,5.3804,3.9704,-1.3968,1.6508,3.0505,45.6547,3.0505,-43.7389,-44.0000,0.2611
Oronde Gadsden II,-92.4440,11.0812,-21.7896,3.1146,23.9634,4.2391,0.2110,-4.9075,-0.4321,-1.9167,7.0849,5.7668,20.6483,5.7668,-66.0288,-53.0000,-13.0288
