position,seed,n_subsets,max_base_feats,n_iter_per_model,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
TE,56,20,15,15,17,GB,0.5301293084676079,0.6198727212043631,34.67829589323896,40.27048003490748,11,DOM+|Draft Capital|Y/REC|Y/RR|MTF|aDOT|YAC/R|CC%|Drop%|Breakout Age,SpeedxBMI,-2.688437758731427
TE,56,20,15,15,16,GB,0.5505514362749035,0.6085084953473349,34.75727740490669,40.86800702563912,11,DOM+|Draft Capital|Y/REC|REC%|Breakout Age|FUM|Y/RR|MTF|YAC/R|CC%,SpeedxBMI,-6.874143942037213
TE,56,20,15,15,15,GB,0.5403681526778166,0.6027878923423211,34.868435312741525,41.165512554652814,13,DOM+|Draft Capital|Y/RR|YAC/R|Breakout Age|CC%|REC%|Y/REC|Drop%|FUM|MTF|aDOT,SpeedxBMI,-5.391290863357024
TE,56,20,15,15,14,GB,0.5353355644938463,0.6027751665039811,33.25807747001603,41.16617197748011,12,DOM+|Draft Capital|MTF|Breakout Age|CC%|YAC/R|Drop%|Y/RR|FUM|aDOT|REC%,SpeedxBMI,-1.5583577487972367
TE,56,20,15,15,3,GB,0.558116529230819,0.6017566842011481,31.810377126684152,41.21891311214609,8,DOM+|Draft Capital|Y/RR|aDOT|Y/REC|CC%|MTF,SpeedxBMI,-5.8997426203704135
TE,56,20,15,15,7,GB,0.5750053655156232,0.5881946941034563,34.36638876714953,41.91488290100569,10,DOM+|Draft Capital|Y/REC|FUM|aDOT|Y/RR|MTF|REC%|Drop%,SpeedxBMI,-6.298047459882176
TE,56,20,15,15,10,GB,0.48179756589446926,0.5812377210113434,34.900483045526485,42.267451746935244,9,DOM+|Draft Capital|FUM|Breakout Age|aDOT|Y/RR|MTF|YAC/R,SpeedxBMI,-3.981572697459553
TE,56,20,15,15,4,GB,0.35048915492457955,0.577461023836598,35.94670643400166,42.45762296111817,5,DOM+|Draft Capital|Y/REC|Breakout Age,SpeedxBMI,-18.359972964334233
TE,56,20,15,15,8,GB,0.3910766932227299,0.5732308211753587,34.401463296290075,42.66962359729628,7,DOM+|Draft Capital|aDOT|Y/REC|REC%|MTF,SpeedxBMI,-19.091295420769626
TE,56,20,15,15,18,GB,0.5311682349272264,0.565438581743521,36.5673675281981,43.057406881725086,10,DOM+|Draft Capital|Y/RR|YAC/R|FUM|CC%|Drop%|Breakout Age|REC%,SpeedxBMI,18.98645837746447
TE,56,20,15,15,9,GB,0.5368245082280623,0.5626122324527432,37.09590917941215,43.19720074437952,12,DOM+|Draft Capital|Breakout Age|Y/RR|CC%|FUM|YAC/R|Drop%|REC%|aDOT|MTF,SpeedxBMI,-5.08624203755044
TE,56,20,15,15,5,GB,0.3919796727717143,0.5449121884545128,36.11520437136183,44.06257669435716,9,DOM+|Draft Capital|MTF|aDOT|Breakout Age|CC%|REC%|Y/REC,SpeedxBMI,-9.175688418099622
TE,56,20,15,15,1,GB,0.3928103226108919,0.5103251131772848,38.025194300612384,45.706314539680726,7,DOM+|Draft Capital|CC%|Breakout Age|aDOT|Y/REC,SpeedxBMI,-13.989806881692717
TE,56,20,15,15,13,GB,0.2723586394852732,0.45754356854803147,41.604012828672026,48.10660619123183,7,DOM+|Draft Capital|CC%|REC%|FUM|MTF,SpeedxBMI,-10.476292878946188
TE,56,20,15,15,12,GB,0.3385867368937957,0.45625813425410355,40.51447934673199,48.16357048137304,8,DOM+|Draft Capital|aDOT|FUM|Breakout Age|YAC/R|MTF,SpeedxBMI,-5.634458479854303
