Player,Bias,DOM+,Draft Capital,REC%,CC%,Y/REC,YAC/R,Drop%,aDOT,Breakout Age,FUM,MTF,Y/RR,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_TE,Train_Target_raw,Error_Target
Ben Sinnott,-90.4156,-2.5870,45.5195,4.4129,2.6187,1.2987,3.5932,-0.3187,1.2701,-2.4788,-0.1021,0.8639,13.4603,2.7167,67.5507,2.7167,-20.1483,-28.0000,7.8517
Josh Oliver,-90.4156,-4.2957,21.7196,2.8927,-0.3092,-4.1971,-1.1775,-0.8389,-0.6218,-2.9076,-0.0416,1.5594,2.8288,-1.2829,14.6111,-1.2829,-77.0873,-79.0000,1.9127
Jeremy Sprinkle,-90.4156,-9.5140,-16.0320,1.6631,2.4184,5.1208,3.9710,-0.8695,1.2903,-1.0752,-0.1671,-1.0062,22.1414,-5.3005,7.9410,-5.3005,-87.7749,-120.0000,32.2251
James O'Shaughnessy,-90.4156,9.2167,-18.7844,1.1703,1.8639,-3.3595,0.6759,-0.4542,-3.0586,-1.2952,0.0175,1.1289,8.0679,-6.4665,-4.8108,-6.4665,-101.6929,-151.0000,49.3071
Ben Koyack,-90.4156,4.8845,-48.1678,1.8107,0.6298,-2.9022,-1.9235,0.5274,-2.4409,-0.9541,0.1115,1.2238,7.7737,6.3185,-39.4271,6.3185,-123.5243,-207.0000,83.4757
T.J. Hockenson,-90.4156,6.2283,45.3447,1.2623,2.0872,3.6959,3.1692,-1.0317,0.6995,-2.4131,-0.4150,0.6682,19.4742,0.7759,78.7697,0.7759,-10.8701,-4.0000,-6.8701
Grant Calcaterra,-90.4156,-6.9556,-41.4543,2.0283,1.1034,-9.2053,-5.9821,-0.2114,-2.0016,-0.3529,0.0741,-2.1152,-16.4047,8.0111,-81.4773,8.0111,-163.8818,-121.0000,-42.8818
Randall Telfer,-90.4156,-7.6249,-42.8971,1.3572,0.7152,-3.5678,-1.6784,-1.0300,-2.6474,-1.1457,0.1099,1.0548,6.9931,4.6802,-50.3611,4.6802,-136.0964,-201.0000,64.9036
Daniel Bellinger,-90.4156,-5.5582,-1.5864,1.1939,0.5711,-5.0549,3.4905,-1.6719,4.7474,-1.0889,0.1180,0.4768,2.6362,0.3505,-1.7264,0.3505,-91.7914,-62.0000,-29.7914
Gavin Bartholomew,-90.4156,-10.1814,-44.2178,1.4962,1.2746,-9.4259,4.3857,2.2942,-0.3197,-0.7275,0.0753,-0.7571,-36.2915,-2.2466,-92.3949,-2.2466,-185.0570,-157.0000,-28.0570
