Player,Bias,DOM+,Draft Capital,Y/REC,CC%,FUM,YAC/R,REC%,Y/RR,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_TE,Train_Target_raw,Error_Target
Ben Sinnott,-90.4695,-2.6763,44.5997,1.1624,4.4599,0.7108,3.8009,4.0406,15.1499,1.9433,71.2479,1.9433,-17.2783,-28.0000,10.7217
Josh Oliver,-90.4695,-2.6069,19.2516,-5.9003,-4.3793,-0.3178,0.9426,3.2614,4.9202,1.6743,15.1715,1.6743,-73.6238,-79.0000,5.3762
Jeremy Sprinkle,-90.4695,-5.1196,-11.7101,6.4337,3.3977,0.2629,5.4885,2.7712,23.3761,-4.9393,24.9004,-4.9393,-70.5083,-120.0000,49.4917
James O'Shaughnessy,-90.4695,2.4378,-15.5015,-6.4476,2.9470,-0.7888,1.2200,0.2446,9.5767,-9.2718,-6.3118,-9.2718,-106.0531,-151.0000,44.9469
Ben Koyack,-90.4695,1.5337,-49.7659,-5.2323,1.4994,-0.2445,-0.7186,0.2318,7.7418,5.4796,-44.9546,5.4796,-129.9444,-207.0000,77.0556
T.J. Hockenson,-90.4695,6.4558,44.3950,3.2733,3.1192,0.5200,2.5019,2.2157,19.9420,0.8920,82.4229,0.8920,-7.1545,-4.0000,-3.1545
Grant Calcaterra,-90.4695,-7.6668,-38.5317,-11.4596,2.7881,-0.2508,-6.5906,2.3147,-16.7064,16.2578,-76.1031,16.2578,-150.3148,-121.0000,-29.3148
Randall Telfer,-90.4695,-9.6552,-42.8458,-7.0343,1.2449,-0.3688,-0.1298,0.6175,5.3063,3.4006,-52.8652,3.4006,-139.9341,-201.0000,61.0659
Daniel Bellinger,-90.4695,-5.4963,-1.1145,-4.1754,-0.6000,-0.8165,6.3962,2.0463,4.6524,-3.2199,0.8922,-3.2199,-92.7971,-62.0000,-30.7971
Gavin Bartholomew,-90.4695,-10.8530,-41.4076,-8.3197,1.7474,0.5637,6.9730,1.7407,-33.8173,-8.7783,-83.3728,-8.7783,-182.6206,-157.0000,-25.6206
Jared Wiley,-90.4695,8.2084,-3.0042,-5.5408,4.3214,-0.6394,4.6340,0.6281,2.4870,3.5099,11.0945,3.5099,-75.8651,-123.0000,47.1349
Drew Sample,-90.4695,-2.3518,61.9910,-0.6954,-15.2158,-0.5674,-3.8949,1.6887,-27.7009,1.5156,13.2535,1.5156,-75.7005,-122.0000,46.2995
Jeff Heuerman,-90.4695,-5.0932,19.8239,-4.4886,2.3416,-0.2884,0.7366,2.3361,6.4735,8.1893,21.8415,8.1893,-60.4387,-124.0000,63.5613
Eric Saubert,-90.4695,2.0515,-14.6731,-4.7463,2.7465,-0.3071,1.4726,-0.0183,6.8431,1.2145,-6.6311,1.2145,-95.8861,-97.0000,1.1139
Payne Durham,-90.4695,5.9043,-25.5229,-3.6920,0.2886,-0.0435,-4.7675,0.0741,-37.7643,-1.7214,-65.5232,-1.7214,-157.7142,-159.0000,1.2858
Zach Gentry,-90.4695,-0.9999,-12.3983,10.3954,3.5416,-0.1006,6.1469,2.8795,2.3343,1.9263,11.7989,1.9263,-76.7443,-77.0000,0.2557
Gerald Everett,-90.4695,7.1648,42.7905,2.4890,3.6800,0.2220,3.7757,2.9607,18.1622,-4.7367,81.2449,-4.7367,-13.9614,-20.0000,6.0386
Zach Davidson,-90.4695,-2.0738,-13.8796,-3.6730,3.1907,-0.7646,2.5994,1.1282,8.1964,3.0185,-5.2763,3.0185,-92.7271,-73.0000,-19.7271
Ryan Izzo,-90.4695,-11.1435,-39.4420,13.5488,2.8286,0.0166,6.8381,1.8445,-32.3365,-7.5006,-57.8454,-7.5006,-155.8155,-150.0000,-5.8155
Adam Shaheen,-90.4695,-0.3601,57.3177,-2.7804,3.3744,-0.6664,-0.0417,3.0187,5.1488,-4.1179,65.0110,-4.1179,-29.5762,-42.0000,12.4238
O.J. Howard,-90.4695,-7.8694,44.8068,-1.7568,3.4701,-0.3826,1.1382,-12.2403,13.0434,3.2010,40.2094,3.2010,-47.0591,-9.0000,-38.0591
Jonnu Smith,-90.4695,2.6837,10.1686,-2.6991,3.9045,0.1216,2.5936,3.8733,15.3042,2.3912,35.9504,2.3912,-52.1281,-30.0000,-22.1281
Hunter Long,-90.4695,1.8645,17.9049,-2.8896,3.9427,-0.2190,-4.3086,2.5731,22.8826,-1.2900,41.7506,-1.2900,-50.0088,-25.0000,-25.0088
Kylen Granson,-90.4695,1.1945,-1.8447,9.2249,1.0420,-0.2045,3.0849,2.4423,16.8897,-3.0756,31.8291,-3.0756,-61.7160,-43.0000,-18.7160
Terrance Ferguson,-90.4695,-9.0529,44.9450,-2.7331,5.7206,-0.5136,2.9055,1.3291,14.6579,7.9397,57.2585,7.9397,-25.2713,-23.0000,-2.2713
Dalton Schultz,-90.4695,-3.6862,-7.9166,4.2097,2.8022,0.6250,-10.7040,-0.0892,-42.8110,-6.5304,-57.5701,-6.5304,-154.5701,-194.0000,39.4299
Albert Okwuegbunam,-90.4695,12.6408,-4.7455,-5.8679,3.6095,-0.0757,-2.5390,2.7351,-27.7351,-4.9252,-21.9778,-4.9252,-117.3726,-50.0000,-67.3726
Tyler Conklin,-90.4695,-10.1084,-21.5853,3.8001,2.7721,0.3618,-6.3345,-2.5320,-14.2251,-8.4728,-47.8513,-8.4728,-146.7936,-105.0000,-41.7936
Troy Fumagalli,-90.4695,-3.1297,-11.4802,-5.2807,3.8774,-0.7456,-4.5873,1.6188,31.0181,-8.3881,11.2908,-8.3881,-87.5668,-103.0000,15.4332
