Player,Bias,DOM+,Draft Capital,Y/RR,aDOT,Y/REC,CC%,MTF,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_TE,Train_Target_raw,Error_Target
Ben Koyack,-92.3053,4.1389,-53.8384,3.5686,-3.6993,-3.1817,-2.1263,-1.9926,-10.3348,-57.1308,-10.3348,-159.7709,-207.0000,47.2291
Isaiah Likely,-92.3053,12.3837,-7.3038,27.0861,-0.0842,8.0898,1.2418,6.2151,0.7285,47.6285,0.7285,-43.9483,-35.0000,-8.9483
Dallas Goedert,-92.3053,3.6118,51.7440,2.4170,-0.0609,-1.3702,0.5508,-1.4390,-0.0112,55.4535,-0.0112,-36.8630,-17.0000,-19.8630
Tyler Higbee,-92.3053,-21.5686,-5.3922,23.0676,-0.5609,9.4101,-0.8723,5.5034,-5.6062,9.5871,-5.6062,-88.3244,-59.0000,-29.3244
Cade Stover,-92.3053,7.2333,-3.1489,29.9966,-3.7824,6.5603,-1.3217,6.7951,2.1295,42.3323,2.1295,-47.8435,-70.0000,22.1565
Albert Okwuegbunam,-92.3053,8.4984,-17.0719,-32.3772,-3.6092,-12.0492,4.6291,-5.3256,-7.8760,-57.3056,-7.8760,-157.4868,-50.0000,-107.4868
Zach Davidson,-92.3053,3.8855,-15.7960,14.3037,-1.4392,2.3628,0.4562,1.6281,5.3864,5.4011,5.3864,-81.5178,-73.0000,-8.5178
Jesse James,-92.3053,0.8987,-20.8645,-36.9461,-7.0784,-15.7135,-3.1865,-4.6359,1.6684,-87.5262,1.6684,-178.1632,-188.0000,9.8368
Cole Turner,-92.3053,12.6701,-15.4920,1.7860,-0.8775,-10.7228,-4.0908,6.3138,22.4842,-10.4132,22.4842,-80.2343,-143.0000,62.7657
Malcolm Johnson,-92.3053,-19.4813,-52.4897,0.2079,-5.1788,-5.5066,-3.1236,-4.6242,-2.1503,-90.1963,-2.1503,-184.6518,-191.0000,6.3482
Ja'Tavion Sanders,-92.3053,7.2565,-7.6429,36.6725,-5.6810,-7.1564,-0.3838,8.1841,2.5100,31.2490,2.5100,-58.5462,-32.0000,-26.5462
Blake Bell,-92.3053,0.7582,-12.5306,-34.2090,0.5978,6.3285,-3.7279,-7.5379,-4.5681,-50.3209,-4.5681,-147.1942,-174.0000,26.8058
Jackson Hawes,-92.3053,-10.5943,-16.0502,-23.6301,12.1988,-5.5830,8.2393,3.4301,2.6273,-31.9894,2.6273,-121.6674,-200.0000,78.3326
Terrance Ferguson,-92.3053,-16.5428,35.4056,16.5291,-2.6416,-1.1797,3.5040,4.3935,10.4376,39.4681,10.4376,-42.3996,-23.0000,-19.3996
Brock Bowers,-92.3053,8.7191,45.7697,26.0217,-2.6598,4.0001,2.0852,2.3079,-1.6050,86.2439,-1.6050,-7.6664,-1.0000,-6.6664
James Mitchell,-92.3053,-20.5875,-14.5102,-0.6663,-0.0602,9.6663,-6.1145,-8.6209,2.1658,-40.8933,2.1658,-131.0327,-87.0000,-44.0327
Michael Mayer,-92.3053,-7.4071,58.3614,-22.1228,-7.1762,-9.7422,-1.9186,3.6014,2.7355,13.5959,2.7355,-75.9738,-21.0000,-54.9738
Zack Kuntz,-92.3053,19.6233,-30.9991,28.0806,-0.4097,-4.5804,-0.1527,7.7576,6.0004,19.3196,6.0004,-66.9853,-141.0000,74.0147
Tommy Sweeney,-92.3053,9.2491,-38.7965,-25.1357,1.4445,15.0521,10.2632,4.5268,3.4503,-23.3965,3.4503,-112.2516,-137.0000,24.7484
Colby Parkinson,-92.3053,5.1696,-10.9052,-13.8973,2.6100,14.7513,-0.1433,-9.1942,20.3374,-11.6091,20.3374,-83.5769,-92.0000,8.4231
Jelani Woods,-92.3053,2.4554,11.6158,22.7613,2.2658,4.9148,-1.9749,3.0962,13.4947,45.1344,13.4947,-33.6761,-55.0000,21.3239
Dalton Kincaid,-92.3053,6.9654,49.4801,25.4667,-2.2763,-1.3710,1.6291,4.2341,2.2775,84.1281,2.2775,-5.8997,-18.0000,12.1003
George Kittle,-92.3053,20.3673,-16.1033,22.8100,-2.1941,7.6889,9.5768,-2.8971,11.2690,39.2485,11.2690,-41.7877,-14.0000,-27.7877
Maxx Williams,-92.3053,8.2480,40.0721,18.4948,2.8708,5.8442,0.7224,-0.1689,-6.6694,76.0834,-6.6694,-22.8913,-10.0000,-12.8913
Mason Schreck,-92.3053,15.0126,-44.6827,33.8386,-5.7190,-6.7944,-2.9336,-7.3919,-1.6809,-18.6704,-1.6809,-112.6566,-165.0000,52.3434
Mitchell Evans,-92.3053,-15.5029,-11.9820,11.6993,-3.0581,-1.5692,-2.8096,-0.3257,-3.7581,-23.5482,-3.7581,-119.6116,-95.0000,-24.6116
James O'Shaughnessy,-92.3053,10.7239,-14.4932,15.8195,-2.7432,2.3998,-1.1041,1.3490,3.2150,11.9517,3.2150,-77.1386,-151.0000,73.8614
Harrison Bryant,-92.3053,7.0092,-4.4730,28.2361,-2.6008,9.5581,7.0101,6.6045,0.6844,51.3442,0.6844,-40.2768,-44.0000,3.7232
Oronde Gadsden II,-92.3053,17.4390,-19.9014,20.3232,0.9186,7.6311,-0.0130,2.7183,17.6275,29.1158,17.6275,-45.5620,-53.0000,7.4380
